Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772967916115,0,1,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,-0.0630528,0.6919101,-0.6089648,0.3826833,135,-0.06824787,0.7489182,-0.6591388
Grab,1772967920212,0,1,1,-0.05010371,0.9998007,0.3002218,1.045105,0.007926876,-0.00612745,0.0005551971,0.9999497,1.149425,0.7902705,-0.6108766,0.05535042,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1001037,0.0001992583,-0.0002218187,0.1001042,-0.06273586,0.6990124,-0.6040483,0.3775865,135.6315,-0.06775119,0.7548939,-0.6523381
Trial Start,1772967920213,0,1,1,-0.05010371,0.9998007,0.3002218,1.045105,0.007926876,-0.00612745,0.0005551971,0.9999497,1.149425,0.7902705,-0.6108766,0.05535042,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1001037,0.0001992583,-0.0002218187,0.1001042,-0.06273586,0.6990124,-0.6040483,0.3775865,135.6315,-0.06775119,0.7548939,-0.6523381
Release,1772967921003,0.7913458,1,1,-0.05689769,0.9862211,0.2587179,1.021178,-0.3117319,-0.250892,-0.2916818,0.8687912,59.36307,-0.6295343,-0.5066698,-0.5890436,0.1243192,-0.07919706,0.03277677,0.1510025,0.07684468,0.6627139,-0.2069062,0.7156081,88.61387,0.1100136,0.9487647,-0.2962143,-0.2935553,-0.1146356,0.01999429,0.3157781,0.01136353,-0.6313739,0.5765882,0.5184439,117.5441,0.01328895,-0.7383526,0.6742841,0.1068977,0.01377887,0.04128215,0.1154175,0.4191169,0.5256952,-0.6489514,0.3561566,138.2713,0.4485286,0.5625861,-0.6944919
Grab,1772967921683,1.471664,1,1,-0.05862789,0.9873556,0.2606232,1.022855,-0.2974111,-0.276101,-0.2686992,0.873565,58.24882,-0.6110674,-0.5672832,-0.5520753,0.1343185,-0.06473829,-0.00275219,0.1491311,-0.21543,0.8969944,-0.2686291,0.2771814,147.8159,-0.2242153,0.933574,-0.2795838,-0.3059204,-0.1020215,0.02377098,0.3233585,0.01089276,-0.6314664,0.5668128,0.5290132,116.1224,0.01283594,-0.7441153,0.6679279,0.1086279,0.01264435,0.03937677,0.1162344,0.412785,0.5459171,-0.6523343,0.3256426,141.991,0.4365818,0.5773889,-0.6899409
Release,1772967922336,2.125243,1,1,-0.02744162,0.9720585,0.2734496,1.010161,0.22169,-0.2848361,-0.5856934,0.7257308,86.94064,0.3222338,-0.4140188,-0.8513248,0.1194622,-0.0918344,-0.01280301,0.151224,-0.07584736,0.6891583,-0.5804167,0.427112,129.4312,-0.0838835,0.7621756,-0.6419127,-0.3171342,-0.07413246,0.03715755,0.3277963,0.3579882,-0.2053979,0.3994699,0.8185842,70.11339,0.6232529,-0.3575952,0.6954719,0.07744162,0.02794152,0.02655044,0.08650352,0.4481059,0.7830736,-0.0823796,0.4233326,129.9097,0.4946122,0.8643442,-0.09092929
Grab,1772967923074,2.861305,1,1,-0.02847834,0.9614421,0.2708121,0.9992602,0.09728626,-0.3699349,-0.4345438,0.8153866,70.74879,0.1680488,-0.6390121,-0.7506152,0.1244145,-0.06931484,-0.002389658,0.1424402,-0.2753236,0.7344401,-0.591484,0.1869265,158.453,-0.2802635,0.7476176,-0.6020966,-0.3118494,-0.06268389,0.04057186,0.320664,0.3049163,-0.3558081,0.5509314,0.6905805,92.64785,0.4215886,-0.4919535,0.7617382,0.07847834,0.03855795,0.02918795,0.0921819,0.4373003,0.7923853,-0.2862611,0.3145609,143.3314,0.4606861,0.8347601,-0.3015697
Release,1772967923253,3.041639,1,1,-0.01333723,0.9633151,0.2769823,1.002434,0.100132,-0.1744724,-0.6719777,0.7127265,89.08563,0.1427517,-0.2487338,-0.9579946,0.09894898,-0.08029594,-0.002655262,0.1274574,-0.3410209,0.754269,-0.5588973,0.0491625,174.3641,-0.3414337,0.7551822,-0.5595739,-0.3230119,-0.04796844,0.04175647,0.3292131,0.2290219,-0.2980771,0.3280695,0.8666427,59.85839,0.4590268,-0.5974334,0.6575469,0.06333723,0.03668487,0.02301767,0.07672808,0.4879375,0.6632573,-0.1185893,0.5549265,112.5887,0.5865342,0.7972807,-0.1425524
Grab,1772967924350,4.139455,1,1,0.009086378,0.9591582,0.287003,1.001218,-0.01699649,0.1971709,-0.9286091,0.3138788,143.4137,-0.01790116,0.2076657,-0.978036,0.1167851,-0.07574426,0.02072282,0.1407316,-0.3846533,0.8311343,-0.3844392,-0.1160365,193.3268,-0.3872693,0.8367867,-0.3870537,-0.3409657,0.01289184,0.04319195,0.3439322,-0.005812448,-0.1512996,-0.3450013,0.9263092,44.26678,-0.01542728,-0.4015764,-0.9156958,0.04091362,0.04084176,0.012997,0.05925281,0.5091573,0.189923,0.1648943,0.8231027,69.20679,0.8965734,0.3344348,0.2903617
Release,1772967925003,4.792032,1,1,0.003039814,1.024905,0.2532289,1.055729,0.07198536,0.3904748,-0.6903164,0.604823,105.5678,0.090393,0.4903246,-0.8668397,0.1009639,-0.08134653,0.02229181,0.1315595,-0.07687578,0.9246727,-0.3204686,-0.1907104,201.9885,-0.07831311,0.9419611,-0.3264604,-0.3745071,-0.002187721,-0.03143859,0.3758308,-0.2410839,0.02487517,-0.03683978,0.9694858,28.38115,-0.9834226,0.1014701,-0.1502758,0.04696019,-0.02490509,0.04677111,0.07080296,0.1741681,0.3564179,-0.02971541,0.9174687,46.88244,0.4378195,0.8959545,-0.07469787
Grab,1772967925559,5.348381,1,1,0.001698093,1.00913,0.2533457,1.040447,-0.09169032,0.1811211,-0.6676345,0.7162766,88.50416,-0.131396,0.259554,-0.9567481,0.1138516,-0.06246471,0.01689596,0.1309561,-0.1895157,0.9486912,-0.2349456,-0.09417735,190.808,-0.1903618,0.9529266,-0.2359945,-0.3617522,-0.002433605,-0.02168768,0.3624099,-0.201608,-0.2458603,0.1074432,0.9419994,39.21981,-0.6007132,-0.7325677,0.3201388,0.04830191,-0.009129524,0.04665428,0.06777201,0.3415719,0.4125471,-0.2327159,0.8117739,71.46078,0.5849115,0.7064503,-0.3985054
Release,1772967926142,5.930831,1,1,0.02009016,1.009794,0.2675224,1.044824,-0.1638492,0.2720185,-0.6374976,0.7019659,90.8301,-0.2300573,0.3819355,-0.8950973,0.1020566,-0.06381881,0.04401884,0.1281642,-0.1538518,0.9376813,-0.3111206,-0.01695768,181.9433,-0.153874,0.9378161,-0.3111654,-0.3721375,0.01551708,-0.01340054,0.3727019,-0.28747,-0.2442237,0.06232223,0.9240303,44.95487,-0.7519102,-0.6387947,0.1630108,0.02990985,-0.009794474,0.03247762,0.04522528,0.2938828,0.322018,-0.2797302,0.8553877,62.39479,0.5673545,0.6216708,-0.5400322
Grab,1772967927004,6.79175,1,1,0.04128337,1.009074,0.2745936,1.046583,-0.06035706,0.4919148,-0.2848852,0.8204982,69.73061,-0.1055841,0.8605188,-0.4983567,0.1132144,-0.08321609,0.01603498,0.1414197,0.03245785,0.9947171,0.02223781,-0.09481613,190.8815,0.03260474,0.9992188,0.02233845,-0.3846713,0.03385675,-0.006229497,0.3862086,-0.5002835,0.01017448,0.3380426,0.7970824,74.29526,-0.8284612,0.01684877,0.5597929,0.008716635,-0.009073853,0.02540639,0.02835135,-0.131081,0.3606709,-0.4013788,0.8316426,67.46431,-0.2360496,0.6494933,-0.7227997
On Target,1772967928213,8.01425,1,1,0.04568977,1.011004,0.2839993,1.051129,-0.05013734,0.716978,-0.5942048,0.3610396,137.6719,-0.05376366,0.7688354,-0.6371824,0.09696647,-0.07115127,0.02618764,0.1230886,-0.02498642,0.9354669,0.1971046,-0.2922792,213.9889,-0.02612732,0.9781812,0.2061046,-0.3909079,0.03801951,-0.002158343,0.3927584,-0.514957,0.1818713,-0.2271936,0.8063033,72.52735,-0.8705921,0.3074736,-0.384096,0.004310228,-0.01100445,0.01600069,0.01989216,-0.02905581,-0.01763414,0.01804882,0.9992593,4.410802,-0.7550461,-0.4582418,0.4690176
Trial End,1772967929212,9.013453,1,1,0.05086407,1.009265,0.2896188,1.051229,-0.0456041,0.6733171,-0.6028626,0.4255834,129.6248,-0.05039577,0.7440632,-0.666206,0.1034771,-0.07123851,0.02368913,0.1278421,0.02071497,0.9514374,0.1971298,-0.2355373,207.2466,0.02131465,0.9789807,0.2028365,-0.3929856,0.04919524,0.007383924,0.3961217,-0.5039386,0.1342895,-0.1769961,0.8346765,66.83569,-0.9150195,0.2438343,-0.3213782,-0.0008640736,-0.009265065,0.01038122,0.01394123,-0.002281946,0.04703911,-0.01755923,0.9987361,5.761855,-0.04540249,0.9359086,-0.3493653
Trial Load,1772967929217,9.013453,1,2,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1034771,-0.07123851,0.02368913,0.1278421,0.02071497,0.9514374,0.1971298,-0.2355373,207.2466,0.02131465,0.9789807,0.2028365,-0.3929856,0.04919524,0.007383924,0.3961217,-0.5039386,0.1342895,-0.1769961,0.8346765,66.83569,-0.9150195,0.2438343,-0.3213782,0.1,0,0,0.1,0.7242851,0.1647346,0.5493879,0.3826834,135,0.7839606,0.1783075,0.5946531
Release,1772967929225,9.013453,1,2,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1034771,-0.07123851,0.02368913,0.1278421,0.02071497,0.9514374,0.1971298,-0.2355373,207.2466,0.02131465,0.9789807,0.2028365,-0.3929856,0.04919524,0.007383924,0.3961217,-0.5039386,0.1342895,-0.1769961,0.8346765,66.83569,-0.9150195,0.2438343,-0.3213782,0.1,0,0,0.1,0.7242851,0.1647346,0.5493879,0.3826834,135,0.7839606,0.1783075,0.5946531
Trial Start,1772967930170,0,1,2,-0.05003427,0.9999117,0.3001082,1.045176,-0.006096614,0.00523011,0.00233698,0.9999651,0.9577623,-0.729432,0.6257588,0.279609,0.1034771,-0.07123851,0.02368913,0.1278421,0.02071497,0.9514374,0.1971298,-0.2355373,207.2466,0.02131465,0.9789807,0.2028365,-0.3929856,0.04919524,0.007383924,0.3961217,-0.5039386,0.1342895,-0.1769961,0.8346765,66.83569,-0.9150195,0.2438343,-0.3213782,0.1000343,8.827448E-05,-0.0001081824,0.1000344,0.7290813,0.1677694,0.5436819,0.3803999,135.2831,0.7883474,0.1814072,0.5878772
Grab,1772967930212,0.041543,1,2,-0.04998672,0.9994466,0.3009828,1.04498,-0.03366303,0.02445746,0.01622836,0.9990021,5.119582,-0.7537333,0.5476158,0.3633618,0.1185608,-0.07714467,0.0152292,0.142267,0.5468785,0.6967946,-0.1874261,0.4245854,129.7511,0.6040267,0.7696089,-0.2070119,-0.3680967,-0.05054826,0.02527462,0.3724099,-0.2451997,-0.2214441,0.7588695,0.56121,111.721,-0.2962517,-0.2675501,0.9168707,0.09998672,0.0005534291,-0.0009827912,0.09999308,0.7472079,0.1854588,0.5193697,0.3708646,136.4621,0.8045854,0.1997,0.5592517
Release,1772967930641,0.4726256,1,2,-0.04821917,0.9883862,0.302061,1.034637,-0.1148836,0.01719644,-0.1657441,0.9793033,23.35447,-0.567612,0.08496341,-0.8189011,0.1200385,-0.1045638,0.01637631,0.1600344,0.3592677,0.8415493,-0.1043941,0.3896454,134.1351,0.3900992,0.9137692,-0.113353,-0.3612299,-0.04850832,0.03085269,0.3657759,-0.249442,-0.3255588,0.6256754,0.6635665,96.85511,-0.3334263,-0.4351708,0.8363333,0.09821917,0.01161385,-0.00206095,0.09892489,0.7900102,0.09781407,0.5700644,0.2033297,156.5365,0.8068653,0.09990097,0.5822269
Grab,1772967935350,5.180799,1,2,-0.04733858,0.9876658,0.3036493,1.034373,-0.102993,0.03781197,-0.1437955,0.9835068,20.84101,-0.5694273,0.2090548,-0.7950161,0.11589,-0.07153483,0.01736811,0.1372931,0.2239118,0.8543596,-0.2156672,0.4164386,130.7801,0.2462832,0.9397201,-0.2372148,-0.3610049,-0.04793652,0.03204095,0.3655804,-0.2564409,-0.3264517,0.6346868,0.6517977,98.64545,-0.3381373,-0.4304519,0.8368838,0.09733857,0.01233417,-0.003649324,0.09818476,0.7962146,0.09998178,0.5510017,0.2290049,153.523,0.8179514,0.1027113,0.5660442
Release,1772967935890,5.723193,1,2,-0.02757419,0.9781744,0.2720852,1.015685,0.07160814,-0.07441816,-0.5346042,0.8387684,65.97939,0.1315146,-0.1366754,-0.9818472,0.110118,-0.1081729,0.003327604,0.154397,0.2250827,0.8993992,-0.1134544,0.3571374,138.151,0.2409744,0.9629006,-0.1214647,-0.3419209,-0.02362915,0.009912949,0.3428798,0.04477431,-0.2853466,0.3668005,0.8843246,55.66296,0.09590266,-0.6111875,0.7856547,0.07757419,0.02182555,0.02791485,0.08528394,0.6272876,-0.2598937,0.7310897,0.06688318,172.33,0.6286954,-0.260477,0.7327304
