Block Num,Trial Num,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,9.013453,False,-0.0008640736,-0.009265065,0.01038122,0.01394123,-0.002281946,0.04703911,-0.01755923,0.9987361,5.761855,-0.04540249,0.9359086,-0.3493653,0.4078816,0.5220604,0.530234,0,0,0,1.457887,294.6499,0,0,0.4482833,577.8687,0.4251472,503.983,0,0,0.04705029,14.4605,4.290644,0
1,2,15.42965,False,-0.0009702258,-0.0002365112,-0.0009883046,0.001404999,0.06242642,-0.008611178,0.0001171615,-0.9980125,352.774,0.9906336,-0.1366492,0.001859215,0.2762334,0.2803896,0.3361232,0,0,0,0.4617917,297.2694,0,0,0.3285576,557.8032,0.2919278,459.4674,0,0,0.05158911,12.99019,7.570316,0
1,3,9.819037,False,0.003184151,-0.006018519,0.01100835,0.01294393,0.006988545,0.006561314,0.02587465,-0.9996192,356.8377,0.2532697,0.2377866,0.9377154,0.2670786,0.3310873,0.2902954,0,0,0,0.4461621,356.8402,0,0,0.376427,691.4738,0.2493564,493.2289,0,0,0.05165528,17.11264,6.942105,0
1,4,7.124825,False,0.00161282,0.0001232028,0.007047147,0.007230397,-0.0001835095,0.01894092,0.02143973,-0.9995908,356.7213,-0.006414566,0.6620791,0.7494251,0.2388736,0.2200281,0.2485445,0,0,0,0.3874405,299.1518,0,0,0.2504629,505.7338,0.193427,384.361,0,0,0.04185399,13.19064,4.59614,0
1,5,4.262822,False,0.004229747,-0.004009008,0.01001418,0.01158649,-0.03812765,0.05691162,0.03111462,0.9971656,8.629771,-0.5067625,0.7564243,0.4135509,0.09346475,0.1050916,0.1488522,0,0,0,0.2252752,129.7812,0,0,0.1898555,247.3611,0.107434,177.6053,0,0,0.02379318,6.046439,3.471662,0
1,6,7.305281,False,0.003804054,0.001901746,0.007942319,0.009009323,0.02794465,0.02551139,0.01774445,-0.9991264,355.2095,0.6686556,0.6104329,0.4245867,0.2512518,0.3254926,0.4031676,0,0,0,0.5528728,406.6505,0,0,0.3651093,687.2377,0.2583325,600.9584,0,0,0.07237285,17.25894,2.304985,0
1,7,10.41537,False,0.0003155917,0.001185,0.006574303,0.006687696,0.04155042,0.01493669,-0.02234069,-0.9987749,354.3273,0.8396821,0.3018518,-0.4514775,0.2778198,0.2837459,0.3566373,0,0,0,0.4981508,378.0374,0,0,0.3965796,693.2093,0.3008313,568.0286,0,0,0.07043439,27.32461,6.84685,0
1,8,13.13881,False,-6.554648E-05,-0.002011776,0.005193204,0.005569641,0.01786589,-0.02432507,-0.008234163,-0.9995106,356.4145,0.5710814,-0.7775484,-0.2632042,0.2986299,0.267374,0.354588,0,0,0,0.4416929,338.1923,0,0,0.408107,668.9818,0.284936,506.0912,0,0,0.04190636,15.99607,2.818265,0
1,9,10.63812,False,-0.000359375,0.0002259612,-7.301569E-05,0.0004307437,0.02817776,0.0232751,-0.0201243,-0.9991292,355.2177,0.6753871,0.5578761,-0.4823553,0.3216683,0.3564572,0.401278,0,0,0,0.7428973,412.5715,0,0,0.4120969,765.1549,0.2934958,720.1534,0,0,0.09121196,24.31169,6.664834,0
1,10,10.9844,False,-0.000110466,-0.003423572,0.002428353,0.004198803,0.006135313,-0.07840595,-0.02295252,0.9966384,9.398559,0.07488864,-0.9570359,-0.2801622,0.4466821,0.3722,0.4251878,0,0,0,0.680797,335.8795,0,0,0.5325316,758.5135,0.3593313,687.085,0,0,0.06697725,16.70308,7.607137,0
