Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1772968124015,0.0140532,0.1008681,0.8810232,0.2424691,0.9193299,-0.7521474,-0.6110244,-0.1002193,0.2255651,153.9278,-0.7720445,-0.6271883,-0.1028704,-0.1204988,0.7332729,0.05453227,0.745106,0.2682079,0.2545524,-0.8809246,0.295363,145.6414,0.2807328,0.2664396,-0.9220624,0.04549043,0.9999166,0.2784579,1.038962,0.06706819,1.020522,0.2990444,1.065547,0.06025152,1.014513,0.3185384,1.065051,0.009535518,0.7612944,0.07725112,0.7652633,0.0249485,0.7403652,0.09747382,0.7471708,0.02395811,0.7209356,0.1066927,0.7291814,0.1063381,-0.07922567,0.03021633,0.1360056,0.1381563,-0.06600321,0.01895846,0.1542823,0.1396278,-0.07589361,-8.358061E-05,0.1589206,-0.1135456,0.05933315,-0.0423941,0.1349455,-0.1286153,0.07815813,-0.01996485,0.1518196,-0.1262249,0.0883552,-0.001155769,0.1540802,0.1062783,-0.07931374,0.02991309,0.1359431,0.1385237,-0.06588011,0.01898298,0.1545618,0.139265,-0.07589044,-0.0001232634,0.1586005,-0.1134845,0.05954725,-0.04248736,0.1350177,-0.1288595,0.07805978,-0.02004677,0.1519868,-0.1262947,0.08831757,-0.001167813,0.1541159,0.121034,-0.07615221,0.01945586,0.1443153,-0.3191419,0.8566185,-0.1015639,0.3924769,133.7826,-0.3469831,0.9313481,-0.1104241,-0.1191095,0.07127109,-0.02588516,0.1411973,-0.2763441,-0.1611614,-0.1031272,0.9418204,39.28088,-0.8221679,-0.479481,-0.3068199,-0.04998969,0.9999718,0.3000219,1.045206,0.001504382,-0.0006006503,-0.001472554,0.9999976,0.2502291,0.6889268,-0.2750658,-0.6743512,0.1192363,-0.07742,0.02041167,0.1436237,0.6871251,-0.4165637,-0.1240789,0.5821841,108.7914,0.8451132,-0.5123426,-0.1526079,-0.3700822,-0.1460276,-0.0485037,0.4007961,0.1986379,-0.3234693,0.6276072,-0.6797202,265.6436,0.2708189,-0.4410115,0.8556671,0.09998969,2.8193E-05,-2.18749E-05,0.0999897,0.05472738,0.7738402,-0.5014544,0.3830403,134.9557,0.05924598,0.8377328,-0.5428572,-0.0577436,1.11555,-0.04444501,1.117928,0.03465112,-0.08697251,-0.0126772,-0.9955272,349.1578,0.3667749,-0.920586,-0.1341855,False,False,False,False
1772968124027,0.0294502,0.01069153,0.9094116,0.2162467,0.9348296,-0.4999281,-0.6901383,0.2717025,0.4471676,126.8758,-0.5589222,-0.7715783,0.3037648,-0.1206427,0.7342579,0.0529491,0.7459846,0.2730109,0.2501681,-0.8815472,0.2928406,145.9438,0.2855281,0.261638,-0.9219649,-0.09373132,0.9814882,0.2645628,1.020832,-0.04575535,1.033306,0.2991206,1.076702,-0.03194249,1.025475,0.3174856,1.073972,0.00890037,0.763667,0.07626571,0.7675174,0.02364775,0.7394298,0.09562863,0.7459628,0.02276468,0.7202733,0.1051165,0.7282591,0.09441134,-0.06099685,0.07615436,0.1357704,0.149892,-0.04969465,0.02160922,0.1593867,0.1475469,-0.06137853,0.0004577935,0.1598049,-0.1138206,0.05733906,-0.04412589,0.1348702,-0.1267944,0.07856983,-0.02044508,0.1505591,-0.1248776,0.08879877,-0.001750995,0.1532407,0.1053154,-0.0778276,0.03366487,0.1352102,0.1394461,-0.06456691,0.01919606,0.1548631,0.139937,-0.07471301,-7.611948E-05,0.1586329,-0.1135117,0.05936809,-0.0426203,0.1350036,-0.128692,0.07810116,-0.02007909,0.1518703,-0.1261797,0.08835661,-0.001215129,0.1540444,0.1201357,-0.07498467,0.02200581,0.1433162,-0.3213795,0.8631128,-0.102676,0.375778,135.8552,-0.3467963,0.9313735,-0.1107963,-0.1190519,0.07115341,-0.02602207,0.1411146,-0.277035,-0.1610807,-0.1083877,0.9410403,39.54601,-0.8189166,-0.4761552,-0.3203946,-0.04997246,0.9999231,0.3000688,1.045172,0.004557846,-0.001845467,-0.003890286,0.9999804,0.7176395,0.7277909,-0.2946817,-0.6211959,0.1195261,-0.06407881,0.02256261,0.1374833,0.4994201,0.6901954,-0.2736989,0.4464289,126.9704,0.5581241,0.771324,-0.3058706,-0.3040246,-0.2102226,-0.004025794,0.3696494,-0.2716719,-0.2494193,0.8816541,0.2943985,145.7571,-0.2842699,-0.2609854,0.9225385,0.09997246,7.69496E-05,-6.881356E-05,0.09997252,0.0560531,0.7757096,-0.4980933,0.3834527,134.9046,0.06069239,0.8399119,-0.5393184,-0.05810156,1.115624,-0.04440954,1.118018,0.03491705,-0.08610995,-0.01281081,-0.9955912,349.2356,0.3722543,-0.9180269,-0.1365774,False,False,False,False
1772968124042,0.04188539,0.01032646,0.9097621,0.2159663,0.9351017,-0.5006302,-0.6900064,0.2626919,0.4519442,126.263,-0.5612156,-0.7735097,0.2944824,-0.1206575,0.7342389,0.05305162,0.7459755,0.272846,0.2500264,-0.8816134,0.2929158,145.9348,0.2853625,0.2614961,-0.9220564,-0.09150265,0.9843627,0.2664611,1.023887,-0.04514801,1.031997,0.3011953,1.076,-0.03121969,1.024747,0.3190528,1.073721,0.00889108,0.763747,0.07628487,0.7675987,0.02365087,0.7394565,0.09569225,0.7459975,0.02278142,0.7203105,0.1052015,0.7283087,0.0966531,-0.06041721,0.07410844,0.1359563,0.1492183,-0.05052493,0.02154096,0.1590059,0.1476716,-0.06137909,0.0004400909,0.1599202,-0.1138242,0.05730006,-0.04420515,0.1348827,-0.1268017,0.07856856,-0.02046146,0.1505668,-0.1249023,0.08879546,-0.001765115,0.153259,0.1045513,-0.07629185,0.03723234,0.1346762,0.1403081,-0.06332829,0.0194029,0.1551557,0.1406192,-0.07353684,-3.058522E-05,0.1586866,-0.1135393,0.05918567,-0.0427601,0.1349909,-0.1285252,0.07814239,-0.02011282,0.1517547,-0.1260671,0.08839532,-0.001263643,0.1539748,0.1193708,-0.07376186,0.02453317,0.1424502,-0.3222844,0.8688465,-0.1034852,0.3612883,137.6413,-0.3456303,0.9317848,-0.1109816,-0.1189952,0.07103141,-0.0261661,0.1410319,-0.2776932,-0.1610578,-0.1137614,0.9402155,39.82443,-0.8153539,-0.4728926,-0.3340226,-0.05000027,0.9997435,0.3001473,1.045024,0.01266735,-0.005989716,-0.009751873,0.9998543,1.955976,0.7421302,-0.3509139,-0.5713239,0.119472,-0.06336443,0.02344313,0.1372523,0.4995112,0.6899092,-0.2685138,0.4499049,126.5248,0.559315,0.7725084,-0.3006616,-0.3040206,-0.2101388,-0.003892353,0.369597,-0.268906,-0.2476052,0.8820997,0.297122,145.4304,-0.2816243,-0.2593161,0.9238198,0.1000003,0.0002564788,-0.0001473129,0.1000007,0.05955901,0.7809632,-0.4892954,0.3835876,134.8878,0.06449237,0.8456516,-0.5298245,-0.05853714,1.11571,-0.04437373,1.118125,0.03549011,-0.08492991,-0.0129251,-0.9956708,349.3333,0.3818196,-0.9137166,-0.1390544,False,False,False,False
1772968124054,0.05702449,0.009977015,0.9103885,0.2157639,0.9356607,-0.5007166,-0.6903072,0.2533987,0.4566707,125.655,-0.5628331,-0.7759435,0.2848341,-0.1207801,0.7342271,0.05329562,0.7460011,0.2726173,0.249894,-0.8817076,0.292958,145.9297,0.2851271,0.2613611,-0.9221674,-0.08626483,0.9871988,0.2737861,1.028087,-0.04500003,1.029902,0.3036929,1.074687,-0.03075836,1.024199,0.3211712,1.073816,0.008779515,0.7638313,0.07643203,0.767696,0.02349326,0.7393866,0.09579892,0.7459369,0.02263503,0.7202493,0.1053034,0.7282583,0.1005747,-0.06266053,0.06698707,0.1361209,0.1478829,-0.05201828,0.02149633,0.1582319,0.148045,-0.06168795,0.0003466904,0.1603834,-0.1138333,0.05725882,-0.04428093,0.1348977,-0.1266827,0.07861976,-0.02045409,0.1504924,-0.1247812,0.08885156,-0.001772494,0.153193,0.1042632,-0.07530399,0.03938868,0.1345101,0.140857,-0.06250865,0.01955462,0.1553397,0.1411574,-0.07267815,-3.243921E-06,0.1587688,-0.1135606,0.05904603,-0.04287032,0.1349826,-0.1283917,0.07817698,-0.02013755,0.1516628,-0.1259739,0.08842839,-0.001300519,0.1539178,0.119052,-0.07292876,0.02609538,0.1420316,-0.3229939,0.8718815,-0.1030449,0.3533826,138.6113,-0.3452712,0.9320163,-0.110152,-0.118949,0.07093814,-0.02627942,0.140967,-0.2782018,-0.1610083,-0.11798,0.9395535,40.04659,-0.8125002,-0.4702315,-0.3445656,-0.04996736,0.9996268,0.3002473,1.04494,0.02015046,-0.008633924,-0.01531351,0.9996424,3.064503,0.7535754,-0.3228865,-0.572686,0.1191267,-0.06261863,0.02428782,0.1367559,0.4981789,0.6891444,-0.2695586,0.451925,126.2655,0.5584614,0.7725348,-0.3021768,-0.3039146,-0.2099198,-0.003749308,0.3693839,-0.2611484,-0.243102,0.8835207,0.3034702,144.6677,-0.2740735,-0.2551338,0.9272489,0.09996736,0.0003732443,-0.0002473295,0.09996837,0.06231332,0.7852774,-0.4811341,0.3846645,134.7542,0.06750758,0.8507358,-0.5212401,-0.05931639,1.115809,-0.04418815,1.118258,0.03607089,-0.08368275,-0.01359993,-0.9957465,349.4271,0.3914996,-0.9082603,-0.1476084,False,False,False,False
1772968124069,0.069551,0.009907231,0.9107375,0.2155914,0.9359597,-0.5010886,-0.6913386,0.2437442,0.4599456,125.2328,-0.5643226,-0.7785809,0.2745031,-0.1208197,0.7341935,0.05341869,0.7459833,0.2723897,0.2497824,-0.8818042,0.2929742,145.9278,0.2848906,0.2612457,-0.9222733,-0.08296129,0.9876098,0.2786213,1.029507,-0.04553357,1.025494,0.3067437,1.071355,-0.03054439,1.022655,0.3228174,1.072832,0.008745302,0.7638356,0.07649031,0.7677057,0.02345136,0.7393489,0.0958467,0.7459044,0.02259191,0.7202132,0.1053479,0.7282277,0.1021235,-0.06468188,0.06239975,0.1360393,0.1450838,-0.0552251,0.02126733,0.1566889,0.1476568,-0.0621027,0.0003586859,0.1601855,-0.1138388,0.05724008,-0.04429842,0.1349001,-0.1266496,0.07862987,-0.02044692,0.1504688,-0.1247367,0.0888628,-0.001770253,0.1531632,0.1040773,-0.07438136,0.04138741,0.1344529,0.1412242,-0.06187601,0.01970338,0.1554385,0.1417219,-0.07175957,2.819314E-05,0.1588538,-0.1135848,0.05888917,-0.04299436,0.1349739,-0.1282404,0.07821632,-0.02016442,0.1515585,-0.1258664,0.08846612,-0.00134132,0.1538519,0.1187699,-0.07215029,0.02757434,0.1416768,-0.322122,0.8749858,-0.1010013,0.347039,139.3874,-0.3434683,0.9329692,-0.1076944,-0.1188964,0.07083274,-0.02640739,0.1408935,-0.2787663,-0.1609571,-0.1227819,0.9387794,40.30485,-0.8091466,-0.4671938,-0.3563867,-0.04996891,0.9990802,0.3008455,1.044589,0.02634067,-0.01198759,-0.01564679,0.9994587,3.770458,0.8006905,-0.3643928,-0.4756234,0.119149,-0.06192253,0.02494031,0.1365757,0.4974862,0.6898822,-0.2689576,0.4519204,126.2661,0.5576835,0.77336,-0.3015022,-0.3039028,-0.2098325,-0.003558484,0.3693227,-0.2549503,-0.238625,0.8843875,0.3097051,143.9171,-0.2681337,-0.2509643,0.930119,0.09996891,0.0009197593,-0.0008455217,0.09997672,0.06187975,0.7895158,-0.4759488,0.3825032,135.0224,0.06697274,0.8544965,-0.5151216,-0.05964958,1.11587,-0.04413335,1.118334,0.03650435,-0.08241447,-0.01395233,-0.9958316,349.5334,0.4002203,-0.9035621,-0.1529682,True,True,False,False
1772968124084,0.083602,0.009941615,0.9115676,0.2149294,0.9366157,-0.5015965,-0.6926318,0.2362427,0.4613584,125.0504,-0.5653614,-0.7806819,0.2662748,-0.1208634,0.734112,0.05367176,0.7459283,0.2721892,0.2497001,-0.8818916,0.2929675,145.9286,0.2846803,0.2611592,-0.9223627,-0.08300202,0.9870136,0.279769,1.02925,-0.04589139,1.023558,0.3079344,1.069861,-0.03096855,1.021508,0.3237462,1.072031,0.008690674,0.763806,0.0766958,0.7676961,0.02341131,0.7392645,0.09603761,0.7458441,0.02254945,0.7201284,0.1055358,0.7281698,0.1015498,-0.06648976,0.06165662,0.1361425,0.143596,-0.05697004,0.02106705,0.1559142,0.1470216,-0.06313641,0.0003994554,0.1600054,-0.1138478,0.05719306,-0.04431397,0.1348929,-0.1266304,0.07863526,-0.02044096,0.1504546,-0.1247068,0.08886935,-0.001767101,0.1531426,0.1038929,-0.07380556,0.04286632,0.1344564,0.1413972,-0.06151805,0.01980288,0.1554664,0.1421086,-0.07113039,5.528178E-05,0.1589163,-0.113604,0.05876542,-0.04309065,0.1349668,-0.1281229,0.07824689,-0.0201846,0.1514776,-0.1257818,0.08849554,-0.001372387,0.1537999,0.1184954,-0.07166643,0.02869857,0.1414243,-0.3215254,0.8770531,-0.09915276,0.3428818,139.8949,-0.3422746,0.9336525,-0.1055515,-0.1188556,0.07074901,-0.02650729,0.1408357,-0.2792062,-0.1609344,-0.1265838,0.9381474,40.51453,-0.8064043,-0.4648111,-0.3655997,-0.05019335,0.9975927,0.3025595,1.043673,0.02801099,-0.01430618,-0.005315435,0.9994911,3.655769,0.8781562,-0.4485045,-0.1666411,0.118691,-0.06274217,0.02460063,0.1364893,0.499808,0.6883519,-0.2675909,0.4525028,126.1912,0.5604719,0.7719001,-0.3000696,-0.3039472,-0.2096109,-0.002891326,0.3692276,-0.2498461,-0.2341062,0.8866704,0.3107841,143.787,-0.262863,-0.246303,0.9328654,0.1001934,0.002407253,-0.002559453,0.1002549,0.05442357,0.7918251,-0.4785028,0.3756145,135.8754,0.05872355,0.8543867,-0.516309,-0.06005763,1.115817,-0.04405651,1.1183,0.03690501,-0.08131696,-0.01491964,-0.9958931,349.611,0.407622,-0.8981593,-0.1647899,True,True,False,False
1772968124097,0.0983104,0.009887833,0.9120052,0.2145095,0.9369448,-0.5024418,-0.6946663,0.2269328,0.4620527,124.9607,-0.566545,-0.7832941,0.2558856,-0.1209764,0.7338791,0.05433889,0.7457657,0.2719685,0.2496252,-0.8819903,0.2929393,145.932,0.2844469,0.2610784,-0.9224576,-0.08263568,0.9850703,0.2827006,1.028159,-0.04668723,1.021074,0.3097163,1.068033,-0.03177514,1.020334,0.325115,1.07135,0.008530859,0.7636721,0.07735813,0.7676276,0.02333521,0.7390578,0.09666905,0.7457184,0.02250265,0.7199543,0.1061623,0.7280872,0.1008534,-0.0696957,0.05933159,0.1361952,0.1422691,-0.0590844,0.02072447,0.155438,0.1469551,-0.06409706,0.0004031807,0.160326,-0.1138817,0.05707095,-0.04431127,0.1348689,-0.1266667,0.07862706,-0.02044038,0.1504808,-0.1247653,0.08886035,-0.001801083,0.1531854,0.1036463,-0.07347215,0.04420204,0.1345159,0.141468,-0.06132063,0.01987764,0.1554623,0.1425018,-0.07055982,8.350441E-05,0.159014,-0.1136265,0.05862796,-0.04318967,0.1349576,-0.1280048,0.07827773,-0.02020535,0.1513964,-0.1256993,0.08852513,-0.001407164,0.1537498,0.118155,-0.07136706,0.02976193,0.1412078,-0.3210981,0.8784428,-0.09631086,0.3405267,140.1821,-0.3415084,0.9342802,-0.1024328,-0.1188163,0.0706541,-0.0266144,0.1407752,-0.2797014,-0.1610103,-0.1307021,0.9374219,40.75399,-0.803288,-0.4624131,-0.3753697,-0.05033786,0.9969295,0.3031578,1.043219,0.03272608,-0.01563537,0.001277963,0.9993412,4.159604,0.9017523,-0.4308255,0.03521368,0.1182306,-0.06442425,0.02363934,0.1367032,0.5081896,0.6840166,-0.2559196,0.4564754,125.6802,0.571169,0.768786,-0.2876354,-0.304013,-0.2091489,-0.001182484,0.3690102,-0.2496798,-0.2304292,0.8908675,0.3015253,144.9015,-0.2618676,-0.2416773,0.9343541,0.1003379,0.003070533,-0.003157794,0.1004345,0.04818372,0.7949458,-0.4772345,0.3714658,136.3879,0.05189713,0.8562105,-0.5140139,-0.06043582,1.11579,-0.04395708,1.11829,0.0370873,-0.08034514,-0.01573673,-0.9959526,349.6866,0.4126317,-0.8939167,-0.1750862,True,True,False,False
1772968124111,0.1115487,0.009963069,0.9122803,0.2143654,0.9371804,-0.5036511,-0.6961961,0.2205341,0.4615315,125.028,-0.5677348,-0.784779,0.2485945,-0.1209843,0.733856,0.05444153,0.7457517,0.2719685,0.2496252,-0.8819903,0.2929393,145.932,0.2844469,0.2610784,-0.9224576,-0.0822181,0.9844659,0.2838175,1.027855,-0.04739391,1.019291,0.3107185,1.066652,-0.03241673,1.019047,0.3256193,1.070297,0.008508008,0.7636534,0.07748482,0.7676215,0.02334009,0.7390507,0.09677187,0.7457248,0.02252152,0.7199293,0.1062462,0.7280754,0.1006645,-0.07095263,0.05800106,0.1361313,0.1411668,-0.06061689,0.02055861,0.1550004,0.1462131,-0.06476225,0.0004647672,0.1599145,-0.1138883,0.05705138,-0.04429146,0.1348597,-0.1266817,0.07862415,-0.0204541,0.1504938,-0.1247711,0.08888439,-0.001822502,0.1532044,0.1033941,-0.073259,0.0453694,0.1345942,0.1414425,-0.06126109,0.01993525,0.155423,0.1428157,-0.07006937,0.0001157583,0.1590788,-0.1136486,0.05849458,-0.04328287,0.1349483,-0.1278928,0.07830703,-0.02022639,0.1513198,-0.1256208,0.08855552,-0.0014423,0.1537035,0.1177963,-0.07117335,0.03071888,0.1410151,-0.3197876,0.8798952,-0.09301925,0.3389213,140.3777,-0.339905,0.9352482,-0.09887097,-0.1187798,0.07056281,-0.02671669,0.1407179,-0.2802151,-0.1611076,-0.1346592,0.9366914,40.99371,-0.8002579,-0.4601023,-0.3845692,-0.05059998,0.9953919,0.3046017,1.042184,0.02788827,-0.01381762,0.02446702,0.9992161,4.53766,0.7044548,-0.3490316,0.6180344,0.1179497,-0.06508746,0.02317925,0.136696,0.515865,0.6806604,-0.2504576,0.4559121,125.7527,0.5796074,0.7647656,-0.2814052,-0.3039865,-0.2089268,-0.0003924687,0.3688608,-0.2487313,-0.2248293,0.8942053,0.2966166,145.491,-0.2604526,-0.2354242,0.9363439,0.1006,0.004608095,-0.004601687,0.1008106,0.03118999,0.792968,-0.4898828,0.3608933,137.6899,0.03344386,0.8502702,-0.5252832,-0.06083911,1.115822,-0.04386238,1.11834,0.03708183,-0.07984736,-0.01660461,-0.9959787,349.72,0.4139077,-0.8912567,-0.1853407,True,True,False,False
1772968124125,0.1258629,0.009910942,0.9119165,0.2143322,0.9368181,-0.5054801,-0.697839,0.2141592,0.4600506,125.2193,-0.5693031,-0.7859496,0.2411994,-0.1209363,0.733888,0.05438132,0.7457711,0.2719685,0.2496252,-0.8819903,0.2929393,145.932,0.2844469,0.2610784,-0.9224576,-0.08026038,0.9819288,0.2880925,1.026461,-0.04870543,1.01631,0.3117972,1.064178,-0.03362854,1.017737,0.3267445,1.06943,0.00855973,0.763809,0.07731859,0.7677601,0.02333723,0.7390016,0.09657714,0.7456508,0.02254143,0.7199246,0.1061228,0.7280533,0.1005023,-0.07438628,0.05328368,0.1359161,0.1395477,-0.06279483,0.02040862,0.1543803,0.1462068,-0.06598167,0.0004518777,0.1604064,-0.1138715,0.05699666,-0.04444386,0.1348725,-0.1265319,0.07868589,-0.02048631,0.1504044,-0.1246984,0.08890975,-0.001837033,0.1531601,0.103172,-0.07334557,0.04597715,0.1346771,0.141297,-0.06137887,0.0199716,0.1553418,0.1430761,-0.06975546,0.0001415693,0.1591748,-0.1136658,0.05837956,-0.04337203,0.1349415,-0.1277883,0.07833613,-0.02024635,0.1512492,-0.12555,0.08858272,-0.001472612,0.1536615,0.1175179,-0.07121457,0.03124974,0.1409202,-0.3189296,0.8801923,-0.0896477,0.3398658,140.2626,-0.3391159,0.9359029,-0.09532183,-0.118745,0.07048295,-0.02681197,0.1406666,-0.2805768,-0.1612486,-0.1383476,0.9360211,41.2125,-0.7972206,-0.4581657,-0.3930958,-0.05080475,0.9949304,0.3049742,1.041862,0.02579632,-0.01834996,0.03656618,0.9988297,5.544398,0.5333662,-0.3794048,0.7560444,0.1177308,-0.06657042,0.02204845,0.137034,0.5320287,0.672595,-0.2291813,0.4604754,125.1644,0.5993524,0.7577062,-0.2581823,-0.3041191,-0.2084472,0.001746386,0.3687027,-0.2575063,-0.2222258,0.8991858,0.2752655,148.0443,-0.2678539,-0.2311557,0.9353188,0.1008047,0.005069554,-0.004974186,0.1010546,0.02489861,0.7940028,-0.4956914,0.3510411,138.898,0.02659085,0.8479673,-0.5293811,-0.06115011,1.115795,-0.0437148,1.118324,0.03721145,-0.07941014,-0.01714772,-0.9959997,349.7468,0.4164367,-0.888686,-0.1919017,True,True,False,False
1772968124138,0.139158,0.01002701,0.911743,0.2143018,0.9366436,-0.5072641,-0.6996319,0.2095693,0.4574704,125.552,-0.5704566,-0.7867885,0.2356764,-0.1209335,0.7339149,0.0543679,0.7457961,0.2717422,0.2495617,-0.8820881,0.2929088,145.9356,0.2842075,0.2610095,-0.9225509,-0.07917345,0.9811811,0.2894424,1.026042,-0.04956739,1.015616,0.312067,1.063634,-0.03456177,1.017348,0.3269811,1.069163,0.008565109,0.7638621,0.07720958,0.7678021,0.02334645,0.7390208,0.09647232,0.7456566,0.02255258,0.7199458,0.1060391,0.7280624,0.1006836,-0.07551543,0.05083994,0.1357368,0.139422,-0.06362422,0.02031016,0.1545932,0.1463575,-0.06645706,0.0004487485,0.1607397,-0.1138554,0.05698309,-0.04447863,0.1348646,-0.1265008,0.07869618,-0.02049393,0.1503846,-0.1246757,0.08891516,-0.001832413,0.1531447,0.1029667,-0.07352462,0.04637841,0.1347552,0.1411423,-0.06156415,0.01999954,0.155278,0.1433469,-0.06948329,0.0001669169,0.1592994,-0.1136814,0.05826432,-0.04346334,0.1349343,-0.1276821,0.07836584,-0.02026678,0.1511776,-0.1254778,0.08861016,-0.001502302,0.1536187,0.1172796,-0.07132613,0.03162752,0.1408624,-0.3174777,0.8802862,-0.0859907,0.3419206,140.0121,-0.3378398,0.936745,-0.09150589,-0.1187089,0.07040256,-0.02690877,0.1406144,-0.280912,-0.1614165,-0.1421161,0.9353268,41.43798,-0.7940192,-0.4562562,-0.4017019,-0.05105969,0.9946716,0.3051579,1.041681,0.02234377,-0.02530341,0.04627156,0.9983584,6.566967,0.3901046,-0.4417776,0.807865,0.117824,-0.06711637,0.02133177,0.1372667,0.5402088,0.6664637,-0.2199523,0.4643509,124.6636,0.6099564,0.7525125,-0.2483509,-0.3039927,-0.2084049,0.002542653,0.3685792,-0.2568075,-0.2219533,0.9031906,0.262742,149.5344,-0.2661587,-0.2300354,0.9360787,0.1010597,0.005328417,-0.005157858,0.1013314,0.02219191,0.7950848,-0.5014623,0.3404163,140.1955,0.02360152,0.8455877,-0.5333146,-0.06163083,1.115799,-0.04359945,1.11835,0.03710706,-0.07937788,-0.01753002,-0.9959995,349.7465,0.4152576,-0.8883018,-0.1961749,True,True,False,False
