Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772968291846,0,1,1,135,0.7732561,0.5611597,0.295254,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.7143955,0.5184439,0.2727791,0.3826833,135,0.7732562,0.5611597,0.295254
Trial Start,1772968295197,0,1,1,135,0.7732561,0.5611597,0.295254,1,-1,-0.04873336,1.001007,0.2997915,1.046071,0.0226595,-0.02109582,-0.01687733,0.9993782,4.041234,0.6426491,-0.5983014,-0.4786602,0.09873337,-0.001006722,0.0002084672,0.09873872,0.7082754,0.5079564,0.3058866,0.3830924,134.9493,0.7667723,0.5499089,0.33115
On Target,1772968299934,4.750488,1,1,135,0.7732561,0.5611597,0.295254,1,-1,0.05190782,1.000999,0.2998987,1.046247,0.6636807,0.5695244,0.2505298,0.4152166,130.9341,0.7295418,0.6260418,0.2753914,-0.001907818,-0.0009988546,0.0001013279,0.002155863,0.06811801,-0.004741861,-0.04539561,0.9966328,9.406476,0.8307589,-0.05783115,-0.5536393
Trial End,1772968300935,5.749938,1,2,135,0.7732561,0.5611597,0.295254,1,-1,0.04888279,1.001399,0.2994301,1.04635,0.6941657,0.5295103,0.2636635,0.4101641,131.5697,0.7611368,0.5805959,0.289101,0.001117215,-0.001399398,0.0005699098,0.00187917,0.03511835,0.009018435,-0.007409177,0.9993151,4.241421,0.9490207,0.2437097,-0.2002219
Trial Load,1772968300936,5.749938,1,2,135,-0.2385166,-0.9704891,-0.03550923,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.2203606,-0.896615,-0.03280625,0.3826833,135,-0.2385166,-0.9704891,-0.03550923
Trial Start,1772968301696,0,1,2,135,-0.2385166,-0.9704891,-0.03550923,1,-1,-0.05001777,0.9999673,0.299791,1.045137,-0.000717765,-0.0003418355,0.0006212795,0.9999995,0.1119058,-0.7349914,-0.3500396,0.6361902,0.1000178,3.266335E-05,0.0002090335,0.100018,-0.2195175,-0.8966442,-0.03247576,0.3831274,134.9449,-0.2376514,-0.9707141,-0.03515851
On Target,1772968306614,4.930305,1,2,135,-0.2385166,-0.9704891,-0.03550923,1,-1,0.05250768,1.006575,0.2820773,1.04667,-0.2182649,-0.8687916,-0.0821012,0.4368306,128.1963,-0.2426396,-0.9658136,-0.09126982,-0.002507675,-0.006574869,0.01792276,0.01925468,-0.05784526,-0.04826536,0.02134017,0.9969298,8.981739,-0.7387619,-0.6164137,0.2725427
Trial End,1772968307614,5.930623,1,3,135,-0.2385166,-0.9704891,-0.03550923,1,-1,0.05016929,1.004096,0.2922153,1.046955,-0.2209482,-0.8855467,-0.05831285,0.4044607,132.2853,-0.2415909,-0.9682812,-0.06376088,-0.0001692846,-0.004095793,0.007784724,0.008798074,-0.0278067,-0.01816021,0.01201242,0.9993762,4.047815,-0.7873662,-0.5142191,0.34014
Trial Load,1772968307614,5.930623,1,3,135,0.3087816,0.7659376,0.5639091,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.285277,0.7076341,0.5209841,0.3826834,135,0.3087816,0.7659376,0.5639091
Trial Start,1772968308516,0,1,3,135,0.3087816,0.7659376,0.5639091,1,-1,-0.05022994,1.004009,0.2995725,1.048953,-0.009128387,-0.003529259,0.01503273,0.9998391,2.055488,-0.508906,-0.1967556,0.838072,0.1002299,-0.004009485,0.0004275143,0.100311,0.276248,0.7179151,0.5096947,0.3853521,134.6688,0.2993684,0.7780004,0.5523532
On Target,1772968312141,3.638068,1,3,135,0.3087816,0.7659376,0.5639091,1,-1,0.04938459,1.003121,0.2953114,1.046852,-0.2514105,-0.7396145,-0.4841275,-0.3941873,226.4306,-0.2735607,-0.8047773,-0.5267809,0.0006154105,-0.00312078,0.004688621,0.005665788,-0.05898417,-0.003031711,0.01299063,-0.9981698,353.066,-0.9753644,-0.05013249,0.2148136
Off Target,1772968312460,3.957544,1,3,135,0.3087816,0.7659376,0.5639091,1,-1,0.04575131,1.002194,0.2938975,1.045401,-0.2482321,-0.7616717,-0.4620011,-0.3805157,224.7313,-0.2684245,-0.8236296,-0.4995824,0.004248686,-0.002194285,0.006102502,0.007752855,-0.08344916,0.01973994,0.02018748,-0.996112,349.8918,-0.9472539,0.2240734,0.2291536
On Target,1772968312654,4.152362,1,3,135,0.3087816,0.7659376,0.5639091,1,-1,0.0479413,1.002897,0.2958399,1.04672,-0.2564286,-0.7633485,-0.464414,-0.3685963,223.2581,-0.2758514,-0.8211672,-0.4995904,0.002058696,-0.002896905,0.004160106,0.005471451,-0.07607826,0.0323981,0.02199892,-0.9963325,350.1829,-0.8891218,0.3786345,0.2570999
Trial End,1772968313655,5.151782,1,4,135,0.3087816,0.7659376,0.5639091,1,-1,0.04823645,1.001358,0.299492,1.046298,-0.2806657,-0.7328409,-0.4902559,-0.3792363,224.5728,-0.303324,-0.7920036,-0.5298346,0.001763549,-0.001357794,0.0005079806,0.002282926,-0.03565793,0.01844912,0.0004907628,-0.9991936,355.3977,-0.8880892,0.4594899,0.01222284
Trial Load,1772968313656,5.151782,1,4,135,-0.9080611,-0.174758,0.3806371,0.9999999,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.8389391,-0.1614553,0.3516629,0.3826835,135,-0.9080611,-0.174758,0.3806372
Trial Start,1772968314460,0,1,4,135,-0.9080611,-0.174758,0.3806371,0.9999999,-1,-0.04782026,1.002453,0.2975707,1.046779,0.02301028,-0.021367,-0.0179472,0.9993457,4.145464,0.6362009,-0.5907666,-0.4962139,0.09782027,-0.00245285,0.002429336,0.09788117,-0.8576075,-0.1462082,0.3366601,0.3602673,137.7668,-0.9193422,-0.1567329,0.3608946
