Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.7732561,0.5611597,0.295254,1,5.749938,False,0.001117215,-0.001399398,0.0005699098,0.00187917,0.03511835,0.009018435,-0.007409177,0.9993151,4.241421,0.9490207,0.2437097,-0.2002219,0.5146534,0.7000864,0.7559122,0.776593,670.6793,0,0,0.03977896,0.07116079,0.04198094,0.05942981,27.36158,0,0,0.4928861,349.2372,0.08867347,30.63876
1,3,135,-0.2385166,-0.9704891,-0.03550923,1,5.930623,False,-0.0001692846,-0.004095793,0.007784724,0.008798074,-0.0278067,-0.01816021,0.01201242,0.9993762,4.047815,-0.7873662,-0.5142191,0.34014,0.6485269,0.8152038,0.8357469,1.001157,823.3311,0,0,0.03138829,0.05299762,0.04111017,0.05634566,24.54661,0,0,0.5427716,530.9109,0.06674781,19.37953
1,4,135,0.3087816,0.7659376,0.5639091,1,5.151782,False,0.001763549,-0.001357794,0.0005079806,0.002282926,-0.03565793,0.01844912,0.0004907628,-0.9991936,355.3977,-0.8880892,0.4594899,0.01222284,0.4768548,0.6102301,0.7581325,0.6797932,581.9422,0,0,0.03763837,0.08843569,0.03889576,0.05824162,29.98927,0,0,0.3518945,318.0992,0.04747408,14.94457
1,5,135,-0.9080611,-0.174758,0.3806371,0.9999999,7.402597,False,0.001487274,-0.002460361,0.005210221,0.005950778,-0.0142729,4.759995E-05,-0.0134979,0.9998071,2.251055,-0.72664,0.002423336,-0.6871846,1.113511,1.229672,1.083229,1.480884,1111.064,0,0,0.02659773,0.06893628,0.03742868,0.05999559,20.181,0,0,0.8333443,508.7352,0.07087499,25.03975
1,6,135,-0.5573627,-0.7390943,0.3782677,1,5.62429,False,-0.002354,0.001055956,-0.002835155,0.003833335,0.01206004,0.03832399,0.005479491,-0.9991776,355.3524,0.2974322,0.94517,0.1351386,0.573718,0.8010353,0.7245679,1.121461,688.1245,0,0,0.0235041,0.06932001,0.03560808,0.04677545,16.40848,0,0,0.5176395,339.294,0.06978472,21.81947
1,7,135,0.7026715,-0.5214725,0.4840653,1,7.541097,False,-0.0007969849,0.001078784,-0.002028018,0.002431423,-0.02090935,-0.02315884,0.01170856,0.9994446,3.819347,-0.6274548,-0.6949583,0.3513544,0.7515677,0.9965656,1.011541,1.311027,1028.91,0,0,0.1087652,0.1204314,0.09180438,0.1555821,79.60218,0,0,0.8073373,666.8354,0.3728372,82.42477
1,8,135,-0.2414989,0.5730584,-0.7831235,1,4.527347,False,0.0002558976,0.0002958775,0.0006439686,0.0007534737,-0.002390635,0.03588603,0.02619397,-0.9990097,354.8999,-0.0537311,0.8065621,0.5887268,0.4048602,0.7880465,0.7742699,0.8576298,549.0048,0,0,0.0159342,0.01151797,0.01690692,0.0399398,14.78397,0,0,0.4151009,236.1324,0.05893832,18.38917
1,9,135,-0.5713639,-0.7977765,-0.192603,1,7.111329,False,0.001233939,-0.00368917,0.004977107,0.006316975,-0.009142911,-0.01015572,0.04005871,0.999104,4.851354,-0.2160233,-0.2399534,0.9464834,0.8271003,1.081108,1.113875,1.314406,967.7733,0,0,0.02797887,0.02569336,0.03659619,0.06551103,28.60865,0,0,0.8990273,574.9442,0.1356765,39.17296
1,10,135,0.4095721,0.9061534,0.1055304,0.9999999,6.429061,False,-0.0009421669,-2.002716E-05,-0.002077997,0.002281699,0.02375787,-0.003552683,0.00318484,0.9997064,2.776934,0.9804543,-0.1466143,0.1314339,0.6392553,0.8467671,0.8684546,1.033306,813.7238,0,0,0.0345428,0.01473329,0.01876976,0.05011567,15.72912,0,0,0.7096958,474.6406,0.08088347,25.09549
1,11,135,-0.6196162,-0.2260674,0.7516444,1,8.012289,False,0.0006007142,-0.0002706051,0.00617674,0.006211779,-0.05372987,-0.01413384,0.02711691,0.9980872,7.088732,-0.8691117,-0.228623,0.4386316,0.8542841,1.092808,1.143574,1.649014,1016.124,0,0,0.03990533,0.02434287,0.03838737,0.07577687,28.81589,0,0,0.7079391,486.3403,0.1327208,46.22387
2,2,135,-0.7803633,0.1840652,0.5976229,1,5.08323,False,0.0008641221,0.001097202,0.001184106,0.001831029,0.03059996,-0.001471648,0.01410911,0.9994311,3.865391,0.9073138,-0.04363555,0.4183466,0.4356268,0.4202807,0.5080682,0.5208929,604.6211,0,0,0.02386411,0.01655658,0.01977053,0.04543518,15.41292,0,0,0.4389798,352.1754,0.0405124,14.48616
2,3,135,-0.4104363,0.3948695,-0.8219612,1,9.582173,False,-0.002380934,0.0009723902,0.0003800392,0.002599773,-0.009154379,0.02988224,-0.003558375,-0.9995053,356.3949,-0.291028,0.94999,-0.1131247,0.9598473,1.302295,1.630367,1.436615,976.96,0,0,0.0415812,0.02311504,0.02686864,0.07429513,22.85032,0,0,0.5730711,482.9038,0.09638212,33.1672
2,4,135,-0.3453342,-0.9236507,-0.1661736,1,5.818833,False,0.0011479,-0.001179457,0.005068481,0.005329005,-0.03013452,-0.01147488,0.0002499662,0.9994801,3.695807,-0.9345202,-0.3558546,0.007751856,0.4572024,0.7553468,0.8368072,1.121007,895.533,0,0,0.03618585,0.02205632,0.0279527,0.05383653,18.27917,0,0,0.5028849,511.1042,0.1150996,36.258
2,5,135,-0.5567722,-0.14075,-0.8186538,1,11.91587,False,0.001816478,-0.002578378,0.008619159,0.009178101,-0.01418714,0.01551531,0.02504769,0.9994652,3.747759,-0.433866,0.4744838,0.7659995,1.658374,1.801439,1.909826,2.965611,1929.859,0,0,0.0529026,0.04418907,0.04570189,0.08837741,20.78297,0,0,1.320728,874.995,0.224141,89.43232
