Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1772968301696,0.0141135,0.02634262,0.9220095,0.2338277,0.9515623,-0.4586041,-0.2645744,-0.2837059,0.7994959,73.83601,-0.7634857,-0.4404643,-0.4723145,-0.05987798,0.9797343,0.3042783,1.027643,-0.05226168,1.00875,0.3127336,1.057407,-0.03836748,1.007451,0.3272334,1.059958,-0.02658519,-0.08416855,0.1049651,0.1371451,-0.02113994,-0.07048624,0.1357017,0.1543702,0.0006140418,-0.06974788,0.1389392,0.1554646,0,0,0,0,0,0,0,0,0,1,0,0,-0.1005028,0.7590227,0.134297,0.7773365,0.05709536,-0.5144665,-0.1319115,-0.8453779,295.4249,0.1068864,-0.9631162,-0.2469473,0.007199198,0.7093009,0.1582361,0.7267725,0.02961515,0.7331597,0.1681516,0.7527783,0.01780248,0.7247896,0.1819431,0.7474893,0.01923427,-0.08428466,0.1001911,0.1323333,0.02460925,-0.06575479,0.1322355,0.1497182,0.004130324,-0.07029849,0.1260679,0.1444024,0,0,0,0,0,0,0,0,0,1,0,0,-0.05001777,0.9999673,0.299791,1.045137,-0.000717765,-0.0003418355,0.0006212795,0.9999995,0.1119058,-0.7349914,-0.3500396,0.6361902,0.1000178,3.266335E-05,0.0002090335,0.100018,-0.2195175,-0.8966442,-0.03247576,0.3831274,134.9449,-0.2376514,-0.9707141,-0.03515851,-0.01471151,1.11324,-0.01242229,1.113407,0.02815091,-0.01209113,-0.004123371,-0.999522,356.4569,0.9106079,-0.3911164,-0.1333802,False
1772968301716,0.0337873,0.0265175,0.9220374,0.2336645,0.9515541,-0.463546,-0.2677129,-0.2859487,0.7947883,74.72947,-0.7638096,-0.4411249,-0.471173,-0.05929175,0.9812928,0.3031461,1.028761,-0.05238425,1.005504,0.3102919,1.053596,-0.03930611,1.001729,0.3229249,1.053227,-0.02593379,-0.08393773,0.1051571,0.137026,-0.0207646,-0.07242292,0.1308431,0.150984,-0.0004593938,-0.07211612,0.1307717,0.1493392,0,0,0,0,0,0,0,0,0,1,0,0,-0.1004846,0.7589372,0.1342687,0.7772458,0.05714371,-0.5145685,-0.1319412,-0.8453079,295.4099,0.1069547,-0.9631074,-0.2469516,0.00722044,0.7092166,0.1581878,0.7266799,0.02963713,0.73309,0.1680893,0.7526974,0.01781967,0.7247074,0.1818776,0.747394,0.01922734,-0.08429515,0.1001811,0.1323315,0.02461124,-0.06575396,0.1322259,0.1497097,0.00413221,-0.07030824,0.1260435,0.1443859,0,0,0,0,0,0,0,0,0,1,0,0,-0.04981267,1.001288,0.2981043,1.045909,0.007127673,0.003716823,0.002375855,-0.9999649,359.0398,0.850619,0.4435669,0.2835354,0.09981267,-0.001288414,0.001895726,0.09983899,0.2196335,0.8948715,0.02632416,-0.3876511,225.6169,0.2382643,0.9707805,0.02855715,-0.01491565,1.113234,-0.01233558,1.113402,0.02832903,-0.01151877,-0.004399436,-0.9995226,356.4591,0.9169418,-0.3728346,-0.142399,False
1772968301723,0.0416224,0.02667876,0.9220707,0.2335242,0.9515564,-0.4699779,-0.2717295,-0.288862,0.7885699,75.89586,-0.76426,-0.4418761,-0.4697363,-0.05838159,0.9833005,0.3018914,1.030256,-0.05224244,1.003455,0.3073228,1.050761,-0.03954435,0.998888,0.318748,1.049258,-0.02482054,-0.08360638,0.1054408,0.1368351,-0.0204724,-0.07367813,0.1266207,0.1479202,-0.001208632,-0.07305931,0.1250841,0.1448625,0,0,0,0,0,0,0,0,0,1,0,0,-0.1004654,0.7588466,0.1342362,0.7771492,0.05720977,-0.5146685,-0.1319884,-0.8452352,295.3943,0.1070553,-0.9630873,-0.2469868,0.007245272,0.7091326,0.1581351,0.7265867,0.02966091,0.7330222,0.1680233,0.7526175,0.01783662,0.7246259,0.1818072,0.7472983,0.01922151,-0.08430588,0.1001708,0.1323296,0.02461328,-0.06575283,0.132216,0.1497008,0.004134218,-0.07031772,0.1260155,0.1443661,0,0,0,0,0,0,0,0,0,1,0,0,-0.04957242,1.002986,0.2959578,1.046914,0.01549481,0.008076721,0.006329269,-0.9998273,357.8705,0.8338625,0.4346536,0.3406134,0.09957242,-0.002986073,0.004042178,0.09969916,0.2198029,0.892483,0.01826539,-0.393481,226.3426,0.2390896,0.9707943,0.0198681,-0.01509743,1.113244,-0.0122163,1.113413,0.02812743,-0.0107653,-0.004803395,-0.9995348,356.5047,0.9222996,-0.3529945,-0.1575035,False
1772968301739,0.0561751,0.02684154,0.9219761,0.233372,0.951432,-0.4746049,-0.2737566,-0.2899485,0.7846894,76.61607,-0.7656288,-0.4416219,-0.4677425,-0.05782309,0.9843503,0.3009863,1.030962,-0.05200604,1.002798,0.3057074,1.04965,-0.03950929,0.9966104,0.3159877,1.046251,-0.02433694,-0.08350797,0.1054723,0.1367124,-0.02029748,-0.0742932,0.1247809,0.1466347,-0.001733717,-0.07369282,0.1210495,0.1417273,0,0,0,0,0,0,0,0,0,1,0,0,-0.1005123,0.758799,0.134202,0.7771028,0.05722512,-0.5146636,-0.1320844,-0.845222,295.3915,0.1070799,-0.9630408,-0.247157,0.007203691,0.7090947,0.1580824,0.7265378,0.02962933,0.7330152,0.1679865,0.7526013,0.01777612,0.7245858,0.1817526,0.7472447,0.01923129,-0.08431376,0.1001579,0.1323263,0.02462082,-0.06573553,0.1322308,0.1497075,0.004138565,-0.07032324,0.1259853,0.1443426,0,0,0,0,0,0,0,0,0,1,0,0,-0.04926376,1.003952,0.2945885,1.047439,0.02126296,0.009904431,0.00859296,-0.999688,357.1373,0.8512394,0.3965132,0.3440098,0.09926376,-0.003951788,0.005411536,0.09948967,0.2195345,0.891349,0.01262549,-0.3964118,226.7081,0.2391253,0.9708914,0.01375217,-0.01530032,1.113197,-0.01210777,1.113368,0.02833265,-0.01019436,-0.005081896,-0.9995337,356.5002,0.9278405,-0.333846,-0.1664224,False
1772968301751,0.0697353,0.02700166,0.9218724,0.2332304,0.9513013,-0.4783924,-0.275335,-0.2907948,0.7815176,77.20052,-0.766798,-0.4413246,-0.4661046,-0.05706488,0.9851428,0.3004387,1.031516,-0.05169864,1.001215,0.304166,1.047675,-0.03923009,0.9941434,0.3133126,1.043084,-0.02358718,-0.08336812,0.1055093,0.136524,-0.02007161,-0.07499165,0.1221653,0.1447446,-0.002245303,-0.07396565,0.1169775,0.1384185,0,0,0,0,0,0,0,0,0,1,0,0,-0.1005624,0.7587499,0.1341643,0.7770548,0.05724821,-0.5146436,-0.132201,-0.8452145,295.3899,0.1071207,-0.9629818,-0.2473695,0.007160753,0.7090602,0.158026,0.7264915,0.0295966,0.7330151,0.1679505,0.7525918,0.01770978,0.7245489,0.1816959,0.7471935,0.0192442,-0.08432136,0.1001444,0.1323228,0.02462922,-0.06571564,0.1322488,0.149716,0.004143445,-0.07032779,0.1259519,0.1443158,0,0,0,0,0,0,0,0,0,1,0,0,-0.04896648,1.004704,0.2934573,1.047829,0.0259709,0.01131473,0.01044707,-0.9995441,356.5396,0.8601462,0.3747393,0.3460028,0.09896648,-0.004703879,0.006542712,0.099294,0.2193173,0.8904262,0.008000794,-0.3987195,226.9963,0.2391492,0.9709437,0.008724272,-0.01549272,1.113173,-0.01200467,1.113345,0.02804378,-0.009789431,-0.005500942,-0.9995437,356.538,0.9283744,-0.3240738,-0.1821057,False
1772968301765,0.0836308,0.0271502,0.9217652,0.2331074,0.9511715,-0.4815938,-0.2766054,-0.2914765,0.7788443,77.69024,-0.7678261,-0.441004,-0.4647137,-0.05616428,0.9857565,0.3001564,1.031971,-0.05127712,0.9990085,0.3026218,1.045097,-0.0387361,0.991509,0.3106446,1.039755,-0.02263727,-0.0831903,0.105543,0.1362806,-0.01981906,-0.07562088,0.1189812,0.1423652,-0.002752481,-0.07391073,0.1128092,0.1348936,0,0,0,0,0,0,0,0,0,1,0,0,-0.1006158,0.7586995,0.1341232,0.7770055,0.05727882,-0.5146088,-0.1323374,-0.8452123,295.3894,0.1071773,-0.9629102,-0.2476231,0.007116482,0.7090291,0.1579661,0.7264477,0.0295628,0.7330216,0.1679155,0.752589,0.01763781,0.7245151,0.1816375,0.7471448,0.01926004,-0.0843287,0.1001301,0.132319,0.02463847,-0.06569331,0.1322698,0.1497263,0.004148663,-0.07033162,0.1259155,0.144286,0,0,0,0,0,0,0,0,0,1,0,0,-0.04868888,1.005311,0.2925044,1.048132,0.02993769,0.01243822,0.01201431,-0.9994022,356.0376,0.8659631,0.359782,0.3475202,0.09868889,-0.005311131,0.007495642,0.09911554,0.2191364,0.8896538,0.004087273,-0.4005981,227.2312,0.2391656,0.9709687,0.004460853,-0.01565138,1.11311,-0.01192793,1.113284,0.02782133,-0.009405801,-0.005736581,-0.9995522,356.5707,0.9297977,-0.3143448,-0.1917183,False
1772968301780,0.0974262,0.02738743,0.9213724,0.232735,0.9507065,-0.4845465,-0.2795749,-0.2932578,0.7752758,78.33992,-0.7671452,-0.4426295,-0.4642926,-0.05590685,0.9862136,0.2987665,1.03199,-0.05113719,0.9993333,0.3009622,1.044921,-0.03816027,0.9898071,0.3075448,1.037188,-0.0223874,-0.0830895,0.1055099,0.1361521,-0.01979754,-0.07557277,0.1187606,0.1421522,-0.003185742,-0.07323706,0.1098002,0.1320224,0,0,0,0,0,0,0,0,0,1,0,0,-0.1006141,0.7587152,0.1340161,0.777002,0.05730769,-0.5146022,-0.1325129,-0.8451868,295.3839,0.1072232,-0.9628253,-0.2479329,0.00712686,0.7090648,0.157832,0.7264534,0.0295909,0.7330993,0.1678008,0.7526402,0.01764257,0.724564,0.1815112,0.7471616,0.0192706,-0.08434027,0.1001099,0.1323126,0.02465136,-0.06567436,0.1322912,0.1497391,0.00415512,-0.07032915,0.1259007,0.1442721,0,0,0,0,0,0,0,0,0,1,0,0,-0.04853466,1.00571,0.2908944,1.048059,0.03430836,0.01573167,0.01387151,-0.9991912,355.391,0.8532161,0.3912316,0.3449713,0.09853466,-0.005709887,0.009105623,0.09911909,0.2189744,0.8879384,0.0001765705,-0.4044944,227.7189,0.2394365,0.970912,0.0001930702,-0.01578488,1.113007,-0.01191222,1.113183,0.02706831,-0.009316875,-0.005941408,-0.9995725,356.6492,0.9258304,-0.3186695,-0.2032168,False
1772968301794,0.1114663,0.02763523,0.9209117,0.2323353,0.9501693,-0.4873612,-0.2823552,-0.2949273,0.7718631,78.95702,-0.7665458,-0.4441022,-0.4638762,-0.05555422,0.9865535,0.2974108,1.031905,-0.05090407,0.9993179,0.2992292,1.044397,-0.03746597,0.987606,0.3043464,1.034116,-0.0220896,-0.082945,0.1054692,0.1359837,-0.01977504,-0.07549608,0.1182673,0.1416964,-0.003625863,-0.07253474,0.1063633,0.1287928,0,0,0,0,0,0,0,0,0,1,0,0,-0.100612,0.7587335,0.1339024,0.7770001,0.05734253,-0.5145866,-0.1327093,-0.8451632,295.3788,0.1072809,-0.9627288,-0.2482828,0.007139117,0.709107,0.1576905,0.726464,0.029622,0.7331869,0.1676815,0.7527002,0.01764848,0.7246212,0.1813796,0.7471853,0.01928294,-0.08435217,0.1000885,0.1323058,0.02466544,-0.06565385,0.1323152,0.1497535,0.004162094,-0.07032523,0.1258862,0.1442578,0,0,0,0,0,0,0,0,0,1,0,0,-0.04834911,1.005995,0.2893159,1.047887,0.03847328,0.01882059,0.01564484,-0.9989598,354.7731,0.8437591,0.4127552,0.3431077,0.09834911,-0.005994558,0.0106841,0.0991092,0.2188182,0.8862947,-0.003563296,-0.4081514,228.1775,0.239692,0.9708411,-0.00390321,-0.01589546,1.11288,-0.01189752,1.113057,0.02658785,-0.008913849,-0.005991308,-0.9995888,356.7136,0.9272192,-0.3108597,-0.2089396,False
1772968301808,0.1254372,0.02796198,0.9199284,0.2317432,0.9490812,-0.4898161,-0.2836816,-0.2961389,0.7693548,79.40804,-0.7667493,-0.44407,-0.4635705,-0.05556004,0.9864067,0.2955195,1.031221,-0.05044242,0.9989427,0.2978176,1.043612,-0.03670851,0.9866678,0.302334,1.032602,-0.02286191,-0.08278109,0.1054251,0.1359773,-0.01975894,-0.0754215,0.1181435,0.1415511,-0.003817386,-0.07192466,0.1053471,0.1276156,0,0,0,0,0,0,0,0,0,1,0,0,-0.1005943,0.7586505,0.1339156,0.776919,0.05733627,-0.5144899,-0.1328512,-0.8452002,295.3868,0.1072809,-0.9626532,-0.2485755,0.007165432,0.7090352,0.157684,0.7263927,0.02963838,0.7331339,0.1677067,0.7526548,0.01766828,0.724557,0.1814044,0.7471296,0.01931106,-0.08436406,0.1000719,0.132305,0.02467281,-0.06564788,0.132312,0.1497493,0.004167085,-0.07032639,0.1258869,0.144259,0,0,0,0,0,0,0,0,0,1,0,0,-0.04790924,1.005631,0.2879403,1.047138,0.04164359,0.02040073,0.01736661,-0.9987733,354.3235,0.8409918,0.4119926,0.3507186,0.09790924,-0.005631089,0.01205972,0.09880974,0.2190558,0.8852473,-0.006722654,-0.4102518,228.4413,0.2402001,0.9706955,-0.007371555,-0.01601251,1.112755,-0.01187813,1.112933,0.02598646,-0.008803032,-0.006266711,-0.9996039,356.7745,0.9233385,-0.3127851,-0.2226658,False
1772968301822,0.1392102,0.02826162,0.9189152,0.2311785,0.9479701,-0.4920638,-0.2848721,-0.2972329,0.7670553,79.81963,-0.766955,-0.4440157,-0.4632819,-0.05537648,0.986096,0.2939462,1.030464,-0.04996624,0.9983329,0.2964291,1.04261,-0.0358571,0.9850658,0.3001013,1.030389,-0.02328393,-0.08262665,0.1053727,0.1359143,-0.01974279,-0.07532324,0.1178446,0.141247,-0.004066934,-0.07123271,0.1036258,0.1258132,0,0,0,0,0,0,0,0,0,1,0,0,-0.1005752,0.7585635,0.1339312,0.7768343,0.05732973,-0.5143758,-0.1330032,-0.8452461,295.3966,0.1072833,-0.9625707,-0.2488939,0.007194147,0.708961,0.15768,0.7263197,0.0296541,0.7330773,0.167738,0.7526073,0.01768993,0.7244909,0.1814362,0.7470737,0.01934277,-0.0843762,0.1000548,0.1323044,0.02468017,-0.06564268,0.132307,0.1497438,0.004172225,-0.07032714,0.1258898,0.1442621,0,0,0,0,0,0,0,0,0,1,0,0,-0.04749903,1.005181,0.2866591,1.046335,0.04454482,0.02182185,0.0189424,-0.9985894,353.9128,0.8389404,0.4109846,0.3567541,0.09749903,-0.005180597,0.01334089,0.09854379,0.2192713,0.8842866,-0.009619842,-0.4121467,228.6795,0.240662,0.9705516,-0.01055829,-0.01609622,1.11266,-0.0118564,1.11284,0.02583564,-0.008966887,-0.00639933,-0.9996055,356.7813,0.91992,-0.3192806,-0.2278585,False
