Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772968532534,0,1,1,135,0.5826411,-0.564476,-0.5847189,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.5382903,-0.5215078,-0.5402099,0.3826834,135,0.5826412,-0.564476,-0.584719
Grab,1772968536148,2.71832,1,1,135,0.5826411,-0.564476,-0.5847189,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.5382903,-0.5215078,-0.5402099,0.3826834,135,0.5826412,-0.564476,-0.584719
Trial Start,1772968536170,0,1,1,135,0.5826411,-0.564476,-0.5847189,1,-1,-0.05,1,0.3,1.045227,0.01266707,-0.01553205,-0.008987624,0.9997587,2.51731,0.5766704,-0.7070993,-0.4091631,0.09999999,0,0,0.09999999,0.5370163,-0.5134332,-0.5348853,0.4023649,132.5478,0.5865958,-0.5608353,-0.584268
Release,1772968537271,1.110989,1,1,135,0.5826411,-0.564476,-0.5847189,1,0,-0.02096574,1.004771,0.269563,1.040514,0.4195219,-0.366956,-0.09956465,0.8242764,68.9696,0.7409592,-0.6481172,-0.175851,0.07096574,-0.004770875,0.03043702,0.07736478,0.4294654,-0.1164034,-0.4284357,0.7864177,76.29603,0.6952707,-0.188448,-0.6936037
Grab,1772968538216,2.060669,1,1,135,0.5826411,-0.564476,-0.5847189,1,0,-0.02096574,1.004771,0.269563,1.040514,0.4195219,-0.366956,-0.09956465,0.8242764,68.9696,0.7409592,-0.6481172,-0.175851,0.07096574,-0.004770875,0.03043702,0.07736478,0.4294654,-0.1164034,-0.4284357,0.7864177,76.29603,0.6952707,-0.188448,-0.6936037
On Target,1772968539148,3.001178,1,1,135,0.5826411,-0.564476,-0.5847189,1,-1,0.03833211,1.00477,0.2861333,1.045421,0.4970102,-0.582744,-0.5430377,0.3442389,139.7293,0.5293639,-0.6206786,-0.5783876,0.01166789,-0.004769921,0.01386675,0.01873976,0.02670856,0.01966111,0.07634097,0.9965302,9.548925,0.3208863,0.2362157,0.9171882
Off Target,1772968539508,3.362131,1,1,135,0.5826411,-0.564476,-0.5847189,1,-1,0.0519009,0.9997991,0.2980087,1.044558,0.4923419,-0.5874277,-0.5050783,0.3967669,133.2476,0.5363673,-0.6399557,-0.5502426,-0.001900904,0.0002008677,0.001991361,0.002760309,0.07909664,0.01197108,0.03839418,0.9960554,10.18147,0.8913977,0.1349109,0.432692
On Target,1772968539619,3.473124,1,1,135,0.5826411,-0.564476,-0.5847189,1,-1,0.05116763,0.9987339,0.2999369,1.044055,0.5031087,-0.5854788,-0.4964154,0.3970744,133.2092,0.5481762,-0.6379249,-0.5408834,-0.001167629,0.001266062,6.309152E-05,0.001723442,0.07860685,0.02154437,0.02824886,0.9962725,9.897174,0.9112588,0.2497555,0.3274781
Clutch Start,1772968539717,3.556673,1,1,135,0.5826411,-0.564476,-0.5847189,1,0,0.05088779,0.9977993,0.3022922,1.043826,0.5152106,-0.5791821,-0.4955298,0.3918627,133.8591,0.5599971,-0.6295295,-0.5386055,-0.0008877851,0.002200663,-0.002292156,0.003299251,0.06823051,0.02886695,0.02102469,0.9970303,8.833623,0.8859773,0.3748391,0.2730068
Trial End,1772968540607,4.459325,1,2,135,0.5826411,-0.564476,-0.5847189,1,-1,0.05337561,1.001836,0.3015807,1.047604,0.5301878,-0.5684206,-0.513343,0.3637004,137.3448,0.5691666,-0.6102102,-0.5510834,-0.003375605,-0.001835585,-0.001580656,0.004154822,0.03223634,0.03793772,0.02945152,0.9983258,6.631876,0.5573196,0.6558882,0.509174
