Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.5826411,-0.564476,-0.5847189,1,4.459325,False,-0.003375605,-0.001835585,-0.001580656,0.004154822,0.03223634,0.03793772,0.02945152,0.9983258,6.631876,0.5573196,0.6558882,0.509174,0.08153991,0.06870329,0.1228684,0.1530421,159.1356,0.0818636,301.2314,0,0,0,0,0,0,0,0.1982942,369.6695,0.1694306,41.21403
1,3,135,0.2935439,-0.9034523,0.3124194,1,4.0272,False,0.001191761,0.002068877,0.002697885,0.003602656,0.0204281,-0.04844951,-0.0157422,0.9984927,6.292571,0.3721947,-0.8827378,-0.286819,0.2385599,0.1997572,0.1584437,0.2542794,146.805,0.1973302,559.6259,0,0,0,0,0,0,0,0.294906,596.4847,0.038016,11.81063
1,4,135,0.719878,-0.5657056,-0.4021851,1,3.555531,False,-0.001901072,0.000353694,0.0005332232,0.002005866,-0.01936474,-0.01537665,-0.009165608,0.9996523,3.022063,-0.7343625,-0.5831235,-0.3475844,0.1039632,0.07291268,0.1234117,0.1581756,77.47071,0.07738602,270.578,0,0,0,0,0,0,0,0.1825307,308.8565,0.026545,8.039134
1,5,135,0.2308168,0.6497056,0.724297,1,4.151754,False,-0.002162639,-0.001696706,0.003900468,0.004771737,0.007097254,0.01581901,0.04478274,0.9988463,5.504999,0.147792,0.3294123,0.932548,0.08631548,0.1150405,0.1311108,0.1745213,112.7747,0.1185908,271.709,0,0,0,0,0,0,0,0.2536529,291.1259,0.03001359,9.122789
1,6,135,-0.9613187,0.1987512,0.190694,0.9999999,4.874608,False,0.000622388,-0.001924038,-0.001226991,0.002365332,0.01562003,-0.02775673,-0.03221106,-0.9989736,354.8074,0.3448247,-0.6127523,-0.7110851,0.109852,0.1707632,0.2458169,0.2480909,245.6982,0.1784369,540.6488,0,0,0,0,0,0,0,0.2532443,569.9745,0.05074641,15.31185
1,7,135,-0.1703169,-0.9495704,-0.2632645,1,4.916553,False,0.001785208,0.0006172061,0.006665677,0.006928142,-0.07091026,-0.02598366,-0.02153845,0.9969117,9.008392,-0.9029459,-0.3308666,-0.2742629,0.08872584,0.1198785,0.1496346,0.1493323,176.4181,0.111177,406.4908,0,0,0,0,0,0,0,0.2485853,429.7219,0.03935936,11.35845
1,8,135,0.9522936,0.2780191,0.1258665,1,4.374473,False,0.0009117536,-0.002413273,0.003168255,0.004085709,0.05486622,-0.01952044,-0.0184322,0.9981328,7.003815,0.8982386,-0.3195776,-0.3017616,0.1105706,0.0784992,0.1070195,0.1924739,140.6214,0.1140509,288.8011,0,0,0,0,0,0,0,0.2151113,342.3951,0.0535365,13.25351
1,9,135,0.9129151,-0.05331769,-0.404652,0.9999999,2.847033,False,-0.001344878,0.0004017949,0.003733575,0.003988699,-0.03265309,-0.005377453,-0.001292203,0.9994515,3.795497,-0.9860233,-0.1623826,-0.03902056,0.05582687,0.07621861,0.1080087,0.1485859,96.87211,0.06461979,197.373,0,0,0,0,0,0,0,0.1930181,245.544,0.02017487,4.785342
1,10,135,-0.2689752,-0.4483817,-0.852412,1,6.680106,False,-0.0002258085,-0.002939343,0.001424491,0.003274127,0.01730028,-0.06059981,0.005917454,0.9979947,7.258178,0.2733172,-0.9573818,0.09348648,0.1927375,0.2391567,0.2652188,0.2722057,207.6181,0.234799,593.1202,0,0,0,0,0,0,0,0.3235399,610.7553,0.05813608,17.68658
1,11,135,0.6189074,-0.4733729,-0.6267948,1,5.290876,False,0.0007273369,-0.002246857,0.01048368,0.01074639,-0.07922949,-0.01508803,-0.005672982,0.9967261,9.275113,-0.9799298,-0.1866124,-0.07016484,0.1111165,0.09879079,0.1218596,0.1590177,123.1359,0.1395181,323.8773,0,0,0,0,0,0,0,0.2405636,348.5231,0.05944559,13.94953
