Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Thumb Tip Euro Position X,Right Thumb Tip Euro Position Y,Right Thumb Tip Euro Position Z,Right Thumb Tip Euro Position Magnitude,Right Index Tip Euro Position X,Right Index Tip Euro Position Y,Right Index Tip Euro Position Z,Right Index Tip Euro Position Magnitude,Right Middle Tip Euro Position X,Right Middle Tip Euro Position Y,Right Middle Tip Euro Position Z,Right Middle Tip Euro Position Magnitude,Right Triangle Local Position X,Right Triangle Local Position Y,Right Triangle Local Position Z,Right Triangle Local Position Magnitude,Right Triangle Local Rotation X,Right Triangle Local Rotation Y,Right Triangle Local Rotation Z,Right Triangle Local Rotation W,Right Triangle Local Rotation Angle,Right Triangle Local Rotation Axis X,Right Triangle Local Rotation Axis Y,Right Triangle Local Rotation Axis Z,Right Triangle Area,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Right Angle Scale Factor,Right Is Grabbed,Right Is Rotating,Right Is Clutching,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Thumb Tip Euro Position X,Left Thumb Tip Euro Position Y,Left Thumb Tip Euro Position Z,Left Thumb Tip Euro Position Magnitude,Left Index Tip Euro Position X,Left Index Tip Euro Position Y,Left Index Tip Euro Position Z,Left Index Tip Euro Position Magnitude,Left Middle Tip Euro Position X,Left Middle Tip Euro Position Y,Left Middle Tip Euro Position Z,Left Middle Tip Euro Position Magnitude,Left Triangle Local Position X,Left Triangle Local Position Y,Left Triangle Local Position Z,Left Triangle Local Position Magnitude,Left Triangle Local Rotation X,Left Triangle Local Rotation Y,Left Triangle Local Rotation Z,Left Triangle Local Rotation W,Left Triangle Local Rotation Angle,Left Triangle Local Rotation Axis X,Left Triangle Local Rotation Axis Y,Left Triangle Local Rotation Axis Z,Left Triangle Area,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Left Angle Scale Factor,Left Is Grabbed,Left Is Rotating,Left Is Clutching,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1772968541611,0.0177621,0.02010097,0.9140882,0.2389298,0.9450126,-0.4988778,-0.2758436,-0.349025,0.7437828,83.89069,-0.7463523,-0.4126792,-0.5221631,-0.06623852,0.9961061,0.28181,1.03732,-0.04401455,1.017132,0.3008398,1.061603,-0.03530535,1.003098,0.3085955,1.050088,-0.04335463,-0.07757927,0.1061049,0.1384067,-0.0184957,-0.0637631,0.1333707,0.1489818,-0.002564084,-0.06482681,0.1214045,0.1376522,-0.05110861,-0.07548214,0.1045026,0.1386739,-0.01863996,-0.06177492,0.1370263,0.1514588,-0.002030897,-0.06451363,0.1253477,0.14099,-0.03534843,-0.07104134,0.1138639,0.1387854,-0.1585881,0.5323454,-0.05787322,0.8295233,67.90039,-0.2839678,0.9532174,-0.1036278,4.874728,-0.01564823,-0.07028742,0.1042482,0.1266999,0.5165387,0.2943665,0.3665296,0.7156761,88.60274,0.7395687,0.4214675,0.524789,1.299516,True,True,False,-0.009787098,0.7784439,0.1524958,0.7933005,-0.06202995,-0.674022,-0.1002859,-0.7292389,273.6453,-0.09065272,-0.9850392,-0.1465613,0.1039474,0.763035,0.1009222,0.7766677,0.1546858,0.7631271,0.1331277,0.7899454,0.1611915,0.7558349,0.1577561,0.7887687,0.05972939,-0.03689886,0.1183354,0.137595,0.02952521,-0.03232962,0.17652,0.1818688,0.002059303,-0.03445038,0.1854993,0.1886825,0.05917305,-0.03695018,0.1185963,0.1375931,0.02978162,-0.03248907,0.1764495,0.1818706,0.002374119,-0.034641,0.18543,0.1886529,0.04138293,-0.03601001,0.1410747,0.1513649,-0.3423534,0.04392452,0.9349966,-0.08152384,189.3523,-0.3434968,0.04407122,0.9381193,6.723622,0,0,0,0,0,0,0,0,0,1,0,0,0.3943442,False,True,False,-0.05000004,1,0.3,1.045227,0.01390764,0.01297661,0.002394641,0.9998162,2.196854,0.7255156,0.6769472,0.1249205,0.1,0,-2.980232E-08,0.1,0.2715715,-0.8428585,0.2725408,0.3762447,135.7975,0.293109,-0.9097031,0.2941552,-0.01099189,1.113627,0.002584938,1.113684,0.0315932,0.009426326,-0.0180904,-0.9992927,355.6898,0.8401198,0.250663,-0.4810563,False
1772968541619,0.0275814,0.02203818,0.913815,0.239448,0.9449227,-0.483602,-0.2908536,-0.3442954,0.7503293,82.76218,-0.7315506,-0.4399777,-0.5208198,-0.06295629,0.9918042,0.2893755,1.035074,-0.04796418,1.012298,0.3017401,1.0574,-0.03910773,1.001676,0.3109399,1.049556,-0.03324379,-0.07768033,0.10841,0.1374486,-0.01838042,-0.06508767,0.1323742,0.1486512,-0.002155727,-0.06607398,0.1242691,0.1407594,-0.04827546,-0.07582755,0.1051185,0.1383121,-0.01859921,-0.06229828,0.1362735,0.1509883,-0.002050605,-0.06476147,0.125166,0.1409424,-0.03313561,-0.07126994,0.1143403,0.1387482,-0.1638468,0.5280551,-0.05486311,0.8314458,67.50491,-0.2948976,0.950413,-0.09874465,4.49437,-0.01362461,-0.07049651,0.1046838,0.1269413,0.5098602,0.2961914,0.3736904,0.7160091,88.54808,0.7303634,0.4242876,0.5353032,1.299994,True,True,False,-0.009890318,0.7784444,0.1523702,0.7932781,-0.05881701,-0.6748279,-0.1021001,-0.7285078,273.5229,-0.08585953,-0.9850961,-0.1490431,0.1038266,0.763783,0.1005407,0.777337,0.1546745,0.764298,0.1328961,0.7910354,0.1612707,0.757144,0.157555,0.7899993,0.05988889,-0.03688155,0.1182601,0.137595,0.02945579,-0.03228407,0.1765395,0.1818684,0.00197525,-0.03436368,0.1855298,0.1886957,0.05928565,-0.03693944,0.1185436,0.1375932,0.02973056,-0.03245691,0.1764636,0.1818701,0.002311519,-0.03459764,0.1854456,0.1886595,0.04145628,-0.03599031,0.1410164,0.1513259,-0.3428128,0.04412167,0.9348244,-0.0814615,189.3452,-0.343956,0.04426879,0.9379416,6.728726,0,0,0,0,0,0,0,0,0,1,0,0,0.3986995,False,True,False,-0.05166449,0.9971666,0.30218,1.043227,0.0287941,0.02409869,0.01846059,0.9991243,4.795844,0.6882066,0.5759818,0.4412258,0.1016645,0.002833426,-0.00217998,0.1017273,0.2823072,-0.8464769,0.2507512,0.375371,135.9055,0.3045797,-0.9132593,0.2705341,-0.01135369,1.113569,0.002684051,1.11363,0.03174349,0.01060254,-0.01827576,-0.9992727,355.6293,0.8324614,0.2780479,-0.4792751,False
1772968541634,0.0415946,0.02404277,0.9135269,0.2400641,0.9448493,-0.4707046,-0.3028565,-0.3404749,0.7555078,81.86047,-0.7184798,-0.4622778,-0.5196982,-0.060543,0.9882035,0.2938294,1.032738,-0.05050822,1.008257,0.3024952,1.053867,-0.04153892,0.9994751,0.3123834,1.047979,-0.02706215,-0.07710662,0.1095564,0.1366762,-0.0183016,-0.06599086,0.1317097,0.1484493,-0.001950277,-0.06673049,0.1255923,0.1422329,-0.04369082,-0.07609588,0.1060571,0.1376502,-0.01853673,-0.06308036,0.135286,0.1504162,-0.002029448,-0.06517972,0.125261,0.1412191,-0.02962795,-0.07144598,0.1151885,0.138747,-0.1709624,0.5168637,-0.05296194,0.8371493,66.3194,-0.3125601,0.9449503,-0.09682707,3.924724,-0.01041693,-0.07065748,0.1054595,0.1273684,0.4969726,0.2925194,0.3865184,0.7197599,87.93068,0.7158686,0.4213622,0.5567638,1.299999,True,True,False,-0.009995967,0.7784432,0.1522434,0.793254,-0.05560033,-0.6756203,-0.1039113,-0.7277694,273.3994,-0.08107109,-0.9851249,-0.1515135,0.1036971,0.7645252,0.1001571,0.7779995,0.1546519,0.7654681,0.1326621,0.7921223,0.1613384,0.7584574,0.1573519,0.7912315,0.0600483,-0.0368668,0.1181839,0.137595,0.02938664,-0.03223826,0.1765586,0.1818676,0.001891753,-0.03427236,0.1855614,0.1887093,0.05944611,-0.03692424,0.1184682,0.1375934,0.02965845,-0.03241104,0.1764835,0.1818695,0.002223402,-0.03452959,0.1854698,0.1886697,0.0415614,-0.03596062,0.1409333,0.1512703,-0.3434551,0.04438651,0.934596,-0.08123258,189.3188,-0.344594,0.04453369,0.937695,6.735281,0,0,0,0,0,0,0,0,0,1,0,0,0.3986575,False,True,False,-0.05313771,0.9931498,0.3040133,1.039997,0.02958768,0.01916216,0.0389281,0.99862,6.020768,0.5633934,0.364876,0.7412489,0.1031377,0.006850243,-0.00401324,0.1034428,0.2975257,-0.8388451,0.2434494,0.3854213,134.6602,0.322437,-0.9090801,0.263833,-0.01183953,1.11355,0.002737764,1.113616,0.03190172,0.01147947,-0.01842215,-0.9992553,355.5773,0.8267736,0.2975051,-0.4774334,False
1772968541647,0.0556978,0.02775209,0.9133279,0.2401525,0.9447811,-0.4639587,-0.3174416,-0.3390123,0.7543501,82.06277,-0.7067452,-0.4835567,-0.5164151,-0.05594857,0.9867277,0.2949136,1.031376,-0.05084834,1.006398,0.3009743,1.051669,-0.04211162,0.9985359,0.3114569,1.04683,-0.02193645,-0.0755415,0.1105337,0.1356666,-0.01817206,-0.06695344,0.1317416,0.148892,-0.001779167,-0.06772932,0.1265207,0.1435198,-0.03888078,-0.07597896,0.1070121,0.1368799,-0.01845978,-0.06390705,0.1345147,0.1500636,-0.001976455,-0.06572467,0.1255416,0.1417192,-0.02600505,-0.07138623,0.1162137,0.1388448,-0.173691,0.5020843,-0.05251682,0.8455678,64.53437,-0.3253445,0.9404649,-0.0983704,3.407255,-0.007103831,-0.07060287,0.1063971,0.1278889,0.4854419,0.2807816,0.4009984,0.7243676,87.16747,0.704137,0.4072758,0.5816511,1.299999,True,True,False,0,0,-0.055,0.055,0,0,0,1,0,1,0,0,0.05491325,-0.03371409,0.05307727,0.08348234,0.02687361,-0.02948139,0.1064601,0.1136886,0.001729969,-0.03134155,0.114693,0.1189108,0.06004832,-0.03686677,0.1181838,0.137595,0.02938662,-0.03223827,0.1765586,0.1818676,0.001891742,-0.03427237,0.1855614,0.1887093,0.05957346,-0.03691215,0.1184082,0.1375937,0.02960117,-0.03237462,0.1764993,0.181869,0.002153431,-0.03447549,0.185489,0.188678,0.04164505,-0.03593706,0.1408673,0.1512262,-0.3439621,0.04459458,0.9344156,-0.08104815,189.2976,-0.3450974,0.04474178,0.9374998,6.740479,0,0,0,0,0,0,0,0,0,1,0,0,0.3873738,False,True,False,-0.05300198,0.9897065,0.3070228,1.037589,0.01920828,0.01574603,0.05977863,0.9979027,7.422919,0.2967364,0.2432503,0.9234815,0.103002,0.01029348,-0.007022798,0.103753,0.3177207,-0.8282886,0.2448532,0.3912016,133.9414,0.3452342,-0.9000152,0.2660565,-0.01222568,1.113528,0.002853531,1.113599,0.03173618,0.01251862,-0.01849485,-0.9992467,355.5519,0.8177987,0.322588,-0.4765873,False
1772968541662,0.06965061,0.03086407,0.9131641,0.2402826,0.9447524,-0.4574864,-0.3296385,-0.3376144,0.7536983,82.17648,-0.6960927,-0.5015646,-0.5137003,-0.05245209,0.9851666,0.2957768,1.029946,-0.05111192,1.004512,0.2996809,1.049507,-0.04252828,0.9972701,0.3105221,1.045361,-0.01796159,-0.07435751,0.1110435,0.1348418,-0.01809391,-0.06768678,0.1316189,0.1491055,-0.001692814,-0.06841438,0.1269474,0.1442187,-0.03422339,-0.07563946,0.1078671,0.1361172,-0.01838323,-0.06470897,0.1338899,0.1498389,-0.00191696,-0.06629544,0.1258502,0.1422569,-0.02262437,-0.07119983,0.1172635,0.1390395,-0.1723116,0.4842901,-0.05168074,0.8562132,62.21197,-0.3335347,0.9374155,-0.1000357,2.97157,-0.00401225,-0.07043237,0.107357,0.1284614,0.4756912,0.2625567,0.4180352,0.7280306,86.55692,0.6938879,0.3829899,0.6097855,1.299999,True,True,False,0,0,-0.055,0.055,0,0,0,1,0,1,0,0,0.05491325,-0.03371409,0.05307727,0.08348234,0.02687361,-0.02948139,0.1064601,0.1136886,0.001729969,-0.03134155,0.114693,0.1189108,0.06004832,-0.03686677,0.1181838,0.137595,0.02938662,-0.03223827,0.1765586,0.1818676,0.001891742,-0.03427237,0.1855614,0.1887093,0.05967302,-0.03690269,0.1183613,0.1375939,0.02955635,-0.03234612,0.1765116,0.1818686,0.002098693,-0.03443313,0.1855041,0.1886844,0.04171056,-0.03591863,0.1408156,0.1511918,-0.344357,0.04475595,0.9342752,-0.08090211,189.2808,-0.3454895,0.04490314,0.9373478,6.744541,0,0,0,0,0,0,0,0,0,1,0,0,0.3793701,False,True,False,-0.05068123,0.9882656,0.3078882,1.036355,-0.001988677,0.003339176,0.08075207,0.9967266,9.274352,-0.02459847,0.04130314,0.9988435,0.1006812,0.01173443,-0.007888138,0.1016692,0.3394386,-0.8107528,0.2575449,0.4014124,132.667,0.3706077,-0.8852006,0.2811941,-0.01266694,1.11349,0.002876222,1.113566,0.03166969,0.0133454,-0.01870868,-0.9992342,355.5151,0.8093857,0.3410699,-0.4781398,False
1772968541675,0.08343551,0.03331311,0.913038,0.2404312,0.9447515,-0.4511507,-0.3404271,-0.3362445,0.753334,82.23997,-0.6860167,-0.5176511,-0.5112911,-0.04932646,0.9835124,0.2970606,1.028579,-0.05169731,1.002527,0.2985473,1.047313,-0.04322341,0.9959276,0.3096819,1.04386,-0.01380829,-0.07318695,0.1113235,0.13394,-0.01803352,-0.06840268,0.1313476,0.1491855,-0.001631844,-0.06899794,0.1272458,0.144758,-0.02966025,-0.07512982,0.1085946,0.1353404,-0.01831076,-0.06548686,0.1333467,0.1496835,-0.001857777,-0.06686413,0.1261521,0.1427887,-0.01952397,-0.07093817,0.1183006,0.1393142,-0.1663689,0.4619537,-0.04937053,0.8697602,59.13844,-0.3371376,0.9361244,-0.1000467,2.601174,-0.001177006,-0.0701931,0.1083055,0.129068,0.4672385,0.2364185,0.4395792,0.7297704,86.26571,0.6834045,0.3457966,0.6429487,1.299999,True,True,False,0,0,-0.055,0.055,0,0,0,1,0,1,0,0,0.05491325,-0.03371409,0.05307727,0.08348234,0.02687361,-0.02948139,0.1064601,0.1136886,0.001729969,-0.03134155,0.114693,0.1189108,0.06004832,-0.03686677,0.1181838,0.137595,0.02938662,-0.03223827,0.1765586,0.1818676,0.001891742,-0.03427237,0.1855614,0.1887093,0.05975094,-0.03689527,0.1183246,0.1375941,0.02952123,-0.0323238,0.1765213,0.1818684,0.002055825,-0.03439992,0.1855159,0.1886895,0.04176189,-0.03590419,0.1407752,0.1511649,-0.3446653,0.04488144,0.9341654,-0.08078651,189.2675,-0.3457956,0.04502862,0.9372289,6.747725,0,0,0,0,0,0,0,0,0,1,0,0,0.3735784,False,True,False,-0.04863088,0.9870324,0.3090312,1.035422,-0.02369405,-0.01145308,0.1059689,0.9940212,12.53696,-0.2170035,-0.1048938,0.970523,0.09863088,0.01296759,-0.009031177,0.09988879,0.3637895,-0.7897301,0.2692427,0.4141159,131.0727,0.3996702,-0.8676217,0.2957983,-0.0130373,1.113365,0.002963702,1.113445,0.0311998,0.01445892,-0.01883092,-0.9992312,355.5062,0.7957981,0.3687965,-0.4803112,False
1772968541689,0.0972172,0.03713135,0.9125041,0.2410779,0.9445428,-0.4458699,-0.349833,-0.3346613,0.7528737,82.32016,-0.677444,-0.5315278,-0.5084763,-0.04576066,0.982137,0.2971482,1.027124,-0.05043852,1.001079,0.2981038,1.045738,-0.04229499,0.9938617,0.3093329,1.041747,-0.01217404,-0.07194778,0.1115745,0.1333175,-0.01800521,-0.06874015,0.1318724,0.1497989,-0.001626959,-0.06982975,0.1270842,0.1450146,-0.02571519,-0.074467,0.1092226,0.1346706,-0.01824745,-0.06617293,0.1330322,0.1496976,-0.001809909,-0.0674889,0.1263528,0.1432587,-0.01708025,-0.07066029,0.1192929,0.1396976,-0.154129,0.4391737,-0.04733655,0.8838156,55.78777,-0.3294513,0.9387354,-0.1011821,2.327255,0.001057743,-0.06993897,0.109213,0.1296921,0.4636692,0.2040903,0.4598944,0.7292841,86.34718,0.6776698,0.2982856,0.6721528,1.299993,True,True,False,0,0,-0.055,0.055,0,0,0,1,0,1,0,0,0.05491325,-0.03371409,0.05307727,0.08348234,0.02687361,-0.02948139,0.1064601,0.1136886,0.001729969,-0.03134155,0.114693,0.1189108,0.06004832,-0.03686677,0.1181838,0.137595,0.02938662,-0.03223827,0.1765586,0.1818676,0.001891742,-0.03427237,0.1855614,0.1887093,0.05981266,-0.03688939,0.1182955,0.1375943,0.02949338,-0.0323061,0.176529,0.1818682,0.002021848,-0.03437358,0.1855253,0.1886936,0.04180262,-0.03589275,0.1407431,0.1511435,-0.3449085,0.04498037,0.9340789,-0.08069402,189.2569,-0.346037,0.04512754,0.937135,6.750241,0,0,0,0,0,0,0,0,0,1,0,0,0.3692682,False,True,False,-0.04713825,0.9859393,0.3102275,1.034669,-0.04739999,-0.02912142,0.1381689,0.9888451,17.13187,-0.3182331,-0.1955148,0.9276357,0.09713826,0.01406074,-0.01022753,0.09868205,0.3932347,-0.7630733,0.2800048,0.4297477,129.0969,0.4355004,-0.8450901,0.3101003,-0.01340284,1.11327,0.002990732,1.113354,0.03073037,0.01516888,-0.01949295,-0.9992225,355.481,0.7794542,0.3847479,-0.494425,False
1772968541703,0.1109958,0.04031561,0.9120712,0.2416438,0.9443997,-0.4403876,-0.3588755,-0.333097,0.752538,82.37858,-0.6687244,-0.5449491,-0.5058047,-0.04239993,0.9806508,0.2977006,1.025719,-0.04979596,0.9993775,0.2975283,1.043915,-0.04185306,0.9919571,0.3089406,1.039796,-0.009878771,-0.07064813,0.111687,0.1325245,-0.01803905,-0.06918862,0.1320849,0.1501961,-0.001612999,-0.07054307,0.1270477,0.1453274,-0.02211719,-0.07366928,0.1097422,0.1340137,-0.01820429,-0.06680954,0.1328305,0.149796,-0.001769107,-0.06813306,0.1265018,0.1436939,-0.01513716,-0.07039084,0.1202196,0.1401312,-0.1349233,0.4131604,-0.04501181,0.8994821,51.81983,-0.3087791,0.9455393,-0.1030119,2.106342,0.002834686,-0.06969257,0.1100603,0.1303011,0.4635878,0.1625833,0.4812686,0.7259709,86.90066,0.6740885,0.2364073,0.6997976,1.299976,True,True,False,0,0,-0.055,0.055,0,0,0,1,0,1,0,0,0.05491325,-0.03371409,0.05307727,0.08348234,0.02687361,-0.02948139,0.1064601,0.1136886,0.001729969,-0.03134155,0.114693,0.1189108,0.06004832,-0.03686677,0.1181838,0.137595,0.02938662,-0.03223827,0.1765586,0.1818676,0.001891742,-0.03427237,0.1855614,0.1887093,0.05986155,-0.03688472,0.1182724,0.1375945,0.02947131,-0.03229207,0.1765351,0.181868,0.001994917,-0.03435268,0.1855327,0.1886968,0.0418349,-0.03588368,0.1407177,0.1511266,-0.3451009,0.04505838,0.9340104,-0.08062015,189.2484,-0.346228,0.04520553,0.9370607,6.752239,0,0,0,0,0,0,0,0,0,1,0,0,0.3660206,False,True,False,-0.04430472,0.9847303,0.3115874,1.0338,-0.06866658,-0.05159244,0.1733883,0.9811013,22.31363,-0.3548753,-0.2666345,0.8960869,0.09430473,0.0152697,-0.01158738,0.09623311,0.4221839,-0.7323205,0.2881367,0.4499385,126.5205,0.4727388,-0.8200132,0.32264,-0.0137603,1.11324,0.003048352,1.113329,0.03027279,0.01613462,-0.02025983,-0.9992061,355.4335,0.7598624,0.4049871,-0.5085322,False
1772968541716,0.1248258,0.04352675,0.9128625,0.2416716,0.9453136,-0.4394514,-0.3685811,-0.3314908,0.7490956,82.9758,-0.6633611,-0.5563809,-0.5003922,-0.03963989,0.9814036,0.2961836,1.025889,-0.04843818,0.9997481,0.2952629,1.043562,-0.04071802,0.9910952,0.3065427,1.038218,-0.008906415,-0.06977652,0.1117746,0.1320668,-0.01811234,-0.06935114,0.1320489,0.1502483,-0.00178043,-0.07125843,0.1255241,0.1443511,-0.01909427,-0.07285143,0.110172,0.1334534,-0.0181852,-0.06734797,0.1326638,0.1498871,-0.001771459,-0.068795,0.126292,0.1438247,-0.01378239,-0.07017083,0.1209934,0.1405464,-0.111262,0.3897451,-0.04391368,0.9131216,48.11926,-0.2729102,0.9559906,-0.1077142,1.930063,0.004073582,-0.06949136,0.110768,0.130825,0.4681188,0.1192443,0.4974062,0.7205782,87.79553,0.6751319,0.1719769,0.7173709,1.299809,True,True,False,0,0,-0.055,0.055,0,0,0,1,0,1,0,0,0.05491325,-0.03371409,0.05307727,0.08348234,0.02687361,-0.02948139,0.1064601,0.1136886,0.001729969,-0.03134155,0.114693,0.1189108,0.06004832,-0.03686677,0.1181838,0.137595,0.02938662,-0.03223827,0.1765586,0.1818676,0.001891742,-0.03427237,0.1855614,0.1887093,0.0599004,-0.03688101,0.118254,0.1375946,0.02945375,-0.03228091,0.17654,0.1818679,0.001973502,-0.03433605,0.1855387,0.1886994,0.04186058,-0.03587646,0.1406974,0.1511132,-0.3452536,0.04512019,0.9339562,-0.08056096,189.2416,-0.3463794,0.04526732,0.9370017,6.753827,0,0,0,0,0,0,0,0,0,1,0,0,0.3635418,False,True,False,-0.04233489,0.9836144,0.3125579,1.032948,-0.08940061,-0.08065806,0.2151248,0.9691353,28.54445,-0.3626368,-0.3271743,0.8726134,0.0923349,0.01638556,-0.01255792,0.0946146,0.4533205,-0.6939064,0.2938999,0.4760436,123.1454,0.5154756,-0.7890484,0.3341968,-0.01410923,1.113189,0.003132531,1.113283,0.0298056,0.01716687,-0.02118511,-0.9991838,355.3698,0.7378446,0.4249698,-0.5244424,False
1772968541731,0.1387628,0.04627834,0.9134728,0.2417475,0.9460529,-0.4377045,-0.3782939,-0.3298289,0.7460036,83.50925,-0.6572713,-0.5680584,-0.4952818,-0.03710113,0.9817739,0.2949556,1.025795,-0.04765302,0.9996185,0.2931244,1.042799,-0.03999864,0.9901335,0.304332,1.036621,-0.00762414,-0.06872107,0.1117859,0.1314413,-0.01819868,-0.06962164,0.1319177,0.1502686,-0.001920083,-0.07181713,0.1243003,0.1435687,-0.01644785,-0.07197594,0.1105154,0.1329087,-0.01818801,-0.06783272,0.1325041,0.1499647,-0.001802517,-0.06943965,0.1258624,0.1437584,-0.01286551,-0.06997815,0.1216489,0.1409288,-0.08158676,0.3662992,-0.04417415,0.9258603,44.40313,-0.2159145,0.9693891,-0.1169043,1.774235,0.00491207,-0.06931517,0.1113674,0.1312685,0.4765572,0.07020562,0.5097437,0.7128295,89.0688,0.6794978,0.1001025,0.7268167,1.299263,True,True,False,0,0,-0.055,0.055,0,0,0,1,0,1,0,0,0.05491325,-0.03371409,0.05307727,0.08348234,0.02687361,-0.02948139,0.1064601,0.1136886,0.001729969,-0.03134155,0.114693,0.1189108,0.06004832,-0.03686677,0.1181838,0.137595,0.02938662,-0.03223827,0.1765586,0.1818676,0.001891742,-0.03427237,0.1855614,0.1887093,0.05993135,-0.03687804,0.1182394,0.1375947,0.02943975,-0.03227202,0.1765439,0.1818679,0.001956432,-0.03432278,0.1855434,0.1887015,0.04188102,-0.0358707,0.1406813,0.1511025,-0.3453751,0.04516928,0.9339129,-0.08051357,189.2362,-0.3465,0.04531639,0.9369547,6.755092,0,0,0,0,0,0,0,0,0,1,0,0,0.3616304,False,True,False,-0.04031979,0.9847752,0.3117681,1.033735,-0.1097995,-0.1128573,0.2538774,0.9543341,34.76406,-0.3675404,-0.377776,0.8498231,0.09031978,0.01522481,-0.01176804,0.09234687,0.4801649,-0.6528323,0.3005567,0.5029088,119.6147,0.5555281,-0.7552962,0.34773,-0.01455272,1.113068,0.003164317,1.113168,0.02981528,0.01782306,-0.02195908,-0.9991553,355.2896,0.7255381,0.4337141,-0.5343618,False
