Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773108245446,0,1,1,135,-0.7380568,-0.3566802,-0.5727577,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.6818756,-0.3295296,-0.5291591,0.3826834,135,-0.7380568,-0.3566802,-0.5727577
Grab,1773108248796,2.419036,1,1,135,-0.7380568,-0.3566802,-0.5727577,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.6818756,-0.3295296,-0.5291591,0.3826834,135,-0.7380568,-0.3566802,-0.5727577
Trial Start,1773108248829,0,1,1,135,-0.7380568,-0.3566802,-0.5727577,1,-1,-0.05000001,1,0.3,1.045227,0.004212191,-0.0009186052,0.00190478,0.9999889,0.5395908,0.8945334,-0.1950821,0.4045138,0.1,0,0,0.1,-0.6823662,-0.3282443,-0.5318966,0.3791018,135.4439,-0.7374102,-0.3547226,-0.5748028
Release,1773108249626,0.8186454,1,1,135,-0.7380568,-0.3566802,-0.5727577,1,0,0.02193019,1.045482,0.2685033,1.079633,-0.3468363,0.3704858,0.2250159,0.8317528,67.44157,-0.6247657,0.6673662,0.4053273,0.02806981,-0.04548216,0.0314967,0.06203695,-0.55632,-0.7528304,-0.1593214,0.313642,143.4423,-0.5858828,-0.7928358,-0.1677877
Grab,1773108251349,2.542199,1,1,135,-0.7380568,-0.3566802,-0.5727577,1,0,0.02193019,1.045482,0.2685033,1.079633,-0.3468363,0.3704858,0.2250159,0.8317528,67.44157,-0.6247657,0.6673662,0.4053273,0.02806981,-0.04548216,0.0314967,0.06203695,-0.55632,-0.7528304,-0.1593214,0.313642,143.4423,-0.5858828,-0.7928358,-0.1677877
Clutch Start,1773108251809,3.001152,1,1,135,-0.7380568,-0.3566802,-0.5727577,1,0,0.03735028,1.041621,0.2350409,1.068463,-0.3950029,0.280967,0.1159591,0.8669394,59.79021,-0.7925202,0.5637226,0.2326563,0.01264972,-0.04162085,0.06495908,0.07817923,-0.5504481,-0.6812926,-0.1813748,0.4471584,126.877,-0.6154007,-0.7616848,-0.202777
Clutch End,1773108253141,4.332862,1,1,135,-0.7380568,-0.3566802,-0.5727577,1,0,0.05852981,1.007684,0.2861505,1.049159,-0.1097715,-0.4576437,-0.142223,0.8707957,58.89753,-0.2232738,-0.9308417,-0.2892799,-0.008529808,-0.007683992,0.01384953,0.01798918,-0.3564669,-0.07292841,-0.6822462,0.6341553,101.2853,-0.4610247,-0.09431954,-0.8823606
Release,1773108253141,4.332862,1,1,135,-0.7380568,-0.3566802,-0.5727577,1,0,0.05852981,1.007684,0.2861505,1.049159,-0.1097715,-0.4576437,-0.142223,0.8707957,58.89753,-0.2232738,-0.9308417,-0.2892799,-0.008529808,-0.007683992,0.01384953,0.01798918,-0.3564669,-0.07292841,-0.6822462,0.6341553,101.2853,-0.4610247,-0.09431954,-0.8823606
Grab,1773108254266,5.458135,1,1,135,-0.7380568,-0.3566802,-0.5727577,1,0,0.05852981,1.007684,0.2861505,1.049159,-0.1097715,-0.4576437,-0.142223,0.8707957,58.89753,-0.2232738,-0.9308417,-0.2892799,-0.008529808,-0.007683992,0.01384953,0.01798918,-0.3564669,-0.07292841,-0.6822462,0.6341553,101.2853,-0.4610247,-0.09431954,-0.8823606
Clutch Start,1773108254599,5.791999,1,1,135,-0.7380568,-0.3566802,-0.5727577,1,0,0.06980511,0.9995388,0.2852907,1.041797,-0.2943864,-0.3446105,-0.4950735,0.7412709,84.32042,-0.4385931,-0.5134199,-0.7375879,-0.01980511,0.0004612207,0.01470935,0.02467428,-0.3735853,0.06940736,-0.3407664,0.859939,61.38054,-0.7319506,0.135987,-0.6676498
Clutch End,1773108254669,5.861217,1,1,135,-0.7380568,-0.3566802,-0.5727577,1,0,0.06521753,0.9972104,0.2854615,1.039312,-0.3007783,-0.3829718,-0.5575073,0.6723471,95.50304,-0.4063276,-0.5173644,-0.7531481,-0.01521753,0.002789617,0.01453853,0.02123026,-0.3244163,0.1459898,-0.3044536,0.8836001,55.84052,-0.6928385,0.3117825,-0.6502052
Release,1773108254669,5.861217,1,1,135,-0.7380568,-0.3566802,-0.5727577,1,0,0.06521753,0.9972104,0.2854615,1.039312,-0.3007783,-0.3829718,-0.5575073,0.6723471,95.50304,-0.4063276,-0.5173644,-0.7531481,-0.01521753,0.002789617,0.01453853,0.02123026,-0.3244163,0.1459898,-0.3044536,0.8836001,55.84052,-0.6928385,0.3117825,-0.6502052
Grab,1773108254682,5.875393,1,1,135,-0.7380568,-0.3566802,-0.5727577,1,0,0.06521753,0.9972104,0.2854615,1.039312,-0.3007783,-0.3829718,-0.5575073,0.6723471,95.50304,-0.4063276,-0.5173644,-0.7531481,-0.01521753,0.002789617,0.01453853,0.02123026,-0.3244163,0.1459898,-0.3044536,0.8836001,55.84052,-0.6928385,0.3117825,-0.6502052
Clutch Start,1773108254682,5.875393,1,1,135,-0.7380568,-0.3566802,-0.5727577,1,0,0.06521753,0.9972104,0.2854615,1.039312,-0.3007783,-0.3829718,-0.5575073,0.6723471,95.50304,-0.4063276,-0.5173644,-0.7531481,-0.01521753,0.002789617,0.01453853,0.02123026,-0.3244163,0.1459898,-0.3044536,0.8836001,55.84052,-0.6928385,0.3117825,-0.6502052
Clutch End,1773108256072,7.264444,1,1,135,-0.7380568,-0.3566802,-0.5727577,1,0,0.06118732,1.00591,0.2953209,1.05015,-0.5680856,-0.3850531,-0.594107,0.4195828,130.3835,-0.6258399,-0.4241995,-0.6545069,-0.01118732,-0.005910397,0.004679084,0.0134901,-0.06072777,0.1135879,-0.07002845,0.9891946,16.86084,-0.4142181,0.7747717,-0.4776571
Release,1773108256072,7.264444,1,1,135,-0.7380568,-0.3566802,-0.5727577,1,0,0.06118732,1.00591,0.2953209,1.05015,-0.5680856,-0.3850531,-0.594107,0.4195828,130.3835,-0.6258399,-0.4241995,-0.6545069,-0.01118732,-0.005910397,0.004679084,0.0134901,-0.06072777,0.1135879,-0.07002845,0.9891946,16.86084,-0.4142181,0.7747717,-0.4776571
Grab,1773108256211,7.403102,1,1,135,-0.7380568,-0.3566802,-0.5727577,1,0,0.06118732,1.00591,0.2953209,1.05015,-0.5680856,-0.3850531,-0.594107,0.4195828,130.3835,-0.6258399,-0.4241995,-0.6545069,-0.01118732,-0.005910397,0.004679084,0.0134901,-0.06072777,0.1135879,-0.07002845,0.9891946,16.86084,-0.4142181,0.7747717,-0.4776571
Release,1773108256502,7.695354,1,1,135,-0.7380568,-0.3566802,-0.5727577,1,0,0.04965927,1.003009,0.2974812,1.047372,-0.5527077,-0.4248171,-0.5902267,0.4070345,131.9626,-0.6051018,-0.4650877,-0.6461775,0.0003407262,-0.003009439,0.002518773,0.003939167,-0.03573615,0.1384314,-0.09705491,0.9849569,19.90132,-0.2068064,0.8011075,-0.5616603
Grab,1773108258155,9.347601,1,1,135,-0.7380568,-0.3566802,-0.5727577,1,0,0.04965927,1.003009,0.2974812,1.047372,-0.5527077,-0.4248171,-0.5902267,0.4070345,131.9626,-0.6051018,-0.4650877,-0.6461775,0.0003407262,-0.003009439,0.002518773,0.003939167,-0.03573615,0.1384314,-0.09705491,0.9849569,19.90132,-0.2068064,0.8011075,-0.5616603
Clutch Start,1773108258406,9.597733,1,1,135,-0.7380568,-0.3566802,-0.5727577,1,0,0.05709793,1.003427,0.303693,1.049931,-0.4991572,-0.1331472,-0.7542872,0.4051726,132.1961,-0.5459803,-0.145637,-0.8250427,-0.007097933,-0.003426552,-0.003693014,0.008704037,-0.263362,0.1676333,0.1479497,0.9384298,40.42099,-0.7623295,0.4852326,0.4282561
On Target,1773108259697,10.90288,1,1,135,-0.7380568,-0.3566802,-0.5727577,1,-1,0.04472875,0.998265,0.2928702,1.0413,-0.656221,-0.2862891,-0.5971208,0.3617448,137.5852,-0.7038904,-0.3070858,-0.6404971,0.005271252,0.001734972,0.007129818,0.009034961,-0.04081646,0.05026928,0.05811836,0.9962075,9.983187,-0.4691026,0.5777435,0.6679528
Trial End,1773108260697,11.90266,1,2,135,-0.7380568,-0.3566802,-0.5727577,1,-1,0.05283304,1.004558,0.2964493,1.048719,-0.6559348,-0.3344926,-0.5745301,0.3574626,138.1111,-0.7023402,-0.3581569,-0.6151763,-0.002833035,-0.004558444,0.003550708,0.006435296,-0.005054455,0.05487442,0.01877612,0.9983039,6.674956,-0.08682068,0.9425812,0.3225185
Trial Load,1773108260698,11.90266,1,2,135,-0.7620071,-0.5561868,0.3316648,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.7040028,-0.5138496,0.3064183,0.3826834,135,-0.7620072,-0.5561868,0.3316648
Grab,1773108262780,13.97276,1,2,135,-0.7620071,-0.5561868,0.3316648,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.7040028,-0.5138496,0.3064183,0.3826834,135,-0.7620072,-0.5561868,0.3316648
Trial Start,1773108262795,0,1,2,135,-0.7620071,-0.5561868,0.3316648,1,-1,-0.05000001,1,0.3,1.045227,0.0155377,0.01634154,-0.002370339,0.9997429,2.598404,0.6852784,0.7207311,-0.104542,0.1,0,0,0.1,-0.7059785,-0.5230635,0.3107671,0.362523,137.4895,-0.7575082,-0.5612421,0.3334501
Clutch Start,1773108264030,1.236375,1,2,135,-0.7620071,-0.5561868,0.3316648,1,0,-0.00757996,0.9953545,0.2956612,1.038366,-0.379204,-0.3409666,0.2987441,0.8066586,72.45851,-0.6416119,-0.5769144,0.5054742,0.05757996,0.004645467,0.004338801,0.05792976,-0.3737437,-0.3781406,0.08766292,0.8424017,65.21078,-0.693595,-0.7017549,0.1626852
Clutch End,1773108265516,2.722597,1,2,135,-0.7620071,-0.5561868,0.3316648,1,0,0.05013268,0.9998317,0.2894993,1.042107,-0.4618157,-0.447252,0.2219203,0.7331053,85.70528,-0.6790257,-0.6576121,0.3262981,-0.0001326837,0.0001683235,0.0105007,0.01050289,-0.3623915,-0.2202737,0.06214884,0.9034874,50.75934,-0.8454951,-0.5139201,0.1449994
Release,1773108265516,2.722597,1,2,135,-0.7620071,-0.5561868,0.3316648,1,0,0.05013268,0.9998317,0.2894993,1.042107,-0.4618157,-0.447252,0.2219203,0.7331053,85.70528,-0.6790257,-0.6576121,0.3262981,-0.0001326837,0.0001683235,0.0105007,0.01050289,-0.3623915,-0.2202737,0.06214884,0.9034874,50.75934,-0.8454951,-0.5139201,0.1449994
Grab,1773108266711,3.91681,1,2,135,-0.7620071,-0.5561868,0.3316648,1,0,0.05013268,0.9998317,0.2894993,1.042107,-0.4618157,-0.447252,0.2219203,0.7331053,85.70528,-0.6790257,-0.6576121,0.3262981,-0.0001326837,0.0001683235,0.0105007,0.01050289,-0.3623915,-0.2202737,0.06214884,0.9034874,50.75934,-0.8454951,-0.5139201,0.1449994
Clutch Start,1773108267821,5.027639,1,2,135,-0.7620071,-0.5561868,0.3316648,1,0,0.04660277,1.003305,0.2999138,1.048208,-0.6970776,-0.352703,0.3475227,0.5185667,117.5277,-0.8152599,-0.4125002,0.4064416,0.003397226,-0.003304839,8.624792E-05,0.004740311,-0.02781258,-0.1625513,0.1357963,0.9769151,24.67014,-0.1301914,-0.7609069,0.635666
On Target,1773108269364,6.583197,1,2,135,-0.7620071,-0.5561868,0.3316648,1,-1,0.0472929,0.9958903,0.2939837,1.039452,-0.7101173,-0.4858371,0.2540686,0.4417521,127.5686,-0.7915371,-0.5415416,0.2831993,0.002707098,0.00410974,0.006016344,0.007772692,-0.05756095,-0.002344383,0.06099596,0.9964743,9.625592,-0.6860642,-0.02794251,0.7270057
Trial End,1773108270363,7.583314,1,3,135,-0.7620071,-0.5561868,0.3316648,1,-1,0.04977882,0.9980237,0.2969652,1.042457,-0.6668766,-0.4988044,0.3515948,0.4276108,129.3679,-0.7377256,-0.5517974,0.3889483,0.0002211817,0.001976311,0.00303486,0.003628375,-0.01801251,-0.07202402,-0.01200719,0.9971681,8.62623,-0.2395064,-0.9576793,-0.1596556
Trial Load,1773108270363,7.583314,1,3,135,-0.6808014,0.06960446,0.7291534,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.6289785,0.06430613,0.67365,0.3826834,135,-0.6808015,0.06960446,0.7291535
Grab,1773108271641,8.846991,1,3,135,-0.6808014,0.06960446,0.7291534,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.6289785,0.06430613,0.67365,0.3826834,135,-0.6808015,0.06960446,0.7291535
Trial Start,1773108271655,0,1,3,135,-0.6808014,0.06960446,0.7291534,1,-1,-0.05000001,1,0.3,1.045227,-0.01254339,-0.03207761,-0.0006504737,0.9994065,3.948148,-0.3641339,-0.9312111,-0.01888321,0.1,0,0,0.1,-0.6453723,0.08540253,0.6525164,0.3878449,134.3591,-0.700179,0.09265513,0.7079297
Clutch Start,1773108273014,1.361405,1,3,135,-0.6808014,0.06960446,0.7291534,1,0,0.04606017,1.003935,0.2956425,1.047574,-0.6819094,-0.1289963,0.5918601,0.4099526,131.5963,-0.7476202,-0.1414268,0.6488934,0.003939833,-0.003934979,0.004357517,0.007070665,-0.1218546,0.1628282,-0.07531736,0.9761997,25.05098,-0.5618684,0.7507969,-0.3472865
