Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,-0.7380568,-0.3566802,-0.5727577,1,11.90266,False,-0.002833035,-0.004558444,0.003550708,0.006435296,-0.005054455,0.05487442,0.01877612,0.9983039,6.674956,-0.08682068,0.9425812,0.3225185,0.2629141,0.3709815,0.4278009,0.6704053,483.4343,0.3737709,562.5358,0,0,0,0,0,0,0,0.650431,730.7641,0.2285303,47.16825
1,3,135,-0.7620071,-0.5561868,0.3316648,1,7.583314,False,0.0002211817,0.001976311,0.00303486,0.003628375,-0.01801251,-0.07202402,-0.01200719,0.9971681,8.62623,-0.2395064,-0.9576793,-0.1596556,0.2486065,0.1691052,0.2113569,0.241635,167.8948,0.2026436,435.5482,0,0,0,0,0,0,0,0.2792462,535.7207,0.05093094,5.669812
1,4,135,-0.6808014,0.06960446,0.7291534,1,2.777225,False,-0.001125012,0.000770092,0.003668666,0.003913797,2.147484E-05,-0.02018848,-0.005442737,0.9997814,2.395913,0.001027186,-0.9656566,-0.2603373,0.06964222,0.07655814,0.07816908,0.2375229,187.672,0.07660895,217.0751,0,0,0,0,0,0,0,0.2002461,323.1061,0.03101451,5.795417
1,5,135,-0.3369119,0.4927165,-0.8023221,1,7.763498,False,-0.000332702,-0.004872561,0.005194604,0.007129969,-0.04345386,-0.01459363,-0.009796082,0.9989008,5.373283,-0.9270409,-0.3113393,-0.2089888,0.1342941,0.290233,0.271338,0.4675309,351.6596,0.1967842,704.626,0,0,0,0,0,0,0,0.4300848,839.7177,0.09503875,17.49187
1,6,135,0.5114329,0.7821625,-0.3558906,1,20.56773,False,0.0006290711,0.0001164675,0.0008758903,0.001084656,-0.04605657,0.01350224,0.007857303,0.9988168,5.57524,-0.9469985,0.277628,0.161559,0.4301949,0.6233548,0.6448466,1.184259,1110.165,0.716738,970.8325,0,0,0,0,0,0,0,1.283914,1455.996,0.609841,110.2119
1,7,135,0.3538408,0.6553308,0.6673367,1,10.31855,False,0.001970869,-0.003694534,0.007663339,0.008732736,0.01667227,0.006777359,0.04703542,0.9987312,5.773395,0.3310547,0.1345754,0.9339638,0.3935268,0.5113431,0.4745061,0.8144169,661.6431,0.3873387,533.9161,0,0,0,0,0,0,0,0.7578694,961.4102,0.1869661,44.48188
1,8,135,0.4110924,-0.3262339,-0.8512194,1,17.27649,False,0.001788575,-0.000600338,0.005146205,0.005481135,0.03761597,0.008786989,0.01707637,0.9991078,4.841176,0.8906366,0.2080503,0.4043187,0.5231899,0.5008947,0.5859241,0.7583471,544.6324,0.5750378,821.3669,0,0,0,0,0,0,0,0.8546904,1037.942,0.2732042,59.75979
1,9,135,0.2025497,-0.5225671,0.8281891,1,7.735725,False,-0.002031136,-0.003213525,0.005574405,0.006747314,-0.002847834,-0.04258764,-0.007724055,0.9990588,4.97202,-0.06565559,-0.9818398,-0.1780748,0.1230488,0.2011085,0.1385026,0.4017044,266.1107,0.1731652,386.2687,0,0,0,0,0,0,0,0.3771664,477.7516,0.08215909,14.09623
1,10,135,-0.4644017,0.3462406,-0.8151371,1,10.48533,False,-0.005092062,0.001317561,-0.002291441,0.005737226,0.03932078,-0.03120405,0.02758648,-0.9983583,353.4329,0.6864974,-0.5447882,0.4816296,0.2717542,0.3506369,0.3622364,0.5207699,406.8028,0.2641835,549.5484,0,0,0,0,0,0,0,0.5241629,713.0883,0.1329885,28.22829
1,11,135,-0.4016844,0.8693012,0.2880366,1,8.693414,False,0.001069654,-0.001583934,-0.0008799732,0.002104129,0.06370519,0.0223149,-0.01457492,0.9976127,7.919556,0.9225152,0.3231421,-0.2110595,0.2310526,0.3410976,0.3003806,0.5021904,340.0271,0.3686938,592.0187,0,0,0,0,0,0,0,0.5072856,680.0512,0.1195913,23.21371
