Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Thumb Tip Euro Position X,Right Thumb Tip Euro Position Y,Right Thumb Tip Euro Position Z,Right Thumb Tip Euro Position Magnitude,Right Index Tip Euro Position X,Right Index Tip Euro Position Y,Right Index Tip Euro Position Z,Right Index Tip Euro Position Magnitude,Right Middle Tip Euro Position X,Right Middle Tip Euro Position Y,Right Middle Tip Euro Position Z,Right Middle Tip Euro Position Magnitude,Right Triangle Local Position X,Right Triangle Local Position Y,Right Triangle Local Position Z,Right Triangle Local Position Magnitude,Right Triangle Local Rotation X,Right Triangle Local Rotation Y,Right Triangle Local Rotation Z,Right Triangle Local Rotation W,Right Triangle Local Rotation Angle,Right Triangle Local Rotation Axis X,Right Triangle Local Rotation Axis Y,Right Triangle Local Rotation Axis Z,Right Triangle Area,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Right Angle Scale Factor,Right Is Grabbed,Right Is Rotating,Right Is Clutching,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Thumb Tip Euro Position X,Left Thumb Tip Euro Position Y,Left Thumb Tip Euro Position Z,Left Thumb Tip Euro Position Magnitude,Left Index Tip Euro Position X,Left Index Tip Euro Position Y,Left Index Tip Euro Position Z,Left Index Tip Euro Position Magnitude,Left Middle Tip Euro Position X,Left Middle Tip Euro Position Y,Left Middle Tip Euro Position Z,Left Middle Tip Euro Position Magnitude,Left Triangle Local Position X,Left Triangle Local Position Y,Left Triangle Local Position Z,Left Triangle Local Position Magnitude,Left Triangle Local Rotation X,Left Triangle Local Rotation Y,Left Triangle Local Rotation Z,Left Triangle Local Rotation W,Left Triangle Local Rotation Angle,Left Triangle Local Rotation Axis X,Left Triangle Local Rotation Axis Y,Left Triangle Local Rotation Axis Z,Left Triangle Area,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Left Angle Scale Factor,Left Is Grabbed,Left Is Rotating,Left Is Clutching,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773108472845,0.0138493,-0.006376918,0.8784754,0.2302827,0.9081794,-0.3979898,-0.2419486,-0.7044853,0.5355049,115.2437,-0.4712548,-0.2864883,-0.8341723,-0.05425039,0.9895681,0.2765363,1.028912,-0.02825491,1.007292,0.2949216,1.049959,-0.03494379,0.9955056,0.3080903,1.042675,-0.02027353,-0.08809687,0.1021134,0.136379,-0.01789027,-0.06959777,0.1356488,0.1535074,0.001226066,-0.07361233,0.1318533,0.1510152,-0.01964709,-0.08819055,0.1017691,0.1360902,-0.01884206,-0.06634738,0.1428131,0.1585957,0.002315034,-0.07107667,0.1385599,0.1557437,-0.01491904,-0.07999729,0.1181259,0.1434429,-0.2229238,0.2271729,-0.1078387,0.941843,39.27318,-0.6633587,0.6760029,-0.3208979,4.968339,-0.00683854,-0.08549386,0.119301,0.1469309,0.4103448,0.2535931,0.6925901,0.5363084,115.1346,0.4861779,0.300458,0.8205829,1.3,True,True,False,-0.1760577,0.7079273,0.3377151,0.8038712,0.05800377,-0.177502,-0.278962,-0.9419707,320.7704,0.1727871,-0.5287597,-0.8309983,-0.08161903,0.695523,0.4195556,0.8163583,-0.07490061,0.6995616,0.4626709,0.8420575,-0.09334994,0.6895328,0.4787423,0.8446087,0.03949884,-0.06613631,0.107487,0.1322407,0.03052226,-0.06690291,0.1527453,0.169525,0.003802633,-0.0653119,0.1604209,0.1732483,0.03959122,-0.06594779,0.107553,0.1322279,0.03070811,-0.06694178,0.1527414,0.1695704,0.003969062,-0.06536329,0.1602646,0.1731267,0.02710211,-0.06586991,0.1296056,0.1478884,-0.2927426,-0.006875266,0.955406,0.03812963,175.6296,-0.2929557,-0.006880269,0.9561012,5.724519,0,0,0,0,0,0,0,0,0,1,0,0,0.3675223,False,True,False,-0.05000002,1,0.3,1.045227,0.008313717,-0.004757171,-0.003177765,0.9999491,1.156215,0.8239697,-0.4714816,-0.3149472,0.1,0,0,0.1,0.1247328,0.6627049,0.6339929,0.3785724,135.5094,0.134763,0.7159952,0.6849744,-0.03375826,1.121778,0.06136035,1.123962,-0.08209818,-0.06520063,-0.01411124,-0.9943891,347.8553,-0.7760912,-0.6163551,-0.1333964,False
1773108472858,0.0277122,-0.007360485,0.8788683,0.2300649,0.9085118,-0.4004401,-0.2407384,-0.7040891,0.5347442,115.3469,-0.4738858,-0.2848928,-0.8332278,-0.05464641,0.9904679,0.2759942,1.029653,-0.02984429,1.006377,0.2937323,1.048792,-0.03605975,0.9951025,0.3066732,1.041911,-0.02076267,-0.08810104,0.1021586,0.136489,-0.0176109,-0.07029607,0.1335394,0.1519357,0.0009362407,-0.0739964,0.1301015,0.1496755,-0.01988094,-0.08817183,0.10185,0.1361725,-0.01858635,-0.06717587,0.1408334,0.1571372,0.002028007,-0.07169351,0.1367409,0.154409,-0.01494043,-0.08021344,0.1175413,0.1430852,-0.2252361,0.2368733,-0.1087812,0.93879,40.30138,-0.6538239,0.6876048,-0.3157743,4.623059,-0.006858829,-0.08569912,0.1187458,0.1466013,0.4186755,0.2607138,0.684647,0.5366543,115.0877,0.4961772,0.308975,0.8113832,1.292861,True,True,False,-0.1760002,0.7080314,0.3377312,0.803957,0.05768897,-0.1776964,-0.2793097,-0.9418504,320.7293,0.1716767,-0.528807,-0.8311982,-0.08152318,0.6955456,0.4195117,0.8163454,-0.07479674,0.6996426,0.4626324,0.8420944,-0.09322151,0.689595,0.4787405,0.8446443,0.03943282,-0.06620278,0.1074675,0.1322385,0.03048247,-0.06688933,0.1527451,0.1695123,0.003758748,-0.06530218,0.1604543,0.1732746,0.0395584,-0.06600073,0.1075352,0.1322301,0.03066121,-0.0669309,0.1527421,0.1695583,0.003925399,-0.06535062,0.160304,0.1731574,0.0270631,-0.06589429,0.1296026,0.1478895,-0.2925915,-0.006226746,0.9554706,0.03778051,175.6696,-0.2928006,-0.006231195,0.9561532,5.723607,0,0,0,0,0,0,0,0,0,1,0,0,0.3683135,False,True,False,-0.05061349,1.000291,0.2995129,1.045395,0.01737788,-0.0073968,-0.008581109,0.9997848,2.377218,0.8377574,-0.3565868,-0.4136803,0.1006135,-0.0002908707,0.000487119,0.1006151,0.1231903,0.6572296,0.6423393,0.3745314,136.0093,0.1328607,0.7088217,0.6927625,-0.03353055,1.121809,0.06136966,1.123987,-0.08209768,-0.06670424,-0.01441362,-0.994285,347.7431,-0.7690082,-0.624818,-0.1350122,False
1773108472872,0.0417957,-0.007711341,0.878952,0.2300107,0.9085819,-0.4054889,-0.2382507,-0.7012336,0.535805,115.203,-0.4802426,-0.2821732,-0.8305092,-0.05439213,0.9909403,0.2758946,1.030067,-0.03000072,1.006049,0.2934367,1.048398,-0.03574154,0.9948567,0.3061327,1.041506,-0.02125042,-0.08811586,0.102186,0.1365942,-0.01740135,-0.07067501,0.132765,0.1514077,0.0007803339,-0.07404731,0.1292666,0.1489748,-0.02017095,-0.08815999,0.1019207,0.1362603,-0.01833689,-0.06792105,0.1390802,0.1558615,0.00176479,-0.07219738,0.1351068,0.1531974,-0.01499835,-0.08041577,0.1169856,0.142749,-0.2277172,0.2470482,-0.1086641,0.9355769,41.3569,-0.6448666,0.6996095,-0.3077232,4.321521,-0.006913841,-0.08589127,0.1182182,0.1462896,0.4272724,0.2686245,0.6769099,0.5357913,115.2048,0.5060367,0.3181433,0.801693,1.281343,True,True,False,-0.1759296,0.7081528,0.3377897,0.804073,0.05735465,-0.1776693,-0.2799738,-0.9416786,320.6708,0.1704379,-0.5279709,-0.8319841,-0.08142392,0.6956415,0.4195344,0.8164289,-0.0747146,0.6997726,0.4626698,0.8422157,-0.09311628,0.6896923,0.4788063,0.8447494,0.03938698,-0.06626049,0.1074499,0.1322394,0.03044556,-0.06687794,0.1527464,0.1695024,0.003716679,-0.06529138,0.1604898,0.1733025,0.03952243,-0.06605534,0.1075173,0.132232,0.03061583,-0.06691979,0.152743,0.1695465,0.003881521,-0.06533819,0.160343,0.1731879,0.02702205,-0.06591969,0.1296005,0.1478915,-0.2924229,-0.005557807,0.9555413,0.0374025,175.713,-0.2926277,-0.005561699,0.9562104,5.72331,0,0,0,0,0,0,0,0,0,1,0,0,0.3687689,False,True,False,-0.05129305,1.000575,0.2989808,1.045548,0.02773129,-0.01040286,-0.01535042,0.9994435,3.823239,0.8313225,-0.3118546,-0.4601716,0.101293,-0.0005748272,0.00101918,0.1012998,0.1218125,0.6507926,0.6520039,0.3694885,136.6319,0.131089,0.7003529,0.7016565,-0.03337201,1.121829,0.06135581,1.124001,-0.08193617,-0.06806938,-0.01463033,-0.9942027,347.6551,-0.7620431,-0.6330757,-0.1360687,False
1773108472886,0.0556454,-0.008030363,0.879027,0.2299628,0.908645,-0.4108604,-0.235523,-0.6982293,0.5368413,115.0623,-0.4869843,-0.2791604,-0.8275965,-0.05404509,0.9914055,0.2758282,1.030479,-0.0301611,1.005555,0.2930312,1.047816,-0.03542732,0.9944808,0.3054656,1.04094,-0.02172217,-0.08812424,0.1022104,0.136692,-0.01719684,-0.07109366,0.1317439,0.1506868,0.0005894155,-0.07414769,0.1282052,0.148104,-0.02049438,-0.08815254,0.1019808,0.1363487,-0.01809984,-0.06858911,0.1375002,0.1547203,0.001519907,-0.07260953,0.1336127,0.152075,-0.01508095,-0.0806004,0.1164541,0.1424268,-0.2303963,0.2575114,-0.107783,0.9321954,42.44066,-0.6365323,0.7114453,-0.2977798,4.055756,-0.006992282,-0.08606659,0.1177134,0.145989,0.4358911,0.2771104,0.6693069,0.5340762,115.4375,0.5155811,0.3277719,0.7916703,1.267538,True,True,False,-0.1758551,0.7082759,0.3378541,0.8041922,0.05693625,-0.1775943,-0.2808424,-0.9414596,320.5963,0.1688872,-0.5267894,-0.8330491,-0.08131726,0.6957532,0.419561,0.8165271,-0.07462465,0.6999133,0.4627115,0.8423476,-0.09300032,0.6897876,0.4788734,0.8448524,0.03933874,-0.06631928,0.1074322,0.1322402,0.03041019,-0.066866,0.1527483,0.1694931,0.003674629,-0.06528073,0.160525,0.1733302,0.03948439,-0.06611011,0.1074997,0.1322337,0.03057312,-0.06690865,0.1527441,0.1695354,0.003838597,-0.06532629,0.1603808,0.1732174,0.02698017,-0.06594538,0.1295994,0.1478943,-0.2922416,-0.0048863,0.9556158,0.03700482,175.7586,-0.2924419,-0.004889649,0.9562708,5.723636,0,0,0,0,0,0,0,0,0,1,0,0,0.3693007,False,True,False,-0.05113285,1.000505,0.2988581,1.045439,0.03877147,-0.008860598,-0.02014949,0.9990057,5.110551,0.8696486,-0.1987443,-0.4519553,0.1011329,-0.0005054474,0.001141876,0.1011406,0.1216965,0.6423742,0.6607262,0.3687634,136.7213,0.1309235,0.6910791,0.7108225,-0.03323249,1.121842,0.0613397,1.124009,-0.08188142,-0.06909377,-0.01510482,-0.9941295,347.5772,-0.7567809,-0.6385924,-0.1396048,False
1773108472900,0.0696534,-0.008070256,0.8790082,0.229999,0.9086365,-0.4175634,-0.233937,-0.6929975,0.5391371,114.7502,-0.4957902,-0.277763,-0.8228244,-0.05380157,0.9916855,0.2756566,1.03069,-0.03002755,1.005495,0.2925866,1.04763,-0.0349263,0.9944585,0.3049741,1.040758,-0.02216023,-0.08814038,0.102223,0.1367821,-0.01712195,-0.07128529,0.131319,0.1503976,0.0004926912,-0.07419793,0.1277016,0.1476932,-0.02084407,-0.08814998,0.1020316,0.136438,-0.01789455,-0.0691627,0.1361533,0.1537576,0.001303851,-0.07294819,0.1323189,0.1511007,-0.01518933,-0.08076411,0.1159808,0.1421447,-0.2328995,0.2677532,-0.1066936,0.9288071,43.50077,-0.6285007,0.7225565,-0.2879225,3.83536,-0.007095201,-0.08622205,0.117264,0.1457238,0.4440039,0.2850464,0.6621606,0.5321208,115.7023,0.5244128,0.3366682,0.7820777,1.218404,True,True,False,-0.1757814,0.708388,0.3378772,0.8042845,0.05663427,-0.1775215,-0.2811118,-0.9414111,320.5798,0.167924,-0.5263618,-0.8335135,-0.08123703,0.6957894,0.4195712,0.8165551,-0.07456407,0.6999723,0.462734,0.8424035,-0.09293361,0.6898337,0.4789244,0.8449117,0.03930075,-0.06636881,0.1074208,0.1322445,0.03037773,-0.06685922,0.1527508,0.1694868,0.003632855,-0.06526871,0.1605624,0.1733594,0.039446,-0.06616428,0.1074832,0.1322359,0.03053217,-0.06689832,0.1527455,0.1695252,0.003795525,-0.06531426,0.1604188,0.1732471,0.02693759,-0.06597079,0.1296005,0.1478988,-0.2920621,-0.004226802,0.9556882,0.03663028,175.8015,-0.2922583,-0.004229641,0.9563301,5.724395,0,0,0,0,0,0,0,0,0,1,0,0,0.3689876,False,True,False,-0.05083701,1.000468,0.298755,1.045359,0.05042297,-0.006383054,-0.02478728,0.9984,6.483197,0.8917103,-0.1128818,-0.4383532,0.100837,-0.0004683733,0.001245052,0.1008458,0.1218034,0.6331236,0.6695685,0.3687772,136.7196,0.1310394,0.6811311,0.7203395,-0.03311505,1.121861,0.06133368,1.124024,-0.08198509,-0.07007884,-0.01542072,-0.9940471,347.4903,-0.7524949,-0.6432142,-0.1415381,False
1773108472914,0.0834516,-0.008128417,0.8789914,0.230036,0.9086301,-0.4238805,-0.2323828,-0.688043,0.5412213,114.4664,-0.5040914,-0.2763566,-0.8182414,-0.05358547,0.9919644,0.2754719,1.030897,-0.03003719,1.005309,0.2921134,1.04732,-0.03458552,0.9942809,0.3043516,1.040394,-0.02259739,-0.08815534,0.1022311,0.1368693,-0.01702427,-0.07154096,0.1307333,0.1499971,0.0003583642,-0.07428814,0.1269666,0.1471033,-0.02120697,-0.0881511,0.1020729,0.1365255,-0.01771393,-0.06966311,0.134984,0.1529294,0.001107267,-0.07323042,0.1311595,0.1502223,-0.01531687,-0.08090963,0.1155495,0.1418896,-0.2352739,0.2778599,-0.1052176,0.9254022,44.54181,-0.620798,0.7331662,-0.2776291,3.648653,-0.007216302,-0.08636022,0.1168544,0.1454823,0.4516163,0.2925401,0.6555642,0.52981,116.0148,0.5324933,0.3449292,0.772965,1.158229,True,True,False,-0.1757046,0.7085006,0.3379023,0.8043776,0.0563895,-0.1774445,-0.2813205,-0.941378,320.5686,0.1671525,-0.5259895,-0.8339039,-0.08115943,0.6958275,0.4195907,0.8165899,-0.07450632,0.7000377,0.4627647,0.8424696,-0.09287287,0.6898897,0.4789837,0.8449844,0.03926271,-0.06641757,0.1074103,0.1322491,0.03034684,-0.06685282,0.1527537,0.1694813,0.003591461,-0.06525671,0.1605996,0.1733885,0.03940814,-0.06621669,0.1074681,0.1322386,0.0304938,-0.06688893,0.1527472,0.1695161,0.003753311,-0.06530237,0.1604562,0.1732763,0.02689533,-0.06599536,0.1296034,0.1479047,-0.2918882,-0.003592527,0.9557573,0.03628392,175.8412,-0.2920806,-0.003594894,0.9563871,5.725549,0,0,0,0,0,0,0,0,0,1,0,0,0.3687584,False,True,False,-0.0505618,1.000404,0.298505,1.045212,0.05981739,-0.002003178,-0.02691905,0.9978443,7.52551,0.9114995,-0.03052449,-0.4101935,0.1005618,-0.0004035234,0.001495004,0.1005737,0.1223024,0.6249156,0.6757338,0.3713579,136.4012,0.1317218,0.6730452,0.7277772,-0.03296553,1.121878,0.06134433,1.124038,-0.08199669,-0.0709935,-0.01594762,-0.993973,347.4125,-0.7479697,-0.6475992,-0.1454734,False
1773108472932,0.1006747,-0.0082038,0.8789763,0.2300738,0.9086257,-0.4296154,-0.2309227,-0.6835234,0.543048,114.2173,-0.5116286,-0.2750056,-0.8140074,-0.05340735,0.9922405,0.2752686,1.0311,-0.03020905,1.004957,0.2916035,1.046845,-0.03441264,0.9939427,0.3036208,1.039852,-0.02303679,-0.08816964,0.1022348,0.1369545,-0.01690747,-0.07184834,0.1299479,0.1494473,0.0001894041,-0.07440189,0.1260186,0.1463433,-0.02165572,-0.08815566,0.1021126,0.1366286,-0.0175152,-0.07020868,0.1336962,0.1520221,0.0008807061,-0.07352287,0.1298402,0.1492141,-0.01548696,-0.08106925,0.1150512,0.1415939,-0.2381496,0.290214,-0.102943,0.9211208,45.81903,-0.6117742,0.7455208,-0.2644466,3.44922,-0.007377824,-0.08651178,0.1163811,0.1452008,0.4602199,0.3011915,0.6481445,0.5266783,116.4374,0.541394,0.354316,0.762465,1.076892,True,True,False,-0.1756249,0.7086139,0.3379295,0.8044713,0.05615116,-0.1773541,-0.2815153,-0.941351,320.5594,0.1664088,-0.5256042,-0.8342951,-0.08108219,0.6958649,0.4196161,0.8166272,-0.07444848,0.7001027,0.4628007,0.8425383,-0.09281424,0.6899455,0.4790478,0.8450598,0.03922431,-0.06646573,0.1074006,0.132254,0.03031747,-0.06684668,0.1527571,0.1694767,0.003550164,-0.06524456,0.1606368,0.1734175,0.03936305,-0.06627787,0.1074516,0.1322424,0.03045047,-0.06687857,0.1527497,0.1695064,0.003703418,-0.0652882,0.1605005,0.173311,0.02684478,-0.06602401,0.1296091,0.1479133,-0.2916841,-0.002856032,0.9558367,0.03589635,175.8857,-0.2918722,-0.002857873,0.956453,5.727402,0,0,0,0,0,0,0,0,0,1,0,0,0.3678209,False,True,False,-0.05029752,1.000367,0.2982619,1.045096,0.06878657,0.002359642,-0.02878088,0.9972134,8.556746,0.9220418,0.03162955,-0.3857901,0.1002975,-0.0003672838,0.001738101,0.1003133,0.1227637,0.6169651,0.6814674,0.3740127,136.0734,0.1323707,0.6652463,0.7347963,-0.03283548,1.121902,0.06135628,1.124058,-0.08181473,-0.07168985,-0.01611929,-0.9939352,347.3731,-0.7439889,-0.6519175,-0.1465821,False
1773108472944,0.1141079,-0.008138201,0.8789369,0.2301449,0.908605,-0.4351561,-0.2296727,-0.6784619,0.5455081,113.8812,-0.519214,-0.2740379,-0.8095185,-0.05324953,0.9923052,0.2752867,1.031158,-0.03007936,1.004906,0.2913437,1.04672,-0.0340186,0.9938928,0.3033311,1.039707,-0.02328374,-0.08814811,0.1022542,0.1369969,-0.01686967,-0.0719406,0.1297035,0.149275,0.0001216777,-0.07442778,0.1256841,0.1460685,-0.021985,-0.08815413,0.1021413,0.1367016,-0.01738399,-0.07056561,0.132852,0.1514311,0.0007261575,-0.07370919,0.1289583,0.1485389,-0.01561808,-0.08117204,0.114715,0.1413944,-0.2400634,0.2991091,-0.1012275,0.9179631,46.7398,-0.6052032,0.7540584,-0.255196,3.321342,-0.007502352,-0.08660941,0.1160619,0.1450098,0.4656869,0.3065513,0.643428,0.5245594,116.7228,0.5469829,0.3600666,0.7557526,0.9442577,True,True,False,-0.1755891,0.7086914,0.3379194,0.8045275,0.0559439,-0.1773247,-0.2818582,-0.9412662,320.5306,0.1656786,-0.5251493,-0.8347267,-0.08102155,0.6959296,0.4195878,0.8166618,-0.07441208,0.7001742,0.462793,0.8425903,-0.0927781,0.6900001,0.4790683,0.845112,0.03921341,-0.06649519,0.1073969,0.1322626,0.03029029,-0.06683849,0.1527691,0.1694795,0.003505463,-0.06522891,0.1606771,0.1734481,0.03933279,-0.06632189,0.1074405,0.1322465,0.03041801,-0.06687047,0.1527536,0.169501,0.003663331,-0.06527621,0.1605363,0.1733387,0.02680741,-0.06604394,0.129616,0.1479214,-0.2915645,-0.002318888,0.9558845,0.03563309,175.9159,-0.2917498,-0.002320362,0.9564918,5.72939,0,0,0,0,0,0,0,0,0,1,0,0,0.3665095,False,True,False,-0.05012784,1.000293,0.297955,1.044929,0.07985254,0.005821348,-0.03114464,0.996303,9.85655,0.9295046,0.06776202,-0.3625318,0.1001278,-0.0002932549,0.002044976,0.1001492,0.1221566,0.6077946,0.6887315,0.3759156,135.8382,0.1318254,0.6559024,0.7432456,-0.03266571,1.121934,0.06136981,1.124086,-0.08174855,-0.07204079,-0.01636733,-0.9939112,347.3481,-0.7419277,-0.6538227,-0.1485455,False
1773108472956,0.1249421,-0.008078652,0.8788974,0.2302186,0.908585,-0.4403242,-0.2284608,-0.6737353,0.5477236,113.578,-0.5262884,-0.2730631,-0.8052683,-0.0530934,0.9923946,0.2752652,1.031231,-0.03003936,1.004766,0.2910742,1.046509,-0.03371656,0.9937338,0.3029586,1.039436,-0.02356645,-0.08813003,0.1022699,0.1370453,-0.01681323,-0.07208454,0.1293466,0.1490282,2.800146E-05,-0.07447125,0.1251939,0.1456691,-0.02225391,-0.08815002,0.1021632,0.1367588,-0.01728657,-0.07082864,0.1322284,0.1509963,0.0006067771,-0.07384094,0.128286,0.1480208,-0.01573062,-0.08124568,0.1144588,0.1412414,-0.2415036,0.3062773,-0.09964933,0.9153908,47.47743,-0.59991,0.7608119,-0.2475351,3.228466,-0.007609243,-0.08667937,0.1158186,0.1448626,0.469855,0.310592,0.6399078,0.5227686,116.9637,0.5511659,0.3643416,0.7506473,0.8883852,True,True,False,-0.1755535,0.7087673,0.3379087,0.8045821,0.05570667,-0.1772817,-0.2822641,-0.9411668,320.4969,0.1648408,-0.5245917,-0.8352437,-0.08095792,0.6960011,0.4195576,0.8167009,-0.07437289,0.7002463,0.4627845,0.8426421,-0.09273991,0.6900509,0.479087,0.8451599,0.03920584,-0.06652179,0.1073947,0.132272,0.03026463,-0.06683024,0.1527827,0.1694838,0.003460319,-0.06521276,0.1607179,0.1734789,0.03931124,-0.06635588,0.1074327,0.1322508,0.03039192,-0.06686365,0.1527585,0.169498,0.003628819,-0.06526545,0.1605671,0.1733625,0.02677768,-0.06605875,0.1296237,0.1479294,-0.2914952,-0.001897731,0.9559136,0.03544242,175.9378,-0.2916784,-0.001898924,0.9565146,5.731495,0,0,0,0,0,0,0,0,0,1,0,0,0.3674152,False,True,False,-0.04991463,1.000189,0.2978246,1.044782,0.08597632,0.01079003,-0.03134048,0.9957457,10.57389,0.9330688,0.1171001,-0.3401265,0.09991463,-0.0001888275,0.002175421,0.09993848,0.1229855,0.601659,0.6918991,0.37968,135.3723,0.1329403,0.6503592,0.7479036,-0.03249699,1.121932,0.06135778,1.124078,-0.08168938,-0.07230464,-0.01655255,-0.9938938,347.3301,-0.7403373,-0.6552849,-0.150013,False
1773108472970,0.1389474,-0.007905174,0.8788151,0.2302833,0.9085202,-0.4458297,-0.2263468,-0.667951,0.5512208,113.0984,-0.5343378,-0.2712821,-0.8005556,-0.05282988,0.9921625,0.2758058,1.031138,-0.02978554,1.004612,0.2911312,1.04637,-0.03327087,0.9935054,0.3029493,1.039201,-0.02353809,-0.08804561,0.1023546,0.1370494,-0.01678064,-0.07213063,0.1292289,0.1489447,-3.039638E-05,-0.07453771,0.1248964,0.1454475,-0.0225231,-0.08812811,0.1022033,0.1368187,-0.01718025,-0.07110594,0.1315732,0.1505415,0.0004726477,-0.07398904,0.1275429,0.147451,-0.01584272,-0.08131033,0.1141976,0.1410796,-0.2429208,0.3143069,-0.09774497,0.9124947,48.29517,-0.59381,0.7683103,-0.2389336,3.129083,-0.007715679,-0.08674073,0.1155706,0.1447068,0.4739813,0.3144425,0.636514,0.5208815,117.2172,0.5552544,0.3683596,0.7456564,0.7740955,True,True,False,-0.1755516,0.7088149,0.3379217,0.8046291,0.05550408,-0.1772703,-0.2824555,-0.9411235,320.4822,0.1641827,-0.5243708,-0.8355118,-0.08093071,0.6960275,0.4195536,0.8167186,-0.07436692,0.7002805,0.46281,0.842684,-0.09274993,0.690067,0.4791414,0.8452049,0.03920659,-0.06654049,0.1073961,0.1322827,0.03024718,-0.0668121,0.1528092,0.1694975,0.003410797,-0.06518675,0.1607671,0.1735137,0.03928936,-0.06639453,0.1074251,0.1322575,0.03036161,-0.06685288,0.1527691,0.1694979,0.003583177,-0.065249,0.160609,0.1733941,0.02674215,-0.06607388,0.1296373,0.1479416,-0.29145,-0.001386878,0.9559365,0.03522264,175.963,-0.2916309,-0.001387739,0.9565299,5.7355,0,0,0,0,0,0,0,0,0,1,0,0,0.3680048,False,True,False,-0.0496655,1.000125,0.2977431,1.044685,0.09022595,0.0158954,-0.03113275,0.9953077,11.10532,0.9324645,0.1642753,-0.3217498,0.09966551,-0.0001250505,0.00225687,0.09969114,0.1243637,0.596777,0.6937201,0.3835928,134.8872,0.1346653,0.6462106,0.751184,-0.0323623,1.121908,0.06134009,1.12405,-0.08179311,-0.07242237,-0.01689684,-0.993871,347.3064,-0.7398986,-0.655131,-0.1528484,False
