Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773108888170,0,1,1,135,-0.3639655,0.785565,-0.5004165,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,-0.3362603,0.7257674,-0.4623247,0.3826834,135,-0.3639655,0.785565,-0.5004166
Grab_left,1773108889851,0,1,1,135,-0.3639655,0.785565,-0.5004165,1,-0.04879126,0.9848793,0.3061593,1.032522,-0.3264584,-0.03205578,-0.02139063,0.9444257,38.38281,-0.9931048,-0.09751551,-0.06507152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.09879126,0.01512074,-0.006159306,0.1001314,-0.1622978,0.5539637,-0.6761574,0.4578154,125.5076,-0.1825525,0.623098,-0.7605414
Trial Start,1773108889853,0,1,1,135,-0.3639655,0.785565,-0.5004165,1,-0.04879126,0.9848793,0.3061593,1.032522,-0.3264584,-0.03205578,-0.02139063,0.9444257,38.38281,-0.9931048,-0.09751551,-0.06507152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.09879126,0.01512074,-0.006159306,0.1001314,-0.1622978,0.5539637,-0.6761574,0.4578154,125.5076,-0.1825525,0.623098,-0.7605414
Release_left,1773108889866,0.0134896,1,1,135,-0.3639655,0.785565,-0.5004165,1,-0.04879126,0.9848793,0.3061593,1.032522,-0.3264584,-0.03205578,-0.02139063,0.9444257,38.38281,-0.9931048,-0.09751551,-0.06507152,-0.001441294,-0.4312534,-0.3043523,0.527837,0.1791211,0.6730088,0.4084142,0.5900618,107.6772,0.2218607,0.8335938,0.5058648,-0.1890299,0.05196575,0.03635487,0.1993851,-0.5287496,-0.415345,0.7357356,0.08127541,170.6762,-0.5305046,-0.4167236,0.7381777,0.09879126,0.01512074,-0.006159306,0.1001314,-0.1622978,0.5539637,-0.6761574,0.4578154,125.5076,-0.1825525,0.623098,-0.7605414
Grab,1773108889894,0.049626,1,1,135,-0.3639655,0.785565,-0.5004165,1,-0.04879126,0.9848793,0.3061593,1.032522,-0.3264584,-0.03205578,-0.02139063,0.9444257,38.38281,-0.9931048,-0.09751551,-0.06507152,0.1428419,-0.1872337,-0.0762632,0.2475406,0.1813439,0.674044,0.4091186,0.5877085,108.0109,0.2241379,0.8331066,0.5056635,-0.2554613,-0.1388366,-0.06280442,0.2974567,-0.5279092,-0.4157178,0.7365642,0.07722697,171.1416,-0.5294905,-0.416963,0.7387704,0.09879126,0.01512074,-0.006159306,0.1001314,-0.1622978,0.5539637,-0.6761574,0.4578154,125.5076,-0.1825525,0.623098,-0.7605414
Release,1773108889911,0.0599592,1,1,135,-0.3639655,0.785565,-0.5004165,1,-0.04879126,0.9848793,0.3061593,1.032522,-0.3264584,-0.03205578,-0.02139063,0.9444257,38.38281,-0.9931048,-0.09751551,-0.06507152,0.2561499,0.0002625112,0.100177,0.2750424,0.1827444,0.6746425,0.4095612,0.5862778,108.2134,0.2255798,0.8327789,0.5055624,-0.2714937,-0.2501795,-0.1313777,0.3918657,-0.5273958,-0.4159792,0.7370548,0.07460248,171.4432,-0.5288695,-0.4171416,0.7391143,0.09879126,0.01512074,-0.006159306,0.1001314,-0.1622978,0.5539637,-0.6761574,0.4578154,125.5076,-0.1825525,0.623098,-0.7605414
On Target,1773108900327,10.49136,1,1,135,-0.3639655,0.785565,-0.5004165,1,0.05088603,0.9988803,0.3050375,1.045657,0.3262321,-0.7034476,0.4335694,-0.4590771,234.6551,0.3672146,-0.7918172,0.4880359,0.1707059,-0.07049429,-0.01813399,0.1855769,0.1906852,-0.67586,-0.7092982,-0.06122474,187.0202,0.1910436,-0.6771304,-0.7106314,-0.158139,0.04611944,-0.003462332,0.1647633,0.7319115,0.05924623,0.1343691,-0.6653873,263.4241,0.9804597,0.07936554,0.1799993,-0.0008860342,0.001119673,-0.005037457,0.005235904,0.04007644,-0.05895252,0.04655004,-0.9963693,350.2321,0.4707239,-0.6924357,0.5467604
Off Target,1773108900519,10.68506,1,1,135,-0.3639655,0.785565,-0.5004165,1,0.05156253,0.9985002,0.3048573,1.045275,0.2741433,-0.7017929,0.5118929,-0.4126716,228.7455,0.3009654,-0.770456,0.5619763,0.1760384,-0.06726756,-0.01452019,0.1890113,0.2588388,-0.7226859,-0.6399961,-0.03365401,183.8572,0.2589855,-0.7230955,-0.6403589,-0.155132,0.0487534,0.001390494,0.1626184,0.6695412,0.003858221,0.1918007,-0.717574,271.7091,0.9613183,0.005539582,0.2753848,-0.001562525,0.001499772,-0.004857332,0.005318314,-0.01320406,-0.07632514,-0.04212547,-0.9961053,349.8831,-0.149753,-0.8656363,-0.4777631
On Target,1773108900547,10.71192,1,1,135,-0.3639655,0.785565,-0.5004165,1,0.05159223,0.998399,0.3050422,1.045233,0.2733886,-0.7053726,0.5142519,-0.4040459,227.6627,0.2988707,-0.7711192,0.5621845,0.1764955,-0.06694814,-0.01436222,0.1893119,0.2630241,-0.7237722,-0.6370889,-0.03301197,183.7836,0.2631675,-0.7241669,-0.6374363,-0.1548554,0.04899255,0.001544475,0.162428,0.6676018,0.0001352145,0.1951847,-0.718478,271.8579,0.9598192,0.0001943995,0.2806194,-0.001592234,0.00160104,-0.005042166,0.005524669,-0.01587282,-0.06983718,-0.04876759,-0.9962392,350.0587,-0.1831934,-0.8060135,-0.5628425
Off Target,1773108900561,10.72678,1,1,135,-0.3639655,0.785565,-0.5004165,1,0.05157688,0.9984137,0.3050472,1.045248,0.2720913,-0.7050397,0.5168741,-0.4021525,227.4256,0.2971815,-0.7700532,0.5645364,0.1770309,-0.06663538,-0.01438431,0.1897027,0.26857,-0.7218297,-0.6371357,-0.02983455,183.4193,0.2686897,-0.7221512,-0.6374196,-0.1545096,0.04903847,0.001466181,0.1621115,0.6683999,-0.004221449,0.200431,-0.716276,271.4957,0.957844,-0.006049506,0.2872257,-0.001576878,0.001586258,-0.005047202,0.005520598,-0.01807009,-0.0700719,-0.05147599,-0.9960491,349.8102,-0.2034795,-0.7890493,-0.5796489
