Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,135,-0.3639655,0.785565,-0.5004165,1,12.03184,False,0.0005692504,-0.003906846,-0.003184021,0.005072029,-0.01720637,0.009329809,0.07282294,-0.9971529,351.3508,-0.2281811,0.1237266,0.9657363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001296636,0,0.0103332,0
1,2,135,0.5018437,-0.2484425,0.8285103,1,16.29683,False,0.001775451,-0.000616312,-0.003787875,0.004228482,-0.04996737,0.04013288,-0.04478009,-0.996939,351.0317,-0.639105,0.5133175,-0.5727574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,135,0.3233443,-0.4955944,-0.8061233,1,12.75662,False,-0.001538329,-0.001150727,-0.002305239,0.003000793,0.02647382,0.007750321,0.02844094,0.9992149,4.541454,0.668167,0.1956087,0.7178147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,135,0.2215994,-0.04493804,0.9741018,1,7.78141,False,0.003049128,-0.003375769,0.002262145,0.005080383,0.02667523,-0.02356453,0.008595531,-0.9993294,355.8033,0.7285411,-0.6435832,0.234757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,135,0.3191289,-0.9357883,-0.1498562,0.9999999,8.962748,False,0.007412836,0.001285553,0.002349526,0.007881818,-0.04990869,-0.02999157,-0.04877647,-0.9971111,351.2876,-0.6570704,-0.3948526,-0.6421643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,135,-0.4071758,0.9131235,0.02033222,1,7.587099,False,0.009048007,-0.001850367,0.0006353855,0.009257106,-0.06908175,-0.02742152,0.01731479,0.9970837,8.753617,-0.9052145,-0.3593186,0.2268848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,135,0.8932148,-0.4458267,0.05836046,1,16.65707,False,0.002054967,-0.001182556,-0.009237498,0.009536913,-0.05959045,0.04398482,0.02649919,0.9969013,9.023339,-0.757549,0.5591611,0.3368734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,135,0.9160118,-0.3164251,-0.2465717,0.9999999,9.629025,False,0.005097341,-0.008270741,0.002064645,0.00993231,0.01561566,-0.00102406,-0.001610759,0.9998763,1.80271,0.9926396,-0.06509636,-0.102391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,135,-0.8825706,-0.3273196,-0.3375367,1,15.48905,False,0.00514283,-0.001577854,0.004546583,0.007043418,-0.0217044,0.05000218,-0.03984975,0.9977179,7.743423,-0.3214377,0.740522,-0.5901666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,135,0.51152,-0.00537324,-0.8592546,1,5.572499,False,0.001475915,-0.001980424,-0.00138694,0.002832668,0.008369409,-0.05332401,-0.04550389,0.9975049,8.096602,0.1185509,-0.7553232,-0.6445529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,135,-0.07823195,0.4655985,0.8815315,1,7.601967,False,0.005029559,0.0005834699,0.00293529,0.005852592,0.01650034,0.07061002,-0.03494401,0.9967552,9.23371,0.2049934,0.8772301,-0.43413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
