Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773109460406,0,1,1,135,-0.4724505,0.2493937,0.8453362,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.4364874,0.2304097,0.7809888,0.3826834,135,-0.4724505,0.2493937,0.8453362
Trial Start,1773109464472,0,1,1,135,-0.4724505,0.2493937,0.8453362,1,-1,-0.04957625,0.9993603,0.3012608,1.044958,1.225049E-05,-0.01132535,-0.00745771,-0.9999081,358.4464,0.000903558,-0.8353227,-0.5500577,0.09957625,0.0006397367,-0.001260757,0.09958629,0.4293159,-0.2228089,-0.7830036,-0.3910875,226.0444,0.4664685,-0.2420906,-0.850764
On Target,1773109467597,3.128747,1,1,135,-0.4724505,0.2493937,0.8453362,1,-1,0.05539599,0.9991077,0.2988411,1.044314,-0.3879503,0.1912768,0.8293976,0.3535638,138.5891,-0.4147381,0.2044843,0.8866671,-0.00539599,0.0008922815,0.001158953,0.00559071,-0.04758024,-0.05077063,-0.047165,0.9964607,9.64389,-0.56603,-0.6039839,-0.5610902
Trial End,1773109468585,4.115022,1,2,135,-0.4724505,0.2493937,0.8453362,1,-1,0.0446174,1.006686,0.2900401,1.048585,-0.4097545,0.2163917,0.7772003,0.4257178,129.6078,-0.4528394,0.2391449,0.8589215,0.005382601,-0.006685853,0.009959877,0.01314809,-0.03908917,-0.003944456,0.03509999,0.9986113,6.039856,-0.7419624,-0.07487082,0.6662427
Trial Load,1773109468587,4.115022,1,2,135,-0.5896042,-0.4832616,0.647167,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.5447233,-0.4464756,0.5979043,0.3826834,135,-0.5896043,-0.4832617,0.647167
Trial Start,1773109470236,0,1,2,135,-0.5896042,-0.4832616,0.647167,1,-1,-0.04989177,0.9995105,0.3007561,1.044971,0.001354193,-0.01102293,-0.008831291,-0.9998993,358.374,0.09543565,-0.7768318,-0.6223782,0.09989177,0.0004895329,-0.0007560849,0.09989583,0.5336166,0.4546498,-0.6010736,-0.3837413,225.1312,0.577857,0.4923433,-0.6509066
On Target,1773109480999,10.77713,1,2,135,-0.5896042,-0.4832616,0.647167,1,-1,0.03045304,1.001062,0.2979,1.044891,0.5489765,0.439335,-0.6010467,-0.3799375,224.6596,0.5934803,0.4749506,-0.6497717,0.01954696,-0.001061916,0.002099991,0.0196881,-0.008795718,0.0006752849,-0.002944248,-0.9999568,358.934,-0.9454703,0.07258781,-0.3164835
Trial End,1773109481999,11.77661,1,3,135,-0.5896042,-0.4832616,0.647167,1,-1,0.04701051,0.9972221,0.3025708,1.043174,0.5450022,0.4496671,-0.5961964,-0.381211,224.8174,0.5895179,0.4863958,-0.6448936,0.00298949,0.002777934,-0.002570838,0.004823191,0.001761963,-0.002975867,0.00184073,-0.9999923,359.5506,0.4493109,-0.7588634,0.4693968
Trial Load,1773109481999,11.77661,1,3,135,-0.2913393,-0.8533322,0.4323721,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.2691625,-0.7883762,0.3994597,0.3826834,135,-0.2913394,-0.8533322,0.4323721
Trial Start,1773109484679,0,1,3,135,-0.2913393,-0.8533322,0.4323721,1,-1,-0.05248319,1.00052,0.2991047,1.04559,0.0007700137,0.0121469,0.006050481,-0.9999076,358.4423,0.05664708,0.893603,0.4451117,0.1024832,-0.0005202293,0.0008953214,0.1024884,0.2784652,0.7817187,-0.3990758,-0.3900147,225.9108,0.3024137,0.8489481,-0.4333971
