Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773109545673,0.0136313,0.007245781,0.8775582,0.2230551,0.9054914,0.02237678,-0.2655273,-0.9326454,0.2432427,151.844,0.02306966,-0.2737492,-0.9615243,-0.03039146,0.9887101,0.275286,1.026769,-0.02871595,0.9885017,0.2709355,1.025362,-0.03963391,0.9810672,0.2669705,1.017515,-0.01478451,-0.07636321,0.1106619,0.1352626,-0.0166367,-0.07773998,0.1063233,0.1327589,-0.003231655,-0.07913475,0.1009137,0.1282822,0,0,0,0,0,0,0,0,0,1,0,0,-0.16636,0.7377544,0.2371308,0.7925832,0.1407972,0.1329346,0.6708072,0.7159067,88.5649,0.2016586,0.1903973,0.9607719,-0.05949131,0.7651955,0.3051613,0.825946,-0.05439387,0.7479243,0.3346762,0.8211928,-0.05580087,0.731437,0.315498,0.7985316,0.03601296,-0.07491201,0.1082724,0.1364978,0.01816626,-0.06915627,0.1394804,0.1567398,0.0007740961,-0.07651021,0.1206412,0.1428591,0,0,0,0,0,0,0,0,0,1,0,0,-0.04860985,0.9999773,0.2984008,1.044682,0.01595715,-0.02991525,-0.01782118,-0.9992661,355.6096,0.4165963,-0.7810031,-0.4652609,0.09860985,2.270937E-05,0.001599252,0.09862282,0.3612957,-0.5092973,-0.6612219,-0.4157733,229.136,0.3972603,-0.5599945,-0.7270423,-0.03022943,1.1309,-0.02830978,1.131658,-0.05228328,-0.09333178,0.01940175,-0.994072,347.5165,-0.4808831,-0.8584327,0.1784504,False
1773109545687,0.0276212,0.008371418,0.8771594,0.2220839,0.9048757,0.001855493,-0.2714809,-0.9259933,0.2623569,149.5801,0.001922848,-0.2813358,-0.9596074,-0.02998202,0.9887946,0.2732818,1.026302,-0.02876546,0.9886477,0.2691557,1.025035,-0.0395803,0.9807035,0.2656622,1.01682,-0.01491459,-0.07646882,0.1108482,0.1354889,-0.01654798,-0.0779258,0.1068792,0.1333021,-0.003165711,-0.07932018,0.1012063,0.1286251,0,0,0,0,0,0,0,0,0,1,0,0,-0.166393,0.7376923,0.2371321,0.7925328,0.1408288,0.1328142,0.6708622,0.7158713,88.5707,0.2016933,0.1902149,0.9608009,-0.05949141,0.7650501,0.3051279,0.8257989,-0.0544232,0.7478567,0.3346422,0.8211194,-0.05581158,0.7313547,0.3156083,0.7985006,0.03593556,-0.07498245,0.1082378,0.1364886,0.01817563,-0.06919431,0.1394358,0.156718,0.0007642658,-0.07650433,0.1207474,0.1429456,0,0,0,0,0,0,0,0,0,1,0,0,-0.04748861,0.9999419,0.2968325,1.04415,0.02869087,-0.05250888,-0.03164578,-0.9977065,352.2376,0.4238681,-0.7757466,-0.467523,0.09748861,5.811453E-05,0.00316748,0.09754007,0.3479481,-0.5030874,-0.6568558,-0.4408808,232.3202,0.3876575,-0.560502,-0.7318192,-0.03004104,1.130908,-0.02826202,1.13166,-0.05215771,-0.09331816,0.01939315,-0.9940801,347.525,-0.4800527,-0.858888,0.178492,False
1773109545701,0.0415627,0.009399338,0.8768028,0.2211907,0.9043212,-0.01522341,-0.2766349,-0.9196715,0.2782908,147.6836,-0.01584952,-0.2880123,-0.9574956,-0.02956359,0.9888475,0.2715319,1.025877,-0.02882603,0.9887622,0.2675709,1.024732,-0.03958434,0.9804642,0.2645216,1.016292,-0.01509884,-0.0764768,0.1110763,0.1357005,-0.01646866,-0.07809756,0.1074013,0.1338113,-0.003084873,-0.07955135,0.10159,0.1290677,0,0,0,0,0,0,0,0,0,1,0,0,-0.1664321,0.737625,0.2371333,0.7924787,0.1408643,0.132704,0.6709133,0.7158368,88.57636,0.201734,0.1900475,0.9608255,-0.05949584,0.7648979,0.3050919,0.825645,-0.05445666,0.7477835,0.3346044,0.8210395,-0.05582684,0.7312672,0.3157167,0.7984644,0.03585652,-0.07505295,0.1082034,0.1364793,0.01818414,-0.06923267,0.1393899,0.1566951,0.0007542684,-0.07649818,0.1208539,0.1430322,0,0,0,0,0,0,0,0,0,1,0,0,-0.04655836,0.9999073,0.2953342,1.04365,0.03967957,-0.07123704,-0.0433373,-0.9957272,349.4032,0.4296965,-0.7714373,-0.4693066,0.09655836,9.268522E-05,0.004665822,0.09667107,0.3365785,-0.4977855,-0.6524668,-0.4617486,235,0.3794525,-0.5611944,-0.7355792,-0.02981126,1.130919,-0.02819957,1.131663,-0.05213071,-0.09316861,0.01943112,-0.9940948,347.5406,-0.4804,-0.8585765,0.1790635,False
1773109545715,0.0554279,0.01014272,0.8762304,0.2208012,0.903679,-0.04020333,-0.2768354,-0.9127648,0.2976682,145.3648,-0.04211231,-0.2899804,-0.9561056,-0.0282303,0.9884182,0.2719821,1.025545,-0.02874132,0.9886981,0.2681746,1.024826,-0.03940816,0.9799554,0.2655303,1.016057,-0.01561199,-0.076005,0.1116856,0.1359932,-0.0162796,-0.07843696,0.1085088,0.134876,-0.002939354,-0.07996766,0.102314,0.1298908,0,0,0,0,0,0,0,0,0,1,0,0,-0.1664867,0.7375786,0.237165,0.7924564,0.1409579,0.13244,0.671122,0.7156716,88.60347,0.2018191,0.1896234,0.9608912,-0.05953154,0.7647682,0.3051047,0.8255321,-0.05452776,0.7477375,0.3346201,0.8210087,-0.05587832,0.7312158,0.3158279,0.7984649,0.03576715,-0.07513116,0.1081631,0.136467,0.01819645,-0.06926624,0.1393446,0.1566711,0.0007502955,-0.07649793,0.120915,0.1430836,0,0,0,0,0,0,0,0,0,1,0,0,-0.04473616,0.9992186,0.2959373,1.043081,0.04805745,-0.09933152,-0.05659824,-0.9922804,345.7523,0.3875154,-0.8009683,-0.4563848,0.09473616,0.0007814169,0.004062682,0.09482645,0.3202316,-0.485809,-0.651395,-0.486956,238.2814,0.3666382,-0.5562105,-0.7457925,-0.02955617,1.130896,-0.02814032,1.131632,-0.05209866,-0.09315234,0.01943135,-0.994098,347.5439,-0.4802347,-0.8586591,0.1791141,False
1773109545729,0.0693076,0.01083412,0.8757166,0.2204237,0.9030966,-0.0607843,-0.2779426,-0.9057837,0.3140209,143.3966,-0.06402283,-0.2927511,-0.9540429,-0.02718516,0.9881202,0.2719873,1.025231,-0.02872862,0.988664,0.2683913,1.024849,-0.039333,0.9795809,0.2661283,1.015849,-0.01603349,-0.0755944,0.112205,0.1362407,-0.01612513,-0.07870726,0.1094461,0.1357693,-0.002803563,-0.08034529,0.1029875,0.1306508,0,0,0,0,0,0,0,0,0,1,0,0,-0.1665473,0.737529,0.2371984,0.7924331,0.1410619,0.1321653,0.671347,0.7154908,88.63313,0.2019144,0.18918,0.9609587,-0.05957372,0.7646345,0.3051193,0.8254167,-0.05460611,0.7476888,0.3346373,0.8209766,-0.05593716,0.7311634,0.3159355,0.7984636,0.03567517,-0.07521041,0.1081221,0.136454,0.01820843,-0.06929941,0.1392982,0.1566459,0.0007471881,-0.0764983,0.1209702,0.1431305,0,0,0,0,0,0,0,0,0,1,0,0,-0.0433302,0.9987351,0.2960273,1.042584,0.05619771,-0.1223095,-0.06812327,-0.9885553,342.6465,0.3725178,-0.8107529,-0.4515687,0.0933302,0.00126493,0.003972709,0.09342328,0.3063772,-0.4761452,-0.6489892,-0.5081653,241.0834,0.3557314,-0.5528474,-0.7535348,-0.02926232,1.130861,-0.028076,1.131588,-0.05217975,-0.09320473,0.01957623,-0.994086,347.5312,-0.4804945,-0.8582708,0.1802667,False
1773109545742,0.0831747,0.01138988,0.8755356,0.2195279,0.9027097,-0.08778882,-0.2710037,-0.8989443,0.3327904,141.1235,-0.09309517,-0.2873844,-0.9532804,-0.0259988,0.9873691,0.2730795,1.024766,-0.02763467,0.9881036,0.269644,1.024607,-0.03850611,0.9791988,0.2684043,1.016048,-0.01574128,-0.07563133,0.1123871,0.1363772,-0.01607625,-0.07878377,0.1098175,0.1361073,-0.002617584,-0.08081513,0.1038652,0.1316279,0,0,0,0,0,0,0,0,0,1,0,0,-0.1665439,0.7374667,0.2371775,0.7923681,0.1413188,0.1318459,0.6717339,0.7151359,88.69132,0.2021771,0.1886247,0.9610128,-0.05956195,0.7645149,0.3050862,0.8252928,-0.05461189,0.7476347,0.3345872,0.8209072,-0.05593276,0.7311223,0.3159464,0.7984299,0.03559083,-0.07527611,0.1080889,0.1364419,0.01821753,-0.06933209,0.1392505,0.1566191,0.0007511144,-0.07649379,0.1209958,0.1431497,0,0,0,0,0,0,0,0,0,1,0,0,-0.04055884,0.9978178,0.2978328,1.042108,0.05825964,-0.1537106,-0.08062825,-0.9830961,338.9004,0.3182019,-0.8395348,-0.4403746,0.09055884,0.002182245,0.002167255,0.09061106,0.2890944,-0.4579455,-0.6513855,-0.5314202,244.2029,0.3412721,-0.5405985,-0.7689519,-0.02895528,1.13079,-0.02805338,1.131509,-0.05242258,-0.09358182,0.02004696,-0.9940284,347.4706,-0.4804041,-0.8575901,0.1837117,False
1773109545756,0.0972076,0.01197483,0.8753468,0.2186053,0.9023103,-0.1096755,-0.266728,-0.8918909,0.3483649,139.2253,-0.1170048,-0.2845527,-0.9514934,-0.02497149,0.9868762,0.2734054,1.024353,-0.02677285,0.9877858,0.2701694,1.024416,-0.03778702,0.9789709,0.2697695,1.016163,-0.01556919,-0.07563437,0.112579,0.1365174,-0.01601739,-0.07887401,0.1102485,0.1365005,-0.002448802,-0.08121949,0.104658,0.1324987,0,0,0,0,0,0,0,0,0,1,0,0,-0.1665411,0.737401,0.2371543,0.7922994,0.1416686,0.131451,0.6722439,0.7146599,88.76933,0.2025365,0.1879289,0.9610732,-0.05955841,0.7644019,0.3050584,0.8251776,-0.05462068,0.7475802,0.3345355,0.8208371,-0.0559293,0.7310882,0.3159437,0.7983974,0.03550536,-0.0753407,0.1080564,0.1364296,0.01822587,-0.06936439,0.1392018,0.156591,0.0007566731,-0.07648918,0.1210123,0.1431613,0,0,0,0,0,0,0,0,0,1,0,0,-0.03831933,0.9972329,0.2985899,1.04168,0.06160587,-0.1788855,-0.09136668,-0.9776793,335.7433,0.2932179,-0.8514193,-0.4348668,0.08831933,0.002767146,0.001410156,0.08837392,0.2745657,-0.4436733,-0.651466,-0.5507811,246.8412,0.3289591,-0.5315681,-0.7805261,-0.02859864,1.130675,-0.028058,1.131384,-0.05281482,-0.09393158,0.02030852,-0.9939694,347.4088,-0.4816321,-0.8565866,0.1851987,False
1773109545770,0.1110222,0.01257817,0.8751535,0.2176707,0.9019049,-0.128512,-0.2638882,-0.884771,0.3619779,137.5566,-0.1378608,-0.2830851,-0.949135,-0.02397911,0.986551,0.2733226,1.023994,-0.02605646,0.9876342,0.2703525,1.0243,-0.03712578,0.9788284,0.2706355,1.016232,-0.01552289,-0.07558333,0.1127971,0.1366638,-0.01594293,-0.07898528,0.1107676,0.1369756,-0.00229082,-0.08157944,0.1053976,0.1333008,0,0,0,0,0,0,0,0,0,1,0,0,-0.1665388,0.7373321,0.2371291,0.7922273,0.1420936,0.1310111,0.672847,0.7140886,88.86289,0.2029748,0.187144,0.961134,-0.05955979,0.7642946,0.3050313,0.8250683,-0.05462965,0.7475265,0.3344793,0.8207659,-0.05592534,0.7310606,0.3159263,0.7983649,0.03541904,-0.07540418,0.1080245,0.136417,0.01823384,-0.06939628,0.139152,0.1565618,0.0007638152,-0.0764844,0.1210202,0.1431654,0,0,0,0,0,0,0,0,0,1,0,0,-0.04007475,0.9975218,0.2894712,1.039447,0.06555681,-0.2003708,-0.1009923,-0.9722934,332.9625,0.2804405,-0.8571511,-0.4320273,0.09007475,0.002478242,0.01052877,0.09072187,0.2616971,-0.4316525,-0.6502841,-0.5677337,249.1847,0.3178974,-0.5243514,-0.7899348,-0.02810826,1.13041,-0.02823497,1.131112,-0.05332617,-0.09440795,0.02042933,-0.9938945,347.3307,-0.4833111,-0.8556476,0.1851572,False
1773109545784,0.1248419,0.01285146,0.8752742,0.2169671,0.9018564,-0.1354339,-0.2610387,-0.8823713,0.3673383,136.8969,-0.1456141,-0.2806604,-0.9486972,-0.0235848,0.9864032,0.2733237,1.023842,-0.02560605,0.9875605,0.2704691,1.024248,-0.03669218,0.9787273,0.2709797,1.01621,-0.01541503,-0.07564543,0.1128211,0.1367057,-0.01593786,-0.07898508,0.1109171,0.1370958,-0.002238721,-0.08166042,0.1056001,0.1335096,0,0,0,0,0,0,0,0,0,1,0,0,-0.1664759,0.7373131,0.2371143,0.7921919,0.1420951,0.1308776,0.6729292,0.7140353,88.87161,0.2029612,0.1869387,0.9611768,-0.05948943,0.7642168,0.305012,0.8249841,-0.05457469,0.7475078,0.3344256,0.8207233,-0.05589621,0.7310587,0.3158998,0.7983508,0.03535743,-0.07544452,0.1080054,0.1364082,0.01823933,-0.06943382,0.1390954,0.1565287,0.0007811082,-0.07647766,0.1209808,0.1431286,0,0,0,0,0,0,0,0,0,1,0,0,-0.03935343,0.9972737,0.2897161,1.039249,0.0652729,-0.208763,-0.104908,-0.9701298,331.9215,0.2690709,-0.8605725,-0.4324563,0.08935343,0.002726316,0.01028389,0.0899846,0.2574277,-0.4256514,-0.6506681,-0.573745,250.0236,0.3143064,-0.5196992,-0.7944334,-0.02774575,1.130331,-0.02831083,1.131026,-0.05393593,-0.09479421,0.02046753,-0.993824,347.2578,-0.4860505,-0.8542501,0.1844457,False
1773109545799,0.1388554,0.01313004,0.8753774,0.216288,0.9017974,-0.1437402,-0.2587876,-0.8790388,0.3737094,136.1109,-0.1549683,-0.2790025,-0.9477038,-0.0232387,0.9863189,0.273185,1.023716,-0.0251922,0.9875433,0.2705086,1.024232,-0.03628846,0.9786547,0.271268,1.016203,-0.01531658,-0.07573509,0.1128465,0.1367653,-0.01592762,-0.07897567,0.1111252,0.1372576,-0.002179379,-0.08175217,0.1058279,0.133745,0,0,0,0,0,0,0,0,0,1,0,0,-0.16641,0.7372943,0.2370983,0.7921558,0.1420886,0.1307508,0.6730038,0.7139896,88.8791,0.2029383,0.1867452,0.9612193,-0.05941793,0.7641417,0.3049942,0.8249028,-0.05451681,0.7474891,0.3343689,0.8206794,-0.05586904,0.7310599,0.3158614,0.7983347,0.03529831,-0.07548118,0.1079885,0.1363998,0.01824403,-0.06947187,0.1390371,0.1564944,0.0008008648,-0.07647057,0.1209286,0.1430808,0,0,0,0,0,0,0,0,0,1,0,0,-0.03863776,0.997079,0.2898437,1.039071,0.06614386,-0.2185408,-0.1095899,-0.967396,330.658,0.2611609,-0.8628813,-0.4327022,0.08863776,0.002920985,0.01015627,0.08926553,0.2519749,-0.4193036,-0.6503062,-0.5812015,251.0702,0.3096429,-0.5152671,-0.7991379,-0.02737487,1.130245,-0.02841197,1.130933,-0.05447342,-0.09532069,0.0208307,-0.9937367,347.168,-0.4874729,-0.8530079,0.1864103,False
