Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773115745260,0,1,1,135,-0.5535648,0.330176,0.7645586,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,-0.5114272,0.3050428,0.70636,0.3826834,135,-0.5535648,0.330176,0.7645586
Trial Start,1773115754784,0,1,1,135,-0.5535648,0.330176,0.7645586,1,-0.05095207,1.000755,0.3006607,1.046185,0.001496866,0.007149999,-0.006561375,0.9999518,1.12534,0.1524241,0.728076,-0.6681371,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1009521,-0.0007549524,-0.0006607175,0.1009571,-0.5049234,0.3045903,0.7129502,0.3794458,135.4013,-0.5457369,0.3292106,0.7705787
Grab,1773115756213,1.430955,1,1,135,-0.5535648,0.330176,0.7645586,1,-0.04588001,1.010124,0.3025518,1.055459,-0.5781,0.3568816,0.06613053,0.7307959,86.09368,-0.8469139,0.5228298,0.09688093,0.1265972,-0.05895187,0.0275438,0.1423406,-0.2840417,-0.1696095,-0.8572453,-0.3945675,226.478,-0.3091217,-0.1845855,-0.9329374,-0.1007481,0.147626,0.2708713,0.3245226,-0.5968097,-0.1191868,0.7122646,0.3497027,139.0617,-0.6370314,-0.1272193,0.7602673,0.09588002,-0.01012397,-0.002551764,0.09644679,0.0793946,0.4608772,0.4970717,0.7308957,86.07693,0.1163309,0.6752887,0.7283217
Release,1773115758073,3.292131,1,1,135,-0.5535648,0.330176,0.7645586,1,-0.009069238,0.9881973,0.2833594,1.028061,-0.5533018,0.2257752,0.7312458,0.3288805,141.5983,-0.5858942,0.2390745,0.77432,0.1213478,-0.05867931,0.0483541,0.1432015,-0.3802717,-0.03373603,-0.8197502,-0.426925,230.5451,-0.420521,-0.03730677,-0.9065155,-0.09506248,0.1831705,0.2391548,0.315885,-0.3943697,-0.2428465,0.7844246,-0.4125243,228.727,-0.4329229,-0.266587,0.8611093,0.05906924,0.01180267,0.01664063,0.06249311,-0.02004175,0.0307735,-0.1008408,0.9942247,12.32168,-0.186748,0.2867459,-0.9396296
Grab,1773115762005,7.227368,1,1,135,-0.5535648,0.330176,0.7645586,1,-0.0005499995,0.9838577,0.2897059,1.025625,-0.6289511,-0.2337135,0.5017141,0.5459685,113.8183,-0.7507123,-0.278959,0.5988429,0.1083258,-0.07021702,0.02932828,0.1323823,-0.627791,0.174238,-0.5512766,-0.5211657,242.821,-0.7355874,0.204156,-0.6459348,-0.07042073,0.131017,-0.48352,0.5058815,-0.6271753,-0.6097225,0.04235743,-0.4827998,237.7368,-0.7161736,-0.6962442,0.0483681,0.05055,0.01614231,0.01029411,0.0540541,-0.3566641,0.4436577,-0.1177318,0.8136939,71.08315,-0.6135697,0.763225,-0.2025341
Release,1773115763268,8.4907,1,1,135,-0.5535648,0.330176,0.7645586,1,0.04105288,1.003081,0.2858965,1.043836,-0.3559147,0.03325458,0.8917329,0.2775452,147.7725,-0.3704695,0.0346145,0.9281995,0.1031548,-0.07337154,0.05309726,0.137272,-0.5981104,0.4249618,-0.4274794,-0.528141,243.7599,-0.704358,0.5004514,-0.5034163,-0.08874112,0.1775757,-0.4954553,0.5337453,-0.8770393,-0.07463332,0.1280152,-0.4569949,234.3867,-0.9860252,-0.08390769,0.1439231,0.008947119,-0.003081083,0.01410347,0.01698387,-0.2542685,-0.1327153,-0.2367665,0.928265,43.66811,-0.683665,-0.3568387,-0.6366064
Grab,1773115764883,10.09663,1,1,135,-0.5535648,0.330176,0.7645586,1,0.05226005,0.992368,0.304209,1.039263,-0.1905987,0.05096135,0.974114,0.1103501,167.329,-0.1917699,0.05127449,0.9800997,0.1129772,-0.06537327,0.02228244,0.1324161,-0.5360922,0.3426324,-0.5998712,-0.485142,238.0436,-0.6130725,0.3918328,-0.6860097,-0.1254747,0.1917656,-0.4844204,0.5358928,-0.8471382,0.1612004,0.1931876,-0.4680277,235.8127,-0.9586115,0.1824124,0.2186088,-0.002260052,0.007631958,-0.004208982,0.009003895,-0.2446465,-0.3493977,-0.3269081,0.8433271,65.01374,-0.4552403,-0.6501622,-0.6083134
On Target,1773115765767,11.00261,1,1,135,-0.5535648,0.330176,0.7645586,1,0.04094369,0.9927806,0.2974021,1.037178,-0.5332327,0.2368109,0.7362313,0.3428513,139.8986,-0.5676374,0.2520902,0.7837336,0.1113128,-0.07123597,0.0275425,0.1349951,-0.5534722,0.1874286,-0.512912,-0.6288564,257.9316,-0.7118416,0.2410591,-0.6596757,-0.102916,0.1721974,-0.4892591,0.5287893,-0.9391111,-0.1921228,-0.09048679,-0.2701321,211.3443,-0.9753723,-0.1995411,-0.09398069,0.009056315,0.007219374,0.002597868,0.0118695,-0.02859249,0.01408633,-0.08111431,0.9961951,9.9995,-0.3280786,0.1616307,-0.9307291
Off Target,1773115765906,11.14078,1,1,135,-0.5535648,0.330176,0.7645586,1,0.03751732,0.9952561,0.294811,1.03868,-0.5567938,0.2286056,0.722683,0.3397787,140.2732,-0.5920155,0.2430667,0.7683985,0.1123051,-0.06707659,0.02785348,0.1337443,-0.5579544,0.1782636,-0.4950665,-0.6417305,259.842,-0.7275166,0.2324378,-0.6455171,-0.1007589,0.1691986,-0.4906521,0.5286965,-0.938527,-0.2062148,-0.09517289,-0.2599705,210.1366,-0.9719458,-0.2135577,-0.09856178,0.01248268,0.004743874,0.005189061,0.01432648,-0.01966771,0.03986065,-0.08948357,0.994996,11.46851,-0.1968451,0.3989469,-0.8955998
Release,1773115768017,13.23847,1,1,135,-0.5535648,0.330176,0.7645586,1,0.04309498,0.9982695,0.2973291,1.042499,-0.6168526,0.3081273,0.6809474,0.2467003,151.4353,-0.6365265,0.3179547,0.7026656,0.1193445,-0.05982516,0.0429024,0.140224,-0.4187718,0.08740178,-0.6513836,-0.6266502,257.6068,-0.5373688,0.1121541,-0.8358567,-0.1244187,0.1594042,-0.4923009,0.5322123,-0.9244261,-0.1956664,-0.2166348,-0.2453986,208.4108,-0.9535845,-0.2018382,-0.2234679,0.006905019,0.001730502,0.002670914,0.007603138,0.1198207,0.04480395,-0.1169098,0.9848694,19.95926,0.6914141,0.2585369,-0.6746171
