Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,135,-0.5535648,0.330176,0.7645586,1,19.04523,False,-0.007085737,0.0009252429,-0.001289636,0.007261329,0.001026307,0.02472623,0.01602057,0.9995654,3.378446,0.03481555,0.8387915,0.543468,0.2530027,0.2114049,0.2650337,0,0,0,0.4496503,314.912,0,0,0.3780765,524.8315,0.2180052,420.2562,0,0,0.05415346,11.12233,8.446802,0
1,2,135,-0.5345231,0.2790911,-0.7977426,1,26.75183,False,-0.0007569715,-0.003556728,-0.004596621,0.005861079,-0.01269052,-0.001344611,-0.03538061,-0.9992925,355.6892,-0.3374211,-0.03575109,-0.940715,0.3649444,0.3521577,0.3738925,0,0,0,0.8931308,439.5039,0,0,0.4403054,752.0241,0.3437722,617.7281,0,0,0.07878438,14.94015,12.63671,0
1,3,135,-0.311713,0.949826,-0.02579963,1,21.00217,False,-0.001574554,-0.00203383,0.002638966,0.003685081,0.07509744,-0.01903516,-0.02065067,0.9967808,9.197492,0.9366449,-0.237414,-0.2575632,0.3373339,0.3418534,0.4034576,0,0,0,0.6285409,336.1451,0,0,0.4849649,731.5265,0.3212883,647.097,0,0,0.08032592,14.61525,11.83119,0
1,4,135,-0.669221,0.3715115,-0.6435235,1,16.94817,False,0.002155986,0.0002706051,0.007995665,0.00828566,-0.02352485,0.03657251,0.07079919,-0.9965423,350.468,-0.2831372,0.4401744,0.8521153,0.1878121,0.1744562,0.1706195,0,0,0,0.4511231,207.9455,0,0,0.2349883,436.3657,0.1876692,375.3067,0,0,0.04592612,8.62089,5.920022,0
1,5,135,-0.5676125,-0.3763026,0.7322652,1,22.54123,False,-0.002686311,-0.001818299,0.0006384254,0.003306065,0.07584821,-0.03864277,0.003471255,0.9963643,9.774478,0.8902902,-0.4535806,0.04074485,0.3321303,0.2928094,0.340112,0,0,0,0.5921282,309.1849,0,0,0.389329,648.5356,0.2908979,595.9966,0,0,0.07211222,11.52637,14.29279,0
1,6,135,0.7370033,-0.6125015,0.2857763,1,18.22555,False,-0.002799615,0.003048837,8.523464E-06,0.004139242,0.0665726,0.01938015,0.02750725,-0.9972141,351.4444,0.8924891,0.2598152,0.3687692,0.3579939,0.3277481,0.3656311,0,0,0,0.6666089,352.1806,0,0,0.4253253,730.5421,0.3103437,588.1192,0,0,0.07009783,13.08689,9.147097,0
1,7,135,-0.8083448,-0.5713907,-0.1417435,0.9999999,16.14217,False,0.002843764,-0.002067804,0.004852682,0.005992606,-0.02371333,0.03220245,-0.0007741461,-0.9991998,355.4152,-0.5928392,0.8050694,-0.01935385,0.2502145,0.2890801,0.2778006,0,0,0,0.562789,285.1693,0,0,0.3863069,572.7835,0.2394541,459.9609,0,0,0.05281214,7.674377,9.45885,0
1,8,135,0.6727439,-0.04375066,-0.7385807,1,18.24587,False,-0.0003200956,0.001257181,0.01539671,0.01545127,-0.03810715,-0.02170145,-0.004015772,0.9990301,5.047813,-0.8653618,-0.4928105,-0.09119272,0.310389,0.2796751,0.3685266,0,0,0,0.7537136,312.5445,0,0,0.365248,567.853,0.3213482,593.6931,0,0,0.06652362,11.78115,9.533003,0
1,9,135,-0.4132264,0.8792942,0.2368239,0.9999999,16.67473,False,-0.002865113,0.002383769,0.003958553,0.005437037,0.02006667,0.06276187,-0.01299591,0.9977422,7.70194,0.2987831,0.9344943,-0.1935029,0.2127034,0.2307618,0.2601505,0,0,0,0.3716838,243.0079,0,0,0.3001753,503.8546,0.1903054,429.3528,0,0,0.06158176,10.97856,8.986099,0
1,10,135,0.7452896,0.5044228,-0.4360057,1,16.36825,False,-0.002714485,-0.0009888411,0.006685883,0.007283355,0.08022141,-0.01506518,-0.007847262,0.9966324,9.406976,0.9783186,-0.1837233,-0.09569916,0.2666768,0.3101651,0.3315376,0,0,0,0.5172061,295.3208,0,0,0.3611052,612.4244,0.246063,485.9105,0,0,0.04741487,10.74245,7.134976,0
