Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773116684357,0,1,1,135,0.2609696,0.8199515,0.5094845,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.2411045,0.7575364,0.4707024,0.3826834,135,0.2609696,0.8199515,0.5094846
Grab,1773116690119,4.8254,1,1,135,0.2609696,0.8199515,0.5094845,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.2411045,0.7575364,0.4707024,0.3826834,135,0.2609696,0.8199515,0.5094846
Trial Start,1773116690142,0,1,1,135,0.2609696,0.8199515,0.5094845,1,-1,-0.05000003,1,0.3,1.045227,0.004966955,0.004067376,-0.0006889966,0.9999792,0.7391306,0.7700562,0.6305893,-0.1068192,0.1,0,0,0.1,0.2416352,0.75346,0.4737383,0.3866299,134.5101,0.2620104,0.8169935,0.513685
Release,1773116690424,0.2908176,1,1,135,0.2609696,0.8199515,0.5094845,1,0,-0.04429235,0.9857359,0.3079957,1.033682,0.05400433,0.1719094,0.1470239,0.9725815,26.89594,0.2322145,0.7391972,0.6321914,0.09429234,0.01426411,-0.007995725,0.09569975,0.1833694,0.6810071,0.400995,0.5846436,108.4444,0.226022,0.8394124,0.4942681
Grab,1773116691006,0.8741373,1,1,135,0.2609696,0.8199515,0.5094845,1,0,-0.04429235,0.9857359,0.3079957,1.033682,0.05400433,0.1719094,0.1470239,0.9725815,26.89594,0.2322145,0.7391972,0.6321914,0.09429234,0.01426411,-0.007995725,0.09569975,0.1833694,0.6810071,0.400995,0.5846436,108.4444,0.226022,0.8394124,0.4942681
Release,1773116691284,1.15212,1,1,135,0.2609696,0.8199515,0.5094845,1,0,-0.01802555,0.9926381,0.2938728,1.035382,0.1239365,0.05654299,0.05822929,0.9889652,17.03927,0.8365704,0.3816648,0.3930473,0.06802554,0.007361889,0.006127179,0.06869654,0.1735196,0.6832411,0.5234785,0.4785843,122.814,0.1976212,0.778142,0.5961887
Grab,1773116692297,2.166276,1,1,135,0.2609696,0.8199515,0.5094845,1,0,-0.01802555,0.9926381,0.2938728,1.035382,0.1239365,0.05654299,0.05822929,0.9889652,17.03927,0.8365704,0.3816648,0.3930473,0.06802554,0.007361889,0.006127179,0.06869654,0.1735196,0.6832411,0.5234785,0.4785843,122.814,0.1976212,0.778142,0.5961887
Release,1773116692382,2.250115,1,1,135,0.2609696,0.8199515,0.5094845,1,0,-0.0154306,0.9909,0.2999072,1.035406,0.2800787,-0.08630224,0.2424397,0.924841,44.71122,0.7363633,-0.2268998,0.6374053,0.0654306,0.00910002,9.280443E-05,0.06606044,-0.1084777,0.6602467,0.5755249,0.4701894,123.9068,-0.1229118,0.7480993,0.6521044
Grab,1773116692646,2.513423,1,1,135,0.2609696,0.8199515,0.5094845,1,0,-0.0154306,0.9909,0.2999072,1.035406,0.2800787,-0.08630224,0.2424397,0.924841,44.71122,0.7363633,-0.2268998,0.6374053,0.0654306,0.00910002,9.280443E-05,0.06606044,-0.1084777,0.6602467,0.5755249,0.4701894,123.9068,-0.1229118,0.7480993,0.6521044
Release,1773116693270,3.138578,1,1,135,0.2609696,0.8199515,0.5094845,1,0,-0.02221819,0.9908526,0.2868551,1.031779,0.2516704,0.5915937,0.3825905,0.6635536,96.85709,0.3363999,0.7907646,0.5113966,0.07221819,0.009147406,0.01314494,0.07397251,0.05231399,0.2500553,0.2139388,0.9428499,38.9284,0.1569964,0.7504259,0.6420389
