Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.2609696,0.8199515,0.5094845,1,6.902322,False,0.00569595,-0.003068328,0.005463958,0.008468372,-0.001400797,0.07205608,-0.01913185,0.9972162,8.552443,-0.01878629,0.9663541,-0.2565799,0.08564273,0.1046471,0.1530553,0.2122134,154.2414,0.1555979,348.3712,0,0,0,0,0,0,0,0.2304401,277.4327,0.05947794,14.04579
1,3,135,0.7758706,-0.6308636,-0.005996585,1,8.221704,False,0.0005141012,0.003556132,0.005699188,0.006737293,0.03399574,-0.04234806,-0.009799447,0.9984763,6.326576,0.6160688,-0.7674292,-0.177585,0.2046172,0.1556766,0.2521121,0.2806299,253.5466,0.1786726,578.2407,0,0,0,0,0,0,0,0.2945993,678.0804,0.046401,4.994087
1,4,135,0.8662964,0.2118162,-0.4523987,1,5.055219,False,-0.001942907,0.001098514,0.000164032,0.002237973,0.02077202,0.03633942,0.03991916,0.9983258,6.631759,0.3591246,0.628267,0.6901566,0.06352282,0.07757313,0.1287313,0.1750322,97.85607,0.08037616,188.9076,0,0,0,0,0,0,0,0.1758841,217.5585,0.02651191,3.577306
1,5,135,-0.3863892,-0.8688721,-0.3094586,1,10.48559,False,-0.00318953,0.001239181,0.0003845692,0.003443336,0.01627922,-0.03304212,-0.05989238,0.997525,8.063836,0.2315281,-0.4699352,-0.8518079,0.1773491,0.1719718,0.1650255,0.3879815,235.0647,0.1738083,457.4251,0,0,0,0,0,0,0,0.3499454,379.8275,0.07370465,12.76271
1,6,135,0.2061725,-0.1656409,0.9643941,1,14.97052,False,-0.0007743239,0.00331068,0.0008460879,0.003503719,-0.03855866,-0.002596928,0.03512879,0.9986354,5.98725,-0.7383183,-0.04972577,0.6726434,0.1932583,0.1848233,0.2088632,0.538788,305.4616,0.184759,423.8545,0,0,0,0,0,0,0,0.4266295,390.6109,0.1239065,28.41655
1,7,135,-0.2468244,0.6031723,0.7584596,1,24.72031,False,-0.002199125,-0.00141108,0.000674963,0.00269868,0.02844471,-0.02430343,-0.05969279,0.9975155,8.079557,0.4037639,-0.3449797,-0.8473209,0.3872945,0.362321,0.4512035,0.8796769,472.0789,0.3997281,785.1981,0,0,0,0,0,0,0,0.7007792,824.919,0.169753,31.95055
1,8,135,-0.9476523,0.1543166,0.2795379,0.9999999,14.78933,False,-0.001626279,0.00171864,0.002531052,0.003464784,0.03569478,0.01080197,0.00416953,0.9992957,4.30099,0.9512354,0.2878633,0.1111144,0.1769611,0.1871977,0.2734856,0.5066878,318.2463,0.2026359,516.3777,0,0,0,0,0,0,0,0.4296941,487.4505,0.08835755,17.41337
1,9,135,0.09965176,0.04021087,-0.9942095,1,13.06791,False,-0.005019601,-0.0002324581,0.0001696944,0.005027846,-0.05331418,-0.0187618,0.01012222,0.9983503,6.583165,-0.9285405,-0.3267629,0.1762925,0.1733941,0.218566,0.2367471,0.3922891,248.7256,0.2747758,552.8848,0,0,0,0,0,0,0,0.3348793,474.619,0.08489958,16.03674
1,10,135,0.889703,0.1749184,0.4217014,1,16.1381,False,-0.003553979,0.001537144,0.004992336,0.00631799,0.04176065,-0.01780112,-0.03222181,0.9984492,6.382524,0.7501544,-0.3197648,-0.5788064,0.2691958,0.3627969,0.3885136,0.6193963,457.1131,0.3232611,774.7335,0,0,0,0,0,0,0,0.5526322,808.3945,0.1378313,31.00492
1,11,135,-0.1050379,0.875081,0.4724407,0.9999999,6.776827,False,-0.001335472,-0.002294421,0.004604518,0.005315021,-0.01391684,0.01797989,-0.03132221,0.9992508,4.436111,-0.3595802,0.4645604,-0.8092961,0.1010158,0.1495396,0.1256685,0.2348526,197.6057,0.1212149,267.0042,0,0,0,0,0,0,0,0.2374191,284.6921,0.04761395,9.937671
