Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Thumb Tip Euro Position X,Right Thumb Tip Euro Position Y,Right Thumb Tip Euro Position Z,Right Thumb Tip Euro Position Magnitude,Right Index Tip Euro Position X,Right Index Tip Euro Position Y,Right Index Tip Euro Position Z,Right Index Tip Euro Position Magnitude,Right Middle Tip Euro Position X,Right Middle Tip Euro Position Y,Right Middle Tip Euro Position Z,Right Middle Tip Euro Position Magnitude,Right Triangle Local Position X,Right Triangle Local Position Y,Right Triangle Local Position Z,Right Triangle Local Position Magnitude,Right Triangle Local Rotation X,Right Triangle Local Rotation Y,Right Triangle Local Rotation Z,Right Triangle Local Rotation W,Right Triangle Local Rotation Angle,Right Triangle Local Rotation Axis X,Right Triangle Local Rotation Axis Y,Right Triangle Local Rotation Axis Z,Right Triangle Area,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Right Angle Scale Factor,Right Is Grabbed,Right Is Rotating,Right Is Clutching,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Thumb Tip Euro Position X,Left Thumb Tip Euro Position Y,Left Thumb Tip Euro Position Z,Left Thumb Tip Euro Position Magnitude,Left Index Tip Euro Position X,Left Index Tip Euro Position Y,Left Index Tip Euro Position Z,Left Index Tip Euro Position Magnitude,Left Middle Tip Euro Position X,Left Middle Tip Euro Position Y,Left Middle Tip Euro Position Z,Left Middle Tip Euro Position Magnitude,Left Triangle Local Position X,Left Triangle Local Position Y,Left Triangle Local Position Z,Left Triangle Local Position Magnitude,Left Triangle Local Rotation X,Left Triangle Local Rotation Y,Left Triangle Local Rotation Z,Left Triangle Local Rotation W,Left Triangle Local Rotation Angle,Left Triangle Local Rotation Axis X,Left Triangle Local Rotation Axis Y,Left Triangle Local Rotation Axis Z,Left Triangle Area,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Left Angle Scale Factor,Left Is Grabbed,Left Is Rotating,Left Is Clutching,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773116838062,0.0134899,0.06202899,0.9197879,0.2703574,0.9607031,-0.5196413,-0.4428117,-0.2637513,0.6814147,94.09142,-0.7099918,-0.6050186,-0.3603664,-0.04952408,0.9772652,0.2982743,1.02297,-0.04443582,1.018518,0.2902617,1.060002,-0.03844932,1.017764,0.3121201,1.065242,-0.0231613,-0.09081887,0.09768417,0.1353762,-0.02367764,-0.06848624,0.1362581,0.1543285,-0.00060282,-0.07449792,0.1349945,0.1541876,-0.02612345,-0.09151498,0.0962486,0.1353559,-0.02393083,-0.06738032,0.1383843,0.1557659,0.0003656431,-0.07132301,0.1419877,0.158895,-0.01895256,-0.08247516,0.1147317,0.1425647,-0.2271072,0.2103182,-0.1631688,0.9367841,40.96335,-0.6490487,0.6010675,-0.4663195,6.020937,-0.01873711,-0.07916205,0.1155149,0.1412849,0.5172926,0.4508272,0.2608165,0.6790714,94.45776,0.704689,0.6141455,0.3553009,1.3,True,True,False,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.05857231,-0.1374797,0.06126742,0.1615088,0.01615926,-0.1609668,0.04733571,0.1685589,-0.0001039612,-0.1550977,0.03174552,0.1583132,0.06167888,-0.04810354,0.1155126,0.1395041,0.01701632,-0.07317509,0.1295966,0.1497979,-0.0001094751,-0.08430245,0.1160356,0.1434266,0.06167887,-0.04810354,0.1155126,0.1395041,0.01701632,-0.07317507,0.1295966,0.1497979,-0.0001094751,-0.08430243,0.1160356,0.1434265,0.04090595,-0.0601928,0.1166984,0.1375317,-0.6858711,-0.1610257,0.6781226,-0.2092874,204.1612,-0.7014043,-0.1646725,0.6934803,4.920552,0,0,0,0,0,0,0,0,0,1,0,0,0.3548855,False,True,False,-0.05,1,0.3,1.045227,0.001784955,0.003187789,0.0003245849,0.9999933,0.4187135,0.4884985,0.8724198,0.08883094,0.09999999,0,0,0.09999999,-0.3965695,0.4999928,-0.6676666,0.3833553,134.9167,-0.4293731,0.5413514,-0.722895,-0.02461873,1.043216,-0.006210508,1.043525,0.1163152,-0.02697793,-0.004816612,-0.9928342,346.2736,0.9733526,-0.2257576,-0.04030653,False
1773116838077,0.0274681,0.06097538,0.9195061,0.2698328,0.9602183,-0.5235606,-0.4403474,-0.2675054,0.6785421,94.54036,-0.7127526,-0.5994697,-0.3641702,-0.04958756,0.9788172,0.2977555,1.024305,-0.04424854,1.019589,0.2892967,1.06076,-0.03842202,1.016755,0.3111624,1.063997,-0.02267972,-0.09063753,0.09793443,0.1353539,-0.02365,-0.06852228,0.1361998,0.1542887,-0.0008552804,-0.07532204,0.1329017,0.1527645,-0.02538431,-0.09133141,0.0966027,0.1353435,-0.02387223,-0.06762543,0.137906,0.1554386,0.0001089629,-0.07217389,0.1400014,0.1575102,-0.01872664,-0.08244518,0.1145999,0.1424115,-0.2265365,0.2139155,-0.1603874,0.9365881,41.0275,-0.6464488,0.6104334,-0.4576845,5.835907,-0.01852256,-0.07913356,0.1153898,0.1411383,0.519118,0.4548149,0.2605764,0.6751,95.07617,0.7036729,0.6165091,0.3532156,1.292781,True,True,False,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.05857231,-0.1374797,0.06126742,0.1615088,0.01615926,-0.1609668,0.04733571,0.1685589,-0.0001039612,-0.1550977,0.03174552,0.1583132,0.06167888,-0.04810354,0.1155126,0.1395041,0.01701632,-0.07317509,0.1295966,0.1497979,-0.0001094751,-0.08430245,0.1160356,0.1434266,0.06167887,-0.04810354,0.1155126,0.1395041,0.01701632,-0.07317507,0.1295966,0.1497979,-0.0001094751,-0.08430243,0.1160356,0.1434265,0.04090595,-0.0601928,0.1166984,0.1375317,-0.6858711,-0.1610257,0.6781226,-0.2092874,204.1612,-0.7014043,-0.1646725,0.6934803,4.920552,0,0,0,0,0,0,0,0,0,1,0,0,0.3548855,False,True,False,-0.04968526,1.001292,0.2993139,1.046252,0.003030861,0.005593929,-0.006586981,0.9999581,1.049027,0.3310803,0.6110606,-0.719538,0.09968526,-0.001291633,0.0006861389,0.09969599,-0.395187,0.5026091,-0.6634279,0.3886835,134.2548,-0.4289117,0.5455011,-0.720044,-0.02460903,1.043192,-0.006213855,1.043501,0.1161981,-0.02690774,-0.004671554,-0.9928505,346.2892,0.9734764,-0.2254259,-0.03913702,False
1773116838090,0.0414895,0.05994737,0.9192387,0.2693153,0.9597521,-0.5271768,-0.4380248,-0.2709498,0.6758736,94.95595,-0.7152838,-0.5943207,-0.3676301,-0.04960139,0.9802909,0.2973579,1.025599,-0.04411091,1.020543,0.2883818,1.061422,-0.03836939,1.015816,0.310194,1.062815,-0.02208894,-0.09044521,0.09820752,0.1353254,-0.02362044,-0.06856215,0.1361307,0.1542409,-0.001096184,-0.07595123,0.1309384,0.1513758,-0.02467467,-0.09114577,0.09694094,0.135329,-0.02381958,-0.0678267,0.1375173,0.1551736,-0.0001451567,-0.07298124,0.1380058,0.156115,-0.01853527,-0.08236197,0.1145307,0.1422826,-0.2260985,0.2181507,-0.1567611,0.936331,41.1115,-0.6439378,0.6213019,-0.446462,5.6575,-0.01834083,-0.07905458,0.1153241,0.1410166,0.5209354,0.4599039,0.2604381,0.6702889,95.82128,0.7019742,0.6197326,0.3509472,1.292384,True,True,False,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.05857231,-0.1374797,0.06126742,0.1615088,0.01615926,-0.1609668,0.04733571,0.1685589,-0.0001039612,-0.1550977,0.03174552,0.1583132,0.06167888,-0.04810354,0.1155126,0.1395041,0.01701632,-0.07317509,0.1295966,0.1497979,-0.0001094751,-0.08430245,0.1160356,0.1434266,0.06167887,-0.04810354,0.1155126,0.1395041,0.01701632,-0.07317507,0.1295966,0.1497979,-0.0001094751,-0.08430243,0.1160356,0.1434265,0.04090595,-0.0601928,0.1166984,0.1375317,-0.6858711,-0.1610257,0.6781226,-0.2092874,204.1612,-0.7014043,-0.1646725,0.6934803,4.920552,0,0,0,0,0,0,0,0,0,1,0,0,0.3548855,False,True,False,-0.04956261,1.002436,0.298538,1.04712,0.005708932,0.008893294,-0.01331179,0.9998556,1.947554,0.3359101,0.5232761,-0.7832577,0.09956262,-0.002436042,0.001461983,0.09960315,-0.3950177,0.5057355,-0.6581478,0.393744,133.6247,-0.4297313,0.5501789,-0.7159849,-0.02462135,1.043164,-0.00622789,1.043473,0.1161172,-0.02701688,-0.004620932,-0.9928573,346.2957,0.973255,-0.2264463,-0.03873108,False
1773116838104,0.0550672,0.05880151,0.9188643,0.2691972,0.9592894,-0.5306928,-0.4358607,-0.273294,0.6735734,95.31306,-0.718006,-0.589702,-0.3697558,-0.05005426,0.9811752,0.2971312,1.0264,-0.04425998,1.021218,0.2879327,1.061956,-0.03867156,1.01556,0.3097629,1.062455,-0.0219509,-0.0903993,0.09826855,0.1353166,-0.02359379,-0.06859628,0.1360969,0.1542222,-0.001220649,-0.07637727,0.1299753,0.1507599,-0.02410259,-0.09099348,0.09721391,0.1353192,-0.02377357,-0.0679877,0.1372146,0.1549689,-0.0003663236,-0.07369003,0.1362754,0.1549236,-0.01840024,-0.08226267,0.1145256,0.1422035,-0.2256897,0.2223646,-0.1538271,0.9359249,41.24381,-0.6408007,0.6313599,-0.4367613,5.504304,-0.01821262,-0.07896029,0.1153193,0.1409431,0.5228687,0.4644352,0.2596878,0.6659361,96.49165,0.700888,0.6225598,0.3481029,1.283303,True,True,False,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.05857231,-0.1374797,0.06126742,0.1615088,0.01615926,-0.1609668,0.04733571,0.1685589,-0.0001039612,-0.1550977,0.03174552,0.1583132,0.06167888,-0.04810354,0.1155126,0.1395041,0.01701632,-0.07317509,0.1295966,0.1497979,-0.0001094751,-0.08430245,0.1160356,0.1434266,0.06167887,-0.04810354,0.1155126,0.1395041,0.01701632,-0.07317507,0.1295966,0.1497979,-0.0001094751,-0.08430243,0.1160356,0.1434265,0.04090595,-0.0601928,0.1166984,0.1375317,-0.6858711,-0.1610257,0.6781226,-0.2092874,204.1612,-0.7014043,-0.1646725,0.6934803,4.920552,0,0,0,0,0,0,0,0,0,1,0,0,0.3548855,False,True,False,-0.04946459,1.003535,0.2977563,1.047944,0.00925829,0.01338328,-0.01985943,0.9996703,2.942534,0.3605896,0.5212486,-0.7734802,0.0994646,-0.003534555,0.002243668,0.09955266,-0.3960352,0.5088787,-0.6519756,0.3989066,132.9803,-0.4318853,0.5549437,-0.7109941,-0.02464001,1.043175,-0.00609807,1.043484,0.1158708,-0.02693935,-0.004703148,-0.9928878,346.325,0.9732639,-0.2262788,-0.03950439,False
1773116838118,0.0692353,0.05773349,0.9185215,0.2690808,0.9588636,-0.5340244,-0.4337735,-0.2755415,0.6713683,95.65449,-0.7205603,-0.5852915,-0.3717887,-0.05043891,0.9820352,0.2969197,1.02718,-0.04436576,1.021862,0.2875039,1.062463,-0.03894094,1.015188,0.3093557,1.06199,-0.02180377,-0.09035143,0.09833244,0.1353073,-0.02356596,-0.06863273,0.1360586,0.1542003,-0.001351963,-0.07682426,0.1289201,0.1500806,-0.02360342,-0.09085809,0.09745186,0.1353114,-0.0237298,-0.06812704,0.1369606,0.1547986,-0.0005760027,-0.07436725,0.1346329,0.1538078,-0.01830188,-0.0821428,0.1145711,0.1421581,-0.2252848,0.2269463,-0.1511851,0.935353,41.42949,-0.6369094,0.6416067,-0.4274199,5.361774,-0.01811919,-0.07884642,0.1153625,0.1409027,0.5250496,0.4689389,0.2583711,0.6615615,97.16185,0.700168,0.6253428,0.344545,1.269405,True,True,False,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.05857231,-0.1374797,0.06126742,0.1615088,0.01615926,-0.1609668,0.04733571,0.1685589,-0.0001039612,-0.1550977,0.03174552,0.1583132,0.06167888,-0.04810354,0.1155126,0.1395041,0.01701632,-0.07317509,0.1295966,0.1497979,-0.0001094751,-0.08430245,0.1160356,0.1434266,0.06167887,-0.04810354,0.1155126,0.1395041,0.01701632,-0.07317507,0.1295966,0.1497979,-0.0001094751,-0.08430243,0.1160356,0.1434265,0.04090595,-0.0601928,0.1166984,0.1375317,-0.6858711,-0.1610257,0.6781226,-0.2092874,204.1612,-0.7014043,-0.1646725,0.6934803,4.920552,0,0,0,0,0,0,0,0,0,1,0,0,0.3548855,False,True,False,-0.04963066,1.004372,0.2974075,1.048655,0.01252261,0.01749336,-0.02565199,0.9994394,3.837137,0.3740402,0.5225124,-0.7662039,0.09963066,-0.00437212,0.002592504,0.09976024,-0.3970488,0.5116563,-0.6463539,0.4034684,132.4096,-0.4339362,0.5591912,-0.7064027,-0.0246794,1.043173,-0.005991219,1.043482,0.1157858,-0.02695956,-0.004567474,-0.9928978,346.3346,0.973232,-0.2266073,-0.03839168,False
1773116838132,0.0829532,0.05627744,0.9182004,0.2694268,0.9585667,-0.5393794,-0.4318824,-0.2798465,0.6665084,96.40369,-0.723516,-0.5793211,-0.3753822,-0.05095102,0.9836143,0.2964866,1.02859,-0.04442409,1.022547,0.2869845,1.062985,-0.03917674,1.01573,0.3086785,1.06232,-0.02170397,-0.09031542,0.09838133,0.1353027,-0.02344571,-0.06905211,0.135436,0.1538206,-0.001465185,-0.07719719,0.1280558,0.1495321,-0.0232015,-0.09074658,0.09764464,0.135306,-0.02367141,-0.06832165,0.1366345,0.1545871,-0.0007604259,-0.07496388,0.1331983,0.1528462,-0.01821236,-0.08204681,0.1146131,0.1421251,-0.2248842,0.2314735,-0.1489486,0.9346986,41.64098,-0.6326905,0.6512287,-0.4190526,5.217662,-0.01803416,-0.07875528,0.1154024,0.1408735,0.5272465,0.4730268,0.2567654,0.6575168,97.77847,0.6997858,0.6278229,0.3407908,1.245137,True,True,False,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.05857231,-0.1374797,0.06126742,0.1615088,0.01615926,-0.1609668,0.04733571,0.1685589,-0.0001039612,-0.1550977,0.03174552,0.1583132,0.06167888,-0.04810354,0.1155126,0.1395041,0.01701632,-0.07317509,0.1295966,0.1497979,-0.0001094751,-0.08430245,0.1160356,0.1434266,0.06167887,-0.04810354,0.1155126,0.1395041,0.01701632,-0.07317507,0.1295966,0.1497979,-0.0001094751,-0.08430243,0.1160356,0.1434265,0.04090595,-0.0601928,0.1166984,0.1375317,-0.6858711,-0.1610257,0.6781226,-0.2092874,204.1612,-0.7014043,-0.1646725,0.6934803,4.920552,0,0,0,0,0,0,0,0,0,1,0,0,0.3548855,False,True,False,-0.0497581,1.005226,0.2970352,1.049374,0.01634921,0.02116641,-0.03149765,0.999146,4.736215,0.3956761,0.5122598,-0.7622918,0.0997581,-0.005226016,0.002964854,0.09993888,-0.3979338,0.5149674,-0.6405608,0.4076018,131.8915,-0.4357767,0.56394,-0.7014772,-0.02473569,1.043174,-0.005937065,1.043484,0.1156979,-0.02695378,-0.004496059,-0.9929085,346.3449,0.9732229,-0.2267287,-0.03781977,False
1773116838146,0.0969081,0.05486579,0.9178932,0.2697521,0.9582821,-0.5447232,-0.4298925,-0.284155,0.661608,97.15475,-0.726443,-0.5733047,-0.3789492,-0.05137596,0.9851995,0.2960336,1.029997,-0.04440146,1.023282,0.2864376,1.063543,-0.0393523,1.016171,0.3079996,1.062552,-0.02160306,-0.0902796,0.09843081,0.1352986,-0.02333228,-0.06943604,0.1348559,0.1534662,-0.001585829,-0.07760029,0.1270896,0.1489164,-0.02285895,-0.09064927,0.09780993,0.1353019,-0.02360073,-0.0685591,0.1362495,0.1543414,-0.0009339675,-0.07552753,0.1318466,0.15195,-0.01813112,-0.08196849,0.1146435,0.142094,-0.224485,0.2362946,-0.1468768,0.9339157,41.89265,-0.6279418,0.6609762,-0.410852,5.06989,-0.01795704,-0.07868088,0.1154313,0.1408458,0.5295696,0.477064,0.254812,0.6534806,98.39091,0.699616,0.6302507,0.3366328,1.218977,True,True,False,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.05857231,-0.1374797,0.06126742,0.1615088,0.01615926,-0.1609668,0.04733571,0.1685589,-0.0001039612,-0.1550977,0.03174552,0.1583132,0.06167888,-0.04810354,0.1155126,0.1395041,0.01701632,-0.07317509,0.1295966,0.1497979,-0.0001094751,-0.08430245,0.1160356,0.1434266,0.06167887,-0.04810354,0.1155126,0.1395041,0.01701632,-0.07317507,0.1295966,0.1497979,-0.0001094751,-0.08430243,0.1160356,0.1434265,0.04090595,-0.0601928,0.1166984,0.1375317,-0.6858711,-0.1610257,0.6781226,-0.2092874,204.1612,-0.7014043,-0.1646725,0.6934803,4.920552,0,0,0,0,0,0,0,0,0,1,0,0,0.3548855,False,True,False,-0.04987468,1.0068,0.2963926,1.050706,0.0182456,0.02225225,-0.04029988,0.9987732,5.676699,0.3684607,0.4493731,-0.8138358,0.09987468,-0.006800175,0.003607452,0.1001709,-0.3948376,0.5191,-0.6355668,0.4131507,131.1942,-0.4335717,0.5700243,-0.6979167,-0.02477889,1.043177,-0.005911097,1.043488,0.1157457,-0.026745,-0.004475066,-0.9929087,346.3451,0.9736375,-0.2249753,-0.03764365,False
1773116838160,0.1110855,0.05338488,0.9171773,0.2707178,0.9577851,-0.5546405,-0.4280481,-0.2869691,0.6532973,98.41866,-0.7325841,-0.5653775,-0.3790365,-0.05157131,0.9870074,0.295543,1.031595,-0.04395512,1.0244,0.2853509,1.064308,-0.0391226,1.017384,0.3069378,1.063396,-0.02153174,-0.09026156,0.09846396,0.1352994,-0.02325813,-0.06964062,0.1345439,0.1532736,-0.001660325,-0.07783087,0.1265646,0.1485901,-0.02257127,-0.09056743,0.09794915,0.1352995,-0.02352841,-0.06879224,0.1358762,0.1541048,-0.001088593,-0.07602619,0.1306632,0.1511756,-0.01806028,-0.08190384,0.1146725,0.1420711,-0.2240981,0.2408442,-0.1451847,0.9331107,42.14996,-0.6232057,0.6697756,-0.4037512,4.934005,-0.01788977,-0.07861949,0.1154587,0.1408254,0.5316949,0.4804686,0.2528628,0.6500082,98.91555,0.6996657,0.6322562,0.3327461,1.146483,True,True,False,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.05857231,-0.1374797,0.06126742,0.1615088,0.01615926,-0.1609668,0.04733571,0.1685589,-0.0001039612,-0.1550977,0.03174552,0.1583132,0.06167888,-0.04810354,0.1155126,0.1395041,0.01701632,-0.07317509,0.1295966,0.1497979,-0.0001094751,-0.08430245,0.1160356,0.1434266,0.06167887,-0.04810354,0.1155126,0.1395041,0.01701632,-0.07317507,0.1295966,0.1497979,-0.0001094751,-0.08430243,0.1160356,0.1434265,0.04090595,-0.0601928,0.1166984,0.1375317,-0.6858711,-0.1610257,0.6781226,-0.2092874,204.1612,-0.7014043,-0.1646725,0.6934803,4.920552,0,0,0,0,0,0,0,0,0,1,0,0,0.3548855,False,True,False,-0.04991562,1.008356,0.2957317,1.052012,0.0204198,0.02302512,-0.04931403,0.9983091,6.664858,0.3512838,0.3961035,-0.8483541,0.09991562,-0.008355618,0.004268318,0.1003552,-0.3914961,0.523576,-0.6304148,0.4185406,130.515,-0.4310691,0.5764998,-0.694138,-0.02483785,1.043201,-0.005884625,1.043513,0.1158543,-0.02655576,-0.004511586,-0.9929009,346.3376,0.9740208,-0.2232621,-0.03793023,False
1773116838174,0.1248953,0.05197156,0.9165052,0.2716186,0.9573189,-0.5638354,-0.4261643,-0.2896704,0.6454182,99.60592,-0.7381693,-0.5579313,-0.3792344,-0.05171834,0.9886722,0.2950521,1.033055,-0.04351044,1.025382,0.2843335,1.064964,-0.03890789,1.018303,0.3059542,1.063984,-0.02146381,-0.09024635,0.09849538,0.1353013,-0.02318366,-0.06984177,0.1342329,0.1530811,-0.001744321,-0.07811359,0.1259053,0.1481786,-0.02233637,-0.09050103,0.09806301,0.1352986,-0.02345711,-0.0690137,0.1355243,0.153883,-0.001225305,-0.07646885,0.1296191,0.1504995,-0.01800309,-0.08185209,0.1146952,0.1420523,-0.2237478,0.2452174,-0.1437809,0.9322728,42.41616,-0.6185046,0.6778528,-0.3974526,4.811811,-0.01783544,-0.07857035,0.1154803,0.1408088,0.5336466,0.483422,0.2509126,0.6469676,99.37326,0.6998485,0.6339816,0.3290583,1.082843,True,True,False,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.05857231,-0.1374797,0.06126742,0.1615088,0.01615926,-0.1609668,0.04733571,0.1685589,-0.0001039612,-0.1550977,0.03174552,0.1583132,0.06167888,-0.04810354,0.1155126,0.1395041,0.01701632,-0.07317509,0.1295966,0.1497979,-0.0001094751,-0.08430245,0.1160356,0.1434266,0.06167887,-0.04810354,0.1155126,0.1395041,0.01701632,-0.07317507,0.1295966,0.1497979,-0.0001094751,-0.08430243,0.1160356,0.1434265,0.04090595,-0.0601928,0.1166984,0.1375317,-0.6858711,-0.1610257,0.6781226,-0.2092874,204.1612,-0.7014043,-0.1646725,0.6934803,4.920552,0,0,0,0,0,0,0,0,0,1,0,0,0.3548855,False,True,False,-0.04963227,1.010128,0.2947901,1.053434,0.01647617,0.02332201,-0.06023407,0.9977758,7.644265,0.2471697,0.3498686,-0.9036105,0.09963227,-0.01012766,0.005209863,0.1002811,-0.3845142,0.5248527,-0.6277343,0.4273503,129.401,-0.4253071,0.580534,-0.6943302,-0.02483536,1.043255,-0.005902451,1.043568,0.116019,-0.0264095,-0.004502621,-0.9928856,346.3229,0.9743615,-0.2217948,-0.03781433,False
1773116838188,0.1385736,0.05067006,0.9158953,0.272431,0.9568962,-0.5720455,-0.4243408,-0.2921536,0.638236,100.6792,-0.7430699,-0.5512059,-0.3794987,-0.051826,0.9901456,0.2945891,1.034339,-0.04310252,1.026176,0.2834359,1.065472,-0.03873323,1.018912,0.3050897,1.064313,-0.02139911,-0.09023384,0.09852499,0.1353043,-0.02310606,-0.07005144,0.1339033,0.1528764,-0.001835657,-0.07843562,0.1251341,0.1476958,-0.0221393,-0.09044619,0.09815855,0.1352988,-0.02338504,-0.06923088,0.1351803,0.1536668,-0.00135158,-0.07688273,0.1286427,0.1498723,-0.01795712,-0.0818092,0.1147112,0.1420347,-0.2234388,0.2496955,-0.14252,0.9313513,42.70709,-0.6136377,0.6857474,-0.3914075,4.697781,-0.0177918,-0.07852963,0.1154955,0.140793,0.5355636,0.4862469,0.2488329,0.6440635,99.80901,0.7001088,0.6356401,0.3252837,1.040974,True,True,False,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.05857231,-0.1374797,0.06126742,0.1615088,0.01615926,-0.1609668,0.04733571,0.1685589,-0.0001039612,-0.1550977,0.03174552,0.1583132,0.06167888,-0.04810354,0.1155126,0.1395041,0.01701632,-0.07317509,0.1295966,0.1497979,-0.0001094751,-0.08430245,0.1160356,0.1434266,0.06167887,-0.04810354,0.1155126,0.1395041,0.01701632,-0.07317507,0.1295966,0.1497979,-0.0001094751,-0.08430243,0.1160356,0.1434265,0.04090595,-0.0601928,0.1166984,0.1375317,-0.6858711,-0.1610257,0.6781226,-0.2092874,204.1612,-0.7014043,-0.1646725,0.6934803,4.920552,0,0,0,0,0,0,0,0,0,1,0,0,0.3548855,False,True,False,-0.04933468,1.011735,0.293877,1.054706,0.01274503,0.02318666,-0.07061311,0.9971528,8.649267,0.1690155,0.307485,-0.9364209,0.09933469,-0.01173496,0.006122977,0.1002127,-0.3775595,0.5261793,-0.6252646,0.4354635,128.3704,-0.4194144,0.5845096,-0.6945792,-0.02483272,1.04329,-0.005923841,1.043602,0.1161783,-0.02631292,-0.004465786,-0.9928697,346.3076,0.9746143,-0.2207379,-0.03746327,False
