Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773117313822,0,1,1,135,0.1241428,0.9044869,0.4080343,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.114693,0.835637,0.3769745,0.3826833,135,0.1241428,0.9044868,0.4080342
Trial Start,1773117321906,0,1,1,135,0.1241428,0.9044869,0.4080343,1,-1,-0.05001032,1.000397,0.2992598,1.045396,-0.002169774,-0.001019829,1.434168E-05,0.9999971,0.2741122,-0.9070659,-0.4263356,0.005995486,0.1000103,-0.0003973246,0.0007402003,0.1000139,0.1151266,0.8368444,0.3752718,0.3815865,135.136,0.124551,0.9053496,0.405992
On Target,1773117328447,6.549241,1,1,135,0.1241428,0.9044869,0.4080343,1,-1,0.0564362,1.013716,0.2877762,1.055282,-0.07425831,-0.8526558,-0.3619955,-0.3693551,223.3517,-0.0799088,-0.9175363,-0.3895405,-0.006436195,-0.01371562,0.01222381,0.01946701,-0.03287774,0.004125487,0.03503281,-0.9988367,354.4721,-0.6818178,0.08555426,0.7265096
Trial End,1773117329449,7.549571,1,2,135,0.1241428,0.9044869,0.4080343,1,-1,0.05002084,0.9999177,0.2953077,1.043812,-0.1008034,-0.8392686,-0.3829389,-0.3725918,223.7511,-0.1086249,-0.9043888,-0.4126518,-2.083927E-05,8.225441E-05,0.004692316,0.004693083,-0.000542868,0.003902463,0.01810989,-0.9998282,357.8763,-0.02929326,0.2105776,0.9772128
Trial Load,1773117329450,7.549571,1,2,135,-0.2866405,0.7565753,0.5877337,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.2648213,0.6989845,0.5429952,0.3826834,135,-0.2866405,0.7565754,0.5877337
Trial Start,1773117330862,0,1,2,135,-0.2866405,0.7565753,0.5877337,1,-1,-0.0466626,1.002207,0.2969761,1.046322,0,0,0,1,0,1,0,0,0.0966626,-0.002206802,0.003023922,0.09673506,-0.2648213,0.6989845,0.5429952,0.3826834,135,-0.2866405,0.7565754,0.5877337
On Target,1773117346208,15.35999,1,2,135,-0.2866405,0.7565753,0.5877337,1,-1,0.05261184,1.006006,0.3031278,1.051999,0.1825777,-0.7243748,-0.5373985,-0.3913431,226.0762,0.1984013,-0.7871544,-0.5839734,-0.002611835,-0.006005764,-0.003127813,0.007257693,0.01606777,0.0468392,-0.07105478,-0.9962425,350.0631,0.1855244,0.5408227,-0.8204247
Trial End,1773117347208,16.35977,1,3,135,-0.2866405,0.7565753,0.5877337,1,-1,0.05527151,0.9977141,0.2988059,1.042964,0.221732,-0.7016581,-0.5740268,-0.3591716,222.0987,0.2375857,-0.7518263,-0.6150695,-0.005271513,0.002285898,0.001194119,0.005868569,0.03050206,0.04907271,-0.006184672,-0.9983103,353.3375,0.5249152,0.8445007,-0.1064331
Trial Load,1773117347210,16.35977,1,3,135,0.551411,-0.7245091,-0.4135607,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.5094373,-0.6693592,-0.3820803,0.3826834,135,0.551411,-0.7245092,-0.4135607
Trial Start,1773117348861,0,1,3,135,0.551411,-0.7245091,-0.4135607,1,-1,-0.05008551,1.000123,0.2998604,1.045309,0.001228033,-0.002321508,-0.001261634,0.9999958,0.3333781,0.42211,-0.7979691,-0.4336598,0.1000855,-0.000123024,0.0001395941,0.1000857,0.5090078,-0.6686415,-0.3812352,0.3853434,134.6699,0.5516065,-0.7246,-0.4131407
On Target,1773117351986,3.138497,1,3,135,0.551411,-0.7245091,-0.4135607,1,-1,0.04491187,1.009181,0.2835743,1.049228,-0.4807816,0.650654,0.4590153,-0.3671559,223.0806,-0.5168809,0.699508,0.4934802,0.005088132,-0.009181499,0.01642567,0.01949337,0.05558825,0.04690704,-0.04502629,-0.9963345,350.1855,0.6498283,0.5483447,-0.5263587
Off Target,1773117352000,3.152688,1,3,135,0.551411,-0.7245091,-0.4135607,1,-1,0.04532802,1.009098,0.2845726,1.049436,-0.4846461,0.6518778,0.4610388,-0.357235,221.861,-0.5188849,0.6979311,0.4936099,0.00467198,-0.009098291,0.01542744,0.01850979,0.06300808,0.03935236,-0.04762806,-0.996099,349.8748,0.7140189,0.445948,-0.5397297
On Target,1773117353337,4.48853,1,3,135,0.551411,-0.7245091,-0.4135607,1,-1,0.05054408,1.001678,0.2981053,1.046317,-0.5310598,0.6977933,0.3720019,-0.3044251,215.4472,-0.5575219,0.7325635,0.3905382,-0.0005440749,-0.001677513,0.001894712,0.002588436,0.03053205,-0.07666004,-0.02605628,-0.9962491,350.0717,0.3528414,-0.8859164,-0.3011176
Trial End,1773117354320,5.471868,1,4,135,0.551411,-0.7245091,-0.4135607,1,-1,0.04974489,0.9981571,0.3010099,1.043743,-0.5306782,0.6977159,0.3658459,-0.312618,216.4341,-0.5586798,0.7345313,0.3851501,0.0002551116,0.001842856,-0.001009881,0.002116852,0.02212133,-0.07413669,-0.02078621,-0.9967861,350.8103,0.2761378,-0.925439,-0.2594717
Trial Load,1773117354320,5.471868,1,4,135,0.228612,-0.9460661,0.229555,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.21121,-0.8740511,0.2120812,0.3826834,135,0.228612,-0.9460661,0.229555
Trial Start,1773117361679,0,1,4,135,0.228612,-0.9460661,0.229555,1,-1,-0.002388887,1.004025,0.2830849,1.043172,0,0,0,1,0,1,0,0,0.05238889,-0.004024744,0.01691508,0.05519886,0.21121,-0.8740511,0.2120812,0.3826834,135,0.228612,-0.9460661,0.229555
On Target,1773117382582,20.91518,1,4,135,0.228612,-0.9460661,0.229555,1,-1,0.0485397,0.9950141,0.2971674,1.039576,0.1937847,-0.8371585,0.2647246,0.4376461,128.0924,0.2155205,-0.9310582,0.2944174,0.001460303,0.004985929,0.002832592,0.005917393,0.07211427,-0.04734398,-0.001050763,0.9962716,9.898361,0.8358923,-0.5487745,-0.01217962
Trial End,1773117383581,21.91459,1,5,135,0.228612,-0.9460661,0.229555,1,-1,0.0511044,0.9992542,0.2986434,1.044178,0.2287269,-0.8442484,0.2335446,0.4247182,129.7343,0.252646,-0.9325358,0.2579676,-0.001104403,0.0007457733,0.001356661,0.001901687,0.02725546,-0.04732725,-0.02090422,0.9982887,6.704923,0.4660792,-0.8093147,-0.3574704
Trial Load,1773117383581,21.91459,1,5,135,-0.9570602,0.09453978,-0.2740403,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.8842083,0.08734338,-0.2531802,0.3826834,135,-0.9570602,0.0945398,-0.2740403
Trial Start,1773117384969,0,1,5,135,-0.9570602,0.09453978,-0.2740403,1,-1,-0.03870089,1.011938,0.2810625,1.050958,0,0,0,1,0,1,0,0,0.08870089,-0.0119381,0.01893753,0.09148221,-0.8842083,0.08734338,-0.2531802,0.3826834,135,-0.9570602,0.0945398,-0.2740403
On Target,1773117393010,8.054498,1,5,135,-0.9570602,0.09453978,-0.2740403,1,-1,0.05090056,1.000429,0.2959651,1.044531,-0.8508299,0.06315126,-0.3122646,0.4178412,130.6033,-0.9365009,0.06951002,-0.3437069,-0.0009005554,-0.0004290342,0.004034936,0.004156414,-0.03257451,0.07302237,-0.004766127,0.9967868,9.188628,-0.4066727,0.9116392,-0.05950215
