Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.1241428,0.9044869,0.4080343,1,7.549571,False,-2.083927E-05,8.225441E-05,0.004692316,0.004693083,-0.000542868,0.003902463,0.01810989,-0.9998282,357.8763,-0.02929326,0.2105776,0.9772128,0.2795643,0.3833231,0.3669657,0.6899497,490.8475,0,0,0,0,0,0,0,0,0,0.365203,254.9433,0.07158374,15.96331
1,3,135,-0.2866405,0.7565753,0.5877337,1,16.35977,False,-0.005271513,0.002285898,0.001194119,0.005868569,0.03050206,0.04907271,-0.006184672,-0.9983103,353.3375,0.5249152,0.8445007,-0.1064331,0.560572,0.7538331,0.8680637,1.422402,831.247,0,0,0,0,0,0,0,0,0,0.5773966,432.2025,0.1755185,46.03968
1,4,135,0.551411,-0.7245091,-0.4135607,1,5.471868,False,0.0002551116,0.001842856,-0.001009881,0.002116852,0.02212133,-0.07413669,-0.02078621,-0.9967861,350.8103,0.2761378,-0.925439,-0.2594717,0.2260783,0.1307989,0.1737096,0.3463532,312.986,0,0,0,0,0,0,0,0,0,0.2769048,241.5154,0.03864919,6.591471
1,5,135,0.228612,-0.9460661,0.229555,1,21.91459,False,-0.001104403,0.0007457733,0.001356661,0.001901687,0.02725546,-0.04732725,-0.02090422,0.9982887,6.704923,0.4660792,-0.8093147,-0.3574704,1.038195,1.193504,1.393685,1.630225,1708.77,0,0,0,0,0,0,0,0,0,1.075785,735.5817,0.1521029,25.64088
1,6,135,-0.9570602,0.09453978,-0.2740403,1,9.971204,False,-0.001904193,0.00358361,0.004635543,0.006160882,-0.02260532,0.05225044,0.00182528,0.9983765,6.530614,-0.3968657,0.917324,0.03204514,0.4583029,0.4272166,0.4382282,1.002533,648.4229,0,0,0.07950959,0.08828616,0.1310417,0.7579902,161.3275,0,0,0.4547027,386.3049,0.06884392,16.71998
1,7,135,0.005257334,-0.9726773,-0.2321018,1,6.24992,False,-0.002021205,-0.002260923,0.007993639,0.008549578,-0.04195295,0.002357072,0.0172096,-0.9989686,354.795,-0.9239473,0.05191078,0.379014,0.3367443,0.2881096,0.2772675,0.3802736,432.8097,0,0,0.02695095,0.06129494,0.02944551,0.07105933,32.65703,0,0,0.3057872,295.6067,0.0393893,5.505219
1,8,135,-0.4332362,-0.5932838,-0.6784694,1,10.99899,False,0.0001187734,0.0006050467,0.003510147,0.003563892,-0.04707876,0.03931581,0.03293995,0.9975734,7.98447,-0.6762132,0.5647106,0.4731312,0.3718337,0.4787199,0.498907,0.8516929,594.7972,0,0,0.1373988,0.1856057,0.1339354,0.4085545,167.5901,0,0,0.44783,335.4023,0.07799157,18.04448
1,9,135,-0.477749,-0.5845294,0.6558058,1,7.957658,False,0.001360763,0.0007647276,0.003895402,0.004196503,-0.00978665,-0.02674125,0.004157321,-0.9995859,356.702,-0.3400917,-0.9292736,0.1444693,0.2258154,0.345084,0.362298,0.9079096,446.9679,0,0,0.03908093,0.03841475,0.02852398,0.1059639,50.50508,0,0,0.4293649,302.7733,0.05598946,12.94429
1,10,135,0.7528229,0.5887727,-0.2942861,0.9999999,12.81818,False,0.001457337,2.330542E-05,0.001370549,0.002000695,0.03257219,0.03917734,0.01447919,0.9985963,6.07231,0.6149625,0.7396677,0.273367,0.5601948,0.6568857,0.6720198,1.284331,911.6151,0,0,0.02644581,0.017216,0.0156429,0.07155488,3.637085,0,0,0.4728116,429.009,0.0857417,21.54924
1,11,135,-0.6730357,-0.1801855,-0.7173257,1,16.31823,False,-0.001015365,0.003857136,-0.001351237,0.004211212,0.0298758,-0.02488703,-0.01542644,0.9991247,4.794865,0.7142062,-0.5949454,-0.3687821,0.623963,0.770126,0.8615203,1.870338,1223.795,0,0,0.03348266,0.02028868,0.0204657,0.08707593,3.231314,0,0,0.8011819,666.7999,0.1241075,30.33836
2,2,135,-0.00129032,-0.8587803,0.5123425,1,12.81822,False,0.0008467399,0.0009605289,0.00574404,0.00588503,0.04131258,0.0541138,-0.03811336,-0.9969515,351.05,0.5294891,0.693558,-0.4884859,0.4752643,0.4164227,0.4240974,1.215202,784.155,0,0,0,0,0,0,0,0,0,0.6330122,475.1583,0.08046058,16.52414
2,3,135,0.8785825,-0.01925284,-0.4772023,1,10.17928,False,0.002100047,2.217293E-05,0.004117459,0.004622138,0.05387532,0.03272013,0.007840831,0.9979807,7.2836,0.848179,0.5151251,0.1234411,0.3416688,0.4917079,0.4592707,0.708952,677.5699,0,0,0,0,0,0,0,0,0,0.4127133,414.4673,0.06891161,13.30263
2,4,135,-0.2434184,0.2337386,-0.9413362,1,17.20679,False,-0.00165138,-0.003726959,0.008537531,0.009460798,-0.07746381,0.02574011,-0.00143094,-0.9966619,350.6342,-0.9488319,0.3152832,-0.01752717,0.7223803,0.7280387,0.9084894,1.978513,1020.769,0,0,0.09444703,0.09799548,0.1224512,1.125458,91.139,0,0,0.8680926,544.017,0.1092955,28.5372
2,5,135,0.1386521,-0.9665767,-0.2156504,1,6.110792,False,0.0002860278,-0.001539111,0.002625138,0.003056472,-0.03934406,-0.01410798,0.0159634,-0.9989987,354.8712,-0.8793595,-0.3153203,0.35679,0.2153422,0.2108791,0.2337179,0.3903014,418.0811,0,0,0.04667453,0.03395834,0.03106492,0.08871106,30.98375,0,0,0.2756717,230.2236,0.04341364,9.324461
2,6,135,-0.1244415,0.3869728,-0.9136555,1,7.707865,False,-0.0001257621,0.002964318,0.0001890957,0.002973004,0.06373195,0.0265939,-0.0005774499,-0.9976125,352.08,0.9228565,0.3850872,-0.008361636,0.3153059,0.3467116,0.3873844,0.7404668,415.9359,0,0,0.0309506,0.04317069,0.0425001,0.07885285,50.4292,0,0,0.3702732,257.4218,0.05542642,12.33735
