Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773119143852,0,1,1,135,0.302168,-0.7227209,-0.6215858,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,0.2791669,-0.6677071,-0.5742705,0.3826834,135,0.302168,-0.722721,-0.6215859
Trial Start,1773119148419,0,1,1,135,0.302168,-0.7227209,-0.6215858,1,-0.04646371,0.9820215,0.3052832,1.029428,-0.2448224,0.003033722,-0.08292232,0.9660108,29.96235,-0.9470823,0.01173579,-0.3207806,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.09646371,0.01797849,-0.005283237,0.09826691,0.3062577,-0.8099166,-0.3603958,0.3469242,139.4014,0.3265379,-0.8635488,-0.384261
Grab_left,1773119148445,0.0134246,1,1,135,0.302168,-0.7227209,-0.6215858,1,-0.04119021,0.9739111,0.3058419,1.021635,-0.3761923,-0.09184155,-0.1941526,0.9013043,51.33994,-0.8684297,-0.2120138,-0.4481961,0.09808573,-0.1023835,0.1031252,0.1753225,0.1910895,0.7081804,-0.02858667,0.6790791,94.45657,0.2603168,0.9647377,-0.03894296,-0.1737392,0.01973753,-0.02280639,0.1763378,-0.3235366,-0.761458,0.08313217,0.5555133,112.5079,-0.3890963,-0.9157557,0.09997762,0.09119022,0.02608889,-0.005841911,0.09502849,0.3186817,-0.8368981,-0.1664681,0.4127132,131.2492,0.3498685,-0.9187987,-0.182759
Release_left,1773119148449,0.0134246,1,1,135,0.302168,-0.7227209,-0.6215858,1,-0.04119021,0.9739111,0.3058419,1.021635,-0.3761923,-0.09184155,-0.1941526,0.9013043,51.33994,-0.8684297,-0.2120138,-0.4481961,0.09808573,-0.1023835,0.1031252,0.1753225,0.1910895,0.7081804,-0.02858667,0.6790791,94.45657,0.2603168,0.9647377,-0.03894296,-0.1737392,0.01973753,-0.02280639,0.1763378,-0.3235366,-0.761458,0.08313217,0.5555133,112.5079,-0.3890963,-0.9157557,0.09997762,0.09119022,0.02608889,-0.005841911,0.09502849,0.3186817,-0.8368981,-0.1664681,0.4127132,131.2492,0.3498685,-0.9187987,-0.182759
Grab,1773119148712,0.3041006,1,1,135,0.302168,-0.7227209,-0.6215858,1,-0.04290241,0.97918,0.3074893,1.027221,-0.3544483,-0.07555932,-0.2015968,0.9099538,49.00206,-0.8546906,-0.1821982,-0.4861158,0.1022967,-0.1125256,-0.03639694,0.1563693,0.1659924,0.9045925,-0.03917899,0.3906715,134.0074,0.1803226,0.9826862,-0.04256133,0.02867384,0.1420519,-0.4670555,0.4890212,-0.1340716,-0.98808,0.0250018,0.07139835,171.8114,-0.1344147,-0.9906082,0.02506577,0.09290241,0.02082002,-0.007489264,0.09550089,0.2984543,-0.8384957,-0.1876505,0.4154966,130.8988,0.3281179,-0.9218343,-0.2063012
Release,1773119148726,0.3187801,1,1,135,0.302168,-0.7227209,-0.6215858,1,-0.04290241,0.97918,0.3074893,1.027221,-0.3544483,-0.07555932,-0.2015968,0.9099538,49.00206,-0.8546906,-0.1821982,-0.4861158,0.06693607,-0.1277609,-0.0270904,0.1467555,0.1610662,0.9047579,-0.04119768,0.3921399,133.8246,0.1750899,0.9835333,-0.04478468,0.02887717,0.1427144,-0.4658197,0.4880464,-0.1346614,-0.9880521,0.02351509,0.07117824,171.8367,-0.1350039,-0.9905646,0.02357489,0.09290241,0.02082002,-0.007489264,0.09550089,0.2984543,-0.8384957,-0.1876505,0.4154966,130.8988,0.3281179,-0.9218343,-0.2063012
Grab,1773119149380,0.970574,1,1,135,0.302168,-0.7227209,-0.6215858,1,-0.04422676,0.9741688,0.3067495,1.02228,-0.3520809,-0.005754311,-0.3105784,0.8829196,56.00683,-0.7498674,-0.01225562,-0.6614749,0.1174049,-0.06789693,0.004766727,0.1357079,0.00565928,0.9086933,0.01839274,0.4170209,130.7067,0.006226536,0.9997758,0.02023633,0.05082594,0.1634734,-0.4551542,0.486284,-0.09261064,-0.987765,-0.03421342,0.1207194,166.1328,-0.09329291,-0.995042,-0.03446547,0.09422676,0.02583116,-0.006749511,0.09793614,0.1771465,-0.8762224,-0.1514882,0.4217876,130.105,0.1953762,-0.966392,-0.1670774
Release,1773119150283,1.876538,1,1,135,0.302168,-0.7227209,-0.6215858,1,-0.02938513,0.9729865,0.2957531,1.017367,0.6760306,0.007995602,-0.7296911,0.102321,168.2543,0.6795976,0.008037789,-0.7335412,0.1144032,-0.06501074,0.00641659,0.1317409,-0.1357565,0.9156715,-0.3063375,0.221976,154.3498,-0.13923,0.9391001,-0.3141756,0.04295442,0.1803947,-0.4555128,0.4918122,0.7143465,-0.04625731,0.5000991,0.4873095,121.6722,0.8180513,-0.05297269,0.5727007,0.07938513,0.02701348,0.004246891,0.08396287,-0.7219526,0.1131386,-0.2331418,0.6415833,100.18,-0.9412025,0.1474977,-0.3039447
Grab,1773119153243,4.834249,1,1,135,0.302168,-0.7227209,-0.6215858,1,-0.01722721,0.9722723,0.2791084,1.011688,-0.1321995,-0.6197906,-0.7302741,0.2551131,150.4394,-0.1367235,-0.6410005,-0.7552648,0.1110374,-0.06229461,0.02177518,0.1291669,0.03064441,0.4343512,-0.5229348,0.7327613,85.76322,0.04503315,0.6382958,-0.7684729,0.04047735,0.1528947,-0.4770406,0.5025764,0.808148,-0.5485907,0.06600311,-0.2039334,203.5341,0.825496,-0.5603669,0.06741996,0.06722721,0.02772766,0.02089164,0.07566229,-0.009872033,-0.2129438,0.3942554,0.8939353,53.25601,-0.02202615,-0.4751131,0.8796493
On Target,1773119154604,6.20997,1,1,135,0.302168,-0.7227209,-0.6215858,1,0.04039721,0.9983165,0.2829227,1.038419,0.3126201,-0.7105376,-0.5172759,0.3603204,137.7602,0.3351314,-0.7617021,-0.554524,0.1069945,-0.05905094,0.02635528,0.1250177,-0.08650151,0.2903768,-0.5608226,0.7705044,79.20161,-0.1357025,0.4555396,-0.8798116,0.008572318,0.2202897,-0.4711387,0.520166,0.666196,-0.440461,0.5345815,-0.2764055,212.0916,0.6932023,-0.4583164,0.5562524,0.009602793,0.001683474,0.01707727,0.0196642,0.04360697,0.06644467,-0.01934861,0.9966491,9.383791,0.5331076,0.8123051,-0.2365423
