Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,135,0.302168,-0.7227209,-0.6215858,1,7.249587,False,-0.001676459,-0.004002333,0.0006613731,0.004389373,-0.004629973,0.07389881,0.02086692,0.9970368,8.823862,-0.06018676,0.9606384,0.2712569,0.09820063,0.1315919,0.1398991,0,0,0,0.3258066,234.9883,0,0,0.2457267,339.2175,0.08568937,193.3933,0,0,0.03075249,6.497817,2.322892,0
1,2,135,-0.9739168,0.2022695,-0.102826,1,8.96194,False,0.002008643,-0.002858639,0.007011592,0.00783383,0.002817423,0.06007613,-0.001380732,0.998189,6.89779,0.04683352,0.9986348,-0.02295166,0.1630035,0.1527346,0.1793731,0,0,0,0.3194747,192.3781,0,0,0.1833384,283.5482,0.1585972,228.261,0,0,0.06404665,11.52068,2.86587,0
1,3,135,0.5462261,-0.3646369,-0.7541068,1,24.40731,False,-0.003393207,-0.002783418,-0.004966527,0.006627794,-0.03059378,-0.0001029714,0.07861301,-0.9964358,350.322,-0.3626724,-0.001220669,0.931914,0.4011171,0.4560653,0.4627438,0,0,0,0.8746604,576.4908,0,0,0.5513362,950.0646,0.3525733,694.3738,0,0,0.1353013,23.12868,10.81885,0
1,4,135,-0.3508758,0.5579473,-0.7520511,1,14.65856,False,0.0001004077,-0.00239408,0.006737858,0.007151254,0.0390448,0.05960215,-0.02358554,0.9971795,8.608593,0.520225,0.7941268,-0.3142489,0.3070708,0.3968161,0.4845692,0,0,0,0.541983,390.53,0,0,0.4338454,659.8338,0.2578943,497.9575,0,0,0.08738057,16.60043,7.044047,0
1,5,135,-0.9942641,0.1005509,-0.03644621,1,6.408504,False,0.0018062,0.002037287,0.008498639,0.008924111,-0.01762113,-0.04627215,0.04769821,0.9976339,7.884465,-0.256305,-0.6730434,0.6937858,0.124488,0.1220738,0.1696978,0,0,0,0.1654602,166.302,0,0,0.1258989,233.6068,0.07695826,148.7376,0,0,0.0201487,2.481033,1.986199,0
1,6,135,0.8658692,0.3815815,0.3235213,1,14.76696,False,0.0002519414,-0.003779292,0.001492769,0.004071226,-0.003598084,0.01901706,-0.0007437313,-0.9998125,357.7808,-0.185811,0.9820722,-0.03840751,0.2979202,0.2914974,0.334826,0,0,0,0.4400963,461.1227,0,0,0.3156074,561.7377,0.2428364,406.8554,0,0,0.05706241,8.814101,7.071428,0
1,7,135,-0.7966841,-0.5820989,-0.1626509,1,9.724211,False,-0.0007524267,-0.002959847,0.009083092,0.009582766,0.06820012,-0.02698029,0.02574953,0.9969743,8.916428,0.8773766,-0.3470944,0.3312609,0.1021208,0.1573745,0.1499484,0,0,0,0.247045,217.9809,0,0,0.1481994,306.6434,0.09477129,169.4397,0,0,0.02513203,3.878619,1.41693,0
1,8,135,0.940083,-0.3370917,0.05111897,0.9999999,12.25523,False,0.004348785,-0.00314939,0.01208252,0.01322187,-0.04924487,-0.04069017,0.0205612,-0.9977458,352.3043,-0.7338196,-0.6063423,0.3063915,0.3586936,0.3970472,0.4277961,0,0,0,0.5579259,535.8011,0,0,0.4273112,780.5612,0.3091374,521.4342,0,0,0.0757796,10.76769,6.455585,0
1,9,135,0.5775748,-0.133807,0.8052969,1,9.491993,False,0.006397486,0.002984881,-0.003271967,0.007780945,0.006841857,0.07822938,0.03292277,0.9963682,9.769346,0.08035016,0.9187189,0.3866421,0.1411798,0.2543306,0.1825128,0,0,0,0.267743,146.6315,0,0,0.180918,287.1477,0.1442381,227.0915,0,0,0.05062413,6.076735,4.514743,0
1,10,135,-0.06156062,-0.9654522,0.2532041,1,12.19745,False,0.002923831,-0.0008244514,0.001820356,0.003541498,0.02545894,-0.01934362,0.05591111,-0.9979237,352.6144,0.3952829,-0.3003348,0.8680924,0.3601164,0.4678743,0.4893509,0,0,0,0.58618,626.398,0,0,0.3654382,947.7057,0.3309574,638.7078,0,0,0.05716188,9.049575,5.280165,0
