Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1773119345170,0.0136518,0.06494024,0.9041911,0.2083145,0.9301471,-0.6810802,-0.5547889,0.1086519,0.465332,124.5366,-0.7694638,-0.6267837,0.1227516,-0.07961857,0.5425106,0.09897085,0.5571823,0.2389189,0.8667379,-0.3155568,0.3034912,144.6652,0.2507455,0.909642,-0.3311771,0.01963757,1.007975,0.282708,1.047054,0.06123801,1.028926,0.305089,1.074951,0.06570896,1.013208,0.3153506,1.063182,0.01719054,0.5772757,0.1813166,0.6053251,0.05661907,0.5559469,0.1943974,0.5916697,0.06354912,0.563436,0.1573338,0.5884323,0.09998026,-0.08072931,0.04294824,0.1354911,0.1411852,-0.06936325,0.01390633,0.1579174,0.1331103,-0.07494275,-0.002707198,0.1527812,-0.1159221,0.0494074,-0.03850227,0.1317628,-0.1571884,0.05338468,-0.01701024,0.1668756,-0.1352958,0.07762405,0.003262676,0.1560163,0.0999555,-0.08071525,0.04284804,0.1354327,0.1416798,-0.06919579,0.01385826,0.1582823,0.1334417,-0.074926,-0.002843041,0.1530643,-0.1159082,0.04949893,-0.03846287,0.1317735,-0.1570621,0.05352606,-0.0170836,0.1668094,-0.1351652,0.07767736,0.003241231,0.1559292,0.1124882,-0.07794647,0.02965427,0.1400308,-0.1942655,0.9292259,-0.01096792,0.3141339,143.3829,-0.2046238,0.9787725,-0.01155273,-0.1322275,0.05973583,-0.01956869,0.1464084,-0.3085859,-0.1335465,0.1788448,0.9246376,44.77245,-0.8102596,-0.3506556,0.4695962,-0.05039524,1.000329,0.2998551,1.045519,-0.007128139,-0.009977601,-0.003226313,0.9999197,1.452632,-0.5623105,-0.7870932,-0.254511,0.1044413,-0.07187875,0.01485316,0.1276525,-0.03098857,-0.1933947,-0.1689807,0.9659627,29.98372,-0.1197941,-0.7476161,-0.6532374,-0.1178633,0.3105791,-0.3876505,0.5105135,-0.1375067,-0.6624129,-0.1555523,-0.7197948,272.0751,-0.1980831,-0.9542285,-0.2240784,0.1003952,-0.0003287792,0.0001449287,0.1003959,-0.7614952,0.2748193,0.4440365,0.3839677,134.8407,-0.8247122,0.2976339,0.4808991,-0.02104465,1.062166,-0.0657866,1.064409,0.08969419,-0.01501749,0.04482926,-0.9948466,348.3614,0.8846315,-0.1481138,0.4421398,False,False,False,False
1773119345185,0.0284139,0.02134365,0.9192668,0.2098407,0.9431544,-0.5124527,-0.3181963,-0.7975233,0.01000132,178.8539,-0.5124784,-0.3182123,-0.7975632,-0.082229,0.5437421,0.09922883,0.5588054,0.2316712,0.875823,-0.3010154,0.2977451,145.3556,0.2426777,0.917433,-0.3153165,0.01936336,1.041433,0.2648361,1.074754,-0.05895378,0.9936693,0.3491012,1.054858,-0.09409591,0.9879009,0.3352052,1.047456,0.01412263,0.5803331,0.1819204,0.6083428,0.0530434,0.56187,0.1902672,0.595578,0.05478032,0.5692236,0.1530017,0.5919679,0.08413451,-0.07073252,0.07662486,0.1339891,0.1759012,-0.01753636,0.01132061,0.1771353,0.179343,-0.03186874,-0.02395093,0.1837204,-0.1152961,0.05021033,-0.04057284,0.1321379,-0.1528385,0.05659639,-0.01877443,0.1640586,-0.1277818,0.0773523,0.0009022504,0.1493733,0.09870563,-0.07992661,0.04551642,0.1349178,0.1443833,-0.06511468,0.01365779,0.1589749,0.1370679,-0.07152446,-0.004510573,0.1546729,-0.1158599,0.04955513,-0.03862956,0.1318008,-0.1567284,0.05376861,-0.01721717,0.1665872,-0.134582,0.07765168,0.00305645,0.1554073,0.1121972,-0.07634776,0.03151838,0.1393219,-0.2209622,0.9189503,-0.006648489,0.3265911,141.876,-0.2337815,0.9722637,-0.007034204,-0.1319677,0.05982925,-0.01969689,0.1462292,-0.3074285,-0.1301659,0.1754918,0.9261464,44.31626,-0.8151056,-0.3451174,0.465293,-0.05157308,1.001558,0.2989806,1.046502,-0.02034231,-0.02543036,-0.02057728,0.9992577,4.415238,-0.5280854,-0.6601709,-0.5341853,0.1333384,-0.04440785,0.008300896,0.1407839,0.519271,0.3140394,0.794582,0.01940124,177.7766,0.5193687,0.3140985,0.7947314,-0.05194816,0.2653502,-0.4202693,0.4997355,-0.2279458,-0.8816165,0.2960991,0.2883023,146.4873,-0.2380537,-0.9207104,0.3092292,0.1015731,-0.001557827,0.001019388,0.1015901,-0.7583205,0.2997318,0.4351169,0.381817,135.1074,-0.8204818,0.3243015,0.4707846,-0.02068357,1.062364,-0.06583497,1.064603,0.08982481,-0.01471136,0.04548186,-0.9948098,348.3199,0.8827828,-0.1445807,0.4469879,False,False,False,False
1773119345198,0.0488973,0.02015461,0.9220717,0.2093232,0.9457477,-0.5053181,-0.3134812,-0.8039775,-0.001851808,180.2122,-0.505319,-0.3134817,-0.803979,-0.08227919,0.5437256,0.09892897,0.5587435,0.2322296,0.8751516,-0.3016779,0.2986126,145.2514,0.2433317,0.9169899,-0.3161002,0.01888077,1.0444,0.2640058,1.077417,-0.06212339,0.9968579,0.3472577,1.057437,-0.09714128,0.9914563,0.3328376,1.050335,0.01378781,0.5801977,0.1820551,0.6082463,0.05284154,0.5613068,0.1907109,0.5951707,0.05432488,0.5691785,0.1527201,0.5918097,0.08411092,-0.07101927,0.07640527,0.1340006,0.1760904,-0.01612318,0.01099087,0.1771683,0.1797973,-0.03006884,-0.02443722,0.1839249,-0.1154132,0.04989264,-0.04073769,0.1321705,-0.1533017,0.05601839,-0.01873948,0.1642883,-0.1273996,0.07726955,0.0008802339,0.1490034,0.09746683,-0.07917055,0.04813827,0.1344807,0.1470746,-0.06095627,0.01343142,0.1597718,0.1406948,-0.0680057,-0.006201949,0.1563913,-0.115822,0.04958377,-0.03880849,0.1318309,-0.1564376,0.05395957,-0.01734639,0.1663888,-0.1339723,0.07761925,0.002871733,0.1548599,0.1119362,-0.07477593,0.03331539,0.1386761,-0.2451568,0.9089702,-0.003602265,0.3371325,140.5955,-0.2604014,0.9654928,-0.003826265,-0.1317308,0.05989976,-0.01981792,0.1460607,-0.3063765,-0.1262724,0.1722695,0.9276378,43.86091,-0.8203272,-0.3380959,0.4612538,-0.05253991,1.002403,0.2980353,1.04709,-0.02069436,-0.04990079,-0.04522713,0.997515,8.080138,-0.2937289,-0.7082755,-0.6419392,0.1332607,-0.04101334,0.007801898,0.1396473,0.5189756,0.3073389,0.7969454,0.03294452,176.2242,0.5192574,0.3075058,0.7973782,-0.05089962,0.2652422,-0.4214614,0.5005736,-0.2124516,-0.8930113,0.2834125,0.2776192,147.7637,-0.2211446,-0.9295509,0.2950089,0.1025399,-0.002403021,0.001964718,0.1025869,-0.7613879,0.3275424,0.4250555,0.3637752,137.3356,-0.8173898,0.3516339,0.4563193,-0.02034287,1.062555,-0.06586365,1.064789,0.09027161,-0.01438326,0.04615578,-0.9947431,348.245,0.8815433,-0.140459,0.4507322,False,False,False,False
1773119345210,0.0623185,0.01865474,0.9228184,0.2093144,0.946443,-0.4989243,-0.3107945,-0.80891,-0.01208602,181.385,-0.4989608,-0.3108172,-0.8089691,-0.08224031,0.543655,0.09876624,0.5586404,0.2330525,0.8743712,-0.3024616,0.2994637,145.1492,0.2442622,0.9164283,-0.3170099,0.01783777,1.045477,0.2632289,1.078253,-0.0652034,0.9979193,0.3461489,1.05826,-0.1002892,0.9944152,0.3299192,1.052505,0.01358954,0.5799066,0.1823002,0.6080376,0.05270726,0.5607487,0.1911382,0.5947697,0.05427042,0.5689538,0.1527803,0.5916042,0.08396102,-0.07140519,0.07618659,0.1339871,0.1762646,-0.01448541,0.01081469,0.1771891,0.1797393,-0.03021045,-0.02450311,0.1839002,-0.1155472,0.04957239,-0.04082754,0.1321948,-0.1536112,0.05558842,-0.01868553,0.1644252,-0.1273715,0.07725573,0.0008874759,0.1489723,0.09592682,-0.07828511,0.0513365,0.1340371,0.1504031,-0.0556574,0.01313305,0.1609077,0.1451468,-0.06369606,-0.008288753,0.1587246,-0.1157906,0.04958248,-0.03903872,0.1318708,-0.1561153,0.05414531,-0.01749909,0.1661623,-0.1332197,0.0775778,0.002645476,0.1541843,0.1116793,-0.07287227,0.03544311,0.1379813,-0.2753573,0.8961505,-0.003464155,0.3479663,139.274,-0.2937123,0.9558867,-0.003695071,-0.1314613,0.0599634,-0.0199596,0.1458632,-0.305318,-0.1210565,0.1685125,0.9293706,43.32616,-0.8270883,-0.3279348,0.4564905,-0.05315065,1.002638,0.2976008,1.047222,-0.01618607,-0.06726278,-0.0605428,0.9957652,10.54962,-0.1760641,-0.7316515,-0.6585549,0.1329132,-0.03919427,0.008466512,0.13883,0.5242435,0.3164503,0.7889814,0.05036251,174.2265,0.5249096,0.3168524,0.7899839,-0.04973526,0.2648804,-0.4223799,0.5010389,-0.1840322,-0.9039415,0.281701,0.2639443,149.3915,-0.1907983,-0.9371757,0.292058,0.1031507,-0.002637744,0.002399176,0.1032123,-0.7655715,0.3433326,0.4181153,0.348142,139.2526,-0.8166603,0.3662441,0.4460173,-0.02008961,1.062774,-0.06594668,1.065007,0.09068961,-0.01446162,0.04660765,-0.9946829,348.1778,0.880609,-0.1404244,0.452567,False,False,False,False
1773119345224,0.0739581,0.01860142,0.9229589,0.2097439,0.9466739,-0.4922077,-0.3093591,-0.8133403,-0.02249797,182.5783,-0.4923323,-0.3094374,-0.8135462,-0.08220769,0.5435863,0.09867808,0.558553,0.2341875,0.873412,-0.3034323,0.3003938,145.0375,0.2455271,0.9157036,-0.3181249,0.0183965,1.045999,0.2627636,1.078655,-0.06726298,1.000537,0.3436959,1.060059,-0.101926,0.9969622,0.3272291,1.05423,0.01344119,0.5797144,0.1825099,0.6079139,0.05253724,0.5602985,0.1915489,0.5944624,0.05424776,0.5686099,0.1530367,0.5913377,0.0837918,-0.07156472,0.07620689,0.1339778,0.1760238,-0.01528227,0.01078576,0.1770148,0.1796815,-0.03033407,-0.02450623,0.1838645,-0.1156057,0.04943813,-0.04090138,0.1322185,-0.1537886,0.05532862,-0.01866288,0.1645007,-0.1274358,0.07720405,0.0008869022,0.1490005,0.09498309,-0.07776246,0.05327066,0.1338154,0.1523956,-0.05251744,0.0129505,0.1617103,0.1478326,-0.06110151,-0.009549983,0.1602469,-0.1157762,0.04957125,-0.03918358,0.1318969,-0.1559343,0.05423733,-0.01758959,0.1660319,-0.1327699,0.07754873,0.002508712,0.1537789,0.1115213,-0.07175439,0.03671656,0.1376001,-0.2909262,0.8890049,-0.003845029,0.3535781,138.5874,-0.3110163,0.9503958,-0.00411055,-0.1313068,0.05999237,-0.0200449,0.1457476,-0.3047187,-0.1178005,0.1663735,0.9303706,43.01468,-0.8311559,-0.3213146,0.4538032,-0.05435738,1.003446,0.2967824,1.047825,-0.007681196,-0.09506615,-0.07203112,0.9928318,13.72877,-0.06426717,-0.7954012,-0.6026713,0.1332152,-0.0374146,0.008354549,0.1386216,0.5264655,0.3261971,0.7831581,0.05561446,173.6238,0.5272816,0.3267027,0.7843721,-0.04917203,0.2639025,-0.4231789,0.5011415,-0.1647695,-0.9090084,0.2855757,0.2549536,150.4583,-0.1704006,-0.9400747,0.2953355,0.1043574,-0.003445506,0.003217608,0.1044638,-0.7761225,0.3580855,0.4022936,0.3279765,141.708,-0.8215668,0.3790525,0.4258491,-0.01977618,1.06283,-0.065982,1.065059,0.09119584,-0.0142792,0.04699917,-0.9946208,348.1089,0.880411,-0.1378524,0.4537333,False,False,False,False
1773119345240,0.0879991,0.01848376,0.9226029,0.2107506,0.9465482,-0.483071,-0.308818,-0.8185106,-0.03625449,184.1554,-0.4833888,-0.3090211,-0.8190491,-0.08216458,0.5434857,0.09852119,0.5584211,0.2360115,0.8719734,-0.3048913,0.3016658,144.8846,0.2475436,0.9145803,-0.319789,0.01882901,1.046259,0.2623514,1.078814,-0.07010742,1.003786,0.3405966,1.062312,-0.1041035,1.000723,0.3230545,1.056715,0.01323122,0.579412,0.182778,0.6077015,0.05231176,0.5596144,0.1921536,0.5939931,0.05416901,0.5681064,0.1532838,0.5909104,0.08370026,-0.0717688,0.07613842,0.1339909,0.1758259,-0.01646869,0.01063485,0.1769154,0.1792909,-0.03160591,-0.02446077,0.1836913,-0.1156802,0.04925393,-0.04101734,0.1322508,-0.1540826,0.05496658,-0.01866221,0.1646544,-0.1274189,0.07717265,0.000891827,0.1489697,0.09421416,-0.077354,0.05482909,0.1336644,0.1539924,-0.05006072,0.01279269,0.1624296,0.1499765,-0.0590914,-0.01056615,0.1615437,-0.1157697,0.04954963,-0.03930854,0.1319202,-0.1558082,0.05428703,-0.01766269,0.1659374,-0.1324052,0.0775231,0.002398522,0.1534494,0.1113944,-0.07088886,0.03773121,0.137323,-0.3023942,0.8835785,-0.004735543,0.3575254,138.1034,-0.323796,0.9461133,-0.005070699,-0.1311933,0.06000545,-0.02011281,0.1456601,-0.304285,-0.1150079,0.1647697,0.931147,42.77134,-0.8344718,-0.3153978,0.4518647,-0.05555999,1.005621,0.2955419,1.049622,-0.02952139,-0.119035,-0.09917303,0.9874836,18.14935,-0.187174,-0.7547155,-0.6287851,0.1336792,-0.0361143,0.008273981,0.1387185,0.5354548,0.3385599,0.7717032,0.05603232,173.5758,0.5362974,0.3390926,0.7729175,-0.04777864,0.2625776,-0.4247517,0.501641,-0.1448428,-0.9137432,0.2967153,0.2367571,152.6096,-0.1490814,-0.9404823,0.3053982,0.10556,-0.005620956,0.00445807,0.1058035,-0.7673363,0.3963625,0.3862347,0.3239053,142.2015,-0.811061,0.4189481,0.4082433,-0.01953723,1.062917,-0.06603029,1.065145,0.09171086,-0.01441118,0.04745644,-0.9945498,348.0306,0.8796139,-0.13822,0.4551625,False,False,False,False
1773119345252,0.1032196,0.01646138,0.9246038,0.2112472,0.9485718,-0.4783888,-0.3086351,-0.8209518,-0.04389388,185.0315,-0.4788503,-0.3089329,-0.8217438,-0.08212566,0.5432944,0.09821039,0.5581744,0.237028,0.8712074,-0.3056454,0.302318,144.8062,0.2486637,0.913975,-0.3206495,0.01536323,1.04906,0.2610457,1.08116,-0.07310693,1.00435,0.3415217,1.063344,-0.1071238,1.005227,0.3203476,1.060462,0.01314427,0.5787573,0.182827,0.6070902,0.05220796,0.5589803,0.1923095,0.5934371,0.05415352,0.5676062,0.1532005,0.5904064,0.0840778,-0.07318437,0.07446676,0.1340535,0.1763196,-0.01275299,0.01011015,0.177069,0.1788996,-0.03267196,-0.02457172,0.1835111,-0.1158911,0.0488686,-0.04092754,0.1322647,-0.1543069,0.05467039,-0.01862095,0.1647611,-0.1274421,0.07710139,0.0009451136,0.148953,0.09339241,-0.07701597,0.05642112,0.133555,0.1558024,-0.04703619,0.01257521,0.1632328,0.1523213,-0.05694957,-0.01170158,0.1630397,-0.1157795,0.04949442,-0.0394398,0.1319473,-0.1556865,0.05431811,-0.01774038,0.1658416,-0.1320028,0.07748891,0.002280694,0.1530832,0.1113619,-0.06995571,0.03870039,0.1370875,-0.3198113,0.8756833,-0.007944292,0.3617131,137.5891,-0.3430386,0.9392827,-0.008521273,-0.1310831,0.060003,-0.02017621,0.1455686,-0.3040005,-0.1117062,0.1629384,0.9319639,42.51391,-0.8385036,-0.3081116,0.4494216,-0.05607755,1.006612,0.2949657,1.050436,-0.03748281,-0.1293552,-0.1120262,0.9845367,20.17808,-0.2139694,-0.7384201,-0.6394982,0.1324686,-0.03509093,0.008784034,0.1373188,0.5408106,0.3332047,0.7671958,0.08893286,169.7956,0.5429621,0.3345302,0.7702479,-0.04576214,0.2630679,-0.4267229,0.5033799,-0.1202033,-0.9288194,0.2743334,0.2181443,154.7999,-0.1231697,-0.9517407,0.2811034,0.1060776,-0.006611586,0.005034357,0.1064026,-0.7633056,0.4129075,0.3798581,0.3202811,142.6402,-0.8057504,0.4358679,0.4009807,-0.01920968,1.063068,-0.06607913,1.065293,0.09217879,-0.01436794,0.0480105,-0.9944806,347.9548,0.8785581,-0.1369412,0.4575891,False,False,False,False
1773119345267,0.1159022,0.01593261,0.9246936,0.2119436,0.9488056,-0.4747345,-0.3085417,-0.8227394,-0.05029034,185.7653,-0.475336,-0.3089326,-0.8237817,-0.08211599,0.5432204,0.09812321,0.5580857,0.2378466,0.8706122,-0.3062183,0.3028095,144.7471,0.2495634,0.9135001,-0.3213032,0.01356368,1.049662,0.2604668,1.081581,-0.0747014,1.006051,0.3401746,1.06463,-0.1083658,1.006879,0.3191483,1.061793,0.01302554,0.5785268,0.1829876,0.6069162,0.0521044,0.5586894,0.1924495,0.5931994,0.05412963,0.5673379,0.15328,0.590167,0.08463895,-0.0740886,0.07296812,0.1340792,0.1760789,-0.01328097,0.009824082,0.1768522,0.1789378,-0.03270309,-0.02468234,0.1835687,-0.1159624,0.0487119,-0.04099143,0.1322891,-0.154357,0.05458869,-0.01859675,0.1647782,-0.1274458,0.07709384,0.0009594411,0.1489524,0.09262836,-0.07676045,0.05786544,0.1334938,0.1575723,-0.04408984,0.01233508,0.1640887,0.1546445,-0.0548332,-0.01283462,0.1645793,-0.1157955,0.04942611,-0.03957523,0.1319763,-0.1555704,0.05434173,-0.01781513,0.1657485,-0.1316051,0.07745443,0.002165368,0.1527212,0.1113717,-0.06909258,0.03955355,0.1369011,-0.3354721,0.8680573,-0.01058533,0.3658181,137.0841,-0.3604567,0.9327067,-0.01137368,-0.1309761,0.05999448,-0.02023877,0.1454774,-0.303781,-0.1083193,0.1611261,0.9327499,42.26476,-0.8426096,-0.3004497,0.4469221,-0.05763949,1.009307,0.2940912,1.052859,-0.03145901,-0.1471638,-0.1283933,0.9802389,22.8187,-0.1590308,-0.7439385,-0.6490502,0.132242,-0.03492882,0.008984745,0.1370718,0.5411394,0.3326201,0.7658066,0.1003616,168.48,0.5438855,0.334308,0.7696927,-0.04480335,0.2630693,-0.4277189,0.5041392,-0.1083765,-0.9344426,0.2656943,0.2108982,155.65,-0.1108702,-0.9559437,0.2718078,0.1076395,-0.009306788,0.005908847,0.1082025,-0.766054,0.4283067,0.3722302,0.301926,144.8534,-0.8035548,0.4492737,0.3904521,-0.01891916,1.063194,-0.06608301,1.065414,0.09275988,-0.01465411,0.04802832,-0.9944215,347.8905,0.8794163,-0.1389293,0.4553358,False,False,False,False
1773119345281,0.1299309,0.01423679,0.9257285,0.21222,0.9498491,-0.4706926,-0.3081327,-0.8247103,-0.05792711,186.6417,-0.4714844,-0.3086511,-0.8260975,-0.08215946,0.5429018,0.09781969,0.5577286,0.2386877,0.8699853,-0.3068428,0.303317,144.6861,0.2504883,0.9129969,-0.322013,0.006422332,1.051764,0.2574539,1.082835,-0.07741175,1.006904,0.3395036,1.065416,-0.1105805,1.009817,0.3170607,1.064184,0.01282624,0.5780958,0.1829933,0.606503,0.0519051,0.5582448,0.1922884,0.5927109,0.05406225,0.5668082,0.1531313,0.589613,0.08640431,-0.07732013,0.06743852,0.1341345,0.1760018,-0.01141249,0.009118937,0.176607,0.1787514,-0.03283557,-0.02473117,0.1834172,-0.1160473,0.04854476,-0.04113232,0.1323459,-0.1542992,0.05458096,-0.01859391,0.1647211,-0.1274498,0.07708961,0.0009952784,0.1489539,0.09216899,-0.07680175,0.05857199,0.1335077,0.1589325,-0.04167806,0.01209771,0.1647512,0.1564237,-0.05320964,-0.01371265,0.1657941,-0.1158141,0.04936107,-0.03969016,0.1320027,-0.1554766,0.05435939,-0.01787261,0.1656724,-0.1312984,0.07742751,0.002079008,0.1524421,0.1115287,-0.06854906,0.03988139,0.1368508,-0.3494302,0.8607863,-0.01248161,0.3698509,136.5871,-0.376099,0.9264821,-0.01343422,-0.1308903,0.05998437,-0.0202898,0.1454031,-0.3036288,-0.1055964,0.1596906,0.9333584,42.07093,-0.8458905,-0.2941849,0.4448879,-0.05819776,1.010631,0.2933037,1.05394,-0.04026338,-0.1615569,-0.1283193,0.9776566,24.26913,-0.1915403,-0.768556,-0.6104387,0.1324142,-0.03505354,0.009598879,0.1373114,0.5450189,0.3450577,0.7562752,0.1092584,167.4549,0.5483014,0.3471358,0.76083,-0.04266348,0.2638128,-0.4303952,0.5066136,-0.08665663,-0.9377296,0.2695927,0.2011804,156.788,-0.08846539,-0.9573025,0.2752198,0.1081978,-0.0106312,0.006696314,0.1089248,-0.7672505,0.4370556,0.3577499,0.303849,144.6221,-0.8053262,0.4587449,0.3755037,-0.01859663,1.063321,-0.06606033,1.065534,0.09333618,-0.01441867,0.04806594,-0.9943692,347.8337,0.8807702,-0.1360623,0.4535759,False,False,False,False
1773119345294,0.1431074,0.01356213,0.9248453,0.2131864,0.949195,-0.4666641,-0.3073963,-0.8266615,-0.06605153,187.5745,-0.4676855,-0.3080691,-0.8284707,-0.08219245,0.5427103,0.09765221,0.5575178,0.2394356,0.8694096,-0.3074417,0.303771,144.6315,0.2513114,0.9125314,-0.3226905,0.002720245,1.0514,0.2561889,1.082166,-0.07969172,1.009255,0.3372895,1.067104,-0.1117173,1.0111,0.3156546,1.065102,0.01268944,0.5778937,0.1830001,0.6063095,0.05175729,0.5578989,0.1923342,0.5923871,0.05400181,0.5664431,0.1531055,0.5892497,0.08758648,-0.07895437,0.06385725,0.1341005,0.1759703,-0.01356905,0.008555241,0.1766999,0.1786847,-0.03306917,-0.02475375,0.1833972,-0.116062,0.04851287,-0.04124106,0.1323809,-0.1543345,0.05452101,-0.01860645,0.1647358,-0.12745,0.07708862,0.001011252,0.1489536,0.09179778,-0.07697613,0.05900012,0.1335409,0.1603126,-0.0394011,0.01181075,0.1655055,0.158227,-0.05157817,-0.01460703,0.1670612,-0.1158342,0.04929236,-0.03981579,0.1320325,-0.1553841,0.05437248,-0.01793205,0.1655963,-0.1309866,0.07740006,0.001992515,0.1521586,0.1117405,-0.06811728,0.04001807,0.1368479,-0.3610453,0.8539469,-0.01304536,0.3745008,136.0131,-0.3893819,0.9209689,-0.01406923,-0.1308032,0.05997258,-0.02034445,0.1453275,-0.3034454,-0.102772,0.1582734,0.9339745,41.87381,-0.8491792,-0.2876033,0.4429215,-0.0586282,1.011483,0.2928417,1.054652,-0.0459538,-0.1734731,-0.1385662,0.9739584,26.20889,-0.2026835,-0.7651194,-0.611159,0.1324198,-0.03591999,0.01011111,0.1375772,0.5530047,0.3377969,0.7536508,0.1099524,167.3749,0.5563782,0.3398575,0.7582482,-0.04155169,0.2641535,-0.4316265,0.5077451,-0.0850853,-0.9421632,0.2652699,0.1863349,158.5221,-0.08660202,-0.9589582,0.2699986,0.1086282,-0.01148307,0.007158339,0.1094678,-0.7649308,0.4510024,0.3494247,0.2989653,145.2091,-0.8015924,0.472618,0.366172,-0.01835792,1.063407,-0.066012,1.065612,0.0936211,-0.01444761,0.04830766,-0.9943303,347.7917,0.880429,-0.1358678,0.4542936,False,False,False,False
