Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773119862706,0,1,1,135,0.2286287,-0.9585325,-0.1701306,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.2112254,-0.8855686,-0.1571802,0.3826835,135,0.2286288,-0.9585325,-0.1701306
Trial Start,1773119870362,0,1,1,135,0.2286287,-0.9585325,-0.1701306,1,-1,-0.0490164,1.000094,0.3020269,1.045854,0.003756463,-0.004236039,-0.009762467,0.9999363,1.292991,0.3329189,-0.3754216,-0.8652048,0.0990164,-9.405613E-05,-0.002026916,0.09903719,0.2017949,-0.8853627,-0.1558661,0.3887383,134.248,0.2190214,-0.9609426,-0.1691718
On Target,1773119879265,8.907402,1,1,135,0.2286287,-0.9585325,-0.1701306,1,-1,0.04656144,1.002996,0.2847563,1.043674,-0.1726432,0.9208844,0.1545793,-0.3134831,216.5385,-0.1818074,0.9697666,0.1627846,0.003438562,-0.002996325,0.01524374,0.01591142,-0.008002173,-0.06928144,-0.05150841,-0.9962345,350.0523,-0.09229597,-0.7990826,-0.594091
Trial End,1773119880264,9.90718,1,2,135,0.2286287,-0.9585325,-0.1701306,1,-1,0.04631596,1.004364,0.2927248,1.047177,-0.2181021,0.8755451,0.1535437,-0.4028358,227.5112,-0.238292,0.9565953,0.1677574,0.00368404,-0.004363894,0.007275254,0.009249056,-0.003270025,0.01983311,0.01276615,-0.9997165,357.2714,-0.1373403,0.8329861,0.5361754
Trial Load,1773119880266,9.90718,1,2,135,0.02914791,0.9722473,0.2321326,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.02692917,0.8982394,0.2144625,0.3826834,135,0.02914792,0.9722474,0.2321326
Trial Start,1773119881764,0,1,2,135,0.02914791,0.9722473,0.2321326,1,-1,-0.04914175,0.9997728,0.3005831,1.045137,0.009769714,-0.01810776,-0.008755858,-0.99975,357.4377,0.4369568,-0.8098814,-0.3916114,0.09914175,0.0002272129,-0.0005830824,0.09914372,-0.02667972,-0.8934164,-0.201795,-0.4004675,227.2148,-0.02911645,-0.9750144,-0.2202255
On Target,1773119887764,6.013728,1,2,135,0.02914791,0.9722473,0.2321326,1,-1,0.04800864,1.001022,0.3011796,1.046451,0.04086959,-0.9021051,-0.1627659,-0.3975467,226.8498,0.04454054,-0.9831331,-0.1773857,0.001991365,-0.00102222,-0.001179576,0.002530191,-0.07361072,-0.02501964,0.03803255,-0.9962475,350.0696,-0.8504942,-0.2890755,0.439426
Off Target,1773119887861,6.110887,1,2,135,0.02914791,0.9722473,0.2321326,1,-1,0.04801455,1.000142,0.3008957,1.045528,0.03953504,-0.9105312,-0.1590486,-0.3795701,224.6141,0.04273306,-0.9841847,-0.1719141,0.001985449,-0.0001423359,-0.000895679,0.002182776,-0.07776204,-0.005261534,0.03949345,-0.9961755,349.9748,-0.8899834,-0.06021804,0.4520009
On Target,1773119892736,10.98547,1,2,135,0.02914791,0.9722473,0.2321326,1,-1,0.04962792,0.9987356,0.2949079,1.042548,0.01078396,-0.9297417,-0.1692941,-0.3268082,218.1503,0.0114105,-0.9837593,-0.17913,0.0003720783,0.001264393,0.005092114,0.00525992,-0.06025565,0.05537294,0.02942166,-0.9962116,350.0222,-0.6928876,0.6367407,0.3383236
Trial End,1773119893721,11.97152,1,3,135,0.02914791,0.9722473,0.2321326,1,-1,0.04778271,1.00023,0.2989542,1.045044,-0.02236409,-0.919851,-0.1944255,-0.3399599,219.7489,-0.02378046,-0.9781071,-0.2067388,0.002217289,-0.0002299547,0.001045853,0.002462328,-0.02322943,0.04620684,0.006177243,-0.9986427,354.0289,-0.4459958,0.887153,0.1186006
Trial Load,1773119893723,11.97152,1,3,135,-0.3575948,-0.840018,0.4080388,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.3303745,-0.7760755,0.3769787,0.3826834,135,-0.3575948,-0.840018,0.4080388
Trial Start,1773119895499,0,1,3,135,-0.3575948,-0.840018,0.4080388,1,-1,-0.06616093,1.000672,0.2752612,1.039947,0,0,0,1,0,1,0,0,0.1161609,-0.000672102,0.02473882,0.1187679,-0.3303745,-0.7760755,0.3769787,0.3826834,135,-0.3575948,-0.840018,0.4080388
On Target,1773119904040,8.554319,1,3,135,-0.3575948,-0.840018,0.4080388,1,-1,0.05517529,0.9962412,0.281294,1.036662,0.3212491,0.7310605,-0.4221169,-0.4291468,230.8268,0.3556651,0.8093804,-0.4673391,-0.005175285,0.003758848,0.01870596,0.01976931,-0.0331579,0.07163814,-0.008031838,-0.9968471,350.898,-0.4178876,0.9028525,-0.1012249
Off Target,1773119904066,8.581844,1,3,135,-0.3575948,-0.840018,0.4080388,1,-1,0.05613141,0.99574,0.2831397,1.036734,0.3301831,0.7221944,-0.436166,-0.423289,230.0848,0.3644427,0.7971287,-0.4814222,-0.006131411,0.004260004,0.01686031,0.01843941,-0.05275751,0.07175846,-0.0103099,-0.9959725,349.7119,-0.5884187,0.8003415,-0.1149891
On Target,1773119904845,9.359989,1,3,135,-0.3575948,-0.840018,0.4080388,1,-1,0.04773214,1.002254,0.2968791,1.046389,0.3300378,0.7378138,-0.4539681,-0.3749917,224.0476,0.356017,0.7958915,-0.4897026,0.002267864,-0.002254367,0.003120899,0.004468265,-0.07658572,0.034235,0.01998283,-0.9962747,350.1057,-0.8880919,0.3969907,0.2317219
Trial End,1773119905845,10.35976,1,4,135,-0.3575948,-0.840018,0.4080388,1,-1,0.04720127,1.003386,0.2934729,1.046488,0.3061437,0.757209,-0.4301434,-0.3845611,225.233,0.3316476,0.8202897,-0.4659773,0.002798732,-0.003385782,0.006527126,0.007867643,-0.03847904,0.03537583,0.03220929,-0.9981135,352.9602,-0.6267411,0.5761966,0.5246204
Trial Load,1773119905846,10.35976,1,4,135,-0.309931,-0.5407937,0.781975,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.2863389,-0.4996282,0.7224509,0.3826833,135,-0.309931,-0.5407937,0.7819751
Trial Start,1773119907136,0,1,4,135,-0.309931,-0.5407937,0.781975,1,-1,-0.03669757,1.010807,0.278422,1.049093,0,0,0,1,0,1,0,0,0.08669756,-0.01080668,0.02157804,0.08999369,-0.2863389,-0.4996282,0.7224509,0.3826833,135,-0.309931,-0.5407937,0.7819751
On Target,1773119916761,9.63891,1,4,135,-0.309931,-0.5407937,0.781975,1,-1,0.05191642,1.005197,0.2895789,1.047364,0.2053361,0.5225981,-0.7233895,-0.4017911,227.3804,0.2242318,0.5706893,-0.7899582,-0.00191642,-0.005196691,0.0104211,0.01180159,0.05259535,0.05954593,0.0336032,-0.9962726,350.1028,0.6097126,0.6902874,0.3895457
Trial End,1773119917762,10.63895,1,5,135,-0.309931,-0.5407937,0.781975,1,-1,0.04970772,1.003779,0.2885078,1.045601,0.2239374,0.5153266,-0.7233253,-0.4013617,227.3267,0.2444946,0.5626329,-0.7897257,0.0002922826,-0.003779411,0.01149225,0.01210129,0.04013276,0.0486572,0.02251304,-0.9977551,352.3202,0.5992746,0.7265643,0.3361716
Trial Load,1773119917762,10.63895,1,5,135,0.1387075,-0.07489794,0.9874971,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.128149,-0.06919668,0.9123284,0.3826834,135,0.1387075,-0.07489794,0.9874972
Trial Start,1773119919023,0,1,5,135,0.1387075,-0.07489794,0.9874971,1,-1,-0.04714965,1.002356,0.2839128,1.042856,0,0,0,1,0,1,0,0,0.09714966,-0.002356291,0.01608723,0.0985008,0.128149,-0.06919668,0.9123284,0.3826834,135,0.1387075,-0.07489794,0.9874972
On Target,1773119929357,10.34697,1,5,135,0.1387075,-0.07489794,0.9874971,1,-1,0.05113757,0.9960231,0.3014796,1.041905,0.2026733,-0.1095439,0.9008654,0.3679202,136.8252,0.2179617,-0.1178072,0.968821,-0.001137566,0.003976941,-0.001479626,0.004393109,-0.06801423,-0.05299777,-0.009068514,0.9962345,9.947641,-0.7844731,-0.6112738,-0.1045958
Off Target,1773119929606,10.59692,1,5,135,0.1387075,-0.07489794,0.9874971,1,-1,0.05057847,0.993907,0.3016023,1.039891,0.1940103,-0.1231005,0.9020413,0.3654146,137.1338,0.2084238,-0.132246,0.9690564,-0.0005784743,0.006092966,-0.001602322,0.006326634,-0.07730684,-0.0395823,-0.009467773,0.9961764,10.02408,-0.8848703,-0.4530673,-0.1083701
On Target,1773119930050,11.04129,1,5,135,0.1387075,-0.07489794,0.9874971,1,-1,0.05027704,0.9951086,0.2994139,1.040393,0.1947266,-0.1222228,0.9011621,0.3674915,136.878,0.2093774,-0.1314186,0.9689636,-0.0002770387,0.004891396,0.0005861521,0.004934174,-0.07657486,-0.04082806,-0.007398533,0.9962002,9.992915,-0.8792183,-0.4687802,-0.08494858
Trial End,1773119931038,12.02761,1,6,135,0.1387075,-0.07489794,0.9874971,1,-1,0.04919205,0.9987082,0.2961219,1.042845,0.2002867,-0.09856387,0.9017389,0.3701856,136.5459,0.2156036,-0.1061016,0.9706995,0.0008079521,0.001291752,0.003878146,0.004166705,-0.05673276,-0.05506711,-0.008578054,0.9968328,9.122647,-0.7133848,-0.6924402,-0.1078646
Trial Load,1773119931038,12.02761,1,6,135,-0.606216,0.1199714,0.7861991,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.5600706,0.1108391,0.7263533,0.3826834,135,-0.606216,0.1199714,0.7861992
Trial Start,1773119932162,0,1,6,135,-0.606216,0.1199714,0.7861991,1,-1,-0.0523966,1.002424,0.2846732,1.043378,0,0,0,1,0,1,0,0,0.1023966,-0.00242424,0.0153268,0.1035657,-0.5600706,0.1108391,0.7263533,0.3826834,135,-0.606216,0.1199714,0.7861992
On Target,1773119937481,5.332693,1,6,135,-0.606216,0.1199714,0.7861991,1,-1,0.04746437,1.002597,0.2897149,1.044696,-0.5200346,0.174748,0.7572212,0.3544621,138.479,-0.5561448,0.1868822,0.8098013,0.00253563,-0.002597451,0.01028508,0.01090683,0.04348385,-0.07395341,0.007919687,0.9962819,9.884893,0.5047165,-0.858376,0.09192368
Trial End,1773119938481,6.332547,1,7,135,-0.606216,0.1199714,0.7861991,1,-1,0.04843871,1.003552,0.2887099,1.045379,-0.5551915,0.1123856,0.7060607,0.4249827,129.7009,-0.6133347,0.1241553,0.7800039,0.001561295,-0.003552318,0.01129013,0.01193833,-0.0221852,0.01191796,0.03989675,0.9988865,5.408287,-0.4702391,0.252614,0.8456542
Trial Load,1773119938481,6.332547,1,7,135,0.9066777,0.1352933,-0.3995389,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.837661,0.1249947,-0.3691258,0.3826834,135,0.9066777,0.1352933,-0.3995389
Trial Start,1773119939675,0,1,7,135,0.9066777,0.1352933,-0.3995389,1,-1,-0.04536542,1.008844,0.2739527,1.046362,0,0,0,1,0,1,0,0,0.09536542,-0.008843899,0.02604735,0.09925342,0.837661,0.1249947,-0.3691258,0.3826834,135,0.9066777,0.1352933,-0.3995389
On Target,1773119946411,6.74966,1,7,135,0.9066777,0.1352933,-0.3995389,1,-1,0.04601786,0.9883648,0.2868165,1.030168,0.8525763,0.04525671,-0.3739975,0.3622035,137.5288,0.9146842,0.04855355,-0.4012423,0.003982145,0.01163518,0.01318353,0.01802888,0.007179277,0.02937926,0.0780817,0.9964881,9.606441,0.08573927,0.3508649,0.9324991
Trial End,1773119947411,7.749592,1,8,135,0.9066777,0.1352933,-0.3995389,1,-1,0.05178203,1.002576,0.2971245,1.046959,0.8179212,0.0600287,-0.3929452,0.4159273,130.8446,0.8994097,0.06600928,-0.4320938,-0.001782034,-0.002576351,0.002875507,0.004252266,0.06235913,0.001777671,0.04879621,0.9968586,9.085382,0.7873456,0.02244485,0.6161004
Trial Load,1773119947412,7.749592,1,8,135,-0.3283217,0.5402272,0.7748287,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.3033297,0.4991048,0.7158483,0.3826834,135,-0.3283217,0.5402272,0.7748287
Trial Start,1773119948605,0,1,8,135,-0.3283217,0.5402272,0.7748287,1,-1,-0.04947275,0.9999502,0.2994679,1.045002,0.01012948,-0.01242589,-0.006058896,-0.9998532,358.0364,0.5911531,-0.7251707,-0.3535951,0.09947275,4.976988E-05,0.0005321205,0.09947418,0.2935378,-0.4996897,-0.7121381,-0.3962389,226.6865,0.3197066,-0.5442369,-0.7756249
On Target,1773119952383,3.791414,1,8,135,-0.3283217,0.5402272,0.7748287,1,-1,0.04762604,0.9975748,0.2961909,1.041707,-0.318644,0.5032312,0.7434294,0.3041991,144.58,-0.3344963,0.5282665,0.7804145,0.00237396,0.002425194,0.003809124,0.005101635,0.01885514,-0.03815443,-0.0731295,0.9964139,9.707386,0.2228435,-0.4509365,-0.864297
Trial End,1773119953369,4.777464,1,9,135,-0.3283217,0.5402272,0.7748287,1,-1,0.05090495,1.007717,0.2878824,1.049267,-0.2690129,0.5023835,0.7353325,0.3667821,136.9654,-0.2891658,0.5400191,0.7904193,-0.0009049512,-0.007716894,0.01211756,0.01439461,-0.01568674,-0.03966686,-0.0007170463,0.9990896,4.890092,-0.367706,-0.9298137,-0.01680797
Trial Load,1773119953370,4.777464,1,9,135,0.2491405,-0.2112297,-0.9451513,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.2301758,-0.1951508,-0.873206,0.3826834,135,0.2491405,-0.2112297,-0.9451513
Trial Start,1773119954563,0,1,9,135,0.2491405,-0.2112297,-0.9451513,1,-1,-0.049962,0.9934939,0.2691994,1.030531,0,0,0,1,0,1,0,0,0.099962,0.006506145,0.03080064,0.1048018,0.2301758,-0.1951508,-0.873206,0.3826834,135,0.2491405,-0.2112297,-0.9451513
On Target,1773119961034,6.485683,1,9,135,0.2491405,-0.2112297,-0.9451513,1,-1,0.04985269,0.9979796,0.3039388,1.044427,-0.307171,0.2242735,0.8488327,-0.3671928,223.0852,-0.33024,0.2411167,0.9125811,0.0001473129,0.002020359,-0.003938764,0.004429155,0.00284376,-0.08701057,0.004123108,-0.9961948,350.0002,0.0326291,-0.9983531,0.04730825
Trial End,1773119962034,7.484725,1,10,135,0.2491405,-0.2112297,-0.9451513,1,-1,0.0489613,1.000789,0.3030713,1.046818,-0.2995172,0.2200173,0.8456053,-0.3831888,225.0627,-0.3242686,0.238199,0.9154841,0.001038697,-0.0007894039,-0.003071308,0.003336912,-0.0006804138,-0.07631969,0.018812,-0.9969057,350.9831,-0.008655995,-0.9709134,0.2393199
Trial Load,1773119962034,7.484725,1,10,135,0.09956203,-0.03824538,0.9942961,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.09198333,-0.03533413,0.9186098,0.3826835,135,0.09956204,-0.03824538,0.9942961
Trial Start,1773119964784,0,1,10,135,0.09956203,-0.03824538,0.9942961,1,-1,-0.003648899,1.001468,0.2809031,1.040124,0,0,0,1,0,1,0,0,0.0536489,-0.001467943,0.01909691,0.05696535,0.09198333,-0.03533413,0.9186098,0.3826835,135,0.09956204,-0.03824538,0.9942961
On Target,1773119974686,9.915718,1,10,135,0.09956203,-0.03824538,0.9942961,1,-1,0.05098419,0.9986344,0.291535,1.041567,0.1122086,0.02288882,0.9371185,0.329688,141.5003,0.1188538,0.02424433,0.9926158,-0.0009841882,0.001365602,0.008464992,0.008630735,0.04152357,-0.03728508,-0.0618353,0.996525,9.555899,0.4985171,-0.4476313,-0.7423724
Trial End,1773119975686,10.91552,1,11,135,0.09956203,-0.03824538,0.9942961,1,-1,0.04799481,1.004416,0.2896076,1.046435,0.1196193,-0.07189447,0.9094854,0.3916105,133.8905,0.1300024,-0.07813503,0.9884302,0.002005193,-0.004415631,0.01039246,0.01146829,-0.04366176,-0.01255031,0.01407868,0.9988683,5.45212,-0.9180146,-0.2638779,0.2960127
Trial Load,1773119979287,14.49872,2,1,135,-0.7346697,0.2879927,-0.6142642,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.6787464,0.2660706,-0.5675062,0.3826834,135,-0.7346698,0.2879928,-0.6142643
Trial Start,1773119981630,0,2,1,135,-0.7346697,0.2879927,-0.6142642,1,-1,-0.05769113,0.9926317,0.2512041,1.025548,0,0,0,1,0,1,0,0,0.1076911,0.007368267,0.04879588,0.1184597,-0.6787464,0.2660706,-0.5675062,0.3826834,135,-0.7346698,0.2879928,-0.6142643
On Target,1773119993947,12.33089,2,1,135,-0.7346697,0.2879927,-0.6142642,1,-1,0.04521815,0.9878052,0.2858267,1.029321,-0.6705121,0.2833839,-0.5438441,0.4175412,130.6411,-0.7379147,0.3118708,-0.5985135,0.004781846,0.01219475,0.01417327,0.01929921,-0.04293188,-0.008738453,-0.01489484,0.9989288,5.30465,-0.9277466,-0.1888357,-0.3218736
Trial End,1773119994947,13.33083,2,2,135,-0.7346697,0.2879927,-0.6142642,1,-1,0.04766631,1.003081,0.2874994,1.044557,-0.6423847,0.311237,-0.5746303,0.4003417,132.8009,-0.7010132,0.3396427,-0.6270751,0.002333689,-0.003080606,0.01250064,0.01308443,-0.04963717,0.01288487,0.03303644,0.9981377,6.994528,-0.8137112,0.211224,0.5415724
Trial Load,1773119994947,13.33083,2,2,135,0.9062375,-0.1805929,0.3822562,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.8372543,-0.1668461,0.3531587,0.3826834,135,0.9062375,-0.1805929,0.3822562
Trial Start,1773119996211,0,2,2,135,0.9062375,-0.1805929,0.3822562,1,-1,-0.04426738,1.012073,0.2824681,1.051684,0,0,0,1,0,1,0,0,0.09426738,-0.0120728,0.01753196,0.09664089,0.8372543,-0.1668461,0.3531587,0.3826834,135,0.9062375,-0.1805929,0.3822562
On Target,1773120007961,11.76374,2,2,135,0.9062375,-0.1805929,0.3822562,1,-1,0.05310895,1.001104,0.2947499,1.044944,0.8480341,-0.08983591,0.3465413,0.3907388,133.999,0.9212739,-0.09759452,0.37647,-0.003108952,-0.001103997,0.005250126,0.006200663,0.02871189,-0.040162,-0.06089842,0.9969223,8.992723,0.366243,-0.5122982,-0.7768076
Trial End,1773120008961,12.76368,2,3,135,0.9062375,-0.1805929,0.3822562,1,-1,0.04661911,1.001903,0.2920414,1.044639,0.8083128,-0.1508254,0.3639461,0.4375219,128.1082,0.8989167,-0.1677314,0.4047408,0.003380887,-0.001902819,0.007958651,0.008853883,0.06444685,0.003972237,0.006653954,0.9978911,7.443361,0.9928688,0.06119632,0.1025109
Trial Load,1773120008961,12.76368,2,3,135,0.4206245,0.3369582,-0.8423386,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.3886063,0.3113088,-0.7782193,0.3826834,135,0.4206245,0.3369582,-0.8423386
Trial Start,1773120010265,0,2,3,135,0.4206245,0.3369582,-0.8423386,1,-1,-0.04979224,1.000783,0.3002354,1.046034,0.002101937,-0.003666562,-0.005679174,0.999975,0.8108364,0.2970572,-0.5181785,-0.8026117,0.09979224,-0.0007833242,-0.0002353787,0.09979559,0.3924136,0.312133,-0.7739474,0.3867689,134.4928,0.4255297,0.3384741,-0.8392615
