Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.2286287,-0.9585325,-0.1701306,1,9.90718,False,0.00368404,-0.004363894,0.007275254,0.009249056,-0.003270025,0.01983311,0.01276615,-0.9997165,357.2714,-0.1373403,0.8329861,0.5361754,0.7668988,1.009189,1.164404,1.250888,804.6084,0,0,0,0,0,0,0,0,0,0.3401619,276.8606,0.1186533,18.41418
1,3,135,0.02914791,0.9722473,0.2321326,1,11.97152,False,0.002217289,-0.0002299547,0.001045853,0.002462328,-0.02322943,0.04620684,0.006177243,-0.9986427,354.0289,-0.4459958,0.887153,0.1186006,0.7100759,1.006552,1.093765,0.9389981,857.6989,0,0,0.1146141,0.08757713,0.1182531,2.950011,451.9504,0,0,0.467761,395.4199,0.09162594,12.58028
1,4,135,-0.3575948,-0.840018,0.4080388,1,10.35976,False,0.002798732,-0.003385782,0.006527126,0.007867643,-0.03847904,0.03537583,0.03220929,-0.9981135,352.9602,-0.6267411,0.5761966,0.5246204,0.9655582,1.181909,1.362139,1.34927,1031.212,0,0,0.0389399,0.08232991,0.05182829,0.08588318,30.8378,0,0,0.5616809,511.962,0.1187539,24.5053
1,5,135,-0.309931,-0.5407937,0.781975,1,10.63895,False,0.0002922826,-0.003779411,0.01149225,0.01210129,0.04013276,0.0486572,0.02251304,-0.9977551,352.3202,0.5992746,0.7265643,0.3361716,0.8623434,0.9228839,0.9666708,1.367485,900.7281,0,0,0.03796014,0.05641188,0.03194036,0.0902397,30.16918,0,0,0.4643304,340.8521,0.1242656,20.5792
1,6,135,0.1387075,-0.07489794,0.9874971,1,12.02761,False,0.0008079521,0.001291752,0.003878146,0.004166705,-0.05673276,-0.05506711,-0.008578054,0.9968328,9.122647,-0.7133848,-0.6924402,-0.1078646,0.8674811,1.158179,1.197671,1.644225,1061.177,0,0,0.04771309,0.08134992,0.06062179,0.1281934,39.76172,0,0,0.6591284,491.0785,0.4234443,64.52235
1,7,135,-0.606216,0.1199714,0.7861991,1,6.332547,False,0.001561295,-0.003552318,0.01129013,0.01193833,-0.0221852,0.01191796,0.03989675,0.9988865,5.408287,-0.4702391,0.252614,0.8456542,0.4232799,0.5722251,0.6101298,0.7944011,611.1353,0,0,0.01837893,0.02240784,0.01906372,0.06787016,16.75318,0,0,0.4901442,412.6026,0.07622638,15.53377
1,8,135,0.9066777,0.1352933,-0.3995389,1,7.749592,False,-0.001782034,-0.002576351,0.002875507,0.004252266,0.06235913,0.001777671,0.04879621,0.9968586,9.085382,0.7873456,0.02244485,0.6161004,0.6011339,0.6733415,0.7735204,0.8540172,876.3104,0,0,0.02335506,0.03400502,0.02839171,0.07474354,11.47254,0,0,0.4838332,486.8335,0.08224739,12.99864
1,9,135,-0.3283217,0.5402272,0.7748287,1,4.777464,False,-0.0009049512,-0.007716894,0.01211756,0.01439461,-0.01568674,-0.03966686,-0.0007170463,0.9990896,4.890092,-0.367706,-0.9298137,-0.01680797,0.3675778,0.5875517,0.5935624,0.4106258,519.6118,0,0,0.01950124,0.02932799,0.02354004,0.04238797,16.06696,0,0,0.339986,319.5363,0.06225,10.72519
1,10,135,0.2491405,-0.2112297,-0.9451513,1,7.484725,False,0.001038697,-0.0007894039,-0.003071308,0.003336912,-0.0006804138,-0.07631969,0.018812,-0.9969057,350.9831,-0.008655995,-0.9709134,0.2393199,0.4647976,0.5741376,0.6953636,0.5397304,613.7725,0,0,0.02420444,0.03295928,0.02797369,0.06142311,12.54206,0,0,0.4018808,289.0109,0.06950916,13.61524
1,11,135,0.09956203,-0.03824538,0.9942961,1,10.91552,False,0.002005193,-0.004415631,0.01039246,0.01146829,-0.04366176,-0.01255031,0.01407868,0.9988683,5.45212,-0.9180146,-0.2638779,0.2960127,1.029752,1.121998,1.107956,1.483954,1132.851,0,0,0.06400764,0.08786897,0.08249284,0.1189087,46.96071,0,0,0.5659469,520.2803,0.347046,60.34076
2,2,135,-0.7346697,0.2879927,-0.6142642,1,13.33083,False,0.002333689,-0.003080606,0.01250064,0.01308443,-0.04963717,0.01288487,0.03303644,0.9981377,6.994528,-0.8137112,0.211224,0.5415724,1.217579,1.473469,1.779674,2.019475,1466.101,0,0,0.02694285,0.01856181,0.01548637,2.227222,389.5051,0,0,0.9774719,643.136,0.1793831,35.5229
2,3,135,0.9062375,-0.1805929,0.3822562,1,12.76368,False,0.003380887,-0.001902819,0.007958651,0.008853883,0.06444685,0.003972237,0.006653954,0.9978911,7.443361,0.9928688,0.06119632,0.1025109,1.178273,1.322932,1.495896,1.575939,1364.206,0,0,0.05195413,0.06079107,0.04587536,0.6506712,140.1907,0,0,0.8472971,725.0065,0.1423116,28.23562
2,4,135,0.4206245,0.3369582,-0.8423386,1,13.63836,False,0.0006888025,0.001003921,6.574392E-05,0.001219274,0.0342107,0.01145436,0.0146818,0.9992411,4.464434,0.8783365,0.2940829,0.3769454,1.182297,1.361755,1.627931,1.699621,1264.665,0,0,0.03991844,0.04637644,0.03710802,0.09900591,19.50857,0,0,0.6709868,542.8542,0.149726,29.40578
2,5,135,0.4642925,0.8663903,0.1838485,1,11.55461,False,0.01362739,-0.002414703,0.0001144111,0.01384015,0.08565659,0.01289688,-0.007069081,0.9962162,9.971719,0.9855787,0.1483936,-0.081338,0.7736059,0.900793,1.007282,1.524346,986.159,0,0,0.02968993,0.04760525,0.03788052,0.09574835,18.02629,0,0,0.7289572,527.7954,0.1127571,24.18158
2,6,135,-0.2108447,0.7054835,0.6766369,1,4.277805,False,0.001152128,-0.002174735,0.01197934,0.01222953,-0.04228975,-0.04165906,0.05288973,-0.9968345,350.8798,-0.5319119,-0.5239793,0.6652363,0.3743604,0.4609891,0.5349965,0.4106343,478.9231,0,0,0.01398214,0.0171279,0.01521356,0.03221599,14.65035,0,0,0.2032858,183.9766,0.04795769,7.803695
2,7,135,-0.2680786,0.3754654,-0.8872201,1,9.943314,False,5.251542E-05,-0.001498103,5.948544E-05,0.001500203,0.01754255,-0.01277576,0.01479408,-0.9996551,356.9901,0.667957,-0.4864548,0.5633051,0.5240967,0.5874947,0.8219948,1.071011,861.9047,0,0,0.02432713,0.03304899,0.03559162,0.07792138,16.60076,0,0,0.4369006,455.8825,0.08397227,18.29839
2,8,135,0.114483,-0.8361884,0.5363605,1,12.67965,False,-0.001747925,0.00319922,-0.00292626,0.004674746,-0.02508626,0.005597391,0.02994245,-0.9992212,355.4769,-0.6357105,0.1418434,0.7587711,1.135722,1.405722,1.564578,1.724852,1523.176,0,0,0.04732158,0.07702944,0.0830311,0.1388954,47.84383,0,0,0.6482477,644.2076,0.1491508,34.43557
2,9,135,-0.4806278,-0.3072422,0.8213398,1,6.402552,False,0.001623046,0.002536654,0.006624579,0.007276946,0.009470711,0.06290624,0.005910962,-0.9979571,352.674,0.1482384,0.9846271,0.09252013,0.5503468,0.5965493,0.6483216,1.22275,744.9933,0,0,0.01716194,0.03202092,0.02927115,0.05846242,16.68693,0,0,0.3975119,360.3149,0.09017598,19.77085
2,10,135,0.3745769,0.3456272,-0.8603685,1,6.318878,False,-0.0005197935,0.001028776,0.001201987,0.001665335,-0.05282042,-0.01024823,-0.01197658,0.9984797,6.319641,-0.9582596,-0.1859217,-0.2172771,0.5936088,0.579991,0.6984239,1.159887,665.4832,0,0,0.02292719,0.04353311,0.03096211,0.0740956,24.19967,0,0,0.4019142,279.8465,0.07387053,19.95632
