Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773119948605,0.0137124,0.03353795,0.9270597,0.2444638,0.9593368,-0.02342665,-0.3478507,-0.7528208,0.5583117,112.1218,-0.02823743,-0.4192834,-0.9074162,-0.06480631,1.005639,0.2774347,1.045218,-0.06839456,1.015451,0.304183,1.062236,-0.08255373,1.00268,0.3067904,1.051809,-0.01461517,-0.08260239,0.1083537,0.1370302,-0.009779016,-0.0732154,0.1366892,0.1553707,0.008068196,-0.08281614,0.1366379,0.1599797,0,0,0,0,0,0,0,0,0,1,0,0,-0.09563867,0.5320247,0.1574005,0.5630026,0.4927878,0.06753878,0.7130112,0.4941799,120.7686,0.56684,0.07768796,0.8201568,0.01013632,0.5406454,0.2322717,0.5885153,0.05242244,0.5064859,0.2210634,0.5551082,0.06268529,0.4964787,0.1935171,0.5365347,0.05425909,-0.02964758,0.1219923,0.1367668,0.0178561,-0.04687511,0.164349,0.1718334,-0.008999274,-0.06539875,0.1621281,0.1750528,0,0,0,0,0,0,0,0,0,1,0,0,-0.04947275,0.9999502,0.2994679,1.045002,0.01012948,-0.01242589,-0.006058896,-0.9998532,358.0364,0.5911531,-0.7251707,-0.3535951,0.09947275,4.976988E-05,0.0005321205,0.09947418,0.2935378,-0.4996897,-0.7121381,-0.3962389,226.6865,0.3197066,-0.5442369,-0.7756249,-0.01762458,1.043345,-0.04601409,1.044508,0.07855704,-0.01402954,0.02683467,-0.9964496,350.341,0.9330812,-0.1666394,0.3187357,False
1773119948619,0.0276297,0.03350548,0.9268377,0.2430389,0.9587589,-0.03862479,-0.3488112,-0.7446088,0.5677999,110.8061,-0.0469222,-0.4237431,-0.9045662,-0.06492558,1.004674,0.2774957,1.044313,-0.06776112,1.012778,0.29794,1.057865,-0.08099156,1.000493,0.3003512,1.047739,-0.01413076,-0.08235114,0.1086142,0.1370344,-0.01029903,-0.0756722,0.1306581,0.1513403,0.006349985,-0.08517362,0.1300018,0.1555485,0,0,0,0,0,0,0,0,0,1,0,0,-0.09568561,0.5320204,0.1573835,0.5630018,0.4928356,0.06713997,0.7133546,0.4936907,120.8331,0.5667138,0.07720454,0.8202896,0.01003568,0.5406011,0.2323286,0.5884954,0.05237255,0.5065169,0.2211832,0.5551795,0.06265461,0.4965751,0.1935643,0.5366373,0.05424205,-0.02963338,0.1219988,0.1367628,0.01791865,-0.04684767,0.1643998,0.171881,-0.008959523,-0.06542459,0.1621289,0.1750612,0,0,0,0,0,0,0,0,0,1,0,0,-0.04885565,0.9999699,0.2986948,1.04477,0.02196161,-0.02682569,-0.01251919,-0.9993204,355.7752,0.5958183,-0.7277806,-0.3396456,0.09885566,3.010035E-05,0.001305193,0.09886428,0.2817645,-0.5004237,-0.7077469,-0.4114357,228.5901,0.3091426,-0.5490481,-0.7765161,-0.01768154,1.043335,-0.04610479,1.044503,0.07861926,-0.01414357,0.02680793,-0.9964439,350.3331,0.9330633,-0.1678577,0.3181599,False
1773119948636,0.0444583,0.03475205,0.926236,0.2409688,0.9576987,-0.08007547,-0.3562306,-0.7139003,0.5975232,106.6146,-0.0998632,-0.44426,-0.8903147,-0.06459199,1.002003,0.2774914,1.041722,-0.06607473,1.004689,0.2837662,1.046082,-0.07744488,0.9935032,0.2884271,1.037418,-0.0141763,-0.08190064,0.108996,0.1370723,-0.01243278,-0.08068416,0.116037,0.1418771,0.00286477,-0.08917692,0.1162466,0.1465401,0,0,0,0,0,0,0,0,0,1,0,0,-0.09575859,0.531877,0.1573603,0.5628722,0.4930999,0.06629489,0.7135561,0.4932496,120.8912,0.5668546,0.07621084,0.8202851,0.009929143,0.540311,0.2323708,0.5882438,0.05227737,0.5062817,0.2212433,0.5549799,0.06256506,0.4964133,0.1935573,0.5364746,0.05423401,-0.02965039,0.1219993,0.1367636,0.01797809,-0.04685176,0.1644216,0.1719092,-0.008919666,-0.06546564,0.162105,0.1750524,0,0,0,0,0,0,0,0,0,1,0,0,-0.04705026,0.9995224,0.2972426,1.043845,0.0607225,-0.06488295,-0.03767892,-0.9953308,348.922,0.629099,-0.6722022,-0.3903622,0.09705026,0.0004775524,0.00275746,0.0970906,0.2510353,-0.5039837,-0.6874608,-0.4586713,234.6028,0.2825046,-0.5671622,-0.7736396,-0.01771611,1.043352,-0.04617508,1.044523,0.07862153,-0.01450049,0.02675723,-0.9964399,350.3277,0.9325698,-0.1719977,0.317381,False
1773119948647,0.0555397,0.03584025,0.9256308,0.2390355,0.9566686,-0.1089745,-0.3606114,-0.6914828,0.6163891,103.8941,-0.1383905,-0.4579532,-0.8781384,-0.0638897,0.9999855,0.2773862,1.03971,-0.06412141,1.000041,0.2779472,1.039927,-0.0745067,0.989009,0.2832161,1.031456,-0.01382775,-0.08149998,0.1093489,0.137079,-0.01346887,-0.08151071,0.1098811,0.1374746,0.001190474,-0.08990281,0.1097135,0.1418484,0,0,0,0,0,0,0,0,0,1,0,0,-0.09583286,0.5317249,0.1573347,0.562734,0.4934026,0.06530908,0.7137871,0.492744,120.9578,0.5670158,0.07505287,0.8202805,0.009817325,0.5399894,0.2324197,0.5879659,0.05217298,0.5060158,0.2213069,0.5547529,0.06246895,0.4962317,0.1935498,0.5362926,0.05422533,-0.0296739,0.1219994,0.1367654,0.01803747,-0.04685704,0.1644418,0.1719361,-0.008879268,-0.06551044,0.1620772,0.1750413,0,0,0,0,0,0,0,0,0,1,0,0,-0.04545033,0.9991925,0.2956904,1.043017,0.08751377,-0.09121765,-0.0543546,-0.9904879,344.1821,0.636003,-0.6629208,-0.39502,0.09545033,0.0008075237,0.004309654,0.09555098,0.228785,-0.505609,-0.672229,-0.4900257,238.6845,0.262456,-0.5800211,-0.771163,-0.01769422,1.043355,-0.04625297,1.04453,0.07884296,-0.01505372,0.02657996,-0.996419,350.2993,0.9324633,-0.178038,0.314357,False
1773119948661,0.0694264,0.0378762,0.9255788,0.2376247,0.9563452,-0.1431551,-0.3577589,-0.6585034,0.6464429,99.4521,-0.1876306,-0.4689077,-0.8630878,-0.06280515,0.9962392,0.2800474,1.036756,-0.0625293,0.9938243,0.2761481,1.03337,-0.07065449,0.9816854,0.2804598,1.023404,-0.0135761,-0.08151511,0.1092873,0.1370136,-0.01438074,-0.08264609,0.1046522,0.134124,-0.000796708,-0.09068093,0.1017999,0.1363337,0,0,0,0,0,0,0,0,0,1,0,0,-0.0958161,0.5316788,0.1573564,0.5626936,0.4934827,0.06453654,0.7143209,0.4919914,121.0569,0.5668306,0.07412881,0.8204926,0.009773962,0.539908,0.2325407,0.5879382,0.05215807,0.5060244,0.2214544,0.5548182,0.06248055,0.4962943,0.1936669,0.5363942,0.05422566,-0.02972564,0.1219941,0.136772,0.01809741,-0.04688882,0.1644394,0.1719488,-0.008841802,-0.06554278,0.1620578,0.1750336,0,0,0,0,0,0,0,0,0,1,0,0,-0.04295348,0.9977295,0.2967017,1.041797,0.1152577,-0.1295342,-0.08342799,-0.9813136,337.8125,0.5990047,-0.6732008,-0.4335828,0.09295347,0.00227046,0.003298342,0.09303968,0.2024668,-0.4974086,-0.6523111,-0.5348665,244.6697,0.2396237,-0.5886934,-0.7720237,-0.01764273,1.043341,-0.04634163,1.044518,0.07873128,-0.01543176,0.02673778,-0.9964178,350.2978,0.930995,-0.1824801,0.3161734,False
1773119948675,0.0832466,0.03956766,0.9254993,0.2364096,0.9560356,-0.1656127,-0.3558783,-0.6362436,0.6641666,96.76316,-0.2215303,-0.4760375,-0.8510656,-0.06138439,0.9938376,0.2815869,1.034781,-0.0608855,0.9900258,0.2751142,1.029342,-0.06724384,0.9771733,0.2787286,1.018371,-0.01313365,-0.08154372,0.1091836,0.1369048,-0.01490594,-0.083169,0.1016295,0.1321659,-0.002040492,-0.09056501,0.09691061,0.1326569,0,0,0,0,0,0,0,0,0,1,0,0,-0.09579449,0.5316324,0.1573792,0.5626525,0.4935474,0.06372683,0.7149088,0.4911775,121.164,0.5666058,0.07316012,0.8207347,0.009731464,0.5398349,0.2326696,0.5879214,0.05214328,0.5060453,0.2216111,0.5548984,0.062496,0.4963709,0.1937965,0.5365136,0.05422687,-0.02978653,0.1219877,0.1367801,0.01815738,-0.04692532,0.1644324,0.1719584,-0.008804274,-0.0655763,0.1620366,0.1750246,0,0,0,0,0,0,0,0,0,1,0,0,-0.04075985,0.9970248,0.2969146,1.041095,0.1337079,-0.1540172,-0.101318,-0.9737225,333.6722,0.5871139,-0.6762921,-0.4448892,0.09075984,0.002975166,0.003085405,0.09086099,0.1845065,-0.4920316,-0.6382486,-0.5625841,248.4694,0.2231736,-0.5951467,-0.7720064,-0.01747104,1.043307,-0.04644166,1.044486,0.07860336,-0.01630393,0.02674752,-0.9964137,350.2922,0.9289522,-0.1926835,0.3161082,False
1773119948688,0.0970704,0.04095496,0.9254038,0.2353772,0.9557468,-0.1825352,-0.3545413,-0.6192793,0.6763687,94.87895,-0.2478201,-0.4813453,-0.8407686,-0.06011178,0.9919444,0.2825743,1.033158,-0.05931271,0.9871174,0.2740356,1.026165,-0.06400251,0.9736367,0.276823,1.014246,-0.01259751,-0.08172322,0.1089462,0.1367722,-0.01535795,-0.08348311,0.09911372,0.1304945,-0.003141003,-0.09005672,0.09262867,0.1292291,0,0,0,0,0,0,0,0,0,1,0,0,-0.09576833,0.5315858,0.157403,0.5626106,0.4935959,0.06288838,0.7155446,0.4903102,121.2781,0.5663438,0.0721571,0.8210043,0.009690247,0.5397704,0.232805,0.5879151,0.05212869,0.5060785,0.221776,0.5549932,0.06251488,0.4964606,0.1939376,0.5366498,0.0542288,-0.02985622,0.1219803,0.1367895,0.01821738,-0.0469663,0.1644208,0.1719649,-0.00876666,-0.06561085,0.1620132,0.175014,0,0,0,0,0,0,0,0,0,1,0,0,-0.03890401,0.9966378,0.2968387,1.040631,0.1477498,-0.1720237,-0.1140281,-0.9672515,330.5927,0.5821047,-0.6777392,-0.4492481,0.08890401,0.003362179,0.003161341,0.08902371,0.1706238,-0.4881076,-0.627206,-0.5824528,251.2465,0.2099043,-0.6004784,-0.7715996,-0.01729141,1.043279,-0.04651855,1.044459,0.07847372,-0.01711554,0.02653277,-0.996416,350.2953,0.9277215,-0.202341,0.3136722,False
1773119948703,0.1111414,0.04162938,0.9259787,0.2338168,0.9559497,-0.2205718,-0.3386378,-0.5878024,0.7008288,91.01292,-0.3092145,-0.4747284,-0.8240263,-0.05799304,0.989795,0.2864346,1.032038,-0.05696483,0.9850988,0.2788036,1.025376,-0.06059661,0.9718816,0.2828358,1.014013,-0.01301332,-0.08295114,0.1074298,0.1363503,-0.01548939,-0.08365878,0.09828816,0.1299972,-0.003289446,-0.08994948,0.09212689,0.1287986,0,0,0,0,0,0,0,0,0,1,0,0,-0.09580812,0.5314853,0.1574575,0.5625377,0.4934815,0.06163236,0.71605,0.4898469,121.339,0.5660434,0.07069485,0.8213387,0.009564973,0.5395311,0.2330097,0.5877744,0.05198179,0.5059081,0.2220534,0.554935,0.06240699,0.496329,0.194202,0.5366111,0.0542132,-0.02994735,0.1219757,0.1367991,0.01828839,-0.0470147,0.1644012,0.1719669,-0.008720381,-0.06564636,0.1619876,0.1750013,0,0,0,0,0,0,0,0,0,1,0,0,-0.03487,0.9969519,0.2996947,1.041607,0.1672333,-0.2184865,-0.1365499,-0.9516569,324.2233,0.5444445,-0.7113044,-0.4445517,0.08487,0.003048062,0.000305295,0.08492526,0.1364179,-0.4696594,-0.6117931,-0.6217068,256.8818,0.1741691,-0.599629,-0.7810956,-0.01713023,1.04324,-0.04659947,1.04442,0.07834952,-0.01795485,0.02654411,-0.9964108,350.2882,0.9255749,-0.212108,0.3135765,False
1773119948716,0.1249272,0.04225203,0.92646,0.2323973,0.9560972,-0.2452896,-0.3287459,-0.5654287,0.7155764,88.61909,-0.3511488,-0.4706222,-0.8094499,-0.0562955,0.9885318,0.288273,1.031245,-0.05488964,0.9833617,0.2803974,1.024029,-0.05761414,0.970468,0.2851439,1.013131,-0.01333603,-0.0837895,0.1063253,0.136028,-0.01579691,-0.08383257,0.09660155,0.1288771,-0.003675814,-0.08977532,0.0906579,0.12764,0,0,0,0,0,0,0,0,0,1,0,0,-0.09584786,0.5313815,0.1575147,0.5624624,0.4933359,0.06030705,0.7165832,0.4893785,121.4005,0.5657058,0.06915379,0.8217024,0.009434909,0.539283,0.2332253,0.5876302,0.05182406,0.5057296,0.222348,0.5548754,0.06229177,0.4961881,0.1944874,0.5365708,0.05419593,-0.03004833,0.1219706,0.1368098,0.01836077,-0.04706779,0.1643769,0.1719659,-0.008673019,-0.0656829,0.1619601,0.1749873,0,0,0,0,0,0,0,0,0,1,0,0,-0.03199077,0.9974788,0.3007609,1.042327,0.1809084,-0.2480584,-0.1513725,-0.939588,319.965,0.5284967,-0.7246656,-0.442212,0.08199078,0.002521157,-0.0007609129,0.08203306,0.1137528,-0.4576122,-0.599626,-0.6466066,260.5725,0.1491208,-0.5998926,-0.7860612,-0.01688658,1.043165,-0.04669065,1.044345,0.07819591,-0.01893818,0.0271106,-0.9963894,350.2593,0.9210254,-0.2230621,0.3193204,False
1773119948730,0.1387028,0.04152951,0.9262997,0.2294739,0.9552037,-0.2836812,-0.3113448,-0.5327427,0.7340127,85.55228,-0.4177091,-0.4584427,-0.7844421,-0.05349915,0.9879611,0.2912607,1.031388,-0.05264597,0.9825531,0.2840817,1.024151,-0.05419621,0.9696248,0.2893622,1.013331,-0.01377395,-0.08382675,0.1060498,0.1358794,-0.0158521,-0.08387063,0.09677256,0.1290368,-0.003776791,-0.08960191,0.09042706,0.1273571,0,0,0,0,0,0,0,0,0,1,0,0,-0.09580041,0.5312877,0.157563,0.5623792,0.4935441,0.05934499,0.716633,0.4892134,121.4222,0.5658844,0.06804337,0.8216721,0.009483822,0.5390151,0.2333024,0.5874158,0.05182613,0.5055062,0.2224526,0.554714,0.06229306,0.4959852,0.1945766,0.5364157,0.05418114,-0.0301303,0.1219658,0.1368177,0.01843023,-0.04712384,0.164355,0.1719677,-0.008623916,-0.06572225,0.1619334,0.1749749,0,0,0,0,0,0,0,0,0,1,0,0,-0.02835907,0.9982271,0.3013856,1.043118,0.1999318,-0.2935366,-0.1698423,-0.9192482,313.6328,0.5078554,-0.7456251,-0.4314239,0.07835907,0.00177294,-0.00138557,0.07839137,0.07696611,-0.4380722,-0.5822979,-0.6805132,265.7675,0.1050394,-0.5978583,-0.7946901,-0.01660179,1.043084,-0.04678537,1.044265,0.07809145,-0.01986307,0.02730684,-0.9963742,350.2389,0.9178692,-0.233466,0.3209584,False
