Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773120483239,0,1,1,135,-0.5104396,-0.8569671,0.07112539,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.4715847,-0.7917343,0.0657113,0.3826834,135,-0.5104396,-0.8569671,0.0711254
Grab,1773120488334,4.203815,1,1,135,-0.5104396,-0.8569671,0.07112539,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.4715847,-0.7917343,0.0657113,0.3826834,135,-0.5104396,-0.8569671,0.0711254
Trial Start,1773120488359,0,1,1,135,-0.5104396,-0.8569671,0.07112539,1,-1,-0.05,1,0.3,1.045227,0.01123377,0.02815655,-0.01813796,0.9993758,4.048975,0.3180009,0.7970439,-0.5134418,0.09999999,0,0,0.09999999,-0.4880995,-0.7941998,0.07699542,0.3536625,138.577,-0.5218233,-0.8490728,0.0823152
Release,1773120488749,0.4017584,1,1,135,-0.5104396,-0.8569671,0.07112539,1,0,-0.03418332,1.009558,0.2703559,1.04569,0.6225071,0.0209466,-0.2968343,0.723834,87.25613,0.902218,0.03035852,-0.4302108,0.08418332,-0.009558082,0.02964413,0.08976059,-0.8132097,-0.4820234,-0.3218245,-0.05265509,186.0366,-0.8143393,-0.482693,-0.3222716
Grab,1773120488901,0.5546229,1,1,135,-0.5104396,-0.8569671,0.07112539,1,0,-0.03418332,1.009558,0.2703559,1.04569,0.6225071,0.0209466,-0.2968343,0.723834,87.25613,0.902218,0.03035852,-0.4302108,0.08418332,-0.009558082,0.02964413,0.08976059,-0.8132097,-0.4820234,-0.3218245,-0.05265509,186.0366,-0.8143393,-0.482693,-0.3222716
Release,1773120489347,0.9994585,1,1,135,-0.5104396,-0.8569671,0.07112539,1,0,-0.0289016,1.013852,0.2977092,1.057053,0.1828862,-0.5245984,-0.592743,0.5830993,108.6623,0.2251181,-0.6457384,-0.7296189,0.0789016,-0.01385188,0.002290785,0.08014104,-0.8487353,0.006606196,-0.1270407,0.5132887,118.2337,-0.9889532,0.007697592,-0.1480289
Grab,1773120491694,3.346917,1,1,135,-0.5104396,-0.8569671,0.07112539,1,0,-0.0289016,1.013852,0.2977092,1.057053,0.1828862,-0.5245984,-0.592743,0.5830993,108.6623,0.2251181,-0.6457384,-0.7296189,0.0789016,-0.01385188,0.002290785,0.08014104,-0.8487353,0.006606196,-0.1270407,0.5132887,118.2337,-0.9889532,0.007697592,-0.1480289
Release,1773120492583,4.235996,1,1,135,-0.5104396,-0.8569671,0.07112539,1,0,-0.02555601,1.00793,0.2710624,1.044055,-0.4650248,-0.6326162,-0.4101558,0.4640268,124.7055,-0.5249646,-0.7141579,-0.4630232,0.07555601,-0.007929564,0.02893761,0.08129559,-0.4071751,0.09868631,0.2572956,0.870786,58.89977,-0.8281605,0.2007198,0.5233179
Grab,1773120494347,5.999844,1,1,135,-0.5104396,-0.8569671,0.07112539,1,0,-0.02555601,1.00793,0.2710624,1.044055,-0.4650248,-0.6326162,-0.4101558,0.4640268,124.7055,-0.5249646,-0.7141579,-0.4630232,0.07555601,-0.007929564,0.02893761,0.08129559,-0.4071751,0.09868631,0.2572956,0.870786,58.89977,-0.8281605,0.2007198,0.5233179
Release,1773120494736,6.388451,1,1,135,-0.5104396,-0.8569671,0.07112539,1,0,-0.01711404,1.017337,0.2805792,1.055459,-0.5818838,-0.6875629,-0.1975531,0.3868352,134.4846,-0.6310085,-0.7456094,-0.2142312,0.06711404,-0.01733732,0.0194208,0.07198642,-0.1613385,0.08824753,0.237473,0.9538285,34.95746,-0.5371652,0.293814,0.7906497
