Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,-0.5104396,-0.8569671,0.07112539,1,13.05251,False,0.002967108,-0.005281925,0.007149994,0.009371493,-0.05015654,-0.02056918,0.05794025,0.9968471,9.102012,-0.6321208,-0.2592325,0.7302185,0.1411764,0.1660193,0.2436022,0.2395679,246.3211,0.2457732,553.6071,0,0,0,0,0,0,0,0.311681,588.8575,0.08951636,15.49971
1,3,135,0.1294538,0.4678051,0.8742998,1,17.68006,False,-0.001019225,0.001969516,0.00128445,0.002562738,-0.0167411,0.01556112,0.01353548,0.9996471,3.044257,-0.6302381,0.5858166,0.5095589,0.2208297,0.3014965,0.4520189,0.4417735,317.5408,0.3329602,804.6418,0,0,0,0,0,0,0,0.4821454,917.3683,0.0965808,8.492997
1,4,135,-0.5815816,0.4756299,0.6599538,1,9.790886,False,0.0001082011,-0.002233267,0.006347001,0.006729309,-0.03322801,0.04695704,0.03518192,-0.9977241,352.2673,-0.4927834,0.69639,0.5217606,0.2130502,0.2620447,0.2919494,0.4103501,293.3411,0.267612,750.1203,0,0,0,0,0,0,0,0.3936482,786.0265,0.2042446,35.24266
1,5,135,0.2904003,-0.8861549,0.3611054,0.9999999,20.44248,False,0.003619257,-0.007896066,0.008280277,0.01200041,-0.001968142,0.02089228,-0.02420374,0.9994869,3.671154,-0.06144344,0.6522363,-0.7556166,0.2097904,0.2765988,0.3918931,0.4476069,376.7468,0.3057047,932.9719,0,0,0,0,0,0,0,0.502237,940.309,0.1133777,14.47723
1,6,135,-0.1204287,0.7911862,-0.599601,1,12.08207,False,-0.0008999519,-0.003263474,0.005419135,0.006389617,0.07709631,0.0127587,-0.02681873,-0.9965813,350.5217,0.9331529,0.1544279,-0.3246066,0.2405833,0.2699987,0.4027708,0.3403006,364.2037,0.3215813,979.8052,0,0,0,0,0,0,0,0.4026017,954.6422,0.06627726,9.401812
1,7,135,-0.8083729,-0.5772097,0.1155957,1,13.20832,False,-0.0009535067,0.001182735,0.005309433,0.00552251,-0.01272231,-0.06733792,0.01019074,0.9975972,7.945624,-0.183628,-0.9719247,0.1470886,0.1802092,0.2831555,0.3268636,0.3313764,307.9552,0.2557018,849.6672,0,0,0,0,0,0,0,0.3317672,877.5034,0.0690371,5.805735
1,8,135,0.7638265,-0.5609874,-0.3191584,1,7.985145,False,-0.000193879,-0.003018737,0.01275,0.01310393,0.003176943,-0.01786171,-0.01970471,0.9996414,3.069607,0.1186119,-0.6668711,-0.7356797,0.09669818,0.0941937,0.1631403,0.2665287,185.6348,0.1283403,429.679,0,0,0,0,0,0,0,0.2802402,480.0934,0.07637387,12.32024
1,9,135,0.5395023,-0.2626857,-0.7999585,1,17.09571,False,0.001482774,-0.001880288,0.01187342,0.01211249,0.02935358,0.0352852,-0.04168164,-0.9980762,352.8908,0.4734508,0.5691232,-0.6722929,0.2609399,0.4382248,0.4565613,0.5517111,498.9857,0.3913339,1437.253,0,0,0,0,0,0,0,0.4811157,1356.145,0.118184,18.12879
1,10,135,-0.274683,-0.9451469,-0.1767668,1,11.81838,False,0.001223195,-0.004618287,0.003716171,0.006052661,-0.0004363131,0.002572889,0.05125797,0.9986821,5.883823,-0.008501224,0.05013077,0.998722,0.3121371,0.3802197,0.3616034,0.4106692,411.8807,0.3130868,985.7502,0,0,0,0,0,0,0,0.4402813,1070.217,0.1900497,20.9607
1,11,135,0.5551274,0.1252338,-0.8222835,1,3.386186,False,-0.0004663579,-0.002244949,0.00437811,0.004942179,-0.01714699,-0.009299621,-0.03912219,0.9990441,5.010919,-0.3922466,-0.2127339,-0.8949412,0.06958279,0.09389248,0.1153401,0.1549433,126.777,0.07896951,263.5924,0,0,0,0,0,0,0,0.2127348,362.3567,0.06281617,6.222883
