Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Thumb Tip Euro Position X,Right Thumb Tip Euro Position Y,Right Thumb Tip Euro Position Z,Right Thumb Tip Euro Position Magnitude,Right Index Tip Euro Position X,Right Index Tip Euro Position Y,Right Index Tip Euro Position Z,Right Index Tip Euro Position Magnitude,Right Middle Tip Euro Position X,Right Middle Tip Euro Position Y,Right Middle Tip Euro Position Z,Right Middle Tip Euro Position Magnitude,Right Triangle Local Position X,Right Triangle Local Position Y,Right Triangle Local Position Z,Right Triangle Local Position Magnitude,Right Triangle Local Rotation X,Right Triangle Local Rotation Y,Right Triangle Local Rotation Z,Right Triangle Local Rotation W,Right Triangle Local Rotation Angle,Right Triangle Local Rotation Axis X,Right Triangle Local Rotation Axis Y,Right Triangle Local Rotation Axis Z,Right Triangle Area,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Right Angle Scale Factor,Right Is Grabbed,Right Is Rotating,Right Is Clutching,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Thumb Tip Euro Position X,Left Thumb Tip Euro Position Y,Left Thumb Tip Euro Position Z,Left Thumb Tip Euro Position Magnitude,Left Index Tip Euro Position X,Left Index Tip Euro Position Y,Left Index Tip Euro Position Z,Left Index Tip Euro Position Magnitude,Left Middle Tip Euro Position X,Left Middle Tip Euro Position Y,Left Middle Tip Euro Position Z,Left Middle Tip Euro Position Magnitude,Left Triangle Local Position X,Left Triangle Local Position Y,Left Triangle Local Position Z,Left Triangle Local Position Magnitude,Left Triangle Local Rotation X,Left Triangle Local Rotation Y,Left Triangle Local Rotation Z,Left Triangle Local Rotation W,Left Triangle Local Rotation Angle,Left Triangle Local Rotation Axis X,Left Triangle Local Rotation Axis Y,Left Triangle Local Rotation Axis Z,Left Triangle Area,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Left Angle Scale Factor,Left Is Grabbed,Left Is Rotating,Left Is Clutching,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773120610059,0.0138122,0.01495093,0.9095321,0.2272677,0.9376155,0.5495559,0.2104284,0.1523412,-0.7940405,285.1295,0.9040758,0.3461763,0.2506169,-0.0637224,0.9762326,0.3050711,1.024773,-0.06234919,1.01846,0.3084896,1.06598,-0.03919081,1.000086,0.3185372,1.050321,-0.03131409,-0.08090201,0.104803,0.1360492,-0.02873086,-0.06758472,0.1473276,0.1646164,-0.002122498,-0.07136379,0.1283871,0.1469032,-0.03053579,-0.08272463,0.1032216,0.135759,-0.03047825,-0.06165609,0.1543376,0.1689689,-0.0007917351,-0.06704006,0.1399967,0.1552227,-0.02389104,-0.07319996,0.1260453,0.1477038,-0.1868979,0.3099527,-0.05343422,0.9306682,42.92156,-0.5108396,0.8471795,-0.1460493,8.212002,-0.02067134,-0.05713824,0.1177944,0.1325429,-0.5761015,-0.2618096,-0.1238234,-0.7643498,279.6984,-0.8934551,-0.406031,-0.1920333,1.3,True,True,False,-0.1270472,0.5324401,0.1492181,0.5673619,-0.4756847,-0.0420741,-0.728785,-0.4907405,238.7785,-0.5459446,-0.04828856,-0.8364285,-0.02417168,0.5375329,0.2279349,0.584363,0.01747696,0.5131489,0.2191624,0.5582646,0.02822122,0.5028573,0.1928819,0.5393193,0.0509724,-0.03212944,0.1224953,0.1365122,0.02266881,-0.05340534,0.1601037,0.1702915,-0.004306328,-0.07008378,0.1577583,0.1726788,0.05096201,-0.0319699,0.1225269,0.1364993,0.02243723,-0.05310425,0.1603442,0.1703929,-0.004404481,-0.07001126,0.1578642,0.1727486,0.02968671,-0.04671899,0.1377815,0.1484848,-0.487642,-0.1715431,0.8264241,-0.2231625,205.7897,-0.5002579,-0.1759812,0.8478048,6.451366,0,0,0,0,0,0,0,0,0,1,0,0,0.38174,False,True,False,-0.05,1,0.3,1.045227,0.02439027,0.0183301,-0.0152465,0.9994181,3.909092,0.7151237,0.5374393,-0.4470281,0.09999999,0,0,0.09999999,-0.2792669,-0.8718562,-0.1740275,0.3627551,137.461,-0.2996798,-0.9355839,-0.186748,-0.01760265,1.043554,-0.07133765,1.046138,0.06609828,-0.03029436,0.03838402,-0.9966143,350.5677,0.8039273,-0.3684584,0.4668497,False
1773120610071,0.0273278,0.01493087,0.909309,0.2270357,0.9373425,0.5491734,0.2109182,0.1607638,-0.7925133,284.842,0.9004987,0.3458499,0.2636099,-0.06365586,0.9774221,0.3037864,1.02552,-0.06159914,1.017591,0.3078324,1.064916,-0.03909941,0.9971005,0.317322,1.047106,-0.03148451,-0.08037414,0.105232,0.1361067,-0.02842605,-0.06814165,0.1458899,0.163509,-0.002460944,-0.07208299,0.1249839,0.1443017,-0.03072938,-0.082243,0.1036342,0.1358243,-0.03005544,-0.06308287,0.1525116,0.1677575,-0.001134873,-0.06812257,0.1366366,0.1526811,-0.02378542,-0.0732666,0.1258453,0.1475492,-0.180793,0.3355948,-0.04524498,0.9233867,45.14735,-0.4709732,0.8742385,-0.1178651,7.652929,-0.02057103,-0.05720154,0.1176046,0.1323859,-0.588093,-0.2878645,-0.1066198,-0.7482733,276.882,-0.8864958,-0.4339291,-0.1607195,1.299965,True,True,False,-0.127023,0.5322348,0.1492618,0.5671753,-0.4756886,-0.04151754,-0.7291222,-0.4902832,238.7184,-0.5457879,-0.04763573,-0.8365684,-0.02419293,0.5372844,0.2280425,0.5841773,0.01744138,0.5130702,0.2192338,0.5582191,0.02821498,0.5026902,0.1930364,0.5392185,0.05095959,-0.03216513,0.1224925,0.1365133,0.02274177,-0.05351495,0.1599934,0.170232,-0.004274413,-0.07007795,0.1577547,0.1726723,0.05096152,-0.0320096,0.1225199,0.1365021,0.0224992,-0.05318851,0.1602724,0.1703598,-0.004378036,-0.07002484,0.1578419,0.1727331,0.02968955,-0.04676099,0.1377672,0.1484852,-0.487231,-0.1726451,0.8269623,-0.2212079,205.56,-0.499608,-0.1770308,0.8479694,6.432238,0,0,0,0,0,0,0,0,0,1,0,0,0.3848972,False,True,False,-0.04960965,1.000135,0.299314,1.045141,0.05122347,0.02733036,-0.04077201,0.9974803,8.136462,0.722025,0.3852375,-0.5747055,0.09960966,-0.0001349449,0.0006859899,0.09961211,-0.3128025,-0.8627484,-0.1850896,0.3515135,138.8402,-0.3341255,-0.9215598,-0.1977067,-0.01781762,1.043534,-0.07140338,1.046126,0.06595362,-0.0303899,0.03851987,-0.9966157,350.5697,0.8023376,-0.3696986,0.4686011,False
1773120610086,0.0413717,0.01489404,0.9090869,0.2268211,0.9370745,0.5488224,0.2111908,0.1690117,-0.7909663,284.5518,0.8969738,0.345162,0.2762261,-0.06351423,0.9786377,0.3025481,1.026305,-0.06081474,1.016752,0.3072023,1.063888,-0.03889112,0.9943795,0.3159245,1.044084,-0.03165351,-0.07982102,0.105674,0.1361629,-0.02810711,-0.06864265,0.1444744,0.1624028,-0.002788939,-0.07245797,0.1217408,0.1416995,-0.03092351,-0.08173056,0.1040662,0.1358893,-0.02964136,-0.06434152,0.150717,0.1665354,-0.001485597,-0.06908125,0.1331832,0.1500406,-0.02363861,-0.07326509,0.1256512,0.1473594,-0.1749551,0.3648588,-0.03774351,0.9136981,47.95699,-0.4305065,0.8977965,-0.09287425,7.13711,-0.02043163,-0.05720012,0.1174202,0.1321999,-0.5994824,-0.3164969,-0.0846101,-0.7302684,273.8178,-0.8775134,-0.4632834,-0.123851,1.299952,True,True,False,-0.1269974,0.5320223,0.1493057,0.5669817,-0.4757041,-0.04075931,-0.7296007,-0.4896193,238.6311,-0.5455721,-0.04674574,-0.8367592,-0.02423229,0.5370024,0.2281747,0.5839713,0.01738176,0.5130211,0.2193144,0.5582039,0.0282045,0.5025286,0.1932267,0.5391355,0.05093169,-0.03220335,0.1224935,0.1365129,0.02282807,-0.05365185,0.1598462,0.1701483,-0.004241628,-0.07006837,0.157755,0.172668,0.05095527,-0.03205023,0.1225144,0.1365044,0.0225682,-0.05328647,0.1601825,0.170315,-0.004349444,-0.07003397,0.1578237,0.1727194,0.02968915,-0.04680382,0.1377525,0.148485,-0.4866799,-0.1740178,0.8276462,-0.2187747,205.2742,-0.4987622,-0.178338,0.8481933,6.405612,0,0,0,0,0,0,0,0,0,1,0,0,0.3899944,False,True,False,-0.04912429,1.000388,0.2986423,1.045169,0.0789298,0.0343207,-0.06984562,0.9938379,12.72786,0.7120843,0.3096325,-0.6301291,0.0991243,-0.0003883839,0.001357704,0.09913436,-0.3490097,-0.85034,-0.1957881,0.3417325,140.0351,-0.371367,-0.9048122,-0.2083301,-0.01803784,1.043502,-0.07147738,1.046103,0.06591634,-0.03060731,0.03837821,-0.996617,350.5715,0.8020327,-0.3724124,0.4669644,False
1773120610100,0.0555171,0.01493634,0.9089575,0.2267801,0.9369398,0.5488636,0.2114649,0.1746762,-0.7896326,284.3024,0.8945267,0.3446411,0.2846837,-0.06327645,0.9792409,0.3020117,1.026707,-0.06010558,1.016159,0.306775,1.063157,-0.03885831,0.9932,0.3154337,1.042811,-0.03155827,-0.07975279,0.1057385,0.1361509,-0.02778472,-0.06895304,0.1433787,0.1615053,-0.002926349,-0.0729518,0.1202633,0.1406904,-0.03105749,-0.08130927,0.1044226,0.1359406,-0.02924429,-0.06538931,0.1490665,0.1653839,-0.001792942,-0.06994132,0.1301613,0.1477733,-0.02343546,-0.07330967,0.1253825,0.14712,-0.1694888,0.3927746,-0.03331238,0.9032674,50.81814,-0.3950069,0.915392,-0.07763711,6.698812,-0.02023872,-0.05724243,0.117165,0.1319619,-0.6091616,-0.3414516,-0.06060604,-0.7132039,270.9924,-0.8690433,-0.4871223,-0.0864619,1.29975,True,True,False,-0.1269681,0.5316911,0.1494153,0.5666933,-0.4759119,-0.03993755,-0.7300517,-0.4888123,238.5251,-0.5455272,-0.04577952,-0.8368419,-0.02421452,0.536531,0.2282966,0.5835848,0.01732628,0.5129218,0.2193317,0.5581177,0.02821006,0.5022657,0.1934146,0.5389581,0.05082699,-0.03226728,0.122512,0.1365055,0.02292207,-0.05386662,0.1596002,0.1699978,-0.004204631,-0.07007702,0.1577363,0.1726534,0.05092825,-0.032096,0.1225139,0.1365046,0.02264288,-0.0534098,0.160059,0.1702474,-0.004318917,-0.07004306,0.1578052,0.1727054,0.02967426,-0.04685393,0.1377374,0.1484838,-0.4859244,-0.1758528,0.8285242,-0.2156408,204.9063,-0.4976323,-0.1800898,0.8484868,6.365925,0,0,0,0,0,0,0,0,0,1,0,0,0.4019072,False,True,False,-0.04854647,1.000666,0.2979932,1.045222,0.1090055,0.04122877,-0.1035956,0.9877682,17.94138,0.69907,0.2644069,-0.6643755,0.09854648,-0.0006656647,0.002006859,0.09856915,-0.3895775,-0.8342071,-0.2063903,0.331257,141.3098,-0.4128889,-0.8841242,-0.2187403,-0.0182576,1.043498,-0.07153898,1.046106,0.06594352,-0.03069398,0.0379762,-0.9966279,350.5867,0.8036586,-0.3740698,0.4628188,False
1773120610113,0.0690821,0.01497138,0.9088211,0.2267465,0.9367998,0.5488928,0.2116064,0.1801783,-0.788337,284.0607,0.8921552,0.3439391,0.2928568,-0.06296013,0.9798384,0.3015428,1.02712,-0.05937648,1.015447,0.3063672,1.062318,-0.03881871,0.9918284,0.3149148,1.041346,-0.03140248,-0.07966851,0.1058195,0.1361285,-0.02745367,-0.06926101,0.1421814,0.160519,-0.003078506,-0.07345549,0.1185911,0.1395315,-0.03112789,-0.08097092,0.1047107,0.1359764,-0.02887361,-0.06623896,0.1475658,0.1643074,-0.002058315,-0.07069642,0.127535,0.1458335,-0.02319388,-0.07337951,0.1250542,0.1468369,-0.1646973,0.4187843,-0.03120907,0.89248,53.62688,-0.3651122,0.9283894,-0.06918639,6.327202,-0.02000929,-0.05730877,0.1168533,0.131679,-0.6169298,-0.3630018,-0.03592204,-0.6973785,268.4341,-0.8607888,-0.5064886,-0.05012124,1.299294,True,True,False,-0.1269334,0.531303,0.1495433,0.5663552,-0.4761598,-0.03905782,-0.7305468,-0.4879015,238.4055,-0.5454926,-0.04474496,-0.8369204,-0.02419177,0.535994,0.2284363,0.5831448,0.01727374,0.5127812,0.2193706,0.5580022,0.02822335,0.5019567,0.1936211,0.538745,0.05071507,-0.03233278,0.1225319,0.1364972,0.02302662,-0.05408468,0.1593484,0.1698449,-0.004166361,-0.07008459,0.1577186,0.1726394,0.05088483,-0.0321443,0.1225176,0.136503,0.02272123,-0.05354857,0.1599132,0.1701644,-0.004287806,-0.07005154,0.1577875,0.1726919,0.0296469,-0.04690875,0.1377236,0.1484829,-0.4850135,-0.1780178,0.829532,-0.21201,204.4803,-0.4962956,-0.1821587,0.848828,6.317804,0,0,0,0,0,0,0,0,0,1,0,0,0.4139202,False,True,False,-0.04799822,1.000796,0.2976236,1.045216,0.1363896,0.04566213,-0.1353174,0.9803072,22.77913,0.6906542,0.2312255,-0.6852247,0.09799822,-0.0007964373,0.002376378,0.09803026,-0.4265871,-0.8168663,-0.2158192,0.3227617,142.34,-0.4507089,-0.8630569,-0.228023,-0.01848958,1.043521,-0.07158947,1.046137,0.06606149,-0.03089207,0.03759247,-0.9966285,350.5876,0.8051748,-0.3765206,0.458187,False
1773120610127,0.08303659,0.01506468,0.9086701,0.2267516,0.9366561,0.5488513,0.2101097,0.1831288,-0.7880863,284.0141,0.8916222,0.3413284,0.2974971,-0.0621916,0.9801498,0.3017191,1.027422,-0.0583363,1.014958,0.3065516,1.061846,-0.03833393,0.9913275,0.3148964,1.040846,-0.03106734,-0.0795899,0.105908,0.1360744,-0.02705621,-0.06937981,0.1414832,0.1598846,-0.003145528,-0.07359062,0.1180175,0.1391172,-0.03111525,-0.08067957,0.1049633,0.1359951,-0.02848868,-0.06694157,0.1462099,0.1633098,-0.002287824,-0.07133131,0.1253268,0.1442228,-0.02291089,-0.07346375,0.1246836,0.1465191,-0.1603567,0.4420644,-0.03035309,0.8820111,56.22817,-0.3402948,0.9381101,-0.06441265,5.997203,-0.01974055,-0.05738879,0.1165013,0.131361,-0.6231277,-0.3812141,-0.01260017,-0.6828096,266.1272,-0.8529028,-0.5217848,-0.01724642,1.29556,True,True,False,-0.1270296,0.5308147,0.1496926,0.5659581,-0.4763345,-0.03843184,-0.7312249,-0.4867634,238.2561,-0.5452961,-0.04399582,-0.8370883,-0.02434217,0.5355249,0.2286585,0.5828071,0.01711044,0.5126013,0.2194431,0.5578603,0.02812994,0.5016795,0.1938509,0.5385646,0.05070603,-0.03237849,0.1225262,0.1364996,0.02308368,-0.05427058,0.1591329,0.1697098,-0.0041291,-0.07010109,0.1576969,0.1726254,0.05084759,-0.03219317,0.1225194,0.1365023,0.02279693,-0.05370039,0.1597494,0.1700685,-0.004254705,-0.07006188,0.1577686,0.172678,0.02962702,-0.04696282,0.1377027,0.1484766,-0.484047,-0.1803232,0.8305848,-0.2081131,204.0236,-0.4948826,-0.1843598,0.8491777,6.263352,0,0,0,0,0,0,0,0,0,1,0,0,0.4189224,False,True,False,-0.04741298,1.00084,0.297316,1.045144,0.1613663,0.04715805,-0.1660366,0.9716836,27.33488,0.682928,0.1995804,-0.7026933,0.09741299,-0.0008400679,0.002684027,0.09745358,-0.4610252,-0.7980339,-0.2240853,0.3168336,143.0569,-0.4860668,-0.8413809,-0.236257,-0.01871706,1.043558,-0.0716345,1.046181,0.06608932,-0.03089426,0.03723918,-0.9966398,350.6035,0.8068655,-0.3771792,0.4546424,False
1773120610142,0.09692419,0.0151555,0.9085124,0.2267653,0.9365079,0.5488111,0.2086821,0.1861729,-0.7877803,283.9571,0.8909903,0.3387936,0.3022501,-0.06143407,0.9804586,0.3018807,1.027718,-0.05731795,1.014319,0.3066694,1.061214,-0.03788618,0.9904289,0.3147797,1.039938,-0.03073493,-0.07950868,0.1059955,0.1360195,-0.02668172,-0.06950736,0.1406239,0.1591171,-0.003249833,-0.07379828,0.1170216,0.1383864,-0.03103617,-0.08043346,0.1051803,0.1359988,-0.02810724,-0.06751162,0.1449695,0.1623699,-0.002490108,-0.07186954,0.1234088,0.1428326,-0.02260596,-0.07354546,0.1242879,0.1461761,-0.1567367,0.4631916,-0.030375,0.8717594,58.67252,-0.3199137,0.9454161,-0.06199812,5.702897,-0.01945099,-0.05746637,0.1161255,0.1310185,-0.627736,-0.3969942,0.009498504,-0.6695168,264.0596,-0.8450979,-0.5344587,0.01278749,1.287261,True,True,False,-0.1271354,0.5302966,0.14985,0.5655377,-0.4765278,-0.03781481,-0.7319445,-0.4855394,238.0956,-0.5450924,-0.04325574,-0.8372594,-0.02450038,0.5350332,0.2288853,0.582451,0.01693882,0.5124121,0.2195198,0.5577114,0.02803206,0.5013958,0.194087,0.5383803,0.05069154,-0.03242614,0.1225215,0.1365013,0.02313995,-0.05445802,0.1589138,0.1695722,-0.004090968,-0.07011793,0.1576757,0.1726119,0.05081521,-0.0322416,0.1225198,0.1365021,0.02286831,-0.0538591,0.1595746,0.1699642,-0.004220682,-0.07007353,0.1577493,0.1726643,0.02961286,-0.04701524,0.1376769,0.1484664,-0.4830476,-0.1826998,0.8316491,-0.204073,203.5505,-0.4934315,-0.1866273,0.8495268,6.205019,0,0,0,0,0,0,0,0,0,1,0,0,0.4234969,False,True,False,-0.04657222,1.0006,0.2975017,1.044929,0.1834813,0.04976768,-0.1934167,0.9625216,31.47199,0.6765407,0.1835056,-0.7131748,0.09657222,-0.0005996227,0.002498329,0.09660639,-0.4914977,-0.7804723,-0.2307597,0.309908,143.8926,-0.5169489,-0.8208873,-0.2427091,-0.01895118,1.043564,-0.07170281,1.046197,0.06625457,-0.03092606,0.03692173,-0.9966397,350.6033,0.8088686,-0.3775606,0.4507588,False
1773120610155,0.110802,0.01518258,0.9084226,0.2267224,0.9364108,0.5474034,0.2071739,0.1927336,-0.78758,283.9199,0.8883356,0.3362054,0.3127714,-0.06073854,0.9809188,0.3019104,1.028125,-0.05611241,1.013783,0.3068755,1.060696,-0.03740723,0.9902011,0.314776,1.039703,-0.03046205,-0.07943241,0.1060707,0.1359722,-0.02621801,-0.06964333,0.1397585,0.1583351,-0.003298167,-0.07381039,0.1167117,0.1381321,-0.03091681,-0.08022317,0.1053673,0.1359922,-0.02770847,-0.06798341,0.1438135,0.1614677,-0.00265988,-0.07229187,0.1218664,0.1417201,-0.02228781,-0.07363416,0.1238457,0.145796,-0.1537146,0.4809894,-0.03078866,0.8625968,60.78119,-0.3038487,0.9507747,-0.06086013,5.434291,-0.01914885,-0.05755061,0.1157056,0.130639,-0.6309921,-0.4094977,0.02814318,-0.6583074,262.3418,-0.8382499,-0.5440028,0.0373872,1.249673,True,True,False,-0.1271725,0.5299545,0.1499844,0.5652609,-0.476556,-0.03768852,-0.732376,-0.4848704,238.008,-0.5448933,-0.04309299,-0.8373974,-0.02454146,0.5347531,0.2290208,0.5822489,0.01689206,0.5123312,0.2196282,0.5576783,0.02800816,0.5012531,0.194273,0.5383133,0.05065549,-0.0324794,0.1225221,0.1365011,0.02319768,-0.05457425,0.1588108,0.169521,-0.004053065,-0.07013299,0.15766,0.1726029,0.05078208,-0.03229101,0.1225203,0.1365018,0.02293681,-0.05400881,0.159415,0.1698711,-0.004185871,-0.07008588,0.1577307,0.1726515,0.02959879,-0.04706737,0.1376541,0.148459,-0.4820782,-0.1849398,0.8326431,-0.2002582,203.1041,-0.4920455,-0.1887636,0.8498585,6.152194,0,0,0,0,0,0,0,0,0,1,0,0,0.4169962,False,True,False,-0.04572344,1.000332,0.2976792,1.044685,0.2029715,0.05094772,-0.2190062,0.953018,35.2654,0.6700637,0.1681921,-0.7229985,0.09572344,-0.0003319979,0.002320856,0.09575214,-0.519082,-0.7629484,-0.2361344,0.3044737,144.547,-0.5449561,-0.8009782,-0.2479047,-0.01920573,1.043577,-0.07177829,1.046219,0.06631602,-0.03098823,0.03664682,-0.9966438,350.609,0.8101155,-0.3785518,0.447677,False
1773120610168,0.124794,0.01520333,0.9083318,0.2266828,0.9363134,0.5458655,0.2055128,0.2000542,-0.7872571,283.8598,0.8852472,0.3332865,0.3244341,-0.05998395,0.9814373,0.3019357,1.028583,-0.05486687,1.013173,0.3070294,1.060092,-0.03690588,0.9896847,0.3146978,1.039169,-0.0301767,-0.07935161,0.1061479,0.1359216,-0.02579603,-0.06978618,0.1387656,0.1574529,-0.003375957,-0.07387551,0.1160654,0.1376233,-0.03076186,-0.08003893,0.1055323,0.1359764,-0.027302,-0.0683836,0.1426872,0.1605657,-0.002811251,-0.07263789,0.1205257,0.1407502,-0.02195735,-0.07371935,0.1233643,0.1453802,-0.1513404,0.496915,-0.03142616,0.8539227,62.71815,-0.2908157,0.9548716,-0.06038849,5.180686,-0.01883505,-0.05763149,0.1152485,0.1302242,-0.6331041,-0.4200414,0.04450772,-0.6486628,260.8817,-0.831854,-0.5519047,0.05847999,1.193041,True,True,False,-0.127207,0.5296474,0.1501057,0.565013,-0.4765782,-0.03761904,-0.7327456,-0.4842953,237.9326,-0.5447202,-0.04299787,-0.8375148,-0.02456722,0.5345014,0.2291255,0.5820599,0.01685436,0.5122952,0.2196886,0.557668,0.02798755,0.5011312,0.1944369,0.5382578,0.05060931,-0.03253567,0.122525,0.1365,0.02325226,-0.05471538,0.1586883,0.1694592,-0.004014562,-0.07014798,0.1576455,0.1725948,0.05074601,-0.03234218,0.1225213,0.1365014,0.02300285,-0.05415768,0.1592621,0.1697839,-0.00415006,-0.07009887,0.1577129,0.1726396,0.02958433,-0.04711976,0.1376325,0.1484527,-0.4810915,-0.187161,0.8336186,-0.1964735,202.6616,-0.4906547,-0.1908814,0.8501894,6.101511,0,0,0,0,0,0,0,0,0,1,0,0,0.4141304,False,True,False,-0.04476869,1.000115,0.2978907,1.044496,0.2213516,0.04910906,-0.2424783,0.9432901,38.77674,0.6667825,0.1479324,-0.730423,0.09476869,-0.0001147985,0.002109289,0.09479222,-0.5438427,-0.744792,-0.2420795,0.3015254,144.9015,-0.5703896,-0.7811481,-0.2538962,-0.01944332,1.043632,-0.07186344,1.046284,0.06624933,-0.0307383,0.03613268,-0.9966748,350.6524,0.813052,-0.3772391,0.4434422,False
1773120610186,0.1417765,0.01521812,0.9082401,0.2266462,0.9362159,0.5443163,0.2038329,0.2075194,-0.7868339,283.7813,0.8819627,0.3302731,0.3362463,-0.05920482,0.981966,0.3019645,1.029051,-0.05364881,1.012502,0.3071231,1.059416,-0.03643038,0.9888867,0.314532,1.038342,-0.0298754,-0.07926559,0.1062273,0.1358669,-0.0254107,-0.06991839,0.137698,0.1565089,-0.003479451,-0.07398685,0.1151039,0.1368761,-0.03054614,-0.07984918,0.1057028,0.1359487,-0.02683526,-0.06877676,0.1413997,0.1595125,-0.002975189,-0.07297868,0.1190827,0.1396977,-0.02156264,-0.07380527,0.1227731,0.1448634,-0.1493723,0.5144678,-0.03237875,0.8437787,64.91737,-0.2783208,0.9585916,-0.0603303,4.901741,-0.0184602,-0.05771311,0.114687,0.12971,-0.6343586,-0.430994,0.06195711,-0.6387445,259.3965,-0.8244647,-0.5601553,0.08052456,1.123176,True,True,False,-0.1272407,0.5293561,0.1502211,0.5647783,-0.4765979,-0.03758529,-0.7330991,-0.4837434,237.8604,-0.5445526,-0.04294431,-0.8376265,-0.02458583,0.5342661,0.2292149,0.5818799,0.01682083,0.5122883,0.2197249,0.5576748,0.02796973,0.5010263,0.1945914,0.5382151,0.05055645,-0.03259403,0.1225292,0.1364981,0.02330498,-0.05486989,0.1585546,0.1693913,-0.003975394,-0.070163,0.157632,0.1725877,0.05070002,-0.03240338,0.1225232,0.1365006,0.02307633,-0.05433192,0.1590892,0.1696875,-0.004107639,-0.07011445,0.1576933,0.172627,0.02956682,-0.04718066,0.1376082,0.1484461,-0.4799073,-0.189759,0.8347453,-0.1920436,202.1441,-0.4890095,-0.1933581,0.8505776,6.043921,0,0,0,0,0,0,0,0,0,1,0,0,0.4097752,False,True,False,-0.04373832,0.9998945,0.2981006,1.044302,0.2375109,0.04642176,-0.2639819,0.933674,41.97006,0.6632087,0.1296248,-0.7371242,0.09373832,0.0001055002,0.001899421,0.09375762,-0.5659244,-0.7272709,-0.2470724,0.299603,145.1325,-0.5931724,-0.7622874,-0.2589684,-0.01970079,1.043684,-0.07194819,1.046347,0.06629729,-0.03055411,0.03572132,-0.9966921,350.6768,0.8157672,-0.3759587,0.4395396,False
