Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773123757680,0,1,1,135,0.5058922,-0.6720926,-0.5407076,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.4673835,-0.6209325,-0.4995487,0.3826834,135,0.5058922,-0.6720925,-0.5407076
Trial Start,1773123763801,0,1,1,135,0.5058922,-0.6720926,-0.5407076,1,-1,-0.03998935,1.018588,0.2847737,1.058403,0,0,0,1,0,1,0,0,0.08998935,-0.01858807,0.01522627,0.09314203,0.4673835,-0.6209325,-0.4995487,0.3826834,135,0.5058922,-0.6720925,-0.5407076
On Target,1773123776952,13.17578,1,1,135,0.5058922,-0.6720926,-0.5407076,1,-1,0.06578477,1.00742,0.2906507,1.050572,-0.4927481,0.576233,0.5530154,-0.34544,220.4173,-0.5250711,0.6140323,0.5892917,-0.01578477,-0.007420182,0.009349287,0.01978957,0.08264234,0.006298659,-0.00242414,-0.9965565,350.4875,0.9966884,0.07596349,-0.02923577
Off Target,1773123776978,13.20315,1,1,135,0.5058922,-0.6720926,-0.5407076,1,-1,0.06473099,1.007462,0.2922872,1.051,-0.4953378,0.5779298,0.5538651,-0.3374479,219.4429,-0.5262026,0.613941,0.5883769,-0.01473099,-0.007461786,0.007712841,0.01822548,0.08704876,-0.0002096906,-0.005926823,-0.9961864,349.9891,0.997692,-0.002403327,-0.0679291
On Target,1773123777048,13.2726,1,1,135,0.5058922,-0.6720926,-0.5407076,1,-1,0.06215125,1.006039,0.2957592,1.050453,-0.4971325,0.5794479,0.5518034,-0.3355778,219.2154,-0.5277345,0.615117,0.5857708,-0.01215125,-0.006039143,0.004240811,0.01421649,0.08657106,-0.003811974,-0.005667193,-0.9962223,350.0364,0.9969075,-0.04389671,-0.06526046
Off Target,1773123777146,13.37014,1,1,135,0.5058922,-0.6720926,-0.5407076,1,-1,0.05629441,1.005752,0.295475,1.049767,-0.5055633,0.5871359,0.541775,-0.3258176,218.0302,-0.5347428,0.6210235,0.5730445,-0.006294411,-0.005751967,0.004525006,0.009653,0.08429167,-0.02171321,-0.005063416,-0.9961917,349.996,0.9667548,-0.2490323,-0.05807313
On Target,1773123777214,13.43944,1,1,135,0.5058922,-0.6720926,-0.5407076,1,-1,0.05403326,1.004647,0.2953879,1.048565,-0.506937,0.5903827,0.5386856,-0.3229256,217.6799,-0.5356339,0.6238033,0.5691798,-0.004033256,-0.00464654,0.004612118,0.007689546,0.08262883,-0.02688166,-0.00599044,-0.9961998,350.0067,0.9486918,-0.3086382,-0.06877843
Off Target,1773123777257,13.48108,1,1,135,0.5058922,-0.6720926,-0.5407076,1,-1,0.05289099,1.004491,0.2948354,1.048202,-0.5079499,0.5936458,0.5360071,-0.3197937,217.3009,-0.5361021,0.6265475,0.5657143,-0.002890985,-0.004490614,0.005164564,0.00742941,0.08118699,-0.03183293,-0.007426117,-0.9961627,349.9581,0.9276404,-0.3637222,-0.08485061
On Target,1773123777715,13.93964,1,1,135,0.5058922,-0.6720926,-0.5407076,1,-1,0.04700416,1.002747,0.2929246,1.045713,-0.5145553,0.6050411,0.5193805,-0.3152812,216.7556,-0.5422089,0.6375576,0.5472933,0.002995837,-0.002747178,0.007075459,0.008159911,0.06980727,-0.05006642,-0.004542071,-0.9962931,350.13,0.8114746,-0.581997,-0.0527993
Trial End,1773123778703,14.926,1,2,135,0.5058922,-0.6720926,-0.5407076,1,-1,0.05004589,1.00203,0.2908416,1.044585,-0.45782,0.6054469,0.5165799,-0.3962071,226.6826,-0.498627,0.6594124,0.5626245,-4.589185E-05,-0.002029657,0.009158432,0.009380751,0.008330524,0.02706089,0.001537564,-0.9995979,356.7503,0.2937936,0.9543599,0.05422547
Trial Load,1773123778704,14.926,1,2,135,-0.9955981,0.07367016,0.05793989,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.9198128,0.06806236,0.05352947,0.3826834,135,-0.9955982,0.07367016,0.05793989
Trial Start,1773123781230,0,1,2,135,-0.9955981,0.07367016,0.05793989,1,-1,-0.04128056,0.9894285,0.2554819,1.022714,0,0,0,1,0,1,0,0,0.09128056,0.01057154,0.04451814,0.1021066,-0.9198128,0.06806236,0.05352947,0.3826834,135,-0.9955982,0.07367016,0.05793989
On Target,1773123789538,8.321408,1,2,135,-0.9955981,0.07367016,0.05793989,1,-1,0.05169626,1.004141,0.2847446,1.045012,-0.9378952,0.05596833,0.1118429,0.3235911,142.2395,-0.9912262,0.05915082,0.1182026,-0.001696255,-0.004140973,0.01525539,0.01589817,0.05665735,-0.0520633,-0.03783375,0.9963173,9.837531,0.6607805,-0.6072012,-0.4412456
