Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.5058922,-0.6720926,-0.5407076,1,14.926,False,-4.589185E-05,-0.002029657,0.009158432,0.009380751,0.008330524,0.02706089,0.001537564,-0.9995979,356.7503,0.2937936,0.9543599,0.05422547,1.129172,1.026896,1.07465,1.74062,1209.741,0,0,0.06217768,0.05801877,0.06666972,0.1867874,54.80153,0,0,0.9870096,710.9612,0.3153614,78.20526
1,3,135,-0.9955981,0.07367016,0.05793989,1,9.793387,False,0.001796205,-0.001758695,0.005646765,0.006181045,0.04086448,0.01418104,0.001959243,0.9990622,4.963193,0.9437889,0.3275193,0.04524985,0.4737694,0.5510249,0.4603928,0.8382462,476.4299,0,0,0.02439216,0.04542733,0.04567602,0.09716629,24.00718,0,0,0.5731565,309.5874,0.139811,32.07641
1,4,135,-0.08185606,0.7867984,-0.611758,1,14.92992,False,-2.505258E-05,-0.00150311,0.003228605,0.00356144,-0.03599805,-0.04320347,0.01620849,-0.9982861,353.2899,-0.6151094,-0.7382305,0.2769594,0.7755209,0.9076534,1.021763,1.502836,905.1134,0,0,0.0429037,0.05223759,0.05165033,0.1666039,15.157,0,0,0.9467127,546.3825,0.2826989,70.73118
1,5,135,-0.5335737,0.6313775,0.562727,1,8.374701,False,0.001022015,0.002678037,0.005049646,0.005806489,-0.02896544,-0.02484771,-0.009101565,0.9992302,4.496933,-0.7382921,-0.6333364,-0.2319873,0.4461776,0.5994052,0.5832473,0.7096038,512.0102,0,0,0.0727901,0.09222337,0.1006789,0.1272087,55.00397,0,0,0.5480582,328.2867,0.2820133,78.38059
1,6,135,0.0123601,0.9422653,0.334639,1,7.276392,False,5.187094E-05,-0.002041459,-0.002610564,0.003314407,0.005398232,-0.06427778,0.004130543,-0.9979089,352.5882,0.08351807,-0.9944655,0.06390517,0.175305,0.2271139,0.2279841,0.4814793,339.1678,0,0,0.06692076,0.06500805,0.1179724,0.1002842,40.68375,0,0,0.3611176,252.9226,0.1894837,45.30676
1,7,135,-0.5724367,-0.04838859,0.8185198,1,6.055623,False,0.0008310117,-0.00519371,0.009337574,0.01071707,0.006325781,-0.0639906,-0.007138319,0.9979049,7.419014,0.09777439,-0.9890703,-0.1103334,0.2404221,0.2481196,0.2907259,0.7503048,342.3181,0,0,0.07974782,0.08048887,0.1610462,0.1032197,49.17524,0,0,0.4933764,253.0746,0.1403933,32.88834
1,8,135,-0.06403988,-0.1993245,0.9778388,1,4.986158,False,-0.004468393,3.004074E-05,0.001743197,0.004796475,-0.005965215,0.03288968,0.008043193,-0.9994089,356.0598,-0.1735188,0.9567096,0.233964,0.200075,0.2788287,0.3267724,0.6220358,291.3227,0,0,0.1345131,0.1022005,0.2250996,1.078806,119.1274,0,0,0.3807587,190.5865,0.06644235,24.03898
1,9,135,-0.3579205,0.5604334,-0.746865,1,11.12349,False,0.003156412,-0.001487374,0.00744313,0.008220426,0.0138841,-0.004598583,-0.06528679,-0.9977594,352.3276,0.2075217,-0.06873371,-0.975823,0.4462512,0.4605821,0.4864638,1.021202,608.4879,0,0,0.05270439,0.04758994,0.1291447,1.395647,158.6638,0,0,0.5911372,372.9755,0.1774466,42.26378
1,10,135,-0.02048406,0.6510904,0.7587237,1,4.930016,False,0.001404848,-0.004734159,-2.664328E-05,0.004938276,-0.007320919,-0.06397711,-0.03701145,-0.997238,351.4811,-0.09856723,-0.8613737,-0.4983141,0.1872159,0.2500234,0.2621167,0.4400742,323.8843,0,0,0.02199166,0.02868875,0.07570776,0.04308762,14.33554,0,0,0.3498886,236.935,0.06125574,15.99861
1,11,135,-0.646121,0.2325873,-0.7269325,1,12.30484,False,0.0005200729,0.002672136,0.0009419024,0.002880619,-0.03112416,0.03634497,0.005870439,0.9988374,5.526576,-0.6456012,0.753895,0.1217691,0.4449531,0.5450982,0.5651038,0.9799804,648.6391,0,0,0.0538061,0.06441031,0.2425507,0.1361419,47.30434,0,0,0.5731556,363.0304,0.1649459,44.38189
