Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773124077109,0.0140476,0.02797815,0.9293302,0.220143,0.9554582,-0.2094305,-0.2855633,-0.6812938,0.6406491,100.3195,-0.272755,-0.3719077,-0.8872933,-0.05601257,1.018345,0.2629749,1.053243,-0.05005755,1.001579,0.2660455,1.03752,-0.04151421,0.9856548,0.2646949,1.021422,-0.03315491,-0.08384385,0.1025397,0.1365409,-0.01832196,-0.07694593,0.0928497,0.1219731,-0.007438057,-0.06791917,0.080035,0.1052328,0,0,0,0,0,0,0,0,0,1,0,0,-0.02399418,0.5672514,0.1958476,0.6005882,-0.222289,-0.4214478,0.005448016,-0.8791699,303.0848,-0.4664952,-0.8844497,0.0114332,0.05152276,0.4645023,0.1982195,0.5076494,0.06621327,0.4505658,0.2348695,0.5124035,0.04067503,0.4467307,0.2238443,0.5013273,0.03017502,-0.08087331,0.1028882,0.1343019,0.008845862,-0.07614358,0.1411879,0.1606552,-0.0005783334,-0.08956362,0.1165829,0.1470154,0,0,0,0,0,0,0,0,0,1,0,0,-0.06575677,1.015246,0.26459,1.051216,0,0,0,1,0,1,0,0,0.1157568,-0.01524568,0.03540999,0.1220079,0.8909097,0.08835137,-0.2280953,0.3826833,135,0.9643137,0.09563083,-0.2468885,-0.02487176,1.060965,0.001310659,1.061257,0.09759595,-0.04898164,0.06594233,-0.9918303,345.3423,0.7650751,-0.3839774,0.5169358,False
1773124077122,0.0280008,0.02744953,0.9296399,0.219296,0.9555494,-0.2096346,-0.2850569,-0.6813995,0.6406955,100.3126,-0.2730345,-0.3712668,-0.8874757,-0.05642305,1.018731,0.2621992,1.053444,-0.05047193,1.001838,0.2652233,1.037579,-0.04169016,0.9858806,0.2638216,1.021421,-0.0332444,-0.08380589,0.1025407,0.1365402,-0.01833617,-0.07690991,0.09273985,0.1218689,-0.007476095,-0.06762988,0.07985583,0.1049126,0,0,0,0,0,0,0,0,0,1,0,0,-0.02407192,0.5672826,0.1958023,0.600606,-0.2222098,-0.4212714,0.005313525,-0.8792753,303.1101,-0.4665198,-0.8844407,0.01115551,0.05140123,0.4645245,0.198304,0.5076904,0.06608692,0.450608,0.2347877,0.5123869,0.04060352,0.4467875,0.2238229,0.5013625,0.03005687,-0.08087613,0.1028982,0.1342847,0.008872499,-0.07620206,0.1410988,0.1606062,-0.0005706799,-0.08956282,0.1165643,0.1470002,0,0,0,0,0,0,0,0,0,1,0,0,-0.06621043,1.01557,0.263872,1.051378,-0.000254246,-0.0004545238,0.0002007766,-0.9999999,359.9441,-0.5206957,-0.9308648,0.4111905,0.1162104,-0.0155704,0.03612801,0.1226888,-0.8907264,-0.08805653,0.2284009,-0.3829958,225.0387,-0.9642503,-0.09532505,0.247254,-0.02488167,1.061084,0.001108904,1.061376,0.09826945,-0.04873282,0.06578155,-0.9917868,345.3032,0.7683172,-0.3810163,0.5143114,False
1773124077136,0.0416871,0.02689397,0.9299068,0.2177471,0.955439,-0.2104161,-0.284172,-0.6812194,0.6410238,100.2636,-0.2741503,-0.3702465,-0.887558,-0.05686302,1.018998,0.2608325,1.053387,-0.05085751,1.002046,0.2637998,1.037436,-0.04202667,0.9861121,0.2624116,1.021295,-0.03327414,-0.08381423,0.102504,0.136525,-0.01835126,-0.07687041,0.09262946,0.1217623,-0.007489107,-0.06752872,0.07978873,0.1047972,0,0,0,0,0,0,0,0,0,1,0,0,-0.02415236,0.5673053,0.1957245,0.6006053,-0.2221219,-0.421231,0.005172159,-0.8793176,303.1203,-0.4664118,-0.8845013,0.0108605,0.05129672,0.4645467,0.1983054,0.5077007,0.06598127,0.4506488,0.2346485,0.5123454,0.04053277,0.4468493,0.2237312,0.501371,0.02996739,-0.08088529,0.1029003,0.1342719,0.008898436,-0.0762581,0.1410137,0.1605594,-0.0005579973,-0.08956333,0.1165215,0.1469665,0,0,0,0,0,0,0,0,0,1,0,0,-0.0666441,1.015839,0.262574,1.05134,-0.0003737456,-0.001685374,0.0002699558,-0.9999985,359.8022,-0.2164966,-0.9762729,0.1563751,0.1166441,-0.01583934,0.03742602,0.123521,-0.8904048,-0.08755101,0.2294601,-0.3832262,225.0673,-0.9640018,-0.09478761,0.2484263,-0.02488019,1.061169,0.0009133678,1.061461,0.09871375,-0.0485027,0.06582732,-0.9917509,345.2711,0.7701175,-0.3783949,0.5135533,False
1773124077150,0.0555394,0.02631795,0.9301797,0.2161311,0.9553217,-0.2115868,-0.2828714,-0.6809363,0.6415142,100.1904,-0.2758228,-0.3687489,-0.8876632,-0.05727638,1.019237,0.2595252,1.053318,-0.05120298,1.002258,0.2624046,1.037303,-0.0423001,0.9863453,0.2610132,1.021173,-0.03326318,-0.08382908,0.1024606,0.1364988,-0.01836689,-0.07682911,0.09251565,0.121652,-0.007506464,-0.06739997,0.07971108,0.1046564,0,0,0,0,0,0,0,0,0,1,0,0,-0.02423563,0.567329,0.1956418,0.6006041,-0.2220172,-0.4211963,0.005036871,-0.8793615,303.1309,-0.4662712,-0.8845788,0.01057822,0.05119044,0.4645697,0.1983002,0.507709,0.06587256,0.4506922,0.2345046,0.5123037,0.04046037,0.4469133,0.223638,0.5013806,0.02988166,-0.08089676,0.1029004,0.1342598,0.008925563,-0.07631573,0.1409259,0.1605113,-0.000545095,-0.089564,0.1164787,0.146933,0,0,0,0,0,0,0,0,0,1,0,0,-0.06703977,1.016115,0.2613273,1.051321,-0.0005317359,-0.003515517,0.0003610808,-0.9999936,359.5908,-0.1488843,-0.9843336,0.1011015,0.1170398,-0.01611495,0.03867272,0.1243124,-0.8899306,-0.08680507,0.2310407,-0.3835476,225.1072,-0.9636278,-0.0939936,0.2501737,-0.02489895,1.061188,0.0007006663,1.061481,0.09888598,-0.04830724,0.06583841,-0.9917426,345.2637,0.7710725,-0.3766801,0.5133811,False
1773124077164,0.0695774,0.02575591,0.930443,0.214546,0.9552055,-0.2130585,-0.2812603,-0.6805658,0.6421285,100.0986,-0.2779277,-0.3668947,-0.8877752,-0.05764141,1.019436,0.2583461,1.05324,-0.05148808,1.002458,0.2611102,1.037185,-0.04245292,0.9865512,0.2596848,1.021039,-0.03321427,-0.08385025,0.1024105,0.1364623,-0.0183832,-0.07678618,0.09239858,0.1215383,-0.00753231,-0.06720717,0.07959782,0.1044478,0,0,0,0,0,0,0,0,0,1,0,0,-0.02432156,0.5673536,0.1955545,0.6006024,-0.2218963,-0.4211672,0.004907462,-0.8794068,303.1418,-0.4660991,-0.8846727,0.01030825,0.05108224,0.4645937,0.1982885,0.5077155,0.06576078,0.4507382,0.2343562,0.5122619,0.04038633,0.4469793,0.2235431,0.5013911,0.02979932,-0.08091044,0.1028983,0.1342482,0.008953855,-0.07637494,0.1408354,0.1604616,-0.0005319533,-0.08956499,0.1164359,0.1468996,0,0,0,0,0,0,0,0,0,1,0,0,-0.06737655,1.016381,0.2601994,1.05132,-0.0007092329,-0.005803354,0.0004629917,-0.9999828,359.3286,-0.1210424,-0.9904391,0.07901726,0.1173766,-0.01638103,0.03980058,0.1250187,-0.8893402,-0.0858783,0.2330218,-0.383927,225.1543,-0.9631528,-0.09300594,0.2523619,-0.02492666,1.061197,0.0004611399,1.06149,0.0992242,-0.0482839,0.0660786,-0.991694,345.2203,0.7714527,-0.3753998,0.5137508,False
1773124077178,0.0834797,0.02478254,0.9307204,0.2113774,0.9547435,-0.2214872,-0.2779995,-0.674922,0.6466376,99.42287,-0.2903618,-0.3644474,-0.8847985,-0.05857745,1.019262,0.2560219,1.052556,-0.05197576,1.002485,0.2589056,1.036682,-0.04283398,0.9866611,0.2574597,1.020598,-0.03318472,-0.08410878,0.1021444,0.1364148,-0.01839611,-0.07675332,0.09230273,0.1214466,-0.00753768,-0.06714785,0.07955575,0.104378,0,0,0,0,0,0,0,0,0,1,0,0,-0.02429843,0.5673922,0.1955254,0.6006284,-0.2217516,-0.4211939,0.00487561,-0.8794305,303.1475,-0.4658382,-0.8848109,0.0102423,0.05108468,0.4646262,0.1983353,0.5077637,0.06574587,0.4507903,0.2342676,0.5122653,0.04039789,0.4470599,0.2234973,0.5014436,0.02972703,-0.08091746,0.102906,0.1342422,0.008977487,-0.0764346,0.1407439,0.160411,-0.0005165482,-0.08956832,0.1163736,0.1468522,0,0,0,0,0,0,0,0,0,1,0,0,-0.06801869,1.016338,0.2582908,1.050849,0.003136546,-0.01610437,-0.003134889,-0.9998605,358.0861,0.187797,-0.9642304,-0.1876978,0.1180187,-0.01633763,0.04170918,0.1262338,-0.8880355,-0.08425365,0.2438878,-0.3805434,224.7347,-0.9602842,-0.09110835,0.26373,-0.02493385,1.061269,0.0002293673,1.061561,0.09923221,-0.04822714,0.06630079,-0.991681,345.2089,0.7709208,-0.3746697,0.5150814,False
1773124077193,0.09741379,0.02387021,0.9309859,0.2084193,0.9543287,-0.2307105,-0.2744725,-0.6685701,0.6514995,98.69049,-0.304107,-0.3617912,-0.881264,-0.059532,1.018948,0.2539376,1.0518,-0.05234816,1.002491,0.2569851,1.036229,-0.04308704,0.986757,0.2555106,1.020211,-0.03311076,-0.08448909,0.1017641,0.1363476,-0.01840902,-0.07672046,0.09220684,0.1213549,-0.00754337,-0.06708569,0.07951245,0.1043054,0,0,0,0,0,0,0,0,0,1,0,0,-0.0242708,0.5674325,0.1954961,0.6006558,-0.2215908,-0.4212322,0.00486068,-0.8794529,303.1529,-0.4655405,-0.8849676,0.01021181,0.05109312,0.4646594,0.1983798,0.5078124,0.06573218,0.4508441,0.2341772,0.5122696,0.0404105,0.447144,0.2234511,0.5014989,0.02965955,-0.08092576,0.1029133,0.1342379,0.009001847,-0.07649693,0.1406481,0.1603581,-0.0005001898,-0.08957227,0.1163066,0.1468014,0,0,0,0,0,0,0,0,0,1,0,0,-0.06854981,1.016261,0.2566891,1.050416,0.007437875,-0.02736641,-0.007144116,-0.9995723,356.6483,0.2543302,-0.9357653,-0.2442855,0.1185498,-0.01626074,0.04331091,0.1272568,-0.8865017,-0.08250913,0.2557698,-0.3766815,224.2566,-0.9569909,-0.08906975,0.276107,-0.02491804,1.061367,2.30486E-05,1.061659,0.09973972,-0.04840853,0.06639653,-0.9916149,345.15,0.7718112,-0.3745975,0.5137932,False
1773124077206,0.111323,0.02270962,0.9311982,0.2051498,0.9537989,-0.2445341,-0.2707325,-0.6559134,0.6608212,97.27493,-0.3258094,-0.3607153,-0.873918,-0.06133063,1.017797,0.2518457,1.050285,-0.05319609,1.001973,0.2551974,1.035329,-0.0436689,0.9864,0.2536535,1.019427,-0.03298678,-0.08504249,0.101219,0.1362558,-0.01841373,-0.07670238,0.09218885,0.1213306,-0.007542696,-0.06705633,0.07950014,0.1042771,0,0,0,0,0,0,0,0,0,1,0,0,-0.02421698,0.5674034,0.1954568,0.6006134,-0.2215146,-0.421217,0.004753824,-0.8794799,303.1594,-0.4654294,-0.8850288,0.009988369,0.05113841,0.4646318,0.1984097,0.5078034,0.06573962,0.4508251,0.2340449,0.5121933,0.04045346,0.4471546,0.2233768,0.5014788,0.02958961,-0.0809262,0.1029268,0.1342331,0.009035349,-0.07656903,0.1405363,0.1602963,-0.0004841492,-0.08957842,0.1162404,0.1467527,0,0,0,0,0,0,0,0,0,1,0,0,-0.06968711,1.015428,0.255264,1.049338,0.01540804,-0.04449303,-0.01687272,-0.9987484,354.2661,0.3080546,-0.8895536,-0.3373379,0.1196871,-0.01542807,0.04473606,0.1287025,-0.8840517,-0.08273161,0.2752673,-0.3685596,223.2536,-0.9509978,-0.08899659,0.2961123,-0.02486511,1.061462,-0.0001244894,1.061753,0.1002818,-0.04868444,0.06646937,-0.9915419,345.0854,0.7726626,-0.3751094,0.5121407,False
1773124077219,0.1252482,0.0217005,0.9313938,0.2022877,0.953355,-0.2562795,-0.2674982,-0.6448362,0.6685447,96.09032,-0.3446136,-0.3596991,-0.8670976,-0.06289122,1.016768,0.2499904,1.048936,-0.0538923,1.001577,0.2535953,1.034587,-0.04413974,0.9861398,0.2519804,1.018781,-0.03286841,-0.08557301,0.1006856,0.1361641,-0.01841727,-0.07668664,0.09218208,0.121316,-0.007541354,-0.06702952,0.07949126,0.104253,0,0,0,0,0,0,0,0,0,1,0,0,-0.0241577,0.567371,0.1954167,0.6005673,-0.2214369,-0.4212038,0.00464813,-0.8795064,303.1658,-0.465314,-0.8850918,0.009767296,0.05119166,0.4646014,0.1984371,0.5077916,0.06575038,0.4508026,0.2339078,0.5121122,0.04050063,0.4471621,0.2233002,0.5014551,0.02952273,-0.08092628,0.102941,0.1342293,0.009070325,-0.07664343,0.1404204,0.1602322,-0.0004678026,-0.0895853,0.1161722,0.1467029,0,0,0,0,0,0,0,0,0,1,0,0,-0.07061609,1.014756,0.2539752,1.048437,0.0222749,-0.05909254,-0.02519987,-0.9976858,352.2026,0.3276055,-0.8690968,-0.3706242,0.1206161,-0.0147562,0.04602486,0.1299395,-0.881667,-0.08290319,0.2918251,-0.3614257,222.3756,-0.945588,-0.08891368,0.3129825,-0.02483206,1.061532,-0.0002914621,1.061823,0.1006024,-0.0488098,0.06642607,-0.9915061,345.0539,0.7735059,-0.375286,0.5107329,False
1773124077233,0.1388139,0.02081533,0.9315737,0.1997625,0.9529785,-0.2659926,-0.2647868,-0.6354468,0.6747913,95.12411,-0.3604194,-0.3587856,-0.861029,-0.06425871,1.015866,0.2482912,1.047741,-0.05448604,1.001289,0.2521139,1.033978,-0.04454719,0.9859633,0.2504298,1.018245,-0.03275752,-0.08607634,0.1001691,0.1360736,-0.01841967,-0.07667317,0.09218614,0.1213109,-0.007539436,-0.06700522,0.0794857,0.104233,0,0,0,0,0,0,0,0,0,1,0,0,-0.02409329,0.5673355,0.1953757,0.6005179,-0.2213578,-0.4211923,0.004543546,-0.8795323,303.172,-0.4651946,-0.885157,0.009548492,0.05125222,0.4645686,0.1984622,0.5077775,0.06576411,0.4507769,0.233766,0.5120267,0.04055168,0.4471669,0.2232214,0.5014284,0.02945865,-0.08092589,0.1029557,0.1342263,0.00910669,-0.07671998,0.1403005,0.160166,-0.0004510951,-0.08959284,0.116102,0.1466518,0,0,0,0,0,0,0,0,0,1,0,0,-0.07139324,1.014234,0.2527537,1.047689,0.02802354,-0.07119732,-0.03212945,-0.9965507,350.4796,0.3376918,-0.8579484,-0.3871692,0.1213932,-0.0142343,0.04724634,0.1310387,-0.8794824,-0.083033,0.3055102,-0.3553587,221.6309,-0.9408947,-0.088831,0.3268433,-0.02485752,1.061593,-0.0004337956,1.061884,0.1004971,-0.0490652,0.06660649,-0.9914921,345.0415,0.7720624,-0.3769403,0.5117002,False
