Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773124536920,0,1,1,135,0.7936953,-0.3983405,0.4597528,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,0.7332789,-0.3680186,0.4247562,0.3826834,135,0.7936954,-0.3983405,0.4597528
Trial Start,1773124538557,0,1,1,135,0.7936953,-0.3983405,0.4597528,1,-0.05,0.9921009,0.3,1.037673,-0.2162957,-2.982626E-08,-0.1018704,0.9709988,27.665,-0.904684,-1.247521E-07,-0.426086,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0.007899106,0,0.1003115,0.7572955,-0.3401721,0.5310228,0.16971,160.4581,0.7684425,-0.3451793,0.5388391
Grab,1773124547156,8.606269,1,1,135,0.7936953,-0.3983405,0.4597528,1,-0.09720361,0.7991691,0.2802674,0.8524492,-0.2561517,-0.1423798,-0.8247249,0.4836769,122.1484,-0.2926623,-0.1626739,-0.9422771,0.1146396,-0.06392092,0.0127553,0.1318743,-0.5686648,0.7248885,-0.05351403,0.3850887,134.7015,-0.6161852,0.7854638,-0.05798592,0.02910295,-0.226413,0.1114535,0.2540309,0.03786001,-0.5615623,0.5609888,0.6070468,105.2475,0.04764267,-0.7066646,0.7059429,0.1472036,0.2008309,0.01973256,0.2497826,0.08870427,-0.619467,0.719726,-0.3006441,214.9926,0.0930071,-0.6495159,0.7546381
Release,1773124547518,8.966394,1,1,135,0.7936953,-0.3983405,0.4597528,1,-0.08105434,0.8210309,0.226315,0.8554998,-0.2183872,0.3092693,-0.8024637,0.4612066,125.07,-0.2461276,0.3485538,-0.9043956,0.09887089,-0.05603259,0.03344159,0.1184628,-0.5478221,0.8242917,0.1314221,0.0562361,173.5524,-0.5486904,0.8255982,0.1316304,0.05526268,-0.2417771,0.0513454,0.2532716,-0.3483327,-0.641394,0.2954322,0.6164397,103.8868,-0.4423822,-0.8145698,0.3751987,0.1310543,0.1789691,0.07368501,0.2337406,0.2578088,-0.7837533,0.3565798,-0.4383109,231.9923,0.2868291,-0.8719767,0.3967184
Grab,1773124551182,12.63173,1,1,135,0.7936953,-0.3983405,0.4597528,1,-0.0533648,0.8757741,0.2215691,0.9049426,-0.6911228,0.2415701,-0.6623081,-0.1591892,198.3197,-0.7000498,0.2446904,-0.6708629,0.1180323,-0.0637187,0.02312884,0.1361126,-0.680084,-0.1891552,0.2365082,0.6676602,96.22653,-0.913519,-0.2540816,0.3176882,0.07406448,-0.2800475,0.02721487,0.2909516,-0.008544691,-0.8954757,-0.2220461,0.3856756,134.6286,-0.009261189,-0.970564,-0.2406653,0.1033648,0.1242259,0.07843089,0.1796323,0.006617842,-0.2259582,0.2630455,-0.9379266,319.4124,0.01908072,-0.6514882,0.7584193
On Target,1773124553016,14.47877,1,1,135,0.7936953,-0.3983405,0.4597528,1,0.06515711,1.003751,0.2891805,1.046607,-0.7249872,0.3509005,-0.4914268,-0.3313037,218.6958,-0.7683823,0.3719041,-0.5208418,0.1233714,-0.05595998,0.02977952,0.1387042,-0.7046863,-0.04764229,0.3471758,0.6169413,103.8138,-0.8953977,-0.06053586,0.441133,-0.04360519,-0.441719,0.002680761,0.4438742,-0.09914462,-0.8573757,-0.4327686,0.2603621,149.8169,-0.1026862,-0.8880021,-0.4482275,-0.01515711,-0.003750801,0.01081946,0.01899651,0.002695552,-0.064768,0.0568384,-0.9962768,350.1084,0.03126603,-0.7512516,0.6592753
Off Target,1773124553072,14.53531,1,1,135,0.7936953,-0.3983405,0.4597528,1,0.06564786,1.003313,0.2900028,1.046445,-0.7393589,0.3402616,-0.4832173,-0.3226013,217.6406,-0.7811216,0.3594813,-0.5105119,0.1236843,-0.0553105,0.03026744,0.1388279,-0.7074606,-0.05002407,0.3537477,0.6098028,104.8495,-0.892635,-0.06311763,0.4463395,-0.0462539,-0.4415755,0.002985728,0.4440014,-0.1013137,-0.8616108,-0.4327565,0.2451208,151.622,-0.1045018,-0.8887234,-0.4463743,-0.01564786,-0.003312826,0.009997249,0.01886201,0.01307891,-0.05177497,0.07048352,-0.9960826,349.8537,0.147905,-0.5855056,0.7970743
On Target,1773124553086,14.54837,1,1,135,0.7936953,-0.3983405,0.4597528,1,0.06543565,1.003157,0.290143,1.046322,-0.7377891,0.3473303,-0.4807671,-0.3223228,217.6069,-0.779385,0.3669125,-0.5078724,0.1235546,-0.05543364,0.03105153,0.1389346,-0.7016298,-0.04630645,0.3550662,0.6160352,103.9456,-0.8907112,-0.05878552,0.4507527,-0.04807824,-0.4415086,0.002854767,0.4441278,-0.0966589,-0.869354,-0.4218576,0.2385728,152.3954,-0.09953295,-0.8952034,-0.4344011,-0.01543565,-0.003157258,0.009857029,0.01858463,0.01658659,-0.05345267,0.06390315,-0.9963856,350.2541,0.1952591,-0.6292505,0.7522746
Off Target,1773124553100,14.56221,1,1,135,0.7936953,-0.3983405,0.4597528,1,0.06486358,1.002916,0.2905621,1.046171,-0.7322089,0.3524458,-0.4896388,-0.316079,216.8519,-0.7717756,0.371491,-0.5160977,0.1233114,-0.05533277,0.03108192,0.1386849,-0.7055683,-0.04364603,0.3607109,0.6084046,105.0515,-0.8890427,-0.05499565,0.4545094,-0.04896037,-0.441448,0.002897652,0.4441642,-0.1046915,-0.8674032,-0.4246595,0.2373092,152.5444,-0.1077701,-0.89291,-0.437147,-0.01486358,-0.002915502,0.009437919,0.01784658,0.01793745,-0.06658376,0.06414559,-0.9955553,349.1919,0.190461,-0.7069906,0.681102
On Target,1773124553668,15.13074,1,1,135,0.7936953,-0.3983405,0.4597528,1,0.05195213,1.007355,0.2954507,1.051073,-0.7081322,0.3653494,-0.497794,-0.3424468,220.052,-0.7537032,0.388861,-0.5298289,0.125346,-0.05253003,0.03385217,0.1400606,-0.7192897,0.02181314,0.382522,0.5795029,109.1688,-0.8825963,0.02676557,0.4693693,-0.08546006,-0.4450647,0.02283307,0.4537701,-0.1675033,-0.8378824,-0.449448,0.2605616,149.7932,-0.1734964,-0.8678607,-0.4655286,-0.00195213,-0.007355094,0.004549265,0.008865891,-0.008131613,-0.07802463,0.0377439,-0.9962036,350.0116,-0.09340751,-0.8962659,0.4335627
