Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,135,0.7936953,-0.3983405,0.4597528,1,16.36759,False,0.002496328,-0.002922535,0.009654373,0.01039133,0.002405426,-0.03908888,0.05428292,-0.9977574,352.3241,0.03593696,-0.583986,0.8109843,0.1455812,0.1433158,0.142141,0,0,0,0.2957335,95.88476,0,0,0.3110173,279.392,0.108726,247.618,0,0,0.08234493,24.51622,4.095984,0
1,2,135,0.9595435,-0.2677703,-0.08703721,1,10.34113,False,0.0007169098,-0.00260222,-0.001816541,0.00325351,0.02799933,0.02566364,0.03766843,0.9985683,6.132619,0.5234315,0.4797671,0.7041898,0.02502348,0.02482008,0.02943308,0,0,0,0.03880399,25.52846,0,0,0.04026613,50.27612,0.02403232,38.2826,0,0,0.01449784,2.741084,2.32208,0
1,3,135,-0.8956273,-0.3875168,-0.2183632,1,17.41981,False,0.004261639,-0.003055811,0.01452699,0.01544452,-0.03577904,-0.01330958,-0.00117222,0.9992704,4.377486,-0.9368342,-0.3484965,-0.03069326,0.1316735,0.08928332,0.1297666,0,0,0,0.2034366,102.0781,0,0,0.1771024,270.8192,0.1158978,250.4517,0,0,0.04595109,7.654765,7.103214,0
1,4,135,0.8680041,0.4946829,0.04310024,1,17.99232,False,0.003846753,-0.002580166,0.004592597,0.006522784,0.03258763,0.01834484,-0.01168868,0.9992322,4.490835,0.8317454,0.4682218,-0.2983342,0.2923917,0.3272533,0.3823556,0,0,0,0.4620517,308.3446,0,0,0.338468,590.5462,0.2731037,465.755,0,0,0.1157062,33.16096,11.02403,0
1,5,135,0.9593099,-0.2802188,-0.03466761,1,15.92071,False,0.001712747,-0.004678369,0.0107871,0.01188201,-0.003212681,-0.009169499,0.004272705,0.9999437,1.215614,-0.3028493,-0.8643797,0.4027744,0.3196072,0.2330343,0.2889563,0,0,0,0.6051966,331.063,0,0,0.4064386,633.399,0.2426521,485.3611,0,0,0.073613,18.17116,7.263213,0
1,6,135,-0.5550927,-0.6073738,0.5683038,1,19.1844,False,0.002318282,0.000121057,0.01029447,0.01055297,0.006609011,-0.03615014,-0.05164723,-0.9979891,352.7315,0.104264,-0.5703057,-0.8147882,0.4482264,0.4413559,0.479111,0,0,0,0.5746718,353.1027,0,0,0.4601886,858.9975,0.3385499,717.3361,0,0,0.08225941,21.04987,8.602678,0
1,7,135,-0.00941779,-0.9353932,0.3534839,1,11.73975,False,0.001731377,-0.00126183,0.004902303,0.005349996,0.05855416,-0.01134848,0.008466175,0.9981838,6.907321,0.9719918,-0.1883833,0.1405375,0.08309211,0.06236723,0.06959786,0,0,0,0.1231223,62.55093,0,0,0.07418642,126.4859,0.05197524,97.29205,0,0,0.02027049,3.803867,1.238105,0
1,8,135,0.5718869,-0.3887046,-0.7223947,1,18.58903,False,0.00196632,0.0009185076,0.007595897,0.007899855,-0.002596892,-0.01701023,0.05412427,0.998386,6.511641,-0.04572471,-0.2995071,0.9529916,0.06142754,0.06537766,0.06577147,0,0,0,0.08905505,44.15288,0,0,0.0733735,120.3411,0.05311383,122.4121,0,0,0.01775833,2.839837,2.874842,0
1,9,135,0.5574997,-0.8020275,0.2143499,0.9999999,16.76889,False,0.00122261,-0.0003629923,0.003529608,0.003752955,0.03214566,-0.03896096,0.04642519,-0.997644,352.1324,0.4685716,-0.5679149,0.6767173,0.09982365,0.1016662,0.1478792,0,0,0,0.2147636,102.4891,0,0,0.1330503,273.9723,0.09797394,224.8784,0,0,0.03814647,8.602897,4.264636,0
1,10,135,-0.8909263,0.4405657,-0.1102365,0.9999999,21.52706,False,0.007031109,-0.001028895,0.00529924,0.008864371,0.05000964,-0.01649367,-0.03994324,0.9978135,7.579232,0.7566538,-0.2495518,-0.6043476,0.1066525,0.1013142,0.1431419,0,0,0,0.1310256,58.3814,0,0,0.127777,227.6418,0.1002556,200.3769,0,0,0.03424487,4.374358,6.476805,0
