Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1773124660244,0.0145003,0.09305595,0.9154356,0.2275536,0.9478725,-0.5855701,-0.6044685,0.3024197,0.4475132,126.8315,-0.6547969,-0.6759294,0.3381721,-0.0366763,0.6089809,0.1857023,0.6377211,0.3534177,0.1564282,-0.9160759,-0.1069151,192.275,0.3554552,0.15733,-0.9213572,0.03155881,1.011898,0.2927263,1.053861,0.06111294,1.025187,0.298145,1.069408,0.07281244,1.001624,0.2916327,1.045754,0.04861069,0.5038369,0.1942825,0.5421811,0.06372047,0.5129859,0.2279795,0.5649686,0.02066012,0.5410609,0.2102744,0.580852,0.101266,-0.07220829,0.04319286,0.1316604,0.1178339,-0.06236213,0.01658535,0.1343463,0.09456847,-0.05454641,0.00509014,0.1092905,-0.09952231,0.08721066,-0.0298721,0.1356567,-0.1284006,0.06522538,-0.01846187,0.1451961,-0.07760572,0.04925225,-0.00747973,0.09221919,0.1008132,-0.07263286,0.04401353,0.1318182,0.1183831,-0.06303278,0.01640026,0.1351172,0.09540952,-0.05568779,0.004899173,0.1105808,-0.0994793,0.0872526,-0.02984598,0.1356463,-0.1283464,0.06539421,-0.01845926,0.1452238,-0.07760108,0.04945068,-0.007474038,0.09232096,0.1024923,-0.0649851,0.02527171,0.1239613,0.03723857,0.9766104,0.1991592,-0.07198002,188.2554,0.03733542,0.9791502,0.1996771,-0.09870213,0.0637705,-0.01642701,0.1186534,0.4856827,0.190174,0.1287197,0.8434319,64.99136,0.9040397,0.3539859,0.2395961,-0.05031467,1.000237,0.2999353,1.045451,-0.005532887,-0.008108607,-0.002780127,0.999948,1.169006,-0.5423625,-0.7948481,-0.2725226,0.09039022,-0.0641202,0.0281466,0.1143417,-0.1030304,0.1243687,-0.1131002,-0.9803702,337.2574,-0.5225565,0.6307817,-0.573629,-0.005408572,-0.4077618,-0.06693404,0.4132543,-0.3512276,0.343473,-0.4127095,0.7670307,79.82399,-0.5474159,0.5353298,-0.6432403,0.1003147,-0.0002369881,6.473064E-05,0.100315,-0.01163375,-0.8592116,0.3323344,0.3888111,134.2389,-0.01262729,-0.9325901,0.3607164,-0.1299635,1.03984,0.000497502,1.04793,0.07621569,0.0389763,-0.1637866,-0.9827747,338.7002,0.4124051,0.2109018,-0.8862534,False,False,False,False
1773124660257,0.0296539,0.002713975,0.8856322,0.1981591,0.9075345,-0.6193446,-0.6405565,0.05839309,0.4502111,126.4855,-0.6936154,-0.717371,0.0653955,-0.0423426,0.5962698,0.186853,0.6262944,0.3488975,0.148114,-0.9234505,-0.05976489,186.8526,0.3495224,0.1483792,-0.9251042,-0.06912383,0.9884273,0.2497339,1.021829,-0.02021328,1.006934,0.3044584,1.05215,-0.02605142,0.9807136,0.3183457,1.031417,0.04896146,0.4987845,0.1994091,0.5393952,0.056607,0.502279,0.2250659,0.5533021,0.01154731,0.5408576,0.2066669,0.5791126,0.100588,-0.0626104,0.06595037,0.1356004,0.1522901,-0.05680355,0.01097144,0.1629089,0.1361049,-0.07583819,-0.006062776,0.1559254,-0.09712741,0.08791175,-0.02890084,0.1341546,-0.1181886,0.07645336,-0.01648826,0.1417234,-0.06464529,0.04596009,-0.008711671,0.07979497,0.1007944,-0.07179598,0.04584527,0.1319696,0.1212144,-0.06251264,0.01594695,0.1373137,0.0988076,-0.05737036,0.003983845,0.1143249,-0.09928292,0.08730764,-0.02976706,0.1355205,-0.1274982,0.06631766,-0.01829468,0.1448742,-0.07651927,0.04915921,-0.007577381,0.09126469,0.1043128,-0.06550259,0.02698458,0.1260948,0.01808312,0.9858584,0.1645991,-0.02575393,182.9515,0.01808912,0.9861855,0.1646537,-0.09744436,0.06360511,-0.01620262,0.1174885,0.4863205,0.2001629,0.1250385,0.8413041,65.44382,0.8996571,0.3702865,0.231312,-0.05046984,1.000374,0.2999074,1.045581,-0.009242464,-0.01242031,-0.003396298,0.9998744,1.81612,-0.5831771,-0.7836912,-0.2142982,0.1391486,-0.07775755,0.02993535,0.1621872,0.6145671,0.6389176,-0.06111959,0.4586461,125.4005,0.6915979,0.7190005,-0.06878041,0.02144952,-0.4189508,-0.007791033,0.4195718,-0.340649,-0.153701,0.9255782,-0.06032588,186.917,-0.3412706,-0.1539814,0.9272671,0.1004698,-0.0003744364,9.259582E-05,0.1004706,-0.0121541,-0.8562812,0.3357144,0.3923402,133.7996,-0.01321356,-0.9309224,0.3649783,-0.1292126,1.040085,0.0001576297,1.048081,0.07681166,0.03652873,-0.1620976,-0.9831023,338.9043,0.4196052,0.1995484,-0.8855039,False,False,False,False
1773124660271,0.0465533,0.001658136,0.8863547,0.1986327,0.9083405,-0.6178051,-0.6389458,0.06425968,0.4538016,126.0243,-0.693304,-0.7170282,0.07211253,-0.04231146,0.5962475,0.1868826,0.6262798,0.3486339,0.1482102,-0.9235961,-0.05880748,186.7427,0.3492384,0.1484672,-0.9251974,-0.06986618,0.9888803,0.2511214,1.022657,-0.0203985,1.007731,0.3050316,1.053082,-0.02635935,0.9808202,0.3185649,1.031594,0.04907054,0.4989406,0.1996578,0.5396414,0.05671569,0.5024973,0.2251126,0.5535304,0.01166907,0.5410078,0.2066757,0.5792585,0.1006596,-0.06262361,0.06578928,0.1355813,0.1522927,-0.05680498,0.01093607,0.1629094,0.1352063,-0.07600889,-0.005861178,0.1552174,-0.09716649,0.0878545,-0.02868402,0.1340989,-0.1180954,0.07642562,-0.01641994,0.1416228,-0.06459585,0.04591504,-0.008734007,0.07973141,0.1007827,-0.07099857,0.04757911,0.1321428,0.1239162,-0.06201644,0.01551132,0.1394341,0.1019719,-0.05899071,0.003127963,0.1178472,-0.09909893,0.08735518,-0.02967291,0.1353957,-0.1266808,0.0671964,-0.0181317,0.1445411,-0.0754827,0.04887718,-0.007677933,0.09025279,0.1057865,-0.06581243,0.02861958,0.1278324,-0.005166091,0.9912167,0.1314343,0.0137093,178.429,-0.005166577,0.9913099,0.1314467,-0.09622271,0.06341766,-0.01598432,0.1163448,0.4868553,0.2097293,0.1214421,0.8391886,65.89093,0.895217,0.3856448,0.2233046,-0.05182414,1.001608,0.2995389,1.046722,-0.02829499,-0.03537431,-0.007328519,0.9989467,5.260036,-0.6166354,-0.7709157,-0.1597111,0.1382213,-0.07717823,0.03021274,0.1611658,0.6105651,0.6359214,-0.06756075,0.4671723,124.2982,0.6905546,0.7192327,-0.07641181,0.02096479,-0.4191119,-0.008087704,0.4197138,-0.3360719,-0.1571816,0.9266402,-0.06072634,186.963,-0.3366933,-0.1574722,0.9283535,0.1018241,-0.001607537,0.0004611611,0.1018379,-0.01574937,-0.840439,0.3531815,0.4107034,131.502,-0.01727342,-0.9217674,0.3873585,-0.1282912,1.040526,-0.0001015724,1.048405,0.07744376,0.03444698,-0.1604041,-0.9834055,339.0949,0.4268733,0.1898732,-0.884154,False,False,False,False
1773124660283,0.060627,-0.001875178,0.8885289,0.1999941,0.9107605,-0.6165472,-0.6372676,0.07063283,0.4569142,125.6237,-0.6931306,-0.7164249,0.07940638,-0.04221113,0.5962299,0.186922,0.6262681,0.3483855,0.1482727,-0.9237251,-0.05809134,186.6605,0.3489748,0.1485236,-0.9252877,-0.07319158,0.990911,0.2530191,1.02532,-0.0230109,1.010133,0.3063146,1.055806,-0.02895291,0.9828838,0.3198552,1.034024,0.04938747,0.4991746,0.1998102,0.5399431,0.05720004,0.5026811,0.2256761,0.5539764,0.01188772,0.5411463,0.2067045,0.5794026,0.1006422,-0.06256339,0.06585401,0.135572,0.152305,-0.0567788,0.01084961,0.162906,0.1347829,-0.0761735,-0.005824029,0.1549282,-0.0972615,0.0877135,-0.02868254,0.1340751,-0.1185886,0.07622126,-0.01621433,0.1419008,-0.0645956,0.04585335,-0.008781539,0.07970092,0.1007692,-0.07018888,0.04933332,0.1323431,0.1266412,-0.06151368,0.01506385,0.141594,0.1051214,-0.06064008,0.002268664,0.1213791,-0.09892256,0.08738957,-0.02957784,0.1352681,-0.125904,0.06806269,-0.01794765,0.1442445,-0.07443765,0.04858692,-0.007783868,0.08923139,0.1070671,-0.06597363,0.03025213,0.1293486,-0.03256547,0.9934565,0.09806985,0.04864081,174.424,-0.03260406,0.9946339,0.09818608,-0.0950078,0.06319851,-0.01576611,0.1151916,0.4871055,0.2195441,0.1175076,0.8370906,66.33168,0.890399,0.4013131,0.2147966,-0.05215768,1.001971,0.2994084,1.047049,-0.03725542,-0.04345117,-0.006398158,0.9983402,6.60312,-0.646893,-0.7544743,-0.1110959,0.1365764,-0.07509212,0.02998163,0.1587162,0.5958005,0.6269503,-0.07768539,0.4959034,120.5413,0.6861076,0.7219789,-0.08946037,0.02205756,-0.4201858,-0.007954743,0.4208395,-0.312612,-0.1747515,0.9313064,-0.06636322,187.6103,-0.3133027,-0.1751376,0.9333639,0.1021577,-0.00197053,0.0005915761,0.1021784,-0.01414879,-0.8339058,0.3603007,0.417833,130.6043,-0.01557338,-0.9178688,0.3965781,-0.1275631,1.040929,-0.0004480734,1.048716,0.07840712,0.0322092,-0.1590457,-0.9836256,339.2344,0.4350543,0.1787179,-0.8824904,False,False,False,False
1773124660299,0.0737907,-0.003623203,0.889414,0.2006268,0.9117683,-0.6154169,-0.6354367,0.07765362,0.4598395,125.2465,-0.6930354,-0.71558,0.08744755,-0.04215425,0.5962332,0.1869324,0.6262705,0.3481297,0.1483084,-0.9238507,-0.05753602,186.5968,0.3487074,0.1485545,-0.9253837,-0.07485818,0.9917315,0.2539331,1.026459,-0.02384406,1.011383,0.3067041,1.057133,-0.02972953,0.9838934,0.3203856,1.03517,0.04958028,0.4993338,0.1998267,0.540114,0.05759109,0.5028533,0.2259623,0.5542898,0.01200385,0.541308,0.2066921,0.5795516,0.1005392,-0.06247758,0.06613091,0.1355908,0.1523095,-0.05676843,0.01080798,0.1629038,0.1344727,-0.07638028,-0.005766273,0.1547582,-0.09727312,0.08766561,-0.02869969,0.1340559,-0.118917,0.07609092,-0.01616185,0.1420996,-0.06455589,0.04577394,-0.008809224,0.07962612,0.1007505,-0.06956238,0.05069801,0.1325137,0.1287266,-0.06112816,0.01471809,0.1432614,0.107506,-0.06191887,0.001615877,0.124073,-0.09878855,0.087412,-0.0295065,0.135169,-0.1253364,0.06871493,-0.01780256,0.1440412,-0.07363482,0.04835839,-0.007867171,0.08844497,0.1079339,-0.06601241,0.0314863,0.1303793,-0.05559888,0.9932007,0.07273177,0.07191161,171.7524,-0.0557432,0.9957787,0.07292056,-0.09408335,0.06301244,-0.01560341,0.1143053,0.4871412,0.2270721,0.114347,0.8354978,66.66459,0.8865272,0.4132386,0.2080952,-0.05370457,1.003328,0.2989314,1.04829,-0.06059885,-0.0726266,-0.0114006,0.9954513,10.93396,-0.6360607,-0.762307,-0.1196636,0.1356025,-0.07421084,0.02978463,0.1574243,0.5898242,0.621232,-0.08353399,0.5091175,118.7899,0.6852866,0.7217777,-0.09705387,0.02211355,-0.4204994,-0.008059641,0.4211576,-0.3043171,-0.182208,0.9322868,-0.07094347,188.1364,-0.3050857,-0.1826683,0.9346417,0.1037046,-0.003328204,0.001068562,0.1037635,-0.01904159,-0.8125773,0.3811909,0.44051,127.7271,-0.0212104,-0.9051288,0.4246081,-0.1267783,1.041472,-0.0007894653,1.049161,0.07941521,0.03010683,-0.1569799,-0.9839432,339.4373,0.444948,0.1686827,-0.8795278,False,False,False,False
1773124660312,0.0885739,-0.007643015,0.891614,0.202373,0.9143242,-0.6139899,-0.6337706,0.08508761,0.4627216,124.8743,-0.6925972,-0.7149104,0.09598112,-0.0419665,0.5961962,0.1870278,0.6262512,0.3478459,0.1482612,-0.9239924,-0.05709396,186.5461,0.3484142,0.1485035,-0.9255022,-0.07877021,0.9938062,0.2560585,1.029282,-0.0270074,1.013818,0.3082173,1.059978,-0.03270399,0.9861076,0.3216611,1.037759,0.04992301,0.4994466,0.1998487,0.540258,0.05866963,0.5028796,0.2269464,0.5548285,0.01227355,0.5413861,0.2067526,0.5796518,0.1004983,-0.06238648,0.06627563,0.1355893,0.1522214,-0.05680659,0.01065199,0.1628244,0.1339161,-0.0762967,-0.005660579,0.1542295,-0.09726522,0.08762621,-0.02880385,0.1340468,-0.120082,0.0758452,-0.01602959,0.1429305,-0.06454243,0.04572715,-0.008860074,0.07959396,0.1007313,-0.06901421,0.05188801,0.132673,0.1305214,-0.06079803,0.01440747,0.144706,0.1095235,-0.06301721,0.001060017,0.1263634,-0.09867218,0.08742836,-0.02945282,0.1350829,-0.124935,0.06925962,-0.01766712,0.1439367,-0.07294024,0.04815738,-0.007943021,0.08776391,0.1086194,-0.06599073,0.03252405,0.1311898,-0.07606019,0.991767,0.05137181,0.08929735,169.7536,-0.07636527,0.995745,0.05157786,-0.09333436,0.06284539,-0.01547049,0.113579,0.4870173,0.2335808,0.1114696,0.8341635,66.94233,0.88305,0.4235241,0.2021145,-0.05412679,1.003748,0.2987581,1.048664,-0.07224885,-0.08471996,-0.01170739,0.9937131,12.85625,-0.645328,-0.7567202,-0.1045706,0.1338916,-0.07163272,0.02944578,0.1546779,0.5697517,0.6094379,-0.09616211,0.5428825,114.2398,0.6784304,0.7256867,-0.1145048,0.02373152,-0.4216558,-0.007728422,0.4223938,-0.2740071,-0.2033988,0.9367187,-0.07814695,188.9641,-0.2748477,-0.2040227,0.9395921,0.1041268,-0.003747821,0.001241922,0.1042016,-0.01878273,-0.80264,0.3907032,0.450297,126.4745,-0.02103615,-0.898935,0.437577,-0.1257197,1.042035,-0.001069339,1.049592,0.08065332,0.02802735,-0.1548004,-0.9842492,339.6347,0.456218,0.1585376,-0.8756329,False,False,False,False
1773124660326,0.1015496,-0.009284134,0.8924282,0.2031997,0.9153166,-0.6127499,-0.6326396,0.09082938,0.464817,124.6032,-0.6920546,-0.7145185,0.1025849,-0.04187778,0.596154,0.1870957,0.6262253,0.3475799,0.1481016,-0.9241301,-0.05689922,186.5237,0.348144,0.148342,-0.9256299,-0.08050952,0.9944797,0.2570614,1.030316,-0.02804093,1.014925,0.3088208,1.06124,-0.03364732,0.9870952,0.3224064,1.038959,0.05008013,0.499463,0.199868,0.5402949,0.05920759,0.5028656,0.2274485,0.5550785,0.01238922,0.5415124,0.2068208,0.5797966,0.1003827,-0.0623437,0.06652229,0.1356047,0.1522437,-0.05677225,0.01058118,0.1628287,0.1337686,-0.07641828,-0.005643159,0.1541611,-0.09725644,0.0876186,-0.02885657,0.1340468,-0.1206646,0.07572661,-0.0159644,0.1433504,-0.0645147,0.04559122,-0.008887213,0.07949647,0.1007016,-0.06844727,0.0531318,0.1328489,0.1323676,-0.06045587,0.01408227,0.1461999,0.1115842,-0.06415618,0.0004903066,0.128714,-0.09855185,0.08744453,-0.02940214,0.1349944,-0.124572,0.06980926,-0.01752241,0.1438699,-0.07222414,0.04793928,-0.008023269,0.08705673,0.1092764,-0.06592939,0.03357176,0.1319662,-0.09769218,0.9892169,0.0298561,0.1049518,167.9512,-0.09823471,0.9947104,0.0300219,-0.0925873,0.06266411,-0.01533935,0.1128472,0.4868082,0.2402339,0.1083858,0.8328013,67.22482,0.8793947,0.4339705,0.1957936,-0.05459093,1.004148,0.2986186,1.049031,-0.08492009,-0.1001509,-0.01396779,0.9912433,15.17593,-0.6430988,-0.7584417,-0.1057779,0.1330613,-0.07050514,0.02929247,0.1534091,0.5602134,0.603019,-0.1019048,0.558699,112.0683,0.6754681,0.7270802,-0.12287,0.02418597,-0.4220293,-0.007589643,0.4227898,-0.2612576,-0.2131866,0.9377331,-0.08338176,189.566,-0.2621706,-0.2139316,0.94101,0.1045909,-0.004148126,0.001381457,0.1046823,-0.02090497,-0.7904426,0.4015778,0.4620592,124.9599,-0.02357219,-0.8912933,0.4528141,-0.1245347,1.042567,-0.001369621,1.049979,0.08234228,0.02592382,-0.1529463,-0.9844568,339.7697,0.4688473,0.1476072,-0.8708583,False,False,False,False
1773124660340,0.1157343,-0.01117842,0.8933955,0.2042615,0.9165169,-0.6115219,-0.6317152,0.09606725,0.4666347,124.3679,-0.6914148,-0.7142463,0.1086181,-0.0417482,0.5960931,0.1871948,0.6261883,0.3472755,0.1478091,-0.924293,-0.05687385,186.5208,0.3478385,0.1480488,-0.9257916,-0.08239717,0.9952831,0.2584403,1.031586,-0.02947107,1.01608,0.3096791,1.062633,-0.03501041,0.9880263,0.3231407,1.040116,0.05021821,0.4994291,0.1999598,0.5403103,0.05990038,0.502773,0.2281523,0.5553578,0.01255142,0.5415511,0.2069282,0.5798745,0.1003683,-0.06233265,0.06655363,0.1356044,0.1521965,-0.05678935,0.01049823,0.1627852,0.1333452,-0.07644321,-0.005541578,0.1538025,-0.0972558,0.08759512,-0.02886355,0.1340325,-0.1214698,0.07557805,-0.01586303,0.1439395,-0.06452136,0.04550009,-0.008911737,0.0794524,0.1006765,-0.06798633,0.05414357,0.1330016,0.1338624,-0.06017948,0.01381209,0.147416,0.1132246,-0.06508242,3.560584E-05,0.1305968,-0.09845416,0.08745588,-0.02936154,0.1349217,-0.1243382,0.07024413,-0.01739732,0.1438641,-0.07164348,0.04775541,-0.008090245,0.08648017,0.1097856,-0.06585417,0.03438925,0.1325604,-0.1152506,0.9864719,0.01292709,0.1158596,166.6936,-0.116032,0.9931602,0.01301473,-0.0920151,0.0625132,-0.01523663,0.1122802,0.486596,0.2455906,0.1058264,0.8316912,67.45427,0.8763733,0.4423156,0.1905964,-0.05579591,1.005173,0.2982774,1.049979,-0.1076901,-0.1308206,-0.01999254,0.9853371,19.64758,-0.6311743,-0.7667425,-0.1171767,0.1320792,-0.06907792,0.02893736,0.1518356,0.5480955,0.5961493,-0.109343,0.576404,109.604,0.6707281,0.7295337,-0.1338078,0.02479745,-0.4224001,-0.007237029,0.4231893,-0.2447714,-0.2241606,0.9392217,-0.08775937,190.0694,-0.2457195,-0.2250288,0.9428595,0.1057959,-0.005173087,0.001722634,0.1059363,-0.0273624,-0.7661132,0.4213653,0.484534,122.0361,-0.03127945,-0.8757858,0.4816857,-0.1234283,1.043301,-0.001689708,1.050578,0.08333142,0.02359002,-0.150825,-0.9847595,339.9682,0.4791323,0.135636,-0.8672013,False,False,False,False
1773124660353,0.1303536,-0.01407719,0.8955628,0.2061042,0.919081,-0.6099693,-0.6307527,0.1015702,0.4687987,124.0873,-0.6905534,-0.7140825,0.1149888,-0.04150862,0.5959411,0.1873524,0.6260748,0.3468495,0.1472468,-0.9245325,-0.05703849,186.5397,0.3474151,0.147487,-0.9260401,-0.08548009,0.997251,0.2604686,1.034244,-0.03172842,1.018371,0.3113966,1.065389,-0.03723766,0.9900519,0.3244959,1.042539,0.05069489,0.4994466,0.1997655,0.5402992,0.06140778,0.5024346,0.2298009,0.5558956,0.01278115,0.5415006,0.2070429,0.5798733,0.1002309,-0.06227897,0.06685405,0.1356258,0.1521736,-0.05672029,0.01028563,0.1627261,0.132798,-0.07626659,-0.005411983,0.1532357,-0.09720468,0.08750499,-0.0293407,0.1340401,-0.1234085,0.0752643,-0.01558048,0.1453861,-0.06447415,0.04540487,-0.008963199,0.07936534,0.10064,-0.06751928,0.0551837,0.1331635,0.1353608,-0.05989641,0.01352352,0.1486372,0.1148263,-0.06599764,-0.0004101803,0.1324422,-0.09835191,0.0874599,-0.02935984,0.1348493,-0.1242621,0.07065494,-0.01724864,0.1439816,-0.0710568,0.04756306,-0.00816168,0.08589485,0.110272,-0.06575274,0.03519683,0.1331246,-0.1324692,0.983238,-0.003390606,0.1252334,165.6115,-0.1335204,0.9910402,-0.003417511,-0.09153853,0.0623709,-0.01514886,0.1117986,0.4859791,0.2510442,0.1028624,0.8307952,67.63899,0.8731547,0.451049,0.184812,-0.05579989,1.005192,0.2982742,1.049996,-0.1083804,-0.1309744,-0.01955827,0.9852497,19.70622,-0.633348,-0.7653822,-0.1142937,0.1302082,-0.06686841,0.02872652,0.1491669,0.5246426,0.5833085,-0.1213241,0.6080972,105.0959,0.6608732,0.7347725,-0.1528275,0.0264403,-0.4233665,-0.006400389,0.4242396,-0.2117295,-0.2441234,0.9416345,-0.09433357,190.8259,-0.2126779,-0.2452169,0.9458525,0.1057999,-0.005191684,0.001725763,0.1059413,-0.02677244,-0.7657572,0.4217657,0.4847813,122.0037,-0.03060983,-0.8755159,0.4822189,-0.1222065,1.04369,-0.002156441,1.050823,0.08499873,0.02071188,-0.14824,-0.9850742,340.1766,0.4938043,0.1203267,-0.8612077,False,False,False,False
1773124660369,0.1433847,-0.01499452,0.8964766,0.2066134,0.9201001,-0.6085081,-0.629968,0.1060641,0.4707534,123.8336,-0.6897113,-0.7140349,0.120218,-0.04145268,0.5958842,0.1873629,0.6260201,0.34641,0.1465559,-0.9247882,-0.05734372,186.5747,0.346981,0.1467975,-0.9263124,-0.08658525,0.9979179,0.2612432,1.035174,-0.03208647,1.019507,0.3117819,1.066598,-0.03727794,0.9913708,0.3249964,1.043948,0.05087151,0.4994628,0.1995829,0.5402632,0.06200654,0.5022794,0.2304748,0.5561007,0.01283485,0.5414588,0.2070549,0.5798397,0.1000963,-0.06230171,0.06707624,0.1356466,0.1522717,-0.05655356,0.01019882,0.1627544,0.1330686,-0.07601848,-0.005471811,0.1533493,-0.09720027,0.08742962,-0.02963687,0.1340529,-0.1242785,0.07510111,-0.01545912,0.1460285,-0.06448604,0.04536373,-0.008984512,0.07935388,0.1005943,-0.06708034,0.05618419,0.1333253,0.1367835,-0.05961518,0.01324382,0.1497968,0.116361,-0.06684067,-0.0008360058,0.1341948,-0.09825502,0.08745735,-0.02938314,0.1347821,-0.1242635,0.07102899,-0.01709809,0.1441488,-0.07050401,0.04737804,-0.008230903,0.08534191,0.110714,-0.06563885,0.03596135,0.1336385,-0.1485151,0.9797221,-0.01813369,0.1332631,164.6836,-0.1498517,0.9885392,-0.01829689,-0.09113615,0.06224237,-0.01507586,0.1113876,0.4851131,0.2562079,0.09984184,0.830093,67.78342,0.8699629,0.4594628,0.1790483,-0.05617059,1.005255,0.2984305,1.050121,-0.1140321,-0.1462701,-0.02637725,0.9822963,21.59447,-0.6087102,-0.7807987,-0.1408033,0.129241,-0.06621417,0.02825321,0.1479384,0.5222992,0.5824158,-0.1251296,0.6101953,104.7928,0.6592597,0.7351403,-0.1579418,0.02658313,-0.4234387,-0.005726373,0.424311,-0.2110955,-0.2438877,0.9417559,-0.09514974,190.9199,-0.2120576,-0.2449992,0.9460481,0.1061706,-0.005254984,0.00156951,0.1063121,-0.03547203,-0.7554464,0.4281618,0.4946918,120.7011,-0.04081615,-0.8692599,0.4926675,-0.1210515,1.044238,-0.002535089,1.051234,0.08638052,0.01815148,-0.1459935,-0.9853399,340.3543,0.5063264,0.1063964,-0.8557529,False,False,False,False
