Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773125511872,0,1,1,135,0.9430124,-0.2318736,0.2386676,0.9999999,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.8712299,-0.2142233,0.2205001,0.3826834,135,0.9430125,-0.2318736,0.2386676
Grab,1773125520623,7.824198,1,1,135,0.9430124,-0.2318736,0.2386676,0.9999999,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.8712299,-0.2142233,0.2205001,0.3826834,135,0.9430125,-0.2318736,0.2386676
Trial Start,1773125520646,0,1,1,135,0.9430124,-0.2318736,0.2386676,0.9999999,-1,-0.05,1,0.3,1.045227,-0.01518527,0.04945665,-0.02318224,0.9983917,6.499845,-0.2678573,0.87238,-0.4089181,0.09999999,0,0,0.09999999,0.8815789,-0.2496537,0.1891819,0.3531317,138.642,0.942287,-0.2668456,0.2022095
Clutch Start,1773125523358,2.721944,1,1,135,0.9430124,-0.2318736,0.2386676,0.9999999,0,0.0600931,0.9950979,0.2301045,1.023122,0.8637784,-0.01535912,-0.2974336,0.4064288,132.0386,0.9453813,-0.01681013,-0.3255328,-0.0100931,0.004902124,0.06989554,0.07079045,-0.04356468,-0.5307851,0.03178037,0.8457892,64.48682,-0.08165562,-0.9948791,0.05956765
Clutch End,1773125524011,3.374755,1,1,135,0.9430124,-0.2318736,0.2386676,0.9999999,0,0.05425318,1.011513,0.2269811,1.038086,0.8604915,0.03019915,-0.1867988,0.4730208,123.5389,0.9766645,0.03427627,-0.2120181,-0.004253183,-0.01151299,0.07301891,0.07404323,0.04945628,-0.465372,-0.03486176,0.8830445,55.97633,0.1053855,-0.9916529,-0.0742863
Release,1773125524011,3.374755,1,1,135,0.9430124,-0.2318736,0.2386676,0.9999999,0,0.05425318,1.011513,0.2269811,1.038086,0.8604915,0.03019915,-0.1867988,0.4730208,123.5389,0.9766645,0.03427627,-0.2120181,-0.004253183,-0.01151299,0.07301891,0.07404323,0.04945628,-0.465372,-0.03486176,0.8830445,55.97633,0.1053855,-0.9916529,-0.0742863
Grab,1773125524941,4.305481,1,1,135,0.9430124,-0.2318736,0.2386676,0.9999999,0,0.05425318,1.011513,0.2269811,1.038086,0.8604915,0.03019915,-0.1867988,0.4730208,123.5389,0.9766645,0.03427627,-0.2120181,-0.004253183,-0.01151299,0.07301891,0.07404323,0.04945628,-0.465372,-0.03486176,0.8830445,55.97633,0.1053855,-0.9916529,-0.0742863
Release,1773125526037,5.402466,1,1,135,0.9430124,-0.2318736,0.2386676,0.9999999,0,0.06815483,1.015994,0.2660201,1.052452,0.8290145,-0.2315194,-0.3345169,0.3837087,134.8728,0.8977321,-0.2507102,-0.3622452,-0.01815483,-0.01599419,0.03397992,0.04171387,-0.105663,-0.4678396,0.2367343,0.844937,64.66966,-0.1975504,-0.8746854,0.4426047
Grab,1773125527014,6.373631,1,1,135,0.9430124,-0.2318736,0.2386676,0.9999999,0,0.06815483,1.015994,0.2660201,1.052452,0.8290145,-0.2315194,-0.3345169,0.3837087,134.8728,0.8977321,-0.2507102,-0.3622452,-0.01815483,-0.01599419,0.03397992,0.04171387,-0.105663,-0.4678396,0.2367343,0.844937,64.66966,-0.1975504,-0.8746854,0.4426047
Clutch Start,1773125527815,7.179363,1,1,135,0.9430124,-0.2318736,0.2386676,0.9999999,0,0.05901505,1.016752,0.2682929,1.053208,0.8498036,-0.1327569,-0.2902474,0.4194829,130.3961,0.9361512,-0.1462462,-0.3197392,-0.00901505,-0.01675153,0.03170714,0.03697604,-0.0511904,-0.4793132,0.137183,0.8653435,60.15612,-0.1021398,-0.9563703,0.2737203
