Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.9430124,-0.2318736,0.2386676,0.9999999,10.59623,False,-0.004918884,-0.004450917,0.003123164,0.007332138,-0.02695278,-0.0719705,-0.03321977,0.996489,9.605299,-0.3219247,-0.8596175,-0.3967777,0.3351791,0.2534603,0.263979,0.6707492,466.7653,0.3174462,669.6166,0,0,0,0,0,0,0,0.6546729,827.5347,0.3070435,61.9501
1,3,135,-0.4521421,-0.2471749,0.8570135,1,5.513705,False,0.0007253624,-0.002461195,0.006294519,0.006797397,0.04126773,0.002523594,-0.02050842,0.9989345,5.290314,0.8942023,0.05468205,-0.444383,0.08925153,0.09146456,0.06741333,0.3220577,191.8065,0.08969683,263.2985,0,0,0,0,0,0,0,0.3051389,335.6011,0.05851822,16.00055
1,4,135,0.08826084,0.003028698,0.9960928,1,5.499771,False,-0.0002611391,-0.00243628,0.008758277,0.009094562,-0.062906,-0.02125303,0.01838988,0.9976237,7.901534,-0.9130155,-0.3084658,0.26691,0.1073584,0.05662446,0.08128136,0.3044637,161.4378,0.09423264,260.0637,0,0,0,0,0,0,0,0.2638149,338.5768,0.07015841,13.67182
1,5,135,0.1880412,0.8191835,0.5418293,1,6.555674,False,-0.001062755,-0.0009508133,0.001463175,0.002043128,-0.01220411,-0.004942306,0.003244671,0.9999081,1.554154,-0.8998455,-0.3644111,0.2392393,0.2577081,0.1694304,0.1818278,0.3962919,269.7288,0.1716575,600.0567,0,0,0,0,0,0,0,0.3486429,729.9764,0.08161318,21.04379
1,6,135,-0.9724838,-0.2243244,0.06287992,1,6.388768,False,-0.002295297,-0.0008844137,0.001471698,0.002866439,-0.0006283088,-0.0131979,0.02871618,0.9995004,3.622859,-0.0198767,-0.4175186,0.9084432,0.1363609,0.169626,0.121273,0.3684692,206.8556,0.1840327,344.4727,0,0,0,0,0,0,0,0.3480696,391.4686,0.1179094,25.99048
1,7,135,0.2589982,0.7025904,-0.662787,0.9999999,4.930215,False,0.002369169,-0.003180623,0.005531579,0.006806445,-0.00820167,-0.03003091,0.0170995,0.9993691,4.070764,-0.2309264,-0.8455511,0.4814539,0.1396939,0.1281278,0.1095237,0.2506494,185.3771,0.1177307,376.5433,0,0,0,0,0,0,0,0.2648165,464.2018,0.05953222,12.7514
1,8,135,-0.7389297,-0.321584,0.5920866,0.9999999,5.097279,False,-0.0006472655,-0.003946304,0.007855952,0.008815228,0.009078195,0.03167953,0.06437977,0.9973813,8.294836,0.1255231,0.4380289,0.890171,0.1688359,0.1126297,0.1060851,0.3514076,189.97,0.113603,283.9981,0,0,0,0,0,0,0,0.3279023,356.9777,0.08972724,20.7013
1,9,135,-0.5350543,-0.8106941,-0.2376806,1,9.416184,False,0.0008521415,-0.004731059,0.002329767,0.005341992,-0.06373376,-0.03775237,0.01148139,0.9971866,8.597939,-0.8502287,-0.5036287,0.1531655,0.2576122,0.263056,0.2445576,0.4128127,359.8601,0.2194926,542.0015,0,0,0,0,0,0,0,0.4407086,646.163,0.1169713,25.72157
1,10,135,-0.3245752,-0.3068546,0.8947017,1,7.096358,False,-0.004838336,-0.004318237,0.004735708,0.008030169,-0.03902041,-0.001617966,0.01753621,0.9990833,4.907034,-0.9115017,-0.03779506,0.4096391,0.1804865,0.1608967,0.1406377,0.4277334,250.2953,0.1768382,597.3484,0,0,0,0,0,0,0,0.3458832,590.5305,0.08382703,21.50411
1,11,135,-0.1436133,0.8949546,-0.4224116,1,11.51342,False,0.001158301,-0.006090403,0.005869716,0.008537461,-0.03539853,0.02016133,0.0466046,0.9980825,7.097675,-0.5718741,0.3257124,0.7529116,0.261561,0.2530608,0.2411056,0.5161979,358.2487,0.2127694,674.9543,0,0,0,0,0,0,0,0.5057145,769.9545,0.264957,66.31429
