Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Thumb Tip Euro Position X,Right Thumb Tip Euro Position Y,Right Thumb Tip Euro Position Z,Right Thumb Tip Euro Position Magnitude,Right Index Tip Euro Position X,Right Index Tip Euro Position Y,Right Index Tip Euro Position Z,Right Index Tip Euro Position Magnitude,Right Middle Tip Euro Position X,Right Middle Tip Euro Position Y,Right Middle Tip Euro Position Z,Right Middle Tip Euro Position Magnitude,Right Triangle Local Position X,Right Triangle Local Position Y,Right Triangle Local Position Z,Right Triangle Local Position Magnitude,Right Triangle Local Rotation X,Right Triangle Local Rotation Y,Right Triangle Local Rotation Z,Right Triangle Local Rotation W,Right Triangle Local Rotation Angle,Right Triangle Local Rotation Axis X,Right Triangle Local Rotation Axis Y,Right Triangle Local Rotation Axis Z,Right Triangle Area,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Right Angle Scale Factor,Right Is Grabbed,Right Is Rotating,Right Is Clutching,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Thumb Tip Euro Position X,Left Thumb Tip Euro Position Y,Left Thumb Tip Euro Position Z,Left Thumb Tip Euro Position Magnitude,Left Index Tip Euro Position X,Left Index Tip Euro Position Y,Left Index Tip Euro Position Z,Left Index Tip Euro Position Magnitude,Left Middle Tip Euro Position X,Left Middle Tip Euro Position Y,Left Middle Tip Euro Position Z,Left Middle Tip Euro Position Magnitude,Left Triangle Local Position X,Left Triangle Local Position Y,Left Triangle Local Position Z,Left Triangle Local Position Magnitude,Left Triangle Local Rotation X,Left Triangle Local Rotation Y,Left Triangle Local Rotation Z,Left Triangle Local Rotation W,Left Triangle Local Rotation Angle,Left Triangle Local Rotation Axis X,Left Triangle Local Rotation Axis Y,Left Triangle Local Rotation Axis Z,Left Triangle Area,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Left Angle Scale Factor,Left Is Grabbed,Left Is Rotating,Left Is Clutching,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773125676769,0.0141529,0.03500289,0.9312035,0.2270422,0.9591212,-0.1910954,-0.2324747,-0.607659,0.7349753,85.38975,-0.2818127,-0.3428356,-0.8961281,-0.05599521,1.008529,0.2818591,1.048671,-0.04183162,0.9996649,0.3223731,1.051192,-0.04447562,0.9800103,0.3168465,1.030917,-0.04706666,-0.07866687,0.1036388,0.1383645,-0.01278319,-0.06570903,0.1316821,0.1477202,9.76403E-05,-0.07235353,0.11556,0.136342,-0.05200593,-0.07719617,0.1027047,0.1386078,-0.01044481,-0.06185432,0.1414297,0.1547172,0.003120584,-0.07398628,0.1262562,0.1463705,-0.03405794,-0.07385031,0.1141062,0.1401215,-0.1772583,0.5219418,-0.2219305,0.8043029,72.91402,-0.2983045,0.8783653,-0.3734823,6.891689,-0.02613407,-0.06957109,0.1078245,0.1309552,0.2331395,0.2441232,0.6407835,0.6895263,92.81476,0.3219,0.3370654,0.8847415,1.3,True,True,False,-0.05062099,0.6287006,0.1574815,0.650098,-0.1085552,-0.2927626,-0.02604972,-0.9496459,323.4806,-0.346462,-0.9343733,-0.08313959,0.05965978,0.5703351,0.1990478,0.6070102,0.04552671,0.5382165,0.2459947,0.5935175,0.02576848,0.5272284,0.2487965,0.5835525,0.06502693,-0.04860114,0.1122004,0.1384901,0.02168316,-0.07084304,0.1500956,0.1673845,0.001540002,-0.08176523,0.1429931,0.1647269,0.06498225,-0.04869622,0.1121903,0.1384944,0.02167322,-0.07087885,0.1500378,0.1673466,0.001525764,-0.08178445,0.1429137,0.1646674,0.046035,-0.05854418,0.122703,0.1435363,-0.5358748,-0.1248737,0.8087003,-0.2079632,204.006,-0.5478527,-0.1276649,0.8267763,6.069633,0,0,0,0,0,0,0,0,0,1,0,0,0.3602718,False,True,False,-0.05000002,1,0.3,1.045227,0.01962807,-0.002674856,0.02972216,0.9993619,4.093776,0.5495411,-0.07488986,0.8321527,0.1,0,0,0.1,-0.5695141,-0.6098397,0.3942676,0.3851004,134.7001,-0.6171088,-0.6608044,0.4272168,-0.002403553,1.142429,0.01856429,1.142582,0.03227551,0.005629477,-0.01731371,-0.9993132,355.7527,0.870985,0.1519167,-0.4672266,False
1773125676781,0.0276508,0.03488771,0.9311297,0.2271387,0.9590681,-0.1978329,-0.2314621,-0.6072219,0.7338727,85.57592,-0.291236,-0.3407427,-0.8939105,-0.05527278,1.008462,0.2829702,1.048867,-0.04095303,0.9998842,0.3202003,1.050702,-0.04255439,0.9802623,0.3145012,1.030357,-0.04577625,-0.07884999,0.1038716,0.1382103,-0.01347153,-0.06605771,0.129145,0.145683,-0.000691218,-0.07146726,0.1126162,0.1333809,-0.05067558,-0.07754032,0.1029434,0.1384841,-0.01106642,-0.06273685,0.1387699,0.152694,0.002334876,-0.073472,0.1233146,0.1435621,-0.03305858,-0.07407043,0.113423,0.139442,-0.1759819,0.53864,-0.1952049,0.8004951,73.64519,-0.2936266,0.898723,-0.3257001,6.336896,-0.02518503,-0.06978013,0.1071757,0.1303464,0.260224,0.2518854,0.6551846,0.6630012,96.94168,0.3476056,0.3364669,0.8751916,1.299811,True,True,False,-0.0506612,0.6287167,0.1575296,0.6501283,-0.1087471,-0.2927701,-0.02590224,-0.9496256,323.4731,-0.3470061,-0.934214,-0.08265267,0.05961384,0.5703235,0.1990731,0.6070032,0.04549307,0.5381994,0.2460589,0.593526,0.02572191,0.5271951,0.2488505,0.5835434,0.06504188,-0.04857291,0.1122043,0.1384904,0.02168992,-0.07080124,0.1501517,0.167418,0.001541199,-0.08174928,0.1430415,0.164761,0.06499434,-0.0486712,0.1121932,0.1384935,0.02167661,-0.07086311,0.1500609,0.167361,0.001528895,-0.08177731,0.1429396,0.1646864,0.04604711,-0.05852276,0.1227115,0.1435387,-0.5358017,-0.1248358,0.8087094,-0.2081385,204.0266,-0.5477988,-0.127631,0.8268172,6.072531,0,0,0,0,0,0,0,0,0,1,0,0,0.3605457,False,True,False,-0.04913577,0.9998652,0.3002236,1.045121,0.03896417,-9.144863E-05,0.05951139,0.9974669,8.157999,0.547775,-0.001285624,0.8366367,0.09913577,0.0001348257,-0.000223577,0.09913611,-0.5572839,-0.6350571,0.3722413,0.3841531,134.8177,-0.6035984,-0.6878351,0.4031774,-0.002458523,1.142352,0.01853557,1.142505,0.03200594,0.005703277,-0.01745525,-0.999319,355.7708,0.8674081,0.1545672,-0.4730629,False
1773125676796,0.0416329,0.03476582,0.9310537,0.2272388,0.9590136,-0.204087,-0.230492,-0.606792,0.7328202,85.7533,-0.2999417,-0.3387484,-0.8917874,-0.05460024,1.008302,0.2841001,1.048984,-0.04011168,0.9999706,0.3180737,1.050105,-0.04065194,0.9804823,0.3123545,1.029837,-0.04444096,-0.07904006,0.1040959,0.1380518,-0.01411659,-0.06631186,0.1266363,0.1436429,-0.001412101,-0.07045469,0.1099277,0.1305755,-0.04930441,-0.07786103,0.1031859,0.1383496,-0.01171188,-0.06350911,0.1360532,0.1506023,0.001538792,-0.07283696,0.1203246,0.1406613,-0.03198653,-0.07421321,0.1127002,0.1386798,-0.1756298,0.5568985,-0.1668475,0.7944685,74.78983,-0.2891952,0.9169991,-0.2747342,5.816639,-0.02416697,-0.06991572,0.1064894,0.129662,0.2889938,0.262017,0.6683547,0.6333497,101.4046,0.3734418,0.3385819,0.8636571,1.299782,True,True,False,-0.05070325,0.6287357,0.15758,0.6501622,-0.1089588,-0.2927814,-0.02574082,-0.9496023,323.4646,-0.3476034,-0.9340392,-0.08211908,0.05956503,0.5703104,0.1990974,0.606994,0.04545916,0.5381823,0.2461267,0.5935361,0.02567301,0.5271598,0.2489069,0.5835333,0.06505745,-0.04854375,0.1122084,0.1384908,0.02169731,-0.07075458,0.1502139,0.167455,0.001541948,-0.08173152,0.1430945,0.1647982,0.06500751,-0.04864461,0.1121963,0.1384929,0.02168093,-0.07084047,0.1500928,0.1673806,0.001531618,-0.08176775,0.1429719,0.1647097,0.04605834,-0.05849995,0.1227237,0.1435434,-0.535718,-0.1247229,0.8087134,-0.2084058,204.0579,-0.5477451,-0.127523,0.8268695,6.077561,0,0,0,0,0,0,0,0,0,1,0,0,0.3626477,False,True,False,-0.04826912,0.999657,0.3004814,1.044956,0.06110773,0.002995495,0.08863401,0.9941835,12.36539,0.567394,0.02781359,0.8229793,0.09826912,0.0003430247,-0.0004813671,0.0982709,-0.5455041,-0.6604443,0.3485353,0.3804756,135.2737,-0.5898675,-0.7141553,0.3768801,-0.002506946,1.142252,0.0185025,1.142405,0.03184438,0.005727709,-0.01748189,-0.9993235,355.7849,0.8659154,0.1557484,-0.4753693,False
1773125676811,0.0555924,0.03467515,0.9308942,0.2272446,0.9588569,-0.2071994,-0.2294802,-0.6073023,0.731841,85.91808,-0.3040453,-0.3367402,-0.891158,-0.05416354,1.007712,0.2851512,1.048679,-0.03948169,1.000259,0.3175823,1.050207,-0.03987238,0.9808151,0.3120019,1.030016,-0.04307589,-0.07927218,0.1042777,0.1378893,-0.01435277,-0.06628253,0.1260302,0.1431188,-0.001616792,-0.0701571,0.1093953,0.1299691,-0.04793402,-0.07816223,0.1034155,0.1382092,-0.01227082,-0.0641074,0.1338037,0.148875,0.0008681242,-0.07227257,0.1178752,0.1382702,-0.03089151,-0.07430831,0.1121183,0.1380091,-0.1764961,0.572493,-0.1425155,0.7879025,76.02015,-0.2866127,0.9296734,-0.2314314,5.391573,-0.0231271,-0.07000604,0.1059368,0.1290671,0.3128679,0.2722271,0.6781887,0.606685,105.2996,0.3935729,0.3424487,0.853129,1.29843,True,True,False,-0.05067103,0.6288486,0.1575963,0.6502728,-0.109065,-0.2928429,-0.02571342,-0.9495719,323.4535,-0.34784,-0.9339612,-0.08200757,0.05961063,0.5704303,0.1990874,0.6071078,0.04551909,0.5382905,0.2461507,0.5936487,0.02572267,0.527251,0.2489173,0.5836224,0.06507145,-0.04851692,0.1122116,0.1384905,0.02169799,-0.070723,0.1502565,0.1674801,0.001540449,-0.08172239,0.143123,0.1648185,0.06502083,-0.048618,0.1121995,0.1384924,0.02168448,-0.070816,0.1501269,0.1674013,0.001533458,-0.0817583,0.1430034,0.1647324,0.04606852,-0.05847746,0.1227365,0.1435485,-0.5356475,-0.1245807,0.8087026,-0.2087144,204.094,-0.5477099,-0.1273862,0.8269139,6.083787,0,0,0,0,0,0,0,0,0,1,0,0,0.3632441,False,True,False,-0.04739255,0.9993069,0.300749,1.044658,0.0874615,0.007072689,0.1186087,0.9890564,16.96854,0.5928069,0.04793811,0.8039204,0.09739255,0.0006931424,-0.0007489622,0.0973979,-0.5333546,-0.6873873,0.3218373,0.3734332,136.145,-0.574948,-0.740993,0.3469357,-0.002526645,1.142154,0.01848027,1.142306,0.03155634,0.005665181,-0.01743783,-0.9993338,355.8169,0.8646433,0.1552259,-0.4777962,False
1773125676825,0.0692981,0.03458051,0.9307284,0.2272484,0.9586934,-0.210138,-0.2285566,-0.6077172,0.7309472,86.06828,-0.3079243,-0.3349138,-0.8905143,-0.05375485,1.007058,0.2861937,1.048314,-0.03885084,1.000317,0.3166722,1.049964,-0.03882919,0.9809771,0.311181,1.029882,-0.04168827,-0.07949266,0.1044477,0.1377182,-0.01468009,-0.06621396,0.1249668,0.1421847,-0.001948805,-0.06954558,0.1083838,0.1287922,-0.04657719,-0.07844196,0.1036295,0.1380639,-0.01277397,-0.06455501,0.1318439,0.1473545,0.0002773337,-0.07170548,0.1157718,0.1361795,-0.02980452,-0.07434631,0.1116057,0.1373737,-0.1788678,0.5863215,-0.1206492,0.7808183,77.32888,-0.2862993,0.9384775,-0.1931135,5.025508,-0.02209489,-0.07004211,0.10545,0.128506,0.3330959,0.2832545,0.6859193,0.5816604,108.8652,0.4094946,0.3482216,0.8432415,1.295385,True,True,False,-0.0506364,0.628969,0.1576128,0.6503905,-0.109176,-0.292913,-0.0256893,-0.9495382,323.4412,-0.3480805,-0.9338804,-0.08190395,0.05966004,0.5705582,0.1990748,0.6072288,0.04558457,0.5384071,0.2461746,0.5937694,0.0257767,0.5273491,0.2489262,0.5837172,0.06508584,-0.0484896,0.1122149,0.1384904,0.02169839,-0.07068932,0.1503016,0.1675063,0.001538347,-0.08171294,0.143152,0.1648389,0.06503418,-0.04859162,0.1122027,0.138492,0.02168734,-0.07078999,0.1501628,0.1674229,0.001534462,-0.08174898,0.1430339,0.1647542,0.04607765,-0.05845545,0.1227499,0.1435539,-0.5355893,-0.1244124,0.8086782,-0.209058,204.1343,-0.5476915,-0.1272236,0.8269511,6.091071,0,0,0,0,0,0,0,0,0,1,0,0,0.3639039,False,True,False,-0.04676442,0.9985515,0.3010578,1.043996,0.1129581,0.01051964,0.1432768,0.983159,21.06022,0.6180939,0.05756228,0.7839946,0.09676442,0.001448512,-0.001057833,0.09678105,-0.5238041,-0.7102081,0.2969849,0.364738,137.2171,-0.5625587,-0.7627541,0.3189578,-0.002541563,1.142095,0.01847707,1.142247,0.03135917,0.005596273,-0.01739247,-0.9993412,355.8402,0.8640488,0.1541958,-0.47922,False
1773125676838,0.08336329,0.03442668,0.9306535,0.2270719,0.9585732,-0.2123089,-0.2281925,-0.6077393,0.730415,86.1576,-0.310846,-0.3341015,-0.8898041,-0.05358359,1.007078,0.2862702,1.048346,-0.03863116,1.000658,0.3164127,1.050203,-0.03865219,0.981317,0.3110006,1.030145,-0.04134927,-0.07952945,0.1044861,0.1376664,-0.01475572,-0.06622261,0.1249028,0.1421403,-0.002021229,-0.06954351,0.1083468,0.1287611,-0.04541778,-0.07867511,0.1038107,0.1379464,-0.01319662,-0.06491623,0.1302729,0.1461482,-0.0002149445,-0.0712461,0.1140915,0.13451,-0.02887269,-0.07436047,0.1111807,0.1368366,-0.1815672,0.5979497,-0.102683,0.7739158,78.58632,-0.2867053,0.9441981,-0.1621425,4.736711,-0.02120996,-0.07005558,0.1050464,0.1280328,0.34929,0.2933541,0.6910676,0.5606833,111.7939,0.4218324,0.3542793,0.8345921,1.272806,True,True,False,-0.05059676,0.6290288,0.1576694,0.650459,-0.1093329,-0.2929237,-0.02556792,-0.9495201,323.4346,-0.3485201,-0.9337517,-0.08150275,0.0596929,0.5705908,0.1991083,0.6072736,0.0456251,0.5384405,0.2462512,0.5938346,0.02580374,0.5273683,0.2489866,0.5837615,0.06509738,-0.04847207,0.1122146,0.1384895,0.02169492,-0.07065253,0.1503507,0.1675344,0.001532353,-0.08170029,0.1431865,0.1648626,0.06504743,-0.04856655,0.1122052,0.1384915,0.02168893,-0.07076117,0.1502022,0.1674462,0.00153402,-0.08173878,0.1430659,0.1647769,0.04608564,-0.0584342,0.1227641,0.1435599,-0.5355329,-0.124192,0.8086481,-0.2094495,204.1802,-0.5476808,-0.1270091,0.8269913,6.099531,0,0,0,0,0,0,0,0,0,1,0,0,0.3646006,False,True,False,-0.04614118,0.997803,0.3014023,1.043352,0.1366138,0.01581143,0.1644945,0.9767437,24.76186,0.6371608,0.07374381,0.7671952,0.09614117,0.002197027,-0.001402259,0.0961765,-0.5144978,-0.7306636,0.2753818,0.3543835,138.4887,-0.5502061,-0.7813748,0.2944945,-0.002544149,1.14207,0.01847921,1.142223,0.0312857,0.005587413,-0.0173335,-0.9993446,355.8511,0.8642958,0.1543573,-0.4788536,False
1773125676853,0.09776329,0.03425655,0.9305741,0.2268719,0.9584427,-0.2145425,-0.227813,-0.6077461,0.729875,86.24818,-0.313851,-0.3332642,-0.8890626,-0.05341058,1.007038,0.2863805,1.048328,-0.0384129,1.000989,0.3160841,1.050411,-0.03846382,0.9816528,0.31077,1.030388,-0.04092091,-0.07957023,0.1045307,0.1375958,-0.01484656,-0.06622804,0.1247914,0.1420544,-0.002101785,-0.06952368,0.1082803,0.1286957,-0.04440249,-0.07887041,0.1039659,0.1378442,-0.01355513,-0.06520524,0.1290109,0.145187,-0.0006265881,-0.07087307,0.1127535,0.1331793,-0.02806075,-0.07435729,0.1108331,0.1363833,-0.1845549,0.607515,-0.08806014,0.7675354,79.73384,-0.2879141,0.9477515,-0.1373779,4.503051,-0.02043892,-0.07005252,0.1047163,0.1276347,0.3613782,0.3021078,0.6943513,0.5440707,114.0776,0.4307047,0.3600639,0.8275552,1.198015,True,True,False,-0.05055483,0.6290912,0.1577285,0.6505304,-0.1094992,-0.2929342,-0.02543761,-0.9495012,323.4276,-0.3489862,-0.9336146,-0.08107255,0.05972651,0.5706221,0.1991426,0.6073176,0.04566684,0.5384747,0.2463316,0.5939021,0.02583085,0.5273877,0.2490496,0.5838071,0.06510881,-0.04845551,0.1122139,0.1384885,0.02169065,-0.0706136,0.1504022,0.1675637,0.001525299,-0.08168675,0.1432222,0.1648868,0.06506053,-0.04854282,0.1122071,0.1384908,0.0216893,-0.07072965,0.1502449,0.1674713,0.001532158,-0.08172767,0.1430993,0.1648004,0.04609251,-0.05841373,0.1227789,0.1435665,-0.5354782,-0.1239216,0.8086127,-0.2098857,204.2313,-0.5476772,-0.1267447,0.8270341,6.109111,0,0,0,0,0,0,0,0,0,1,0,0,0.3652529,False,True,False,-0.04579964,0.9971541,0.3014614,1.042733,0.1566749,0.02076904,0.1814405,0.9706188,27.84654,0.6511241,0.0863139,0.7540473,0.09579964,0.002845943,-0.001461387,0.09585305,-0.5066263,-0.7471835,0.2574475,0.3446264,139.682,-0.5396877,-0.7959431,0.2742479,-0.002564789,1.142075,0.01846256,1.142227,0.0313141,0.005443684,-0.01722412,-0.9993464,355.8566,0.8662239,0.1505855,-0.4764608,False
1773125676867,0.1112253,0.0340921,0.9305601,0.2266325,0.9583667,-0.2159357,-0.2280857,-0.607892,0.7292572,86.35169,-0.3155848,-0.3333418,-0.8884197,-0.05342013,1.007117,0.2861788,1.04835,-0.03840355,1.001369,0.3156871,1.050653,-0.03849995,0.9820179,0.3104981,1.030655,-0.04067234,-0.07962526,0.1045417,0.1375623,-0.01492569,-0.06623221,0.1247899,0.1420634,-0.002134404,-0.06954332,0.1083426,0.1287593,-0.04360403,-0.07902644,0.1040836,0.1377675,-0.01383752,-0.06541953,0.1280902,0.1444933,-0.0009384834,-0.07059994,0.1117912,0.1322214,-0.02742827,-0.07435097,0.1105753,0.1360414,-0.1874043,0.614512,-0.07727751,0.762419,80.64416,-0.2896138,0.949664,-0.1194243,4.330004,-0.01983831,-0.07004654,0.1044715,0.1273356,0.3687552,0.3083233,0.6961896,0.5331759,115.5594,0.4358785,0.3644465,0.8229149,1.038596,True,True,False,-0.05051255,0.6290118,0.1577769,0.650462,-0.1095062,-0.2929308,-0.02541706,-0.9495019,323.4279,-0.3490112,-0.9336106,-0.08100766,0.05978059,0.5705582,0.1991789,0.6072748,0.04572144,0.5384097,0.2464184,0.5938834,0.02587179,0.5273073,0.2491174,0.5837652,0.06513095,-0.04843716,0.1122079,0.1384876,0.02168498,-0.070585,0.1504406,0.1675854,0.001517257,-0.08167949,0.14324,0.1648986,0.06507479,-0.04852142,0.1122072,0.1384901,0.02168842,-0.07070035,0.1502846,0.1674944,0.001529142,-0.08171792,0.1431278,0.1648203,0.04609987,-0.05839527,0.1227911,0.1435718,-0.5354428,-0.1236513,0.808569,-0.2103035,204.2803,-0.5476913,-0.1264798,0.8270653,6.118962,0,0,0,0,0,0,0,0,0,1,0,0,0.3651772,False,True,False,-0.04547378,0.9966449,0.3014932,1.042241,0.1724572,0.02589621,0.1936445,0.965448,30.21085,0.6617799,0.09937303,0.7430835,0.09547378,0.003355145,-0.001493156,0.09554438,-0.5003764,-0.7597905,0.2443323,0.3356243,140.779,-0.5311875,-0.8065752,0.2593772,-0.002589636,1.142095,0.01842601,1.142246,0.03139899,0.005325523,-0.01734591,-0.9993422,355.8436,0.8658515,0.1468554,-0.4783268,False
1773125676880,0.1250522,0.03390015,0.9305499,0.2263464,0.9582823,-0.2174052,-0.2283509,-0.608032,0.7286206,86.45824,-0.317418,-0.3333991,-0.8877448,-0.05344683,1.007188,0.2859489,1.048356,-0.03840768,1.001764,0.3152276,1.050893,-0.0385447,0.982402,0.3101744,1.030926,-0.04039179,-0.07968482,0.1045528,0.1375226,-0.01501245,-0.0662348,0.1247763,0.1420618,-0.002170937,-0.06955474,0.1084015,0.1288156,-0.04290277,-0.0791653,0.1041815,0.137701,-0.01408473,-0.065593,0.1273542,0.1439441,-0.00119874,-0.07038069,0.111038,0.1314699,-0.02688103,-0.07434391,0.1103702,0.1357615,-0.1903249,0.619966,-0.06860667,0.7580975,81.40647,-0.2918462,0.9506621,-0.1052022,4.186742,-0.01931864,-0.07003985,0.1042767,0.1270922,0.3731613,0.3127531,0.6973249,0.5259984,116.5291,0.4387626,0.3677347,0.8199138,0.8342412,True,True,False,-0.05046833,0.6289253,0.1578266,0.6503871,-0.1095002,-0.2929255,-0.02540349,-0.9495047,323.4289,-0.3490014,-0.9336183,-0.08096655,0.05983812,0.5704904,0.1992167,0.6072291,0.04577853,0.5383415,0.2465097,0.5938638,0.02591441,0.5272233,0.2491883,0.5837215,0.0651546,-0.04841934,0.1122008,0.1384867,0.02167843,-0.07055635,0.1504791,0.167607,0.001508223,-0.08167261,0.1432562,0.1649091,0.0650913,-0.0485003,0.1122059,0.1384894,0.02168636,-0.07067056,0.1503248,0.1675177,0.001524817,-0.08170855,0.1431543,0.1648386,0.04610829,-0.05837708,0.1228022,0.1435766,-0.535422,-0.1233579,0.8085138,-0.2107403,204.3315,-0.5477228,-0.1261919,0.8270886,6.129893,0,0,0,0,0,0,0,0,0,1,0,0,0.3650643,False,True,False,-0.04535187,0.9963228,0.3013204,1.041878,0.182422,0.02940599,0.2011176,0.961982,31.69919,0.6679359,0.1076697,0.7363896,0.09535187,0.003677249,-0.001320422,0.09543189,-0.4963358,-0.7676024,0.2362137,0.3296064,141.5102,-0.5257136,-0.8130361,0.2501951,-0.002602248,1.142069,0.0183732,1.142219,0.03145744,0.00518936,-0.01742849,-0.9993397,355.8355,0.8657773,0.1428225,-0.4796701,False
1773125676894,0.1389394,0.03368726,0.9305446,0.2260225,0.9581932,-0.219065,-0.2286309,-0.6081778,0.7279136,86.57646,-0.3194909,-0.3334422,-0.8869848,-0.05346975,1.007195,0.2857593,1.048312,-0.03840269,1.002203,0.3147059,1.051154,-0.03857893,0.9828332,0.3098018,1.031226,-0.03997041,-0.07976513,0.1045726,0.137461,-0.01510459,-0.06623569,0.1247507,0.1420495,-0.002211963,-0.06955823,0.1084569,0.1288648,-0.04226138,-0.07929213,0.1042633,0.1376376,-0.01429996,-0.06572999,0.1267757,0.1435166,-0.00141329,-0.07020763,0.1104644,0.130895,-0.0263905,-0.07433751,0.1102174,0.1355374,-0.1933464,0.623958,-0.06175518,0.7546389,82.01234,-0.2946723,0.9509521,-0.09411886,4.065996,-0.01885281,-0.07003375,0.1041316,0.1268997,0.3756031,0.3159434,0.6981245,0.5212719,117.1648,0.4401303,0.3702214,0.8180597,0.6827418,True,True,False,-0.0504223,0.6288324,0.1578776,0.650306,-0.1094817,-0.2929183,-0.02539666,-0.9495091,323.4305,-0.3489575,-0.9336358,-0.08094827,0.05989893,0.5704189,0.199256,0.6071808,0.04583796,0.5382706,0.246605,0.5938437,0.02595859,0.5271361,0.2492622,0.5836762,0.06517977,-0.04840199,0.1121926,0.1384858,0.0216711,-0.07052755,0.1505175,0.1676284,0.001498224,-0.08166607,0.1432707,0.1649184,0.06510967,-0.04847989,0.1122031,0.1384887,0.02168319,-0.07064087,0.1503648,0.1675407,0.001519299,-0.08169974,0.1431785,0.1648552,0.04611757,-0.05835952,0.1228118,0.1435806,-0.5354152,-0.1230481,0.8084493,-0.211186,204.3837,-0.5477697,-0.1258874,0.8271039,6.141641,0,0,0,0,0,0,0,0,0,1,0,0,0.3649711,False,True,False,-0.04526325,0.9961105,0.3010952,1.041606,0.1884673,0.0324742,0.205479,0.9597937,32.60474,0.6714036,0.1156874,0.7320069,0.09526326,0.003889501,-0.001095176,0.09534892,-0.4935426,-0.7725511,0.231862,0.3253007,142.0324,-0.52193,-0.8169866,0.2451981,-0.002622285,1.142055,0.01831083,1.142205,0.03139516,0.004894482,-0.01760975,-0.9993399,355.8362,0.8642195,0.1347311,-0.4847463,False
