Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773137498126,0,1,1,135,0.7542135,-0.4627513,0.4658575,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.6968025,-0.4275265,0.4303963,0.3826833,135,0.7542136,-0.4627514,0.4658576
Trial Start,1773137501853,0,1,1,135,0.7542135,-0.4627513,0.4658575,1,-1,-0.04879821,0.9998986,0.2989129,1.044762,-0.001890364,0.001893007,-0.003158463,0.9999915,0.4731251,-0.4578491,0.4584893,-0.7649847,0.09879822,0.0001013875,0.001087099,0.09880425,0.6969844,-0.4296345,0.4310904,0.3791942,135.4325,0.7532383,-0.4643105,0.4658839
On Target,1773137515685,13.83822,1,1,135,0.7542135,-0.4627513,0.4658575,1,-1,0.05171616,1.011466,0.2843605,1.05195,0.6601034,-0.4707266,0.4565218,0.3664258,137.0093,0.7094474,-0.5059144,0.4906477,-0.001716163,-0.01146638,0.01563954,0.0194684,-0.004707977,0.05748202,0.0287968,0.9979202,7.392151,-0.07303292,0.891695,0.446713
Trial End,1773137516672,14.82447,1,2,135,0.7542135,-0.4627513,0.4658575,1,-1,0.05415446,1.001165,0.2981978,1.046034,0.6685066,-0.4801366,0.4314111,0.3693945,136.6434,0.7193869,-0.5166801,0.4642461,-0.004154455,-0.001165032,0.001802176,0.004675963,-0.02064061,0.03869995,0.04264831,0.998127,7.014765,-0.3373912,0.632589,0.6971289
Trial Load,1773137516672,14.82447,1,2,135,-0.861953,0.04420485,-0.5050576,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.7963407,0.04083996,-0.4666124,0.3826833,135,-0.861953,0.04420486,-0.5050576
Trial Start,1773137519521,0,1,2,135,-0.861953,0.04420485,-0.5050576,1,-1,-0.0500217,1.000511,0.2999427,1.045701,-0.002522946,-0.0003903324,0.0002310518,0.9999968,0.2907399,-0.9943883,-0.1538448,0.09106625,0.1000217,-0.000510931,5.730987E-05,0.100023,-0.7951999,0.03962797,-0.4671132,0.3845675,134.7662,-0.8614478,0.04292937,-0.5060282
On Target,1773137537156,17.6531,1,2,135,-0.861953,0.04420485,-0.5050576,1,-1,0.05109379,0.9987402,0.2944317,1.042489,-0.7686356,0.1111159,-0.463957,0.4261415,129.5541,-0.8496435,0.1228267,-0.5128543,-0.001093786,0.001259804,0.005568326,0.005812893,-0.07810988,-0.01430561,0.03580084,0.9961991,9.994327,-0.8967164,-0.1642311,0.4110005
Trial End,1773137538143,18.63942,1,3,135,-0.861953,0.04420485,-0.5050576,1,-1,0.04818724,0.9981624,0.2946488,1.041858,-0.7717885,0.09521811,-0.4571534,0.4316095,128.8605,-0.855584,0.1055562,-0.506788,0.00181276,0.001837611,0.005351245,0.005941274,-0.07411745,-0.01488765,0.01785689,0.9969786,8.910275,-0.9541559,-0.1916572,0.2298819
Trial Load,1773137538143,18.63942,1,3,135,0.7566718,-0.6293935,-0.1769511,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.6990736,-0.5814838,-0.1634815,0.3826834,135,0.7566718,-0.6293935,-0.1769511
Trial Start,1773137539619,0,1,3,135,0.7566718,-0.6293935,-0.1769511,1,-1,-0.04976631,0.9998274,0.3024672,1.045762,0.001823154,0.01177537,0.003086461,0.9999242,1.410533,0.1481138,0.9566358,0.2507454,0.09976631,0.0001725554,-0.002467155,0.09979696,0.6981927,-0.5834903,-0.1739422,0.3765772,135.7563,0.7536742,-0.6298571,-0.1877644
