Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.7542135,-0.4627513,0.4658575,1,14.82447,False,-0.004154455,-0.001165032,0.001802176,0.004675963,-0.02064061,0.03869995,0.04264831,0.998127,7.014765,-0.3373912,0.632589,0.6971289,0.7383453,0.6847938,0.5668586,1.827919,1091.698,0,0,0.1813235,0.3986994,0.3637272,0.7583056,227.105,0,0,1.415946,686.6525,1.1689,330.8146
1,3,135,-0.861953,0.04420485,-0.5050576,1,18.63942,False,0.00181276,0.001837611,0.005351245,0.005941274,-0.07411745,-0.01488765,0.01785689,0.9969786,8.910275,-0.9541559,-0.1916572,0.2298819,0.9738402,1.194376,0.3235738,2.505462,1465.537,0,0,0.218204,0.5119042,0.2611628,2.028584,380.9799,0,0,1.377567,842.0974,0.8112512,248.5371
1,4,135,0.7566718,-0.6293935,-0.1769511,1,7.763328,False,0.0003765859,-0.005505562,0.004120886,0.006887288,0.07762772,0.02460645,0.01182726,0.9966086,9.440152,0.9433696,0.2990295,0.1437306,0.4602084,0.5019036,0.2979766,0.9714074,818.7151,0,0,0.05768553,0.1283455,0.05113903,0.2524568,72.69003,0,0,0.9251873,635.7324,0.1827803,71.18372
1,5,135,0.3853977,0.5360048,0.7511108,1,9.209816,False,0.002475172,0.000109911,0.006409436,0.00687164,-0.02131687,-0.07496103,-0.02200601,-0.9967157,350.7102,-0.2632363,-0.9256732,-0.2717461,0.5730509,0.717923,0.2524877,1.103352,1045.256,0,0,0.08665501,0.1616137,0.04381227,0.3570544,118.4139,0,0,0.94772,702.5302,0.2028631,86.01485
1,6,135,0.8962519,0.4368663,-0.07668364,1,12.48471,False,0.002769131,-0.0004615784,-0.001184106,0.003046843,0.05739859,0.02384529,-0.01089579,0.9980071,7.235808,0.9096131,0.3778836,-0.1726689,0.7493845,1.019356,0.4818055,1.693972,1104.539,0,0,0.08473174,0.351412,0.2020832,0.369251,128.1083,0,0,1.124359,722.553,0.2410362,82.78532
1,7,135,0.9898454,-0.1397939,-0.02576363,1,13.9302,False,0.002271134,-0.001281023,0.0006412268,0.00268519,0.05382163,-0.05393778,-0.03327181,0.9965375,9.538663,0.6473265,-0.6487234,-0.4001686,0.6209317,0.6982825,0.7078724,1.292377,739.8841,0,0,0.07622805,0.1527629,0.04504038,0.306049,79.4436,0,0,0.9197772,488.8078,0.1514948,44.78537
1,8,135,-0.1987341,0.5027974,0.8412488,0.9999999,13.44308,False,0.003616337,-0.003302932,0.01012152,0.01124422,-0.01476285,0.07019044,0.04538329,-0.9963914,350.262,-0.17393,0.8269557,0.5346878,0.6754581,0.9292715,0.3332359,1.654295,1252.636,0,0,0.1348949,0.2886144,0.2411231,0.4724552,176.0096,0,0,1.317666,790.5346,0.6626094,200.3582
1,9,135,-0.1493184,0.528826,-0.8354921,1,30.01362,True,8.809939E-05,0.0009907484,0.003186822,0.003338439,0.08855768,-0.04446051,-0.01614187,-0.9949474,348.4759,0.8820722,-0.4428456,-0.1607799,0.1519195,0.3353289,0.3746205,0.7112582,137.6914,0,0,1.045654,1.235014,0.9530461,2.770645,1570.349,0,0,1.691253,971.9471,0.724207,258.9693
1,10,135,-0.8304073,0.4921,0.2612688,1,16.51379,False,0.002904799,0.001422286,0.005641818,0.006503143,-0.03025616,0.03128482,0.02992758,0.9986042,6.055264,-0.5728447,0.5923206,0.5666236,0.3202104,0.3668526,0.2173628,1.065236,461.365,0,0,0.9859492,1.03613,0.9504203,2.202857,1374.098,0,0,1.319384,810.4317,0.7244692,221.2439
1,11,135,0.7049144,-0.6273119,-0.3310219,1,8.763644,False,-0.001308482,-0.001018524,0.006400943,0.00661223,-0.001185176,0.01618035,0.02830604,0.9994677,3.739185,-0.03632775,0.4959565,0.8676306,0.4052187,0.5013811,0.3317054,0.7492889,620.7183,0,0,0.05650989,0.0604676,0.06394001,0.2850265,50.13834,0,0,0.5851727,395.1425,0.1166805,42.59017
