Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773137823472,0.013781,0.133934,0.6081442,0.04421345,0.6242856,-0.3033614,0.2189915,0.2379302,-0.896328,307.359,-0.684184,0.4939008,0.5366141,0.01694493,0.541046,0.09334007,0.5492998,0.03987736,0.5275712,0.07464725,0.5343162,0.06576818,0.5337362,0.06406529,0.5415757,-0.04117409,-0.04779058,0.122852,0.1381009,-0.02093604,-0.0620768,0.1037545,0.1227063,-0.007080352,-0.05719106,0.08044051,0.09895264,0,0,0,0,0,0,0,0,0,1,0,0,-0.01345547,0.8711798,0.23494,0.9024035,0.6865401,0.09110522,-0.4165452,-0.5889421,252.164,0.849494,0.1127295,-0.5154145,-0.01927001,1.002768,0.2858356,1.042889,-0.05915799,0.9981185,0.2965132,1.04291,-0.03725773,0.9383305,0.266294,0.9760967,0.05164361,-0.07794853,0.09856775,0.1358626,0.01969265,-0.07171106,0.1217769,0.1426881,0.01119134,-0.03703012,0.06412771,0.07489219,0,0,0,0,0,0,0,0,0,1,0,0,-0.04412456,1.00935,0.2873929,1.050394,0,0,0,1,0,1,0,0,0.09412456,-0.009349585,0.01260716,0.09542425,0.1031224,-0.9010494,-0.1761512,0.3826834,135,0.1116189,-0.9752888,-0.1906647,-0.03961569,1.128236,-0.08747157,1.132315,0.06623885,0.07393526,-0.1815625,-0.9783564,336.1153,0.3201071,0.3573009,-0.8774223,False
1773137823486,0.0277098,0.1339741,0.6080808,0.04453822,0.6242555,-0.3036464,0.2189578,0.2378565,-0.8962592,307.3413,-0.6846122,0.4936701,0.5362798,0.01701358,0.5409207,0.09364454,0.5492304,0.0399655,0.5274819,0.07487983,0.5342672,0.06585403,0.5336931,0.06433225,0.5415752,-0.04114762,-0.04776901,0.1228679,0.1380997,-0.0209266,-0.06208018,0.1037077,0.1226669,-0.007084593,-0.0571551,0.0803993,0.09889866,0,0,0,0,0,0,0,0,0,1,0,0,-0.01332654,0.8711706,0.2352878,0.9024834,0.6921604,0.08852656,-0.4144349,-0.5842267,251.4967,0.8528444,0.1090779,-0.5106453,-0.01963048,1.003091,0.284669,1.042887,-0.05709045,0.9977763,0.2959474,1.042306,-0.03695795,0.9386792,0.265848,0.976299,0.05078856,-0.07801003,0.09868927,0.1356636,0.0194863,-0.07300337,0.1196184,0.1414842,0.01101572,-0.03730915,0.06393059,0.07483608,0,0,0,0,0,0,0,0,0,1,0,0,-0.04384018,1.010199,0.285516,1.050687,0.007429078,0.002700889,0.001561232,-0.9999676,359.0772,0.9225299,0.3353916,0.193871,0.09384018,-0.01019895,0.01448399,0.09549756,-0.1050311,0.9014562,0.1685755,-0.3846136,225.2395,-0.1137836,0.9765767,0.1826233,-0.04048056,1.128069,-0.08743171,1.132176,0.06700014,0.07575315,-0.1852822,-0.9774677,335.6281,0.317408,0.3588747,-0.8777603,False
1773137823500,0.0416683,0.1340513,0.6079302,0.044544,0.6241258,-0.3033445,0.2190488,0.2380592,-0.8962854,307.3481,-0.684013,0.4939342,0.5368009,0.01708756,0.5408211,0.09371279,0.5491462,0.04001608,0.5273812,0.07489799,0.5341741,0.06592091,0.5336198,0.06435187,0.5415134,-0.04110332,-0.04777725,0.1228797,0.1380998,-0.0209172,-0.0621121,0.1036802,0.1226581,-0.007087729,-0.05714669,0.08034999,0.09885394,0,0,0,0,0,0,0,0,0,1,0,0,-0.01320512,0.8708402,0.2358969,0.9023216,0.6907626,0.08803911,-0.4161378,-0.584744,251.5698,0.851513,0.1085271,-0.512979,-0.02000857,1.00231,0.2859004,1.04248,-0.05668785,0.9974347,0.2976567,1.042444,-0.03657611,0.9382028,0.2670286,0.9761488,0.05006228,-0.07803106,0.09880714,0.1354914,0.01934977,-0.07370487,0.1196258,0.1418349,0.01093927,-0.03766953,0.06375627,0.07485668,0,0,0,0,0,0,0,0,0,1,0,0,-0.04366573,1.009751,0.2864808,1.050512,0.006609181,0.000615279,0.0009811929,-0.9999775,359.2318,0.9858752,0.09177965,0.1463621,0.09366573,-0.009751081,0.0135192,0.09513739,-0.1048736,0.9020591,0.1697531,-0.3827205,225.0046,-0.1135163,0.976398,0.1837425,-0.04147664,1.127833,-0.0874349,1.131977,0.06714755,0.07674967,-0.1885457,-0.9767555,335.2444,0.3132518,0.358047,-0.8795894,False
1773137823514,0.0557102,0.1340956,0.6079143,0.04449351,0.6241162,-0.3030761,0.219153,0.2381971,-0.8963141,307.3555,-0.6834973,0.4942339,0.5371821,0.01714142,0.5408143,0.09369642,0.5491384,0.04002646,0.5273861,0.07486135,0.5341746,0.06595667,0.5336676,0.06430659,0.5415595,-0.04104298,-0.04781184,0.122886,0.1380995,-0.02090768,-0.06215293,0.103675,0.1226728,-0.007093349,-0.05714408,0.08030476,0.09881607,0,0,0,0,0,0,0,0,0,1,0,0,-0.01283852,0.8708739,0.2359572,0.9023647,0.6912068,0.08849086,-0.4161271,-0.5841583,251.4871,0.8516177,0.1090273,-0.5126992,-0.02050849,1.001942,0.2862813,1.04224,-0.05566905,0.9968774,0.2982159,1.042015,-0.03621319,0.9378576,0.2668163,0.9757455,0.04917959,-0.07804789,0.09895258,0.1352838,0.01921234,-0.07438719,0.1186656,0.1413651,0.01085737,-0.03743503,0.0634165,0.07443733,0,0,0,0,0,0,0,0,0,1,0,0,-0.04349229,1.009802,0.286378,1.050525,0.007083694,0.001127089,0.0004737319,-0.9999742,359.1767,0.9859635,0.156877,0.06593768,0.09349228,-0.009801626,0.01362199,0.09498651,-0.1056022,0.9018915,0.1694663,-0.3830421,225.0445,-0.1143214,0.9763574,0.1834586,-0.04228066,1.127626,-0.08737779,1.131796,0.06699525,0.07803444,-0.191041,-0.9761791,334.9382,0.308782,0.3596618,-0.8805106,False
1773137823528,0.0696729,0.1341417,0.6079028,0.04443057,0.6241105,-0.3027672,0.2192658,0.2383586,-0.896348,307.3642,-0.682906,0.4945646,0.5376293,0.01719394,0.5408149,0.0936669,0.5491356,0.04002604,0.5273905,0.0748207,0.5341732,0.06598898,0.533723,0.06425087,0.5416114,-0.04098012,-0.04785658,0.1228902,0.1381001,-0.02089712,-0.0622042,0.10368,0.1227013,-0.007099474,-0.05714618,0.08025791,0.09877966,0,0,0,0,0,0,0,0,0,1,0,0,-0.01236528,0.870909,0.2360671,0.9024206,0.6920164,0.08909408,-0.4159465,-0.5832359,251.3569,0.8519192,0.1096809,-0.5120584,-0.02108908,1.001518,0.2867308,1.041968,-0.0543399,0.9960904,0.2987689,1.041351,-0.03578528,0.9374731,0.2665701,0.9752928,0.04811466,-0.07810045,0.09911381,0.1350491,0.01905886,-0.07514467,0.1173331,0.1406308,0.01074706,-0.03716773,0.0630384,0.07396472,0,0,0,0,0,0,0,0,0,1,0,0,-0.04328247,1.009883,0.2861983,1.050546,-0.007926127,-0.002027755,0.0001446109,0.9999666,0.9371094,-0.9692248,-0.2479585,0.01768335,0.09328248,-0.009883165,0.01380166,0.09481446,0.1066397,-0.9016246,-0.1688497,0.3836549,134.8795,0.1154763,-0.9763373,-0.1828413,-0.04306464,1.12729,-0.08738196,1.131492,0.06712483,0.07904825,-0.1925112,-0.9757997,334.7386,0.3069742,0.3615022,-0.8803889,False
1773137823541,0.0835071,0.1341322,0.6077004,0.0446042,0.6239237,-0.3029284,0.2189227,0.2385776,-0.8963192,307.3568,-0.6831796,0.4937258,0.5380526,0.01726438,0.5404965,0.09386387,0.5488579,0.03964949,0.5266539,0.07514694,0.5334637,0.06598715,0.5335145,0.06439613,0.541423,-0.04088559,-0.04792009,0.1228939,0.1380973,-0.02086587,-0.06258395,0.1041924,0.1233215,-0.007101815,-0.05716694,0.08023566,0.09877376,0,0,0,0,0,0,0,0,0,1,0,0,-0.01239415,0.8707235,0.2364243,0.9023356,0.69172,0.0894236,-0.4158099,-0.5836344,251.4131,0.8518546,0.1101254,-0.5120707,-0.02158764,1.000979,0.2874929,1.041671,-0.0546015,0.9961343,0.2994806,1.041611,-0.03578254,0.9370815,0.2668785,0.9750006,0.04755077,-0.07807028,0.09921142,0.1349035,0.01900831,-0.07534201,0.1176942,0.1410307,0.01072819,-0.03702881,0.06288926,0.07376507,0,0,0,0,0,0,0,0,0,1,0,0,-0.04332665,1.009637,0.2867137,1.050452,-0.007328223,-0.002155601,0.0001513983,0.9999709,0.8749096,-0.9598187,-0.2823311,0.01982949,0.09332666,-0.009637117,0.01328626,0.09475898,0.1064399,-0.9014735,-0.1693786,0.3838322,134.8575,0.1152692,-0.9762515,-0.1834287,-0.043868,1.127331,-0.08722672,1.131552,0.06687417,0.08023702,-0.1935064,-0.9755231,334.594,0.3041157,0.3648843,-0.8799859,False
1773137823556,0.0971816,0.134385,0.6077362,0.04443043,0.6240005,-0.3014583,0.2197697,0.2408049,-0.8960118,307.2774,-0.678914,0.4949432,0.5423164,0.0172383,0.5411824,0.0938832,0.5495358,0.03956296,0.5272641,0.07500983,0.5340403,0.06588423,0.5339758,0.064347,0.5418593,-0.0408046,-0.04793326,0.1229057,0.1380885,-0.02085291,-0.06264663,0.1040404,0.1232228,-0.007104618,-0.05716686,0.08018121,0.09872969,0,0,0,0,0,0,0,0,0,1,0,0,-0.01243043,0.8705475,0.2362673,0.9021251,0.6916021,0.08965049,-0.4156421,-0.5838588,251.4448,0.8518786,0.1104267,-0.5119658,-0.02203747,1.000555,0.2876994,1.041329,-0.05460956,0.9959019,0.2995703,1.041415,-0.03569175,0.9364871,0.2663536,0.9742824,0.04705166,-0.07810583,0.09932979,0.1348362,0.0189457,-0.07550406,0.117658,0.1410787,0.01075969,-0.03661693,0.06250893,0.0732389,0,0,0,0,0,0,0,0,0,1,0,0,-0.04337443,1.009429,0.2866383,1.050233,-0.006994892,-0.002335124,0.0001256087,0.9999728,0.8448723,-0.948732,-0.3167178,0.01703657,0.09337443,-0.009428978,0.01336169,0.0947957,0.106321,-0.9013505,-0.1696509,0.3840336,134.8325,0.1151508,-0.9762069,-0.1837403,-0.04486711,1.127278,-0.08707792,1.131526,0.06698696,0.08084629,-0.1941174,-0.9753436,334.5006,0.3035317,0.3663312,-0.8795859,False
1773137823570,0.1112311,0.1344151,0.607613,0.04446858,0.6238898,-0.3010781,0.2196274,0.2411496,-0.8960819,307.2955,-0.6782737,0.4947802,0.5432657,0.01739961,0.5409865,0.09405418,0.5493772,0.03924011,0.5267278,0.07521281,0.5335156,0.06588911,0.5339045,0.06442853,0.5417992,-0.04059698,-0.04799852,0.1229194,0.1380621,-0.02081412,-0.06303389,0.1044533,0.1237619,-0.007104367,-0.05719136,0.08014958,0.09871818,0,0,0,0,0,0,0,0,0,1,0,0,-0.01248915,0.8702952,0.2362804,0.9018859,0.6915947,0.08993275,-0.4156555,-0.5838145,251.4386,0.8518361,0.11077,-0.5119622,-0.02268627,0.9999629,0.2882369,1.040923,-0.05412009,0.9950624,0.2999232,1.040688,-0.03575585,0.9360972,0.2662447,0.9738802,0.04631533,-0.07825968,0.09945071,0.1347595,0.01885244,-0.07583929,0.1168658,0.1405867,0.0107659,-0.03648568,0.06239793,0.07307949,0,0,0,0,0,0,0,0,0,1,0,0,-0.0435106,1.009154,0.2866666,1.049982,-0.00690463,-0.002493105,0.0003464065,0.999973,0.8420885,-0.9395854,-0.339263,0.04713917,0.09351061,-0.009153843,0.01333338,0.09489892,0.1065132,-0.9012515,-0.1698005,0.3841465,134.8185,0.1153649,-0.9761493,-0.1839116,-0.04564791,1.127185,-0.08693506,1.131454,0.06702434,0.08206474,-0.1947526,-0.9751126,334.381,0.3023059,0.3701439,-0.87841,False
1773137823586,0.1281957,0.1345685,0.6074151,0.04449718,0.6237321,-0.3006864,0.2203625,0.2420141,-0.8957998,307.2227,-0.6765242,0.4958007,0.5445154,0.017455,0.540953,0.09403157,0.5493422,0.03902355,0.5264545,0.07514787,0.5332208,0.06587867,0.533878,0.06438422,0.5417666,-0.04045708,-0.04805942,0.1229266,0.1380486,-0.020783,-0.06333037,0.1046213,0.1240495,-0.00710546,-0.05722046,0.08009599,0.09869162,0,0,0,0,0,0,0,0,0,1,0,0,-0.01264282,0.8691135,0.2368009,0.9008844,0.6919802,0.09004682,-0.4156563,-0.5833395,251.3715,0.8519526,0.1108639,-0.511748,-0.02373496,0.998293,0.289594,1.03972,-0.05307832,0.9927537,0.3007601,1.038669,-0.03595469,0.9349073,0.2666501,0.9728549,0.04506688,-0.07865084,0.09962412,0.134692,0.01874735,-0.07633978,0.1152078,0.1394706,0.0107679,-0.03644822,0.06237599,0.07304235,0,0,0,0,0,0,0,0,0,1,0,0,-0.04375861,1.008008,0.2870297,1.04899,-0.007410357,-0.002763602,0.0005879928,0.9999686,0.9082682,-0.9349293,-0.3486705,0.07418423,0.09375861,-0.008008003,0.01297027,0.09498965,0.1069716,-0.9012082,-0.1694086,0.3842938,134.8002,0.1158691,-0.9761671,-0.1834993,-0.0464706,1.126991,-0.08680668,1.131284,0.06706786,0.08312745,-0.195595,-0.974851,334.2461,0.3009446,0.3730066,-0.8776669,False
1773137823597,0.1392414,0.1346798,0.6073532,0.04454724,0.6236995,-0.3003079,0.2204203,0.2443459,-0.8952793,307.0887,-0.674084,0.4947648,0.5484694,0.01766325,0.5410044,0.09423853,0.5494348,0.03866103,0.5265945,0.07529513,0.5333533,0.06570642,0.534156,0.0644237,0.5420244,-0.03996886,-0.0481951,0.1229496,0.1379742,-0.02075866,-0.06350277,0.104805,0.1242884,-0.00711222,-0.05721971,0.08003073,0.09863872,0,0,0,0,0,0,0,0,0,1,0,0,-0.01266776,0.8688119,0.2370731,0.9006655,0.6923947,0.0908251,-0.4154811,-0.5828516,251.3027,0.8520957,0.1117739,-0.5113118,-0.02447087,0.9976633,0.2901797,1.039295,-0.05328489,0.9923659,0.3009509,1.038365,-0.03613081,0.9345468,0.2668091,0.9725586,0.04439978,-0.07872254,0.09970345,0.134571,0.01873027,-0.07637925,0.115116,0.1394142,0.01074639,-0.03638862,0.06235951,0.07299538,0,0,0,0,0,0,0,0,0,1,0,0,-0.0440301,1.007693,0.2871859,1.048742,-0.007649,-0.003559183,0.001184562,0.9999638,0.9755753,-0.8984581,-0.4180647,0.1391397,0.0940301,-0.007692814,0.0128141,0.0952105,0.1077401,-0.9008799,-0.1693389,0.3848791,134.7275,0.1167324,-0.9760693,-0.1834724,-0.04718717,1.126682,-0.08682183,1.131007,0.06636427,0.08400071,-0.1960072,-0.9747415,334.1899,0.2971496,0.3761177,-0.8776328,False
