Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773138290538,0,1,1,135,0.9538391,-0.2469448,-0.1709074,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.8812324,-0.2281473,-0.1578978,0.3826833,135,0.9538391,-0.2469448,-0.1709074
Grab,1773138294118,2.775628,1,1,135,0.9538391,-0.2469448,-0.1709074,1,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.8812324,-0.2281473,-0.1578978,0.3826833,135,0.9538391,-0.2469448,-0.1709074
Trial Start,1773138294140,0,1,1,135,0.9538391,-0.2469448,-0.1709074,1,-1,-0.04999999,1,0.3,1.045227,0.02255509,0.007792232,0.003550662,0.999709,2.764503,0.9350027,0.3230205,0.1471898,0.09999999,0,0,0.09999999,0.8719243,-0.2243725,-0.1712233,0.4001098,132.8299,0.9513969,-0.2448232,-0.1868297
On Target,1773138297965,3.848398,1,1,135,0.9538391,-0.2469448,-0.1709074,1,-1,0.04706764,0.9937102,0.3031913,1.04,0.8562773,-0.2072345,-0.1325499,0.4541734,125.9765,0.9611231,-0.2326091,-0.1487798,0.002932359,0.00628984,-0.003191292,0.0076384,0.07503021,-0.005916156,-0.03372389,0.9965933,9.46146,0.9097556,-0.07173452,-0.4089086
Off Target,1773138298243,4.126387,1,1,135,0.9538391,-0.2469448,-0.1709074,1,-1,0.04546249,1.008152,0.3008992,1.053081,0.8986931,-0.1456178,-0.2048512,0.3594191,137.871,0.9630477,-0.1560453,-0.2195204,0.004537512,-0.008152485,-0.0008991957,0.009373398,-0.05092662,-0.06489479,-0.05506962,0.9950691,11.38439,-0.5134549,-0.6542854,-0.5552257
Release,1773138299119,4.988355,1,1,135,0.9538391,-0.2469448,-0.1709074,1,1,0.0555549,1.024834,0.2981618,1.068771,0.6628759,0.1458196,-0.4485549,0.5814901,108.8892,0.8147908,0.1792379,-0.5513527,-0.005554896,-0.02483356,0.001838207,0.02551356,0.1333952,-0.4790826,-0.1998958,0.8442318,64.82056,0.2488817,-0.8938471,-0.3729551
Grab,1773138299952,5.821745,1,1,135,0.9538391,-0.2469448,-0.1709074,1,1,0.0555549,1.024834,0.2981618,1.068771,0.6628759,0.1458196,-0.4485549,0.5814901,108.8892,0.8147908,0.1792379,-0.5513527,-0.005554896,-0.02483356,0.001838207,0.02551356,0.1333952,-0.4790826,-0.1998958,0.8442318,64.82056,0.2488817,-0.8938471,-0.3729551
Clutch Start,1773138300979,6.849256,1,1,135,0.9538391,-0.2469448,-0.1709074,1,1,0.05058967,1.02028,0.2953486,1.063372,0.7910622,-0.3489741,-0.3968121,0.3081847,144.1003,0.8315359,-0.366829,-0.4171145,-0.000589665,-0.02027953,0.004651368,0.02081447,-0.06657334,-0.1615416,0.2302403,0.95732,33.59976,-0.2303338,-0.5589099,0.7965973
On Target,1773138301674,7.557799,1,1,135,0.9538391,-0.2469448,-0.1709074,1,-1,0.03502642,1.005568,0.288892,1.046829,0.8573131,-0.2850614,-0.2103659,0.3734977,136.137,0.9241961,-0.3073004,-0.2267775,0.01497358,-0.005567551,0.01110801,0.01945748,-0.001924938,-0.02613756,0.07714079,0.9966758,9.346308,-0.02362708,-0.3208178,0.9468418
Off Target,1773138301882,7.765969,1,1,135,0.9538391,-0.2469448,-0.1709074,1,-1,0.03827513,0.994993,0.297455,1.039209,0.891157,-0.1845917,-0.226884,0.3468269,139.4133,0.9501324,-0.1968077,-0.2418988,0.01172487,0.005007029,0.002544969,0.01300076,-0.05801218,-0.06771319,-0.008585334,0.9959798,10.27861,-0.6476189,-0.7559161,-0.09584236
On Target,1773138302382,8.265811,1,1,135,0.9538391,-0.2469448,-0.1709074,1,-1,0.05026936,0.9997667,0.2924974,1.042888,0.8936726,-0.1840094,-0.2198811,0.3451698,139.6157,0.9521942,-0.1960591,-0.2342799,-0.0002693608,0.0002332926,0.007502586,0.007511043,-0.05892936,-0.06098961,-0.01209068,0.996324,9.828526,-0.687906,-0.7119561,-0.1411394
Trial End,1773138303369,9.252175,1,2,135,0.9538391,-0.2469448,-0.1709074,1,-1,0.0491001,1.003352,0.2964405,1.047379,0.8698929,-0.2353862,-0.1835487,0.3926698,133.7585,0.9458653,-0.2559438,-0.199579,0.000899896,-0.003352404,0.0035595,0.004971766,0.008430691,-0.02390301,0.01720562,0.9995307,3.510931,0.2752109,-0.7802881,0.5616589
Trial Load,1773138303370,9.252175,1,2,135,0.4751453,-0.3296566,-0.8158207,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.4389771,-0.304563,-0.7537201,0.3826834,135,0.4751454,-0.3296566,-0.8158208
Grab,1773138304576,10.4465,1,2,135,0.4751453,-0.3296566,-0.8158207,1,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.4389771,-0.304563,-0.7537201,0.3826834,135,0.4751454,-0.3296566,-0.8158208
Trial Start,1773138304590,0,1,2,135,0.4751453,-0.3296566,-0.8158207,1,-1,-0.05,1,0.3,1.045227,-0.0160747,-0.001615798,-0.01017621,0.9998177,2.187928,-0.8419853,-0.08463477,-0.5330254,0.1,0,0,0.1,0.4431671,-0.3204721,-0.7440834,0.3837194,134.8715,0.4799039,-0.347038,-0.8057649
Release,1773138307883,3.292603,1,2,135,0.4751453,-0.3296566,-0.8158207,1,1,0.03690051,1.032193,0.2817453,1.07059,-0.1124573,-0.08748465,-0.8920383,0.4289142,129.2027,-0.1244898,-0.0968452,-0.9874834,0.0130995,-0.03219271,0.01825476,0.03925816,0.02557611,-0.5734982,0.09074109,0.813764,71.06933,0.04400605,-0.9867562,0.1561284
Grab,1773138308577,3.987032,1,2,135,0.4751453,-0.3296566,-0.8158207,1,1,0.03690051,1.032193,0.2817453,1.07059,-0.1124573,-0.08748465,-0.8920383,0.4289142,129.2027,-0.1244898,-0.0968452,-0.9874834,0.0130995,-0.03219271,0.01825476,0.03925816,0.02557611,-0.5734982,0.09074109,0.813764,71.06933,0.04400605,-0.9867562,0.1561284
Clutch Start,1773138309244,4.65355,1,2,135,0.4751453,-0.3296566,-0.8158207,1,1,0.04275985,1.0015,0.2940226,1.044644,0.4133295,-0.2377836,-0.7549835,0.4501305,126.4959,0.4628743,-0.2662862,-0.8454815,0.00724015,-0.001500487,0.005977422,0.009507934,-0.01129516,-0.06598292,-0.07185604,0.9951661,11.2718,-0.1150144,-0.6718796,-0.7316834
On Target,1773138309286,4.709566,1,2,135,0.4751453,-0.3296566,-0.8158207,1,-1,0.04308042,1.000517,0.2975594,1.044717,0.425271,-0.2467853,-0.7478503,0.446051,127.0188,0.4751591,-0.2757354,-0.8355799,0.006919578,-0.0005174875,0.002440572,0.007355592,-0.008698506,-0.04916383,-0.07119646,0.996212,9.977219,-0.1000316,-0.5653771,-0.8187492
Trial End,1773138310271,5.695587,1,3,135,0.4751453,-0.3296566,-0.8158207,1,-1,0.04870845,1.006618,0.2968969,1.050619,0.387376,-0.2951629,-0.7621083,0.4266259,129.4928,0.4283103,-0.3263531,-0.8426409,0.001291554,-0.006617904,0.003103137,0.007422548,0.0293969,-0.05955552,-0.01832097,0.9976239,7.901137,0.4266871,-0.8644302,-0.2659233
Trial Load,1773138310273,5.695587,1,3,135,-0.1046391,0.1189445,0.9873717,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.09667397,0.1098903,0.9122126,0.3826835,135,-0.1046392,0.1189445,0.9873717
Grab,1773138311189,6.59821,1,3,135,-0.1046391,0.1189445,0.9873717,1,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.09667397,0.1098903,0.9122126,0.3826835,135,-0.1046392,0.1189445,0.9873717
Trial Start,1773138311203,0,1,3,135,-0.1046391,0.1189445,0.9873717,1,-1,-0.04999998,1,0.3,1.045227,-0.03810496,0.01480449,-0.03927878,0.9983918,6.499724,-0.6721566,0.2611455,-0.6928624,0.09999998,0,0,0.09999998,-0.06411516,0.1426052,0.9230207,0.3515481,138.836,-0.06848667,0.1523284,0.9859542
Clutch Start,1773138313480,2.277886,1,3,135,-0.1046391,0.1189445,0.9873717,1,1,0.02412527,0.9845489,0.2424928,1.014259,0.3291422,0.8895161,0.2724612,-0.161838,198.6272,0.3335392,0.9013988,0.2761009,0.02587473,0.01545107,0.0575072,0.06492546,0.6711751,-0.6847751,-0.1297344,0.2525395,150.7443,0.6936588,-0.7077145,-0.1340804
Clutch End,1773138313563,2.36106,1,3,135,-0.1046391,0.1189445,0.9873717,1,1,0.02891734,0.9780175,0.2421677,1.007968,0.3912418,0.8853367,0.2346161,0.08980121,169.6956,0.3928289,0.8889282,0.2355678,0.02108266,0.02198249,0.05783235,0.06536274,0.62343,-0.7085123,0.1207168,0.3078522,144.1403,0.6552528,-0.7446781,0.1268788
Release,1773138313563,2.36106,1,3,135,-0.1046391,0.1189445,0.9873717,1,1,0.02891734,0.9780175,0.2421677,1.007968,0.3912418,0.8853367,0.2346161,0.08980121,169.6956,0.3928289,0.8889282,0.2355678,0.02108266,0.02198249,0.05783235,0.06536274,0.62343,-0.7085123,0.1207168,0.3078522,144.1403,0.6552528,-0.7446781,0.1268788
Grab,1773138314147,2.944286,1,3,135,-0.1046391,0.1189445,0.9873717,1,1,0.02891734,0.9780175,0.2421677,1.007968,0.3912418,0.8853367,0.2346161,0.08980121,169.6956,0.3928289,0.8889282,0.2355678,0.02108266,0.02198249,0.05783235,0.06536274,0.62343,-0.7085123,0.1207168,0.3078522,144.1403,0.6552528,-0.7446781,0.1268788
Clutch Start,1773138318258,7.055151,1,3,135,-0.1046391,0.1189445,0.9873717,1,1,0.02937546,1.019098,0.2133715,1.04161,0.2392598,0.2884125,0.9074164,0.1901801,158.0734,0.2437076,0.2937741,0.9242854,0.02062454,-0.01909769,0.08662853,0.09107467,0.05343093,-0.395451,-0.1195942,0.909099,49.23774,0.1282609,-0.9492795,-0.2870857
Clutch End,1773138318787,7.583318,1,3,135,-0.1046391,0.1189445,0.9873717,1,1,0.01823385,1.02405,0.1997687,1.043512,0.2624737,0.2875071,0.9077212,0.1564913,161.9934,0.2657479,0.2910935,0.9190444,0.03176615,-0.02404988,0.1002313,0.1078601,0.04694476,-0.4200121,-0.1479788,0.8941412,53.20337,0.1048376,-0.9379763,-0.3304681
Release,1773138318787,7.583318,1,3,135,-0.1046391,0.1189445,0.9873717,1,1,0.01823385,1.02405,0.1997687,1.043512,0.2624737,0.2875071,0.9077212,0.1564913,161.9934,0.2657479,0.2910935,0.9190444,0.03176615,-0.02404988,0.1002313,0.1078601,0.04694476,-0.4200121,-0.1479788,0.8941412,53.20337,0.1048376,-0.9379763,-0.3304681
Grab,1773138319272,8.069167,1,3,135,-0.1046391,0.1189445,0.9873717,1,1,0.01823385,1.02405,0.1997687,1.043512,0.2624737,0.2875071,0.9077212,0.1564913,161.9934,0.2657479,0.2910935,0.9190444,0.03176615,-0.02404988,0.1002313,0.1078601,0.04694476,-0.4200121,-0.1479788,0.8941412,53.20337,0.1048376,-0.9379763,-0.3304681
