Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.9538391,-0.2469448,-0.1709074,1,9.252175,False,0.000899896,-0.003352404,0.0035595,0.004971766,0.008430691,-0.02390301,0.01720562,0.9995307,3.510931,0.2752109,-0.7802881,0.5616589,0,0,0,0,0,0,0,0.2053156,0.2178389,0.4136469,0.7715471,550.9256,0.2819594,740.4694,0.8190289,1012.809,0.2005718,61.126
1,3,135,0.4751453,-0.3296566,-0.8158207,1,5.695587,False,0.001291554,-0.006617904,0.003103137,0.007422548,0.0293969,-0.05955552,-0.01832097,0.9976239,7.901137,0.4266871,-0.8644302,-0.2659233,0,0,0,0,0,0,0,0.1955802,0.1691196,0.2219426,0.4094748,332.8424,0.2042412,527.7446,0.4566973,643.8072,0.08529527,28.64735
1,4,135,-0.1046391,0.1189445,0.9873717,1,11.22184,False,0.005088352,-0.001431465,0.009921908,0.01124209,-0.03438689,-0.0254924,0.0003487959,0.9990835,4.906874,-0.8032904,-0.5955119,0.008148002,0,0,0,0,0,0,0,0.3960744,0.3317875,0.4202395,0.6169711,547.2529,0.3038916,1136.28,0.8527989,1322.24,0.149337,47.08332
1,5,135,-0.9384447,-0.3447351,0.02189386,1,8.124593,False,0.007488944,0.0002667904,0.002576232,0.007924167,-0.01101309,0.02876106,0.0368868,-0.9988449,354.4914,-0.2291866,0.5985286,0.7676286,0,0,0,0,0,0,0,0.3113066,0.2676597,0.2559604,0.4854397,519.3649,0.2655191,473.9774,0.6121222,739.3422,0.08283653,27.90059
1,6,135,0.3114867,0.9484689,0.05816185,1,9.360258,False,0.001377501,-0.003702521,0.006629616,0.007717382,-0.006238927,-0.0221687,0.0548934,0.9982267,6.825544,-0.1048052,-0.3724031,0.9221321,0,0,0,0,0,0,0,0.2571606,0.233547,0.323151,0.464106,325.5992,0.3007805,668.2025,0.5615335,741.7373,0.1032792,34.59586
1,7,135,0.3571379,0.8432879,0.401644,0.9999999,5.763532,False,0.004389979,-0.002377272,-0.003097117,0.005874987,-0.03955806,0.07006419,0.001523351,0.9967567,9.231589,-0.491564,0.8706452,0.01892975,0,0,0,0,0,0,0,0.1078369,0.09960753,0.1288711,0.2795835,221.9925,0.1127372,196.1285,0.3221277,327.1376,0.05656071,17.39493
1,8,135,0.5207138,-0.4728062,-0.7108526,1,26.44416,False,0.003463946,-0.004990697,0.01345149,0.01475969,0.0263649,0.06284226,0.01496431,-0.997563,351.9983,0.3778761,0.9006895,0.2144767,0,0,0,0,0,0,0,0.618291,0.5844013,0.7976168,1.229218,813.0239,0.8651158,1649.786,1.439986,1799.798,0.8562791,226.7084
1,9,135,0.5032761,0.2434864,-0.8291125,1,20.01352,False,0.002793133,-0.001443863,0.00664103,0.007347763,0.01354157,0.03898302,-0.006927706,-0.9991241,355.2035,0.3236125,0.9316048,-0.1655563,0,0,0,0,0,0,0,0.6049991,0.4799735,0.6497644,0.917832,723.6933,0.6865866,1464.612,1.242717,1652.489,0.5157773,154.5106
1,10,135,0.176578,0.773567,-0.6086168,1,30.01348,True,0.002146825,0.0008784533,0.0004044175,0.00235459,0.04277892,-0.1360488,-0.08847212,0.9858162,19.32319,0.2548963,-0.810641,-0.5271573,0,0,0,0,0,0,0,0.9051668,0.5221331,0.6398363,0.8370404,553.4861,0.691728,1620.398,1.140892,1701.324,0.1910423,43.42022
1,11,135,-0.5960339,0.3240567,-0.7346637,1,8.831256,False,3.788993E-05,-0.003749371,0.0003855824,0.003769335,-0.008688096,0.0173803,0.002464813,0.9998083,2.244787,-0.4435502,0.8873098,0.1258352,0,0,0,0,0,0,0,0.3412053,0.2303738,0.1826292,0.2394968,208.7548,0.1991973,591.8793,0.4274952,712.9904,0.08156434,22.61456
2,2,135,0.3572391,0.05744869,-0.9322445,1,16.97169,False,0.002503481,-0.004659176,0.01068205,0.01191979,0.0113171,0.04434374,0.01222892,0.9988775,5.430103,0.2389139,0.9361352,0.2581632,0,0,0,0,0,0,0,0.4673426,0.3769212,0.4558935,0.5740756,464.5169,0.3996159,1321.773,0.730417,1304.597,0.1948286,78.16729
2,3,135,-0.8033599,-0.0723009,-0.5910883,1,10.5704,False,0.00301294,0.002727807,-0.001984775,0.00452306,-0.05587158,-0.06395995,0.01664287,-0.9962482,350.0707,-0.6456039,-0.7390662,0.1923107,0,0,0,0,0,0,0,0.2645778,0.2290901,0.2663563,0.3712197,199.6793,0.3004351,396.3455,0.499014,461.3866,0.6106063,162.9155
2,4,135,-0.5802937,-0.03671866,-0.8135791,1,16.31601,False,-8.875877E-05,0.003086448,-0.01044726,0.01089401,-0.06903818,0.01532159,0.02582624,-0.997162,351.3647,-0.917012,0.2035118,0.3430416,0,0,0,0,0,0,0,0.4246796,0.3579755,0.4925737,0.3698679,353.717,0.4154037,1387.223,0.672964,1382.787,0.3536648,108.0071
2,5,135,0.9378228,0.02950669,-0.345858,0.9999999,8.721693,False,-0.0006709658,0.001688361,-0.002245188,0.002888188,0.06547862,-0.04344491,-0.01340916,0.9968176,9.144522,0.8213955,-0.544994,-0.168211,0,0,0,0,0,0,0,0.2039016,0.2064361,0.1836522,0.2861514,204.9532,0.2475189,407.907,0.434542,443.0868,0.09175356,27.89834
2,6,135,0.455361,0.7225757,-0.5201256,1,12.23723,False,0.002171524,0.0006734729,0.003014773,0.003775969,-0.007122557,-0.02281252,-0.0153907,0.999596,3.257895,-0.2505613,-0.8025117,-0.5414225,0,0,0,0,0,0,0,0.3478473,0.3305066,0.3401544,0.590591,415.2941,0.263507,515.4788,0.8219742,754.5054,0.4386638,123.3761
2,7,135,0.867829,-0.4922482,-0.06756246,1,24.29062,False,0.002899587,0.005066633,-0.01293352,0.01418994,-0.01058534,0.07395024,0.02978895,-0.9967608,350.7742,-0.13162,0.9195104,0.3704011,0,0,0,0,0,0,0,0.6341165,0.6245813,0.6854922,0.6413999,627.6505,0.6084508,1807.629,1.082479,1884.82,0.223243,66.97659
2,8,135,-0.8734855,-0.03016949,-0.4859146,1,7.888986,False,0.004598543,-0.003960967,-0.0004259646,0.006084185,0.03593413,0.01075286,-0.02550888,-0.9989707,354.8005,0.7922172,0.2370616,-0.5623783,0,0,0,0,0,0,0,0.1359473,0.1333691,0.2239009,0.2863877,264.2437,0.2118122,499.4702,0.4047108,568.6991,0.08916505,32.63027
2,9,135,0.3608999,0.8549838,-0.372497,1,13.12468,False,0.005990319,0.0001012087,-0.001552999,0.006189182,-0.05693987,-0.02333256,-0.00314607,0.9981001,7.065049,-0.9241244,-0.3786835,-0.05106019,0,0,0,0,0,0,0,0.2870095,0.2549303,0.314113,0.5001394,375.4955,0.3750314,1007.818,0.6146931,1079.173,0.1673077,49.99996
2,10,135,-0.4139219,-0.2980933,0.8601215,1,11.04126,False,0.003317799,0.0004764795,0.005583763,0.006512545,0.002265789,-0.03932782,-0.002865177,0.9992198,4.52695,0.05736904,-0.9957674,-0.07254535,0,0,0,0,0,0,0,0.2238649,0.2398568,0.2254089,0.3889713,219.4789,0.2541844,740.8533,0.4690416,695.9892,0.1126775,39.22934
2,11,135,0.5105112,0.01714357,-0.8597002,1,16.83103,False,0.0003186427,-0.005035162,-0.00216037,0.005488314,-0.007861058,-0.04612792,-0.0146939,0.9987966,5.622509,-0.1602788,-0.9405004,-0.2995934,0,0,0,0,0,0,0,0.3286268,0.313032,0.3968002,0.5629413,333.2529,0.2988748,831.7994,0.7816962,958.3332,0.1301295,39.1731
3,2,135,0.4712913,-0.7096324,-0.5237427,1,11.20918,False,-0.0009009503,-0.005098343,0.01024812,0.01148168,-0.0103842,-0.02807677,-0.02904039,0.99913,4.780474,-0.2489905,-0.6732199,-0.6963254,0,0,0,0,0,0,0,0.3304983,0.3864924,0.4208802,0.4928186,424.8434,0.4202449,1061.271,0.6887237,1127.608,0.365493,120.6648
3,3,135,0.8566549,-0.5151401,-0.02780545,1,5.986926,False,0.001580853,-0.004971504,0.01340553,0.01438483,0.007726287,-0.0428421,-0.02282442,0.9987913,5.63489,0.1571867,-0.8715967,-0.4643491,0,0,0,0,0,0,0,0.1882153,0.1749463,0.1931507,0.2729683,177.6914,0.1721653,412.9435,0.3106915,421.0674,0.1056495,32.31712
3,4,135,0.1648825,-0.1528677,0.9743948,1,8.694585,False,0.005552322,0.002695262,-0.002840668,0.006794271,0.0421666,0.01866608,0.02308065,0.9986696,5.911704,0.8177163,0.3619822,0.4475917,0,0,0,0,0,0,0,0.1662683,0.222991,0.2528667,0.5488253,278.6783,0.2976907,424.8999,0.5569736,556.2473,0.386864,89.65582
3,5,135,-0.07815868,-0.9932876,0.08526981,1,9.764226,False,0.00775395,-0.006608725,-0.00412643,0.01099211,0.04269952,0.02030685,-0.003333005,0.998876,5.433562,0.9008502,0.4284225,-0.07031785,0,0,0,0,0,0,0,0.2082204,0.23255,0.2451469,0.5845732,306.3669,0.2179321,365.3846,0.5397211,465.5541,0.1872725,70.04596
