Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773139024269,0,1,1,135,0.8768742,-0.4280198,0.2188395,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,0.8101262,-0.3954387,0.2021814,0.3826833,135,0.8768743,-0.4280198,0.2188395
Trial Start,1773139027594,0,1,1,135,0.8768742,-0.4280198,0.2188395,1,-0.050205,1.000211,0.3004992,1.045582,0.0003772201,-0.01170955,0.005072657,0.9999185,1.462834,0.02954987,-0.9172778,0.397371,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.100205,-0.0002106428,-0.0004991889,0.1002065,0.8095543,-0.3868922,0.2095607,0.3886138,134.2635,0.8786125,-0.4198957,0.2274371
Grab,1773139028066,0.4771588,1,1,135,0.8768742,-0.4280198,0.2188395,1,-0.04519577,0.9999457,0.2900974,1.042157,0.5286831,-0.05709155,-0.1730835,0.8290217,68.00326,0.9453998,-0.102092,-0.3095107,0.09616587,-0.08027519,0.01369794,0.1260143,0.5389278,0.702212,-0.4514615,-0.1124179,192.9094,0.5423658,0.7066917,-0.4543416,0.05551546,-0.4051841,-0.1636151,0.4404838,0.188104,-0.08867192,-0.9429986,-0.2598223,210.119,0.194794,-0.09182554,-0.9765365,0.09519577,5.429983E-05,0.009902656,0.09570946,0.3893072,-0.5530886,0.07103848,0.7331348,85.70033,0.5724403,-0.8132658,0.1044555
Release,1773139028915,1.324994,1,1,135,0.8768742,-0.4280198,0.2188395,1,-0.005087426,1.006302,0.2619753,1.039856,0.6649153,-0.4840354,-0.1639206,0.544727,113.988,0.7928746,-0.5771853,-0.1954662,0.1073782,-0.09222188,-0.001141249,0.1415495,0.4365566,0.7299266,-0.5258549,0.0101113,178.8413,0.4365789,0.7299639,-0.5258817,0.01855207,-0.3898165,-0.1997787,0.4384205,-0.3266021,-0.3695928,-0.8511701,-0.1795599,200.6882,-0.331998,-0.375699,-0.8652327,0.05508742,-0.006301761,0.03802475,0.06723257,0.02416213,-0.2974038,0.3020598,0.9053879,50.24887,0.05690757,-0.7004566,0.7114227
Grab,1773139030527,2.938006,1,1,135,0.8768742,-0.4280198,0.2188395,1,-0.0148555,0.9997858,0.2463578,1.029798,0.5383966,-0.3707328,-0.2466213,0.7154469,88.64034,0.7706053,-0.5306287,-0.3529882,0.117617,-0.06834458,0.004829025,0.1361178,0.4493519,0.3698557,-0.8121011,0.04220843,175.1618,0.4497527,0.3701856,-0.8128254,0.04967996,-0.3607727,-0.2038957,0.4173709,-0.1737072,-0.1500326,-0.9443815,-0.2354988,207.2421,-0.1787341,-0.1543744,-0.9717112,0.0648555,0.0002141595,0.05364226,0.08416516,0.201088,-0.4496903,0.3264653,0.8066987,72.45074,0.3402717,-0.7609448,0.5524294
Release,1773139030736,3.145792,1,1,135,0.8768742,-0.4280198,0.2188395,1,0.006798056,1.006877,0.2428277,1.035767,0.7744076,-0.6029049,0.1587751,0.1076518,167.6401,0.7789343,-0.6064291,0.1597032,0.1011842,-0.1029105,0.03570779,0.1486737,0.3732063,-0.1176979,-0.9160888,-0.08743963,190.0327,0.3746413,-0.1181505,-0.9196112,0.03970967,-0.362267,-0.2209621,0.4261906,-0.4210204,-0.6894883,-0.5789411,0.1103407,167.3301,-0.423607,-0.6937243,-0.582498,0.04320195,-0.006876826,0.05717236,0.07198873,-0.2682517,0.1602091,0.1432029,0.9390778,40.20549,-0.7804714,0.4661243,0.4166452
Grab,1773139034860,7.269173,1,1,135,0.8768742,-0.4280198,0.2188395,1,0.0219578,1.019165,0.2317007,1.045402,0.7744407,-0.5349297,-0.01033601,0.3376168,140.5365,0.8227496,-0.5682981,-0.01098076,0.1224816,-0.07757111,0.01144583,0.1454305,0.2577224,0.09044869,-0.9583141,0.0838593,170.3791,0.2586334,0.09076841,-0.9617015,0.04842839,-0.3737172,-0.2207238,0.4367251,-0.3467903,-0.6078019,-0.7137303,-0.03004315,183.4432,-0.346947,-0.6080763,-0.7140526,0.0280422,-0.01916492,0.06829929,0.07627878,-0.1350934,-0.09374903,0.199332,0.9660372,29.9507,-0.5228003,-0.362801,0.7713981
On Target,1773139036251,8.674191,1,1,135,0.8768742,-0.4280198,0.2188395,1,0.04817389,0.9961814,0.3028823,1.042322,0.7831948,-0.4375746,0.1415777,0.4184377,130.528,0.8623163,-0.4817801,0.1558805,0.1309384,-0.08542167,0.01584881,0.1571398,0.3007673,0.03717672,-0.9456604,0.1178279,166.4665,0.3028772,0.03743751,-0.9522941,-0.01894522,-0.3969368,-0.1808965,0.4366249,-0.1935073,-0.6240035,-0.7544487,0.06310241,172.7642,-0.1938937,-0.6252496,-0.7559552,0.001826108,0.003818572,-0.002882302,0.00512092,0.006787616,-0.04166555,0.07520597,0.9962741,9.895036,0.07870322,-0.4831171,0.8720223
Off Target,1773139036279,8.700447,1,1,135,0.8768742,-0.4280198,0.2188395,1,0.04833812,0.995378,0.3037533,1.041816,0.7816596,-0.4282608,0.1406742,0.4310588,128.9305,0.8662741,-0.47462,0.1559022,0.1305662,-0.08582536,0.01548339,0.1570136,0.3065367,0.04605653,-0.9442862,0.1106246,167.2974,0.3084298,0.04634095,-0.9501176,-0.02000199,-0.3971787,-0.1797122,0.4364029,-0.1799494,-0.6200038,-0.7614037,0.05897225,173.2384,-0.1802631,-0.6210848,-0.7627313,0.001661886,0.004622042,-0.003753275,0.006181602,0.01912562,-0.05064218,0.0711652,0.9959946,10.25976,0.2139001,-0.5663799,0.7959084
On Target,1773139036307,8.729831,1,1,135,0.8768742,-0.4280198,0.2188395,1,0.04822284,0.9941873,0.304693,1.040947,0.7774958,-0.4247383,0.1525475,0.4379806,128.0498,0.8648601,-0.4724646,0.1696887,0.12975,-0.08681238,0.01537599,0.1568689,0.3175699,0.05477685,-0.9400134,0.11191,167.1491,0.3195773,0.05512311,-0.9459555,-0.02064446,-0.3970726,-0.1770421,0.4352434,-0.1640374,-0.6112152,-0.771637,0.06390733,172.6718,-0.1643734,-0.6124672,-0.7732176,0.001777161,0.005812705,-0.004692942,0.007679163,0.03173385,-0.04426665,0.0668138,0.9962778,9.890124,0.3681393,-0.5135303,0.7750962
