Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,135,0.8768742,-0.4280198,0.2188395,1,18.91107,False,0.002232801,0.002775133,-0.0008913577,0.003671686,0.01151103,-0.03048149,0.0116697,0.999401,3.966545,0.3326144,-0.8807709,0.337199,0.4335206,0.3034088,0.3283894,0,0,0,0.6769049,324.698,0,0,0.4262474,772.2681,0.3505429,655.7195,0,0,0.06860466,19.22019,8.743958,0
1,2,135,-0.8557606,0.5158484,0.03967631,1,12.52934,False,-4.600361E-05,-0.007423878,0.01373333,0.01561155,-0.02188912,0.01932012,0.05885857,0.9978393,7.534248,-0.33316,0.2940589,0.8958481,0.2852747,0.343411,0.3180756,0,0,0,0.5399601,303.8273,0,0,0.3421783,567.3159,0.2910287,516.5202,0,0,0.04837336,14.43042,5.360821,0
1,3,135,-0.667052,0.6483529,-0.3669881,1,7.115515,False,-0.00184622,-0.0001567602,-0.0005253553,0.001925903,-0.0108968,-0.04762513,-0.008287774,-0.9987715,354.3195,-0.2199059,-0.9611117,-0.1672537,0.2156413,0.2076165,0.1938025,0,0,0,0.5925646,245.3467,0,0,0.3693409,450.8397,0.1892041,382.1475,0,0,0.03400992,12.61038,4.092643,0
1,4,135,-0.2341223,-0.8908192,-0.3893944,1,7.0751,False,-0.002038985,-0.0007580519,-0.001500607,0.002642712,0.03044075,0.03473906,0.03241705,0.9984066,6.469776,0.5394499,0.6156216,0.5744726,0.2991681,0.2848799,0.2629456,0,0,0,0.52109,297.4465,0,0,0.5077175,579.2761,0.2866237,504.1454,0,0,0.05730663,20.99003,5.595349,0
1,5,135,0.4735176,-0.8592167,-0.1937205,1,10.58589,False,0.001819883,0.002968311,0.004487932,0.005680174,-0.003615022,0.03879164,0.001848151,0.9992391,4.470392,-0.09268951,0.9946213,0.04738677,0.2613284,0.2502639,0.2684155,0,0,0,0.4797374,332.6856,0,0,0.3414199,561.5608,0.2218728,426.053,0,0,0.04570569,17.68187,4.538528,0
1,6,135,-0.312983,0.9470733,-0.07137144,1,10.67136,False,0.003315806,0.003844082,-0.00861448,0.009999041,-0.008084092,-0.05920092,0.004343639,-0.9982039,353.131,-0.1349428,-0.9882047,0.07250571,0.3576261,0.3311716,0.3831531,0,0,0,0.5039049,339.3743,0,0,0.4160098,685.8422,0.3466236,536.9092,0,0,0.07111122,26.23989,5.611576,0
1,7,135,0.062997,0.2751767,-0.9593275,1,21.5449,False,0.003401835,-0.0006989241,-0.003225058,0.004739407,0.002770393,0.01567689,0.008624052,-0.9998361,357.9256,0.1530379,0.8659994,0.4763969,0.05763537,0.04817094,0.06315683,0.168216,0.1404051,0.1650658,0.1894767,69.64365,0.3665738,147.9841,0.4924019,604.7015,0.05723729,90.57743,0.1575247,268.0664,0.215522,53.10926,0.6104432,5.022861
1,8,135,0.3197919,-0.7364079,-0.596185,1,10.66825,False,-0.002612229,0.001430213,0.004351348,0.005272901,-0.001317666,0.0593229,0.02297297,0.9979737,7.296278,-0.02070859,0.9323252,0.3610458,0,0,0,0.1899678,0.2026882,0.2957819,0,0,0.3717313,222.8251,0.3407243,518.4597,0,0,0.1846443,371.9601,0.06825362,24.3776,0,3.221587
1,9,135,0.1501091,0.4185867,-0.8956854,1,16.1799,False,-0.0005662106,9.23872E-05,0.001683235,0.001778317,0.03542426,0.02012163,0.008543264,0.9991333,4.771294,0.8510317,0.4834016,0.2052432,0,0,0,0.3085497,0.209763,0.2542027,0,0,0.3813545,235.2178,0.3939098,687.6319,0,0,0.2183234,502.554,0.06850997,17.37373,0,7.638382
1,10,135,-0.02754488,-0.864064,0.5026278,1,18.2639,False,-0.0008437335,-0.003234863,0.005711555,0.006618013,0.01620162,0.03104421,0.06553962,-0.9972354,351.4771,0.2180338,0.4177784,0.8820015,0,0,0,0.4243303,0.3454965,0.3534787,0,0,0.5231184,374.1074,0.4493575,991.0994,0,0,0.2884904,629.2921,0.1284498,40.60531,0,6.070923
2,1,135,0.6480713,-0.7505642,-0.1290618,1,14.5577,False,-0.002385069,-0.003234625,0.004923254,0.006355296,-0.04375875,-0.02034932,0.04252732,0.9979292,7.376028,-0.6802914,-0.3163588,0.6611471,0.07597837,0.08413803,0.1299117,0.1465938,0.112746,0.1175416,0.1568941,77.84151,0.3127752,136.8774,0.4064112,535.631,0.1396046,170.0321,0.1097753,231.3595,0.157798,42.9811,1.407515,3.415786
2,2,135,-0.1399722,-0.4854363,-0.8629944,1,13.6143,False,-0.0009974167,-0.001156688,0.00509578,0.00531975,-0.01563804,-0.02602054,0.02637491,0.9991911,4.609384,-0.3888745,-0.6470581,0.6558703,0,0,0,0.2509975,0.2197376,0.2547745,0,0,0.4421475,165.9377,0.4032811,652.201,0,0,0.193631,356.7649,0.08310711,23.44748,0,6.817982
2,3,135,-0.5776195,0.7379619,0.3489525,1,13.28191,False,-0.00172079,7.82609E-05,-0.002182603,0.002780467,0.04436886,-0.01250004,0.02005754,0.9987357,5.762942,0.8826135,-0.2486587,0.3989974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,135,-0.5969467,0.3970821,0.6971231,1,12.34996,False,3.797188E-05,-0.00661993,0.01063213,0.01252466,0.01091501,-0.05390578,0.03388485,0.9979113,7.407604,0.1689666,-0.8344727,0.5245446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,135,-0.6433461,-0.4860092,0.5915241,1,6.072308,False,-0.003258165,0.0012936,-0.004406273,0.005630656,-0.05729813,-0.03032061,0.04009542,0.9970908,8.743051,-0.7517121,-0.3977855,0.5260243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,135,-0.382706,0.6993898,-0.6036472,1,30.00314,True,-0.005370505,-0.001121163,0.004818678,0.007301985,0.04557196,0.1510119,0.06720483,-0.9851915,340.2549,0.2657911,0.8807526,0.3919612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,135,0.2136546,-0.781978,-0.5855443,1,13.9479,False,-0.0002998449,-0.0003824234,0.003646374,0.003678613,0.02258268,-0.002702539,-0.001390853,-0.9997404,357.389,0.991177,-0.1186172,-0.06104598,0,0,0,0.1180694,0.05527293,0.09365688,0,0,0.1449339,173.2816,0.14588,332.6965,0,0,0.08916827,166.5518,0.0375734,15.0436,0,1.166221
2,8,135,0.6052957,-0.3812115,0.698781,1,6.505167,False,0.001122788,-0.005763412,-0.002270877,0.00629559,0.02281773,-0.006304845,-0.02327471,0.9994488,3.804767,0.6873463,-0.189923,-0.7011122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,135,0.1699467,0.939908,-0.2961267,0.9999999,17.47447,False,-0.0002420954,-0.0003927946,-0.003597111,0.003626583,-0.01708949,-0.04889164,0.02338202,-0.9983842,353.4847,-0.3007361,-0.8603815,0.4114703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,135,0.5861928,-0.431092,-0.6859574,1,11.83679,False,-0.001192689,0.001300037,-0.0007804632,0.001929177,0.05362175,-0.01970735,0.02053375,-0.9981557,353.0392,0.8832931,-0.3246326,0.3382456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,135,-0.3091709,-0.862371,0.4009111,1,14.93663,False,-0.004351009,-0.0003964901,0.002864599,0.005224405,0.01838382,0.03016344,0.003630986,0.9993694,4.069995,0.5177132,0.8494431,0.1022534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,135,0.1841474,-0.2131434,0.9595101,1,3.907176,False,-0.003992308,-0.004586101,0.006895125,0.009193127,0.05121754,-0.01065573,0.0267876,0.9982713,6.738826,0.871439,-0.1813015,0.4557767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,135,-0.6369015,0.6753795,0.371778,0.9999999,7.794261,False,0.0003022663,-0.003406167,0.00232923,0.004137469,0.002535996,0.03657549,-0.03609951,0.9986755,5.898576,0.04928828,0.7108619,-0.7016111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,135,-0.8998672,-0.007619614,0.4360974,1,4.838858,False,0.002127826,0.001499951,-0.001681209,0.003099025,-0.02553636,-0.02732594,-0.01814034,0.9991357,4.764562,-0.614352,-0.6574057,-0.4364191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,135,0.2595023,0.7275446,0.6350884,0.9999999,14.33594,False,0.00338636,3.272295E-05,0.008634031,0.009274427,-0.00559039,0.01728867,0.02227559,0.9995868,3.294452,-0.1944793,0.6014407,0.7749265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,135,0.5305514,-0.7785976,0.3351135,1,7.548062,False,0.001793843,-0.00250721,0.005750537,0.006524772,0.07139871,0.02103919,-0.0144585,0.9971212,8.697321,0.9416172,0.277468,-0.190681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,135,-0.8316568,-0.3383971,0.4402663,1,9.281862,False,0.002297483,-0.003953099,0.000536859,0.004603655,-0.01550044,-0.02818459,-0.0204412,0.9992735,4.368176,-0.406727,-0.7395552,-0.5363711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,135,0.9100168,-0.1910073,-0.3679479,1,12.0346,False,0.002477668,-0.002530217,0.004371166,0.005625649,-0.03853874,0.0244908,-0.0498253,0.9977137,7.750501,-0.5702329,0.3623746,-0.7372329,0,0,0,0.03003591,0.02458336,0.02194402,0,0,0.02803545,22.55214,0.1238707,194.2714,0,0,0.02867025,54.0085,0.0306329,7.806812,0,1.361821
3,9,135,0.3335942,0.7128262,0.6169229,1,13.78078,False,0.001563586,-0.0001775026,0.003797352,0.004110498,0.03288493,-0.003187699,-0.0231189,-0.9991867,355.3781,0.8155351,-0.07905385,-0.5733409,0,0,0,0.06224407,0.0639579,0.05366922,0,0,0.08644755,57.43575,0.1848633,298.0735,0,0,0.0549306,103.2057,0.02217497,5.973758,0,3.362283
3,10,135,-0.4950602,-0.4763938,-0.7266116,1,9.130788,False,8.196011E-05,-0.001751542,0.003190011,0.003640163,-0.007683113,0.05681894,0.01402989,-0.9982564,353.232,-0.1301604,0.9625754,0.2376819,0,0,0,0.05325738,0.05314717,0.06320154,0,0,0.0949636,84.59158,0.2144497,222.8934,0,0,0.04876693,82.20471,0.02860828,9.004621,0,1.847241
