Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1773139442521,0.0144702,0.1671392,0.5513325,0.1782165,0.6030457,-0.07253473,-0.5045542,-0.8087433,0.2934245,145.8738,-0.07587457,-0.5277862,-0.8459815,-0.02304285,0.8994875,0.2469158,0.9330467,-0.101615,-0.3917159,0.6283236,-0.6644115,263.2744,-0.135964,-0.524128,0.8407163,0.03760422,0.5467036,0.2094144,0.5866458,0.03568507,0.5398723,0.1880279,0.5727914,0.05800504,0.544205,0.1604322,0.5703176,0.05118993,1.012149,0.2681519,1.048319,0.04637957,1.031371,0.3110729,1.07826,0.06633069,1.021006,0.3217984,1.07257,0.1206225,-0.04535209,0.0341679,0.1333193,0.1160915,-0.06076995,0.01837254,0.132317,0.08470198,-0.07127004,0.004847696,0.1108032,-0.1060224,0.08168245,-0.02722911,0.1365804,-0.1478992,0.06559864,-0.01231338,0.1622621,-0.1489467,0.07804628,0.00923866,0.1684093,0.1206727,-0.045181,0.03402942,0.1332712,0.1162053,-0.0606955,0.01836183,0.1323812,0.08501921,-0.07130223,0.004840334,0.1110662,-0.1059733,0.08171644,-0.0275731,0.1366316,-0.148082,0.06547153,-0.01229579,0.1623761,-0.1490066,0.07801475,0.00926182,0.1684489,0.1000268,-0.06132213,0.01613096,0.1184313,0.1706067,0.8639643,-0.3487334,-0.3206933,217.4097,0.18012,0.9121407,-0.3681794,-0.123883,0.07824472,-0.01542006,0.147333,-0.1168738,-0.402362,0.3270713,0.8470359,64.21855,-0.2198795,-0.7569802,0.6153327,-0.04994655,1.000012,0.3000896,1.045262,0.003268303,0.001406624,-0.002141554,0.9999914,0.4747765,0.7888349,0.3395016,-0.5168837,-0.03436659,-0.1168004,0.4632886,0.4790196,0.09031811,-0.6084741,-0.361555,0.7006282,91.04514,0.1265799,-0.8527703,-0.5067157,-0.1148746,0.06685791,-0.001944294,0.1329283,-0.4424898,0.5368481,0.6973767,0.1722289,160.1651,-0.4492022,0.544992,0.7079557,0.09994656,-1.227856E-05,-8.958578E-05,0.0999466,-0.4605096,-0.4374915,-0.6712714,0.3820038,135.0843,-0.4983003,-0.4733932,-0.7263578,0.01395956,1.116313,-0.03603902,1.116982,0.0422094,0.02603101,-0.09169123,-0.9945519,348.033,0.404915,0.2497156,-0.8795946,False,False,False,False
1773139442536,0.0288244,0.1666287,0.5531748,0.1768095,0.6041763,-0.09072627,-0.5001522,-0.8122361,0.2861628,146.7433,-0.09468593,-0.5219808,-0.8476853,-0.08059403,0.8784146,0.2033832,0.9052471,-0.2839105,-0.1439326,0.6508262,-0.6892775,267.1459,-0.3918724,-0.1986654,0.8983141,0.03791729,0.553328,0.2089132,0.5926672,0.0322128,0.5449716,0.1870111,0.5770658,0.05677136,0.5499784,0.1627072,0.5763444,-0.02975438,1.001051,0.236083,1.028943,-0.07415624,1.032795,0.2933554,1.076207,-0.07727437,1.025444,0.3211025,1.077318,0.1193763,-0.04714902,0.03351989,0.1326548,0.1176813,-0.06416935,0.01650486,0.1350518,0.08513716,-0.07069056,0.005677952,0.1108049,-0.1129149,0.05541502,-0.05360141,0.1367249,-0.1762771,0.02336906,-0.01870735,0.1788007,-0.1863896,0.0260395,0.008204848,0.1883785,0.1205646,-0.04534502,0.03398695,0.1332183,0.1163283,-0.06098502,0.01820707,0.1326007,0.08502904,-0.07125125,0.004910143,0.1110441,-0.1065518,0.07952444,-0.02974234,0.1362425,-0.1504318,0.06196264,-0.01283014,0.1631984,-0.1521221,0.07368305,0.00917373,0.1692764,0.1001064,-0.06133691,0.01619016,0.1185142,0.1718155,0.863856,-0.3482398,-0.3208758,217.4318,0.1814082,0.9120859,-0.3676824,-0.1246856,0.07550544,-0.01717513,0.1467738,-0.1020202,-0.4079487,0.3302395,0.8450513,64.64514,-0.1908042,-0.7629698,0.6176335,-0.04972648,1.000102,0.3003082,1.0454,0.01341407,0.001345705,-0.0122853,0.9998336,2.089853,0.7355354,0.07378917,-0.6736414,0.06383158,-0.1766718,0.4758983,0.5116313,0.08944715,0.5033993,0.8101093,0.2868997,146.6551,0.09337247,0.5254906,0.8456603,-0.1506713,0.04871671,0.001491584,0.1583584,0.2822626,0.1414427,-0.6494156,-0.6917958,267.5449,0.3908949,0.1958788,-0.8993514,0.09972648,-0.0001015663,-0.000308156,0.099727,-0.4687437,-0.4259484,-0.671777,0.3841394,134.8194,-0.5076967,-0.461345,-0.7276022,0.01455554,1.116321,-0.03586454,1.116991,0.04179388,0.02591197,-0.09075778,-0.9946582,348.1504,0.404887,0.2510276,-0.879235,False,False,False,False
1773139442549,0.046635,0.1666406,0.5529941,0.1766128,0.6039566,-0.09095759,-0.4999171,-0.8124173,0.2859856,146.7645,-0.09492211,-0.5217067,-0.8478277,-0.07935172,0.879127,0.2037499,0.9059111,-0.2862543,-0.1452254,0.6525428,-0.686408,266.6929,-0.39363,-0.1997003,0.8973156,0.037949,0.553062,0.2086692,0.5923347,0.03218893,0.544862,0.1868686,0.5769148,0.05677094,0.5498843,0.1625548,0.5762116,-0.02779154,1.001575,0.2363056,1.029449,-0.07451883,1.033542,0.2943314,1.077215,-0.07707704,1.026084,0.3219907,1.078178,0.1193899,-0.04715563,0.03334015,0.1326241,0.1177215,-0.06417003,0.01650547,0.1350873,0.08514464,-0.07068698,0.005691677,0.1108091,-0.1126884,0.05519993,-0.05446224,0.1367912,-0.1768756,0.02076478,-0.01887373,0.1790876,-0.186934,0.02400312,0.007875852,0.1886332,0.1204674,-0.04549481,0.03393344,0.1331678,0.1164436,-0.06124851,0.0180663,0.1328039,0.0850386,-0.07120457,0.004974798,0.1110243,-0.1070595,0.0775121,-0.03178738,0.1359423,-0.1526195,0.05855439,-0.01333012,0.1640092,-0.1550021,0.06957309,0.009066358,0.1701419,0.1001761,-0.06135578,0.01623435,0.118589,0.1731025,0.8636579,-0.347932,-0.3210513,217.453,0.1827785,0.9119341,-0.3673805,-0.1254075,0.07295738,-0.01885823,0.146306,-0.08938637,-0.4126248,0.3340826,0.8426979,65.14777,-0.1660263,-0.7664097,0.6205254,-0.04964647,1.000118,0.3004341,1.045448,0.01802966,0.002865661,-0.0153892,0.9997149,2.736328,0.7551007,0.1200168,-0.6445158,0.06394442,-0.17667,0.4761505,0.5118793,0.08754379,0.512234,0.8021852,0.294026,145.8017,0.0915924,0.5359232,0.8392837,-0.1504908,0.04677016,0.001031468,0.1575944,0.2760931,0.139041,-0.6455644,-0.6983458,268.5889,0.3857339,0.1942563,-0.9019279,0.09964646,-0.0001180172,-0.0004341006,0.09964748,-0.4728422,-0.4219596,-0.6718457,0.3833975,134.9114,-0.5119648,-0.4568723,-0.7274337,0.0150851,1.11621,-0.03569908,1.116882,0.04167972,0.02540998,-0.08978752,-0.994764,348.2684,0.4078289,0.2486323,-0.8785555,False,False,False,False
1773139442562,0.0602208,0.1666319,0.5532225,0.1764194,0.6041068,-0.09122098,-0.4996754,-0.812577,0.2858704,146.7782,-0.09519357,-0.5214357,-0.847964,-0.07878416,0.8794557,0.2039644,0.9062289,-0.2894533,-0.1461165,0.6545783,-0.6829306,266.1462,-0.396249,-0.2000271,0.8960893,0.03795487,0.5533515,0.2085253,0.5925549,0.03217559,0.5451596,0.1867316,0.5771508,0.05676678,0.55019,0.1624186,0.5764645,-0.02638381,1.001368,0.2371818,1.029412,-0.07375234,1.033392,0.2955215,1.077344,-0.07632263,1.025756,0.3231464,1.078158,0.1193877,-0.04715809,0.03333591,0.132622,0.1177282,-0.06416845,0.01650244,0.135092,0.08513689,-0.07067361,0.00570234,0.1107952,-0.1126433,0.05507181,-0.05468491,0.1367913,-0.1770695,0.01983459,-0.01890215,0.1791768,-0.1871279,0.02314359,0.007854626,0.1887172,0.1203588,-0.04566221,0.0338733,0.1331115,0.1165729,-0.06154239,0.0179089,0.1330317,0.0850485,-0.07115114,0.005048021,0.111001,-0.1076215,0.07525361,-0.03409189,0.1356751,-0.1550802,0.05465746,-0.01389091,0.165016,-0.1582354,0.06490022,0.008944404,0.1712614,0.1002542,-0.06137877,0.01628217,0.1186733,0.1744981,0.863438,-0.3475603,-0.3212897,217.4819,0.1842678,0.9117798,-0.3670194,-0.1262182,0.07010452,-0.02076882,0.1458664,-0.07632488,-0.4173124,0.3381315,0.8400547,65.70821,-0.1406906,-0.769237,0.623282,-0.04929642,1.000102,0.3008923,1.045548,0.0318024,0.00619118,-0.02577566,0.9991426,4.745627,0.7681403,0.1495389,-0.6225733,0.06426321,-0.1766531,0.4759575,0.5117339,0.08633094,0.5164064,0.7991984,0.2952172,145.6589,0.09035819,0.5404962,0.8364803,-0.1505582,0.04524395,0.0001735288,0.1572094,0.276685,0.1367704,-0.6456869,-0.6984468,268.605,0.386614,0.1911103,-0.9022231,0.09929642,-0.0001024008,-0.0008923113,0.09930048,-0.4846549,-0.4089842,-0.6720276,0.382388,135.0367,-0.5245172,-0.4426227,-0.7273011,0.01550348,1.116163,-0.03554758,1.116836,0.04136349,0.02520443,-0.08934533,-0.9948222,348.3339,0.4069986,0.2480006,-0.8791187,False,False,False,False
1773139442576,0.0743696,0.1666674,0.5532559,0.1765252,0.6041782,-0.09122098,-0.4996754,-0.812577,0.2858704,146.7782,-0.09519357,-0.5214357,-0.847964,-0.07714069,0.8800992,0.2044662,0.9068251,-0.2923433,-0.146694,0.6567612,-0.6794713,265.6047,-0.3984495,-0.1999367,0.8951331,0.03797362,0.5535492,0.2087354,0.5928146,0.03224762,0.5451816,0.1868032,0.5771987,0.05677107,0.5502247,0.1625159,0.5765254,-0.02411312,1.001809,0.2375518,1.02987,-0.07327843,1.033928,0.2965775,1.078116,-0.07515002,1.025938,0.3244139,1.078629,0.1193854,-0.04714346,0.03353064,0.1326638,0.1176877,-0.06417024,0.016471,0.1350537,0.08515835,-0.07069779,0.005703629,0.1108271,-0.1124871,0.05455495,-0.05558928,0.1368201,-0.1774669,0.01745494,-0.01906391,0.1793394,-0.1874362,0.02158758,0.007875726,0.1888395,0.1202822,-0.04577871,0.03384636,0.1330754,0.1166605,-0.06174906,0.01779581,0.133189,0.08505714,-0.07111548,0.005099583,0.1109871,-0.1080041,0.07362568,-0.03578263,0.1355213,-0.1568409,0.05173154,-0.01429776,0.1657699,-0.160532,0.06149375,0.008860354,0.1721351,0.1003162,-0.06139273,0.01632485,0.1187389,0.1751711,0.8634027,-0.3471238,-0.3214901,217.5061,0.1849918,0.911808,-0.3665847,-0.126796,0.06803638,-0.02216761,0.1455939,-0.0680191,-0.420088,0.3419549,0.8378344,66.17573,-0.1245943,-0.7694982,0.6263775,-0.04913617,1.000001,0.301116,1.045508,0.03466742,0.01156194,-0.02734364,0.9989579,5.231827,0.7595744,0.2533259,-0.599108,0.06417654,-0.176194,0.4760425,0.5116438,0.08232386,0.52921,0.7891857,0.3005754,145.0157,0.08631524,0.5548682,0.8274485,-0.1504348,0.04293517,-0.0001448908,0.156442,0.2707688,0.1290103,-0.6415395,-0.7060226,269.8244,0.3823394,0.1821692,-0.9058869,0.09913617,-1.072884E-06,-0.001116037,0.09914245,-0.4899623,-0.4083178,-0.6701081,0.3796957,135.3703,-0.5296251,-0.4413714,-0.7243539,0.01587027,1.116099,-0.03541984,1.116773,0.04081433,0.02505931,-0.0889805,-0.9948813,348.4006,0.4038998,0.2479877,-0.8805536,False,False,False,False
1773139442590,0.0874313,0.1667115,0.5533082,0.1766938,0.6042876,-0.09122098,-0.4996754,-0.812577,0.2858704,146.7782,-0.09519357,-0.5214357,-0.847964,-0.07638986,0.8803551,0.2043737,0.906989,-0.2955168,-0.147277,0.6592368,-0.6755636,264.9959,-0.4008085,-0.1997514,0.8941209,0.03802389,0.5535471,0.2088749,0.592865,0.03227547,0.5452032,0.1869696,0.5772745,0.05681812,0.5502739,0.162687,0.5766253,-0.02240119,1.001498,0.2379721,1.029627,-0.07222395,1.033741,0.2973126,1.078068,-0.07456154,1.025624,0.3251601,1.078514,0.119388,-0.04714384,0.03346872,0.1326506,0.1177116,-0.06417063,0.01644557,0.1350716,0.08515824,-0.0706932,0.00570171,0.110824,-0.1124152,0.05436712,-0.05591384,0.1368186,-0.1776127,0.01640952,-0.01914839,0.179394,-0.1876854,0.02019133,0.007889919,0.1889332,0.1202092,-0.04589016,0.03381553,0.13304,0.1167464,-0.06194676,0.01768558,0.1333413,0.08506539,-0.07108101,0.005148742,0.1109736,-0.1083643,0.07205338,-0.03742618,0.1354076,-0.1585367,0.04884779,-0.01469377,0.166541,-0.1627488,0.05812175,0.008781127,0.1730388,0.1003753,-0.06140796,0.01636183,0.1188017,0.175834,0.863346,-0.3467323,-0.3217029,217.5319,0.1857061,0.9118176,-0.3661993,-0.1273444,0.06602868,-0.02353413,0.1453624,-0.06007088,-0.4226642,0.3454364,0.8357154,66.61919,-0.1093863,-0.7696519,0.6290236,-0.04825715,0.9997002,0.3011537,1.04519,0.03225489,0.003474634,-0.03682233,0.9987951,5.625711,0.6572694,0.07080385,-0.7503417,0.06416263,-0.1760357,0.4759204,0.511474,0.0779784,0.5331241,0.7876458,0.2988517,145.2227,0.08171271,0.5586549,0.8253653,-0.1507173,0.04124329,-0.0005524833,0.1562595,0.2753838,0.1245392,-0.6417665,-0.7048332,269.6321,0.3882072,0.1755623,-0.9046952,0.09825715,0.0002998114,-0.001153678,0.09826438,-0.4877074,-0.4024354,-0.6690086,0.3906593,134.0089,-0.5298085,-0.4371755,-0.7267604,0.01621017,1.115982,-0.03528908,1.116657,0.0403046,0.02504404,-0.08838063,-0.9949559,348.4856,0.4017873,0.2496583,-0.8810461,False,False,False,False
1773139442603,0.1017061,0.1668181,0.5533662,0.1769768,0.6044528,-0.09122098,-0.4996754,-0.812577,0.2858704,146.7782,-0.09519357,-0.5214357,-0.847964,-0.07383172,0.8802344,0.2036969,0.9065077,-0.2982543,-0.1467811,0.6610595,-0.6726813,264.5487,-0.4030832,-0.1983709,0.8934052,0.03812328,0.5537019,0.209205,0.5931323,0.03252885,0.5453238,0.1872385,0.5774897,0.05695174,0.5503345,0.1629718,0.5767767,-0.01953654,1.001199,0.2374187,1.02915,-0.07021865,1.033458,0.2970164,1.077583,-0.07436072,1.025708,0.3245414,1.078394,0.1193782,-0.04714472,0.03357614,0.1326693,0.1175617,-0.06412087,0.01647271,0.1349207,0.08513583,-0.07067772,0.005701111,0.1107969,-0.1124457,0.05374982,-0.05643206,0.1368125,-0.1777834,0.01491132,-0.0192331,0.1794414,-0.188202,0.01697029,0.007638037,0.1891199,0.1201462,-0.04598531,0.03379737,0.1330113,0.1168082,-0.06211166,0.01759359,0.1334599,0.08507074,-0.07105042,0.005190636,0.1109601,-0.1086738,0.07066515,-0.03886767,0.1353302,-0.1599965,0.04627389,-0.01503806,0.1672313,-0.1646793,0.05500063,0.00869443,0.1738388,0.1004255,-0.06141857,0.01639821,0.1188546,0.1762852,0.8633525,-0.3462961,-0.3219083,217.5567,0.1861963,0.9118918,-0.3657655,-0.1277866,0.06424156,-0.02475784,0.1451529,-0.05215823,-0.4251319,0.3475597,0.8341132,66.95278,-0.09455921,-0.7707343,0.6301013,-0.04769092,0.9996176,0.301048,1.045055,0.02988485,-0.005405183,-0.0330566,0.998992,5.145667,0.6657445,-0.1204112,-0.7364017,0.06355682,-0.1756719,0.4753854,0.5107752,0.07910917,0.5296351,0.7852715,0.3107684,143.7889,0.08323027,0.5572259,0.8261793,-0.1513433,0.03897567,-0.0002363025,0.1562817,0.2730898,0.1339269,-0.6391914,-0.7063428,269.8763,0.3857909,0.189197,-0.9029783,0.09769093,0.0003824234,-0.001048028,0.0976973,-0.4792721,-0.4024373,-0.6736001,0.393199,133.6926,-0.5212576,-0.4376919,-0.7326093,0.01650551,1.115799,-0.03525241,1.116478,0.03965912,0.02487315,-0.08789063,-0.9950295,348.57,0.3982613,0.249779,-0.8826075,False,False,False,False
1773139442618,0.1149818,0.1668631,0.5532545,0.1770069,0.6043718,-0.09116468,-0.4999656,-0.8123693,0.2859712,146.7662,-0.0951378,-0.521755,-0.8477738,-0.07272971,0.8800188,0.2029091,0.9060325,-0.3009024,-0.145958,0.6628702,-0.6698934,264.1177,-0.405279,-0.1965878,0.8928059,0.03816267,0.5535784,0.2092275,0.5930275,0.03258334,0.5451737,0.1872618,0.5773587,0.05699687,0.5501698,0.1629903,0.5766292,-0.01801608,1.000651,0.2371034,1.028516,-0.06922188,1.033063,0.2965744,1.077018,-0.07398098,1.025424,0.323943,1.077918,0.1193761,-0.0471458,0.03359608,0.1326728,0.1175544,-0.06411619,0.01648031,0.134913,0.08513831,-0.0706792,0.005700234,0.1107997,-0.1125654,0.05334265,-0.05655676,0.136803,-0.1778817,0.01389562,-0.01931373,0.1794659,-0.1884125,0.01544602,0.007458337,0.1891916,0.1200828,-0.04608083,0.0337808,0.1329829,0.1168696,-0.06227665,0.01750196,0.1335785,0.0850763,-0.07101987,0.00523258,0.1109467,-0.1089941,0.06923936,-0.04032364,0.1352768,-0.1614686,0.04360887,-0.01538998,0.1679604,-0.1666328,0.05174494,0.008592688,0.1746936,0.100476,-0.06142997,0.01643485,0.1189083,0.1767195,0.8633702,-0.3458399,-0.3221134,217.5816,0.1866687,0.9119775,-0.3653105,-0.1282338,0.06240452,-0.02600579,0.1449639,-0.04408,-0.4276173,0.3494382,0.8325223,67.28257,-0.079568,-0.771884,0.6307645,-0.04687338,0.9995674,0.3005797,1.044835,0.02339353,-0.03037011,-0.02433216,0.9989687,5.20482,0.5152202,-0.668873,-0.5358927,0.06303481,-0.1751592,0.4754004,0.5105484,0.08748282,0.525207,0.786663,0.3125151,143.5783,0.09209564,0.5529003,0.8281423,-0.1520836,0.03784914,-0.000264307,0.1567228,0.2721716,0.1395688,-0.646046,-0.6993338,268.7472,0.3807686,0.1952571,-0.9038197,0.09687337,0.0004326105,-0.000579685,0.09687607,-0.4561784,-0.4012214,-0.6854845,0.4012901,132.6823,-0.498038,-0.438038,-0.7483856,0.01677037,1.115588,-0.03524511,1.11627,0.03879721,0.02482256,-0.08725597,-0.9951207,348.6754,0.393221,0.2515839,-0.8843647,False,False,False,False
1773139442632,0.1293157,0.1669406,0.5531288,0.1770106,0.6042792,-0.09106733,-0.5003176,-0.8121528,0.2860014,146.7626,-0.09503711,-0.5221273,-0.8475559,-0.07029176,0.879011,0.2015389,0.9045547,-0.3032691,-0.1431223,0.6649201,-0.6674019,263.7337,-0.4072379,-0.1921885,0.8928724,0.03822424,0.5534643,0.2092186,0.5929218,0.03261747,0.544971,0.1872803,0.5771751,0.05706638,0.5499948,0.1629622,0.5764613,-0.01528334,0.9994504,0.235824,1.027009,-0.06748312,1.032295,0.2948962,1.07571,-0.07443815,1.025049,0.3218562,1.076967,0.1193806,-0.0471409,0.03363603,0.1326852,0.1176253,-0.06409047,0.01647523,0.1349619,0.08514892,-0.0706874,0.005699038,0.110813,-0.112702,0.05273876,-0.05677984,0.1367738,-0.1780152,0.01230815,-0.01946098,0.1794983,-0.1887562,0.01180784,0.007224366,0.1892631,0.1200287,-0.04616245,0.03376966,0.1329596,0.1169278,-0.0624163,0.01742291,0.1336842,0.08508189,-0.07099427,0.005268494,0.1109363,-0.1092796,0.06796895,-0.04159063,0.1352464,-0.1627426,0.04119898,-0.01570341,0.1686093,-0.1683361,0.04867012,0.008487339,0.1754362,0.1005202,-0.06144126,0.01646596,0.1189557,0.17698,0.8634202,-0.345395,-0.3223133,217.6058,0.1869574,0.912096,-0.3648669,-0.1285999,0.06074306,-0.0271155,0.1447857,-0.03550439,-0.4300752,0.3498074,0.8315104,67.49158,-0.06391324,-0.7742001,0.629706,-0.04361119,0.9991146,0.2981562,1.043566,0.01471527,-0.08908561,-0.004326799,0.9959059,10.37273,0.1627873,-0.9855073,-0.04786511,0.06221791,-0.174729,0.4752808,0.5101894,0.1101554,0.5123307,0.7898862,0.3185322,142.8516,0.1162084,0.5404835,0.8332908,-0.1536453,0.03583964,4.720972E-05,0.1577699,0.2636673,0.1550682,-0.6605535,-0.6856405,266.572,0.36221,0.2130232,-0.9074279,0.0936112,0.000885427,0.00184381,0.09363354,-0.4032358,-0.3923796,-0.7141197,0.4165002,130.7724,-0.4435375,-0.4315963,-0.785493,0.01689215,1.11543,-0.03523106,1.116114,0.03769478,0.02491632,-0.08689473,-0.9951922,348.7588,0.3848729,0.2544016,-0.8872162,False,False,False,False
1773139442645,0.1440421,0.1670577,0.5530358,0.1769891,0.6042202,-0.09102732,-0.5005918,-0.8120149,0.2859263,146.7715,-0.09499314,-0.5224012,-0.8473922,-0.0638961,0.8763433,0.1975509,0.9006034,-0.3058492,-0.1379044,0.6675757,-0.6646664,263.3135,-0.4093598,-0.1845763,0.8935078,0.03832813,0.5534142,0.2091851,0.5928699,0.03271516,0.544861,0.1872511,0.5770674,0.05719374,0.5499016,0.1629231,0.5763739,-0.009528334,0.9973179,0.2308678,1.023735,-0.06587487,1.030415,0.2890325,1.07221,-0.07408468,1.023983,0.3152481,1.073969,0.119383,-0.04713593,0.03367415,0.1326953,0.1176559,-0.06407598,0.0164749,0.1349818,0.08514351,-0.07068029,0.005714459,0.1108051,-0.1130234,0.05076059,-0.05787756,0.1367506,-0.1779986,0.006347746,-0.01967778,0.1791954,-0.1889238,0.004705578,0.006283313,0.1890869,0.1199754,-0.04624288,0.03376177,0.1329374,0.116988,-0.06255343,0.01734458,0.1337907,0.08508698,-0.07096832,0.00530534,0.1109254,-0.1095889,0.06654717,-0.04293628,0.1352101,-0.164003,0.03831952,-0.01603178,0.1691816,-0.1700371,0.04503771,0.008305239,0.1760965,0.1005643,-0.06145263,0.01649798,0.1190033,0.1771654,0.8634912,-0.3449122,-0.3225385,217.633,0.1871684,0.9122449,-0.3643863,-0.1289235,0.05883819,-0.02834414,0.144522,-0.02551096,-0.4328117,0.351525,0.8297309,67.85779,-0.04570517,-0.7754208,0.6297885,-0.04257737,0.9991246,0.2969154,1.043179,-1.003776E-05,-0.1227233,-0.003068645,0.9924362,14.10304,-8.176625E-05,-0.9996875,-0.02499676,0.0588454,-0.1743992,0.4734673,0.5079854,0.165035,0.4854133,0.7919777,0.3315251,141.2773,0.1749278,0.5145106,0.8394516,-0.1566871,0.03246693,0.0008711432,0.1600178,0.2347482,0.1880518,-0.6912428,-0.657049,262.1504,0.3113999,0.2494559,-0.9169526,0.09257738,0.0008753538,0.0030846,0.09263288,-0.3728788,-0.3884404,-0.721176,0.4358677,128.319,-0.4143049,-0.4315954,-0.8012971,0.01694746,1.115296,-0.03524342,1.115982,0.03665129,0.02509664,-0.08661529,-0.9952511,348.8278,0.3765231,0.2578208,-0.8898093,False,False,False,False
