Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773122631148,0,1,1,135,-0.4063351,0.8776892,0.2540736,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.3754047,0.8108792,0.2347334,0.3826834,135,-0.4063351,0.8776893,0.2540736
Grab,1773122634523,2.572719,1,1,135,-0.4063351,0.8776892,0.2540736,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.3754047,0.8108792,0.2347334,0.3826834,135,-0.4063351,0.8776893,0.2540736
Trial Start,1773122634546,0,1,1,135,-0.4063351,0.8776892,0.2540736,1,-1,-0.05,1,0.3,1.045227,0.01996787,0.01463924,-0.002004537,0.9996915,2.846532,0.8039361,0.5893975,-0.08070563,0.1,0,0,0.1,-0.3778685,0.8010922,0.2571153,0.3864695,134.53,-0.4097013,0.8685787,0.2787755
Release,1773122638690,4.153831,1,1,135,-0.4063351,0.8776892,0.2540736,1,0,0.03411157,0.9922971,0.2861758,1.033302,0.08413479,-0.9410017,-0.05505756,-0.3231189,217.7033,0.08890373,-0.9943397,-0.05817834,0.01588843,0.007702887,0.01382425,0.02242514,-0.08713614,0.09901498,-0.3398105,-0.9311994,317.2451,-0.2390499,0.2716384,-0.9322385
Grab,1773122639926,5.389999,1,1,135,-0.4063351,0.8776892,0.2540736,1,0,0.03411157,0.9922971,0.2861758,1.033302,0.08413479,-0.9410017,-0.05505756,-0.3231189,217.7033,0.08890373,-0.9943397,-0.05817834,0.01588843,0.007702887,0.01382425,0.02242514,-0.08713614,0.09901498,-0.3398105,-0.9311994,317.2451,-0.2390499,0.2716384,-0.9322385
On Target,1773122640856,6.334517,1,1,135,-0.4063351,0.8776892,0.2540736,1,-1,0.04415641,0.9912952,0.3033506,1.037611,0.3531178,-0.8538145,-0.2168574,-0.3150896,216.7325,0.3720704,-0.8996405,-0.2284966,0.005843595,0.008704782,-0.003350616,0.0110067,-0.04141983,0.0697618,-0.02516444,-0.9963857,350.2543,-0.4876108,0.8212638,-0.2962458
Off Target,1773122641010,6.487522,1,1,135,-0.4063351,0.8776892,0.2540736,1,-1,0.05237168,0.9971033,0.2967995,1.041656,0.3789008,-0.8319022,-0.2703587,-0.3021244,215.1705,0.3974754,-0.872684,-0.2836123,-0.00237168,0.002896726,0.003200471,0.004925333,-0.007627209,0.08592207,0.02748587,-0.9958935,349.6114,-0.08424746,0.9490649,0.3035992
Clutch Start,1773122641328,6.793048,1,1,135,-0.4063351,0.8776892,0.2540736,1,0,0.04806001,1.006219,0.290309,1.048364,0.4070109,-0.8038141,-0.2900745,-0.3226172,217.6426,0.4300034,-0.8492225,-0.3064611,0.001939993,-0.006219387,0.00969106,0.01167737,0.01188901,0.05935901,0.06355871,-0.9961404,349.9288,0.1354493,0.6762664,0.7241129
On Target,1773122641370,6.848428,1,1,135,-0.4063351,0.8776892,0.2540736,1,-1,0.04714957,1.005799,0.2907437,1.048039,0.4048553,-0.8027398,-0.2929437,-0.3253997,217.9796,0.4281571,-0.8489422,-0.3098044,0.002850432,-0.005798817,0.009256303,0.01128851,0.01633731,0.05827476,0.06265894,-0.9961984,350.0048,0.1875393,0.6689476,0.7192745
Clutch End,1773122641843,7.307028,1,1,135,-0.4063351,0.8776892,0.2540736,1,0,0.04656971,1.004025,0.2913105,1.046468,0.3766617,-0.8081653,-0.2812142,-0.3548429,221.5676,0.4028786,-0.8644164,-0.3007877,0.003430296,-0.004024506,0.008689463,0.01017204,0.02739484,0.03869083,0.02636058,-0.9985278,353.7813,0.5050476,0.713299,0.4859802
Release,1773122641843,7.307028,1,1,135,-0.4063351,0.8776892,0.2540736,1,0,0.04656971,1.004025,0.2913105,1.046468,0.3766617,-0.8081653,-0.2812142,-0.3548429,221.5676,0.4028786,-0.8644164,-0.3007877,0.003430296,-0.004024506,0.008689463,0.01017204,0.02739484,0.03869083,0.02636058,-0.9985278,353.7813,0.5050476,0.713299,0.4859802
Trial End,1773122642357,7.834753,1,2,135,-0.4063351,0.8776892,0.2540736,1,-1,0.04656971,1.004025,0.2913105,1.046468,0.3766617,-0.8081653,-0.2812142,-0.3548429,221.5676,0.4028786,-0.8644164,-0.3007877,0.003430296,-0.004024506,0.008689463,0.01017204,0.02739484,0.03869083,0.02636058,-0.9985278,353.7813,0.5050476,0.713299,0.4859802
Trial Load,1773122642358,7.834753,1,2,135,-0.0538085,0.8826943,0.4668569,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.04971258,0.8155032,0.4313196,0.3826834,135,-0.05380851,0.8826944,0.4668569
Grab,1773122643495,8.959497,1,2,135,-0.0538085,0.8826943,0.4668569,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.04971258,0.8155032,0.4313196,0.3826834,135,-0.05380851,0.8826944,0.4668569
Trial Start,1773122643509,0,1,2,135,-0.0538085,0.8826943,0.4668569,1,-1,-0.05000001,1,0.3,1.045227,0.01805499,0.008121309,0.007694222,0.9997744,2.434158,0.8500373,0.3823549,0.3622475,0.1,0,0,0.1,-0.05938249,0.8040414,0.4434054,0.3916411,133.8867,-0.06453791,0.8738459,0.4819006
Release,1773122644203,0.6946099,1,2,135,-0.0538085,0.8826943,0.4668569,1,0,-0.01781125,1.013497,0.2738762,1.050001,0.4742995,-0.8071464,-0.2252412,0.2698538,148.6889,0.4925734,-0.8382443,-0.2339193,0.06781125,-0.01349699,0.02612385,0.07391205,-0.3593749,0.3355708,0.5492567,-0.6756915,265.0157,-0.4874965,0.4552061,0.7450737
Grab,1773122645356,1.847664,1,2,135,-0.0538085,0.8826943,0.4668569,1,0,-0.01781125,1.013497,0.2738762,1.050001,0.4742995,-0.8071464,-0.2252412,0.2698538,148.6889,0.4925734,-0.8382443,-0.2339193,0.06781125,-0.01349699,0.02612385,0.07391205,-0.3593749,0.3355708,0.5492567,-0.6756915,265.0157,-0.4874965,0.4552061,0.7450737
On Target,1773122647010,3.514087,1,2,135,-0.0538085,0.8826943,0.4668569,1,-1,0.05335566,1.000395,0.3007233,1.045979,0.04496435,-0.8429408,-0.4409108,-0.3050029,215.5167,0.04721402,-0.8851153,-0.4629707,-0.003355656,-0.0003950596,-0.0007233322,0.003455388,-0.006057269,0.07637344,0.03193937,-0.9965493,350.4774,-0.07297543,0.920115,0.3847921
Clutch Start,1773122647369,3.861409,1,2,135,-0.0538085,0.8826943,0.4668569,1,0,0.04926749,0.999317,0.297431,1.043804,0.04531952,-0.8120368,-0.4339773,-0.3875643,225.606,0.04916188,-0.8808843,-0.4707715,0.000732515,0.0006830096,0.00256899,0.002757316,0.0055863,-0.003279983,-0.004498378,-0.9999689,359.0969,0.7088434,-0.4161958,-0.5707975
Clutch End,1773122647593,4.083757,1,2,135,-0.0538085,0.8826943,0.4668569,1,0,0.06117328,1.006841,0.2926289,1.050287,0.02886236,-0.8081831,-0.4563715,-0.3711227,223.5698,0.03108212,-0.8703395,-0.4914705,-0.01117327,-0.006841183,0.007371157,0.01503256,0.0309916,0.01686502,-0.002066184,-0.9993753,355.9493,0.8769202,0.4772027,-0.05846353
Release,1773122647593,4.083757,1,2,135,-0.0538085,0.8826943,0.4668569,1,0,0.06117328,1.006841,0.2926289,1.050287,0.02886236,-0.8081831,-0.4563715,-0.3711227,223.5698,0.03108212,-0.8703395,-0.4914705,-0.01117327,-0.006841183,0.007371157,0.01503256,0.0309916,0.01686502,-0.002066184,-0.9993753,355.9493,0.8769202,0.4772027,-0.05846353
Trial End,1773122647995,4.500136,1,3,135,-0.0538085,0.8826943,0.4668569,1,-1,0.06117328,1.006841,0.2926289,1.050287,0.02886236,-0.8081831,-0.4563715,-0.3711227,223.5698,0.03108212,-0.8703395,-0.4914705,-0.01117327,-0.006841183,0.007371157,0.01503256,0.0309916,0.01686502,-0.002066184,-0.9993753,355.9493,0.8769202,0.4772027,-0.05846353
