Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Thumb Tip Euro Position X,Right Thumb Tip Euro Position Y,Right Thumb Tip Euro Position Z,Right Thumb Tip Euro Position Magnitude,Right Index Tip Euro Position X,Right Index Tip Euro Position Y,Right Index Tip Euro Position Z,Right Index Tip Euro Position Magnitude,Right Middle Tip Euro Position X,Right Middle Tip Euro Position Y,Right Middle Tip Euro Position Z,Right Middle Tip Euro Position Magnitude,Right Triangle Local Position X,Right Triangle Local Position Y,Right Triangle Local Position Z,Right Triangle Local Position Magnitude,Right Triangle Local Rotation X,Right Triangle Local Rotation Y,Right Triangle Local Rotation Z,Right Triangle Local Rotation W,Right Triangle Local Rotation Angle,Right Triangle Local Rotation Axis X,Right Triangle Local Rotation Axis Y,Right Triangle Local Rotation Axis Z,Right Triangle Area,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Right Angle Scale Factor,Right Is Grabbed,Right Is Rotating,Right Is Clutching,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Thumb Tip Euro Position X,Left Thumb Tip Euro Position Y,Left Thumb Tip Euro Position Z,Left Thumb Tip Euro Position Magnitude,Left Index Tip Euro Position X,Left Index Tip Euro Position Y,Left Index Tip Euro Position Z,Left Index Tip Euro Position Magnitude,Left Middle Tip Euro Position X,Left Middle Tip Euro Position Y,Left Middle Tip Euro Position Z,Left Middle Tip Euro Position Magnitude,Left Triangle Local Position X,Left Triangle Local Position Y,Left Triangle Local Position Z,Left Triangle Local Position Magnitude,Left Triangle Local Rotation X,Left Triangle Local Rotation Y,Left Triangle Local Rotation Z,Left Triangle Local Rotation W,Left Triangle Local Rotation Angle,Left Triangle Local Rotation Axis X,Left Triangle Local Rotation Axis Y,Left Triangle Local Rotation Axis Z,Left Triangle Area,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Left Angle Scale Factor,Left Is Grabbed,Left Is Rotating,Left Is Clutching,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773122826894,0.0139971,0.01762535,0.8849888,0.2404324,0.9172369,0.6343026,0.2447795,0.2287042,-0.6967337,268.3311,0.884255,0.341237,0.3188271,-0.0533344,0.9823192,0.2951353,1.027083,-0.05229144,1.014353,0.2921736,1.056888,-0.03779673,1.005941,0.3042566,1.051627,-0.02205335,-0.08081549,0.1083847,0.1369844,-0.0234224,-0.0747598,0.1411304,0.1614169,-0.003813335,-0.07576386,0.1326364,0.1527977,-0.02431814,-0.08250952,0.106543,0.1369328,-0.02792746,-0.06968777,0.1487531,0.1666248,-0.003802366,-0.07228714,0.1404671,0.1580218,-0.02074356,-0.07678509,0.1254484,0.148538,-0.1413235,0.2563823,-0.03968826,0.9553641,34.36673,-0.4783643,0.8678256,-0.1343403,5.164652,-0.02140356,-0.07100954,0.1256412,0.1458978,-0.6367182,-0.2445732,-0.2141739,-0.6992165,268.7284,-0.890627,-0.3421034,-0.2995816,1.299961,True,True,False,-0.1712986,0.6417515,0.1900631,0.6908779,0.1543813,-0.1947951,-0.1048406,-0.9629277,328.7001,0.5722922,-0.7221063,-0.3886444,-0.08286691,0.6591778,0.2835734,0.7223547,-0.0730613,0.6603315,0.3319149,0.7426595,-0.09025916,0.6672052,0.3498644,0.7587585,0.04570587,-0.03204179,0.1223538,0.1344847,0.034636,-0.04642923,0.1701098,0.1797016,0.01200566,-0.03990765,0.1827023,0.187395,0.04577933,-0.03193887,0.1223302,0.1344638,0.03474101,-0.04631743,0.1701539,0.1797348,0.01208334,-0.03975724,0.1827549,0.1874194,0.03463756,-0.03560658,0.1448776,0.1531571,-0.225007,-0.1242754,0.9296584,0.2639373,149.3924,-0.233279,-0.1288442,0.9638361,5.691103,0,0,0,0,0,0,0,0,0,1,0,0,0.3642575,False,True,False,-0.05,1,0.3,1.045227,0.01286847,0.002880508,-0.0001828131,0.999913,1.511258,0.9757627,0.218417,-0.01386196,0.1,0,0,0.1,-0.9259537,-0.06545883,-0.0311137,0.3706171,136.4926,-0.9969508,-0.07047787,-0.03349933,-0.09847511,1.085935,0.07742555,1.093136,0.006874667,-0.1579493,-0.06265049,-0.9854338,340.4174,0.04042502,-0.9287876,-0.368403,False
1773122826908,0.0278561,0.01802024,0.8845974,0.2404909,0.9168823,0.626964,0.2488696,0.2486614,-0.6950883,268.0685,0.872086,0.3461694,0.3458797,-0.05150396,0.9835752,0.294127,1.027902,-0.05085901,1.014155,0.2923349,1.056673,-0.03737437,1.005063,0.3044564,1.050829,-0.02108372,-0.07964385,0.1094699,0.1370085,-0.02286638,-0.07496171,0.1407981,0.1611404,-0.003787074,-0.07601277,0.1320789,0.1524373,-0.02361426,-0.08191086,0.1071541,0.1369271,-0.02686398,-0.07083279,0.1470229,0.1653925,-0.00379919,-0.07308052,0.1386245,0.1567545,-0.02005452,-0.0768761,0.1252042,0.1482842,-0.130745,0.266903,-0.03463505,0.9541849,34.82122,-0.4369564,0.8920035,-0.1157521,4.630793,-0.02073811,-0.07109743,0.1254054,0.1456415,-0.6499161,-0.2514167,-0.2095634,-0.685917,266.6155,-0.8931347,-0.3455046,-0.2879885,1.296129,True,True,False,-0.1711875,0.6415994,0.1900676,0.6907102,0.1515061,-0.1927824,-0.1066946,-0.9635856,328.9808,0.5665898,-0.7209516,-0.3990075,-0.08306181,0.6586232,0.2839477,0.722018,-0.07342537,0.6595408,0.3323433,0.7421842,-0.09071539,0.6662325,0.350294,0.7581563,0.04572766,-0.032061,0.1223467,0.1344903,0.03463881,-0.0463809,0.170135,0.1797135,0.01198706,-0.03986305,0.1827231,0.1874046,0.04576861,-0.0319642,0.1223336,0.1344693,0.03471978,-0.04633064,0.17015,0.1797303,0.01206335,-0.03977925,0.1827483,0.1874163,0.03462283,-0.03562929,0.1448765,0.153158,-0.2251226,-0.1242408,0.9296845,0.2637627,149.4131,-0.2333874,-0.128802,0.9638156,5.68774,0,0,0,0,0,0,0,0,0,1,0,0,0.3608616,False,True,False,-0.0500572,1.003841,0.2912195,1.046428,0.00361776,-0.01052059,-0.009969372,0.9998885,1.711389,0.2422411,-0.7044467,-0.6675378,0.1000572,-0.003841281,0.008780509,0.1005151,-0.9225844,-0.05162072,-0.0391093,0.3803211,135.2929,-0.9975452,-0.05581496,-0.04228697,-0.0984257,1.085888,0.07742337,1.093085,0.006674341,-0.1582423,-0.06262156,-0.98539,340.388,0.03918866,-0.929126,-0.367685,False
1773122826922,0.0418296,0.01802184,0.884748,0.2403745,0.9169971,0.6277736,0.2591272,0.2621837,-0.6855751,266.5617,0.8623241,0.355943,0.3601414,-0.05073109,0.9858413,0.290836,1.029098,-0.05036761,1.013723,0.2900065,1.055593,-0.03840165,1.005772,0.3011453,1.050591,-0.01965278,-0.07885243,0.1102385,0.1369543,-0.02095252,-0.07582629,0.1389368,0.1596623,-0.003753452,-0.07631361,0.1313012,0.151914,-0.02274672,-0.08127015,0.1078039,0.1369085,-0.02560788,-0.07192502,0.1452461,0.1640897,-0.003789631,-0.07377412,0.137002,0.1556488,-0.01922768,-0.0769621,0.1248743,0.1479408,-0.1188648,0.275506,-0.0293396,0.9534709,35.09362,-0.3942645,0.91383,-0.09731697,4.089278,-0.01993961,-0.07118049,0.1250868,0.1452961,-0.6634274,-0.2561839,-0.2070792,-0.6718275,264.4165,-0.895667,-0.3458637,-0.2795694,1.297128,True,True,False,-0.1711047,0.6418046,0.1901473,0.6909023,0.1508906,-0.1929325,-0.1056465,-0.9637675,329.0589,0.5656772,-0.7232887,-0.3960606,-0.08290724,0.6585572,0.2840196,0.7219684,-0.07330345,0.659453,0.332446,0.7421402,-0.09065181,0.6661202,0.3504395,0.7581172,0.04576435,-0.0320537,0.1223438,0.1344984,0.03463477,-0.04633331,0.1701606,0.1797248,0.01189022,-0.03985358,0.1827386,0.1874116,0.04576772,-0.03198288,0.1223357,0.1344754,0.03470201,-0.0463312,0.1701522,0.1797292,0.01202718,-0.03979481,0.1827463,0.1874153,0.03460654,-0.03564571,0.1448821,0.1531635,-0.2254164,-0.1241573,0.9297655,0.2632651,149.4722,-0.2336591,-0.1286972,0.9637637,5.68818,0,0,0,0,0,0,0,0,0,1,0,0,0.3626653,False,True,False,-0.0486336,1.003707,0.2912996,1.046255,0.03206745,-0.02616744,-0.02078087,0.998927,5.308929,0.6924105,-0.5650156,-0.4487071,0.0986336,-0.00370729,0.008700401,0.09908596,-0.9327719,-0.03467412,-0.05119893,0.3551241,138.3979,-0.9978099,-0.0370918,-0.0547688,-0.09836231,1.085813,0.07741761,1.093004,0.006611439,-0.1583026,-0.06263859,-0.9853796,340.381,0.03880566,-0.9291524,-0.3676555,False
1773122826936,0.0554178,0.01802001,0.8849117,0.2402506,0.9171226,0.6281462,0.268611,0.2748995,-0.6765432,265.1482,0.8529926,0.364761,0.3733005,-0.04986958,0.9878962,0.2877909,1.03017,-0.05019767,1.01287,0.2877486,1.054146,-0.03932051,1.005988,0.298116,1.049968,-0.0183166,-0.07807153,0.1109332,0.1368825,-0.01947938,-0.07673731,0.1367345,0.1580012,-0.003688774,-0.07671157,0.1301365,0.1511085,-0.02179718,-0.08061713,0.1084502,0.1368783,-0.02432832,-0.07295571,0.1434091,0.1627286,-0.003769021,-0.07439096,0.1355112,0.1546334,-0.01833842,-0.07703198,0.1244973,0.1475459,-0.105753,0.2830672,-0.02383516,0.9529539,35.28961,-0.3488874,0.9338603,-0.07863401,3.577797,-0.01908083,-0.07124796,0.1247227,0.1449003,-0.677454,-0.2595845,-0.2058153,-0.6567437,262.104,-0.8983443,-0.3442245,-0.2729234,1.297988,True,True,False,-0.1710137,0.6420284,0.1902363,0.6911122,0.1499907,-0.1931906,-0.1039722,-0.9640384,329.1754,0.5643775,-0.7269278,-0.3912215,-0.08271299,0.6583653,0.2840962,0.7218012,-0.07314216,0.6592164,0.3325593,0.7419648,-0.09055169,0.6658686,0.3506042,0.7579604,0.04580918,-0.03204089,0.1223398,0.1345069,0.03463367,-0.04627583,0.1701911,0.1797386,0.01178079,-0.03984084,0.1827569,0.1874197,0.04577618,-0.03199473,0.1223366,0.1344818,0.03468803,-0.04631986,0.1701601,0.1797311,0.01197683,-0.03980424,0.1827485,0.1874162,0.03458933,-0.03565579,0.1448939,0.1531731,-0.2258701,-0.1240312,0.9298967,0.2624712,149.5665,-0.2340769,-0.1285378,0.9636836,5.692159,0,0,0,0,0,0,0,0,0,1,0,0,0.3655135,False,True,False,-0.04851295,1.004806,0.2880194,1.046396,0.04658112,-0.04239648,-0.02308729,0.9977474,7.692986,0.694374,-0.6319946,-0.3441569,0.09851295,-0.004806399,0.01198056,0.0993551,-0.9368538,-0.0257837,-0.06616709,0.3424358,139.9493,-0.9971396,-0.02744286,-0.07042488,-0.09829756,1.085747,0.07741776,1.092933,0.00640353,-0.1583962,-0.06254513,-0.9853719,340.3758,0.03757547,-0.9294579,-0.3670104,False
1773122826949,0.0693955,0.01847181,0.8844842,0.2402891,0.9167292,0.6245942,0.2648202,0.2798583,-0.6792878,265.576,0.8510942,0.3608533,0.3813449,-0.04846966,0.9875282,0.2890121,1.030092,-0.04882181,1.012343,0.2893305,1.054008,-0.03813778,1.004805,0.2997613,1.049259,-0.01821811,-0.07788302,0.1110735,0.1368758,-0.01950985,-0.07675132,0.1367155,0.1579953,-0.003684052,-0.07694209,0.1296815,0.1508342,-0.02101328,-0.08004606,0.1090051,0.1368614,-0.02329671,-0.07378662,0.1419296,0.1616515,-0.003751268,-0.07493882,0.1342164,0.1537658,-0.01761862,-0.07707766,0.1242319,0.1472581,-0.0926082,0.2907034,-0.01975155,0.9521162,35.60495,-0.3029021,0.9508302,-0.06460319,3.186703,-0.01838568,-0.07129208,0.1244664,0.1446115,-0.6911827,-0.2617581,-0.2031686,-0.6422399,259.9181,-0.9017341,-0.3414961,-0.2650588,1.285866,True,True,False,-0.1711172,0.6419212,0.1903315,0.6910644,0.1494761,-0.1928862,-0.106459,-0.9639078,329.1192,0.561442,-0.724493,-0.399867,-0.08284424,0.6584274,0.2841973,0.7219127,-0.07330765,0.6593087,0.3326769,0.7421158,-0.09070748,0.6657941,0.3507143,0.7579644,0.0458181,-0.0321059,0.1223271,0.134514,0.03460474,-0.04625493,0.1702062,0.1797419,0.01178808,-0.03987012,0.1827438,0.1874137,0.04578493,-0.03201794,0.1223346,0.1344885,0.03467062,-0.04630627,0.1701698,0.1797333,0.01193739,-0.03981803,0.1827475,0.1874156,0.03457952,-0.03567224,0.144894,0.1531748,-0.2262923,-0.123815,0.930076,0.2615727,149.6732,-0.2344551,-0.1282813,0.9636258,5.69163,0,0,0,0,0,0,0,0,0,1,0,0,0.3631623,False,True,False,-0.04822545,1.005741,0.2850618,1.04647,0.06187118,-0.05773814,-0.02238098,0.9961614,10.04368,0.7068118,-0.6595964,-0.2556787,0.09822546,-0.005740523,0.01493824,0.09952058,-0.9406922,-0.01995557,-0.08150791,0.3287199,141.6178,-0.9960449,-0.02112981,-0.08630405,-0.09826715,1.085605,0.07726391,1.092778,0.005990349,-0.1584639,-0.06239877,-0.9853728,340.3764,0.0351521,-0.9298858,-0.3661636,False
1773122826963,0.0831912,0.01949172,0.8835053,0.2403874,0.9158317,0.6213946,0.2622043,0.2852678,-0.6809845,265.8413,0.8485547,0.3580569,0.3895517,-0.04657675,0.9867756,0.2898161,1.029509,-0.04701559,1.011325,0.2905318,1.05328,-0.03661312,1.003018,0.3010764,1.047871,-0.01814823,-0.07758436,0.1112929,0.1368751,-0.01953168,-0.07677343,0.1366777,0.1579761,-0.003685136,-0.07724469,0.1290687,0.1504628,-0.02039286,-0.07953601,0.1094846,0.1368529,-0.02249764,-0.0744332,0.1407801,0.1608275,-0.003737597,-0.07542889,0.1330847,0.1530197,-0.01706065,-0.07709505,0.1240792,0.1470726,-0.07955958,0.2987043,-0.01762487,0.9508604,36.07266,-0.2569588,0.9647449,-0.05692419,2.89296,-0.01784683,-0.07130886,0.1243189,0.1444253,-0.7042766,-0.2625495,-0.1985756,-0.6289912,257.9515,-0.905924,-0.3377223,-0.2554314,1.238935,True,True,False,-0.1711569,0.642032,0.1901934,0.6911392,0.1519839,-0.1946972,-0.1053865,-0.9632692,328.8455,0.565969,-0.7250281,-0.392446,-0.08263855,0.6589057,0.2837594,0.7221532,-0.07304619,0.6600151,0.3322278,0.7425166,-0.09030591,0.6666793,0.3502346,0.7584727,0.04574263,-0.03214959,0.1223415,0.1345118,0.03443411,-0.04631948,0.1701969,0.1797169,0.01171549,-0.03989898,0.1827402,0.1874117,0.04577619,-0.03204514,0.122336,0.1344933,0.03462168,-0.04630901,0.1701754,0.1797299,0.01189149,-0.03983479,0.182746,0.1874148,0.03455848,-0.03569192,0.1448867,0.1531677,-0.2265804,-0.1237333,0.9300945,0.2612962,149.706,-0.2347354,-0.1281867,0.9635702,5.686515,0,0,0,0,0,0,0,0,0,1,0,0,0.3649141,False,True,False,-0.04641252,1.004958,0.2870708,1.046186,0.08782468,-0.05880429,-0.02217967,0.9941514,12.39959,0.8132237,-0.5445057,-0.2053754,0.09641252,-0.004958153,0.01292926,0.09740186,-0.9487246,-0.01874585,-0.08418635,0.3041101,144.5907,-0.9958932,-0.01967786,-0.08837193,-0.09824458,1.085485,0.07713821,1.092648,0.005710447,-0.1585653,-0.06244782,-0.9853551,340.3645,0.03348947,-0.9299213,-0.3662313,False
1773122826977,0.0972177,0.01990191,0.8834451,0.2398805,0.9156495,0.6209769,0.2631568,0.2876913,-0.679978,265.6838,0.846903,0.3588995,0.3923602,-0.04603524,0.9869443,0.288972,1.029409,-0.04655333,1.01148,0.2896613,1.053168,-0.03630211,1.002797,0.3003633,1.047444,-0.01806688,-0.07748164,0.1113621,0.1368625,-0.01956638,-0.07675485,0.136729,0.1580158,-0.003674227,-0.07738166,0.1287695,0.1502765,-0.01988339,-0.07910398,0.1098835,0.1368473,-0.02186698,-0.07494156,0.1398826,0.1601922,-0.003724326,-0.07584918,0.1321247,0.1523939,-0.01661616,-0.07710702,0.123986,0.1469494,-0.06730735,0.3062123,-0.01671397,0.9494337,36.59698,-0.2143768,0.9752995,-0.05323471,2.670056,-0.01741757,-0.07132043,0.1242289,0.1443011,-0.7151625,-0.2623947,-0.1938394,-0.6181571,256.3633,-0.9098127,-0.3338123,-0.2465978,1.110897,True,True,False,-0.1710442,0.6420743,0.1900975,0.6911242,0.1524538,-0.1946382,-0.1033961,-0.9634227,328.911,0.568886,-0.7262982,-0.3858255,-0.08259197,0.6587931,0.2837463,0.72204,-0.07302184,0.6598426,0.3321949,0.7423462,-0.09022956,0.6666205,0.3501591,0.758377,0.045689,-0.0321287,0.1223609,0.1345063,0.0343917,-0.0463958,0.1701623,0.1796958,0.01172351,-0.03996201,0.1827132,0.1873994,0.04575794,-0.03206264,0.1223412,0.134496,0.03457347,-0.04632721,0.1701726,0.1797227,0.01185629,-0.03986148,0.1827391,0.1874116,0.03453583,-0.03571028,0.1448786,0.1531592,-0.2266866,-0.1238586,0.9300342,0.2613591,149.6986,-0.2348496,-0.1283187,0.9635248,5.680581,0,0,0,0,0,0,0,0,0,1,0,0,0.3652279,False,True,False,-0.04426037,1.003801,0.2885873,1.045399,0.1115793,-0.06364568,-0.0226866,0.9914558,14.9904,0.8553869,-0.4879192,-0.1739195,0.09426036,-0.003801227,0.01141271,0.09502482,-0.9552057,-0.01546717,-0.08990531,0.2815317,147.2967,-0.9954705,-0.01611916,-0.0936951,-0.09819691,1.085388,0.07708517,1.092543,0.005444304,-0.1586424,-0.0623375,-0.9853512,340.3619,0.03192439,-0.9302497,-0.3655356,False
1773122826991,0.1111407,0.02096902,0.8828968,0.2387543,0.9148498,0.6200668,0.2637213,0.2900727,-0.6795778,265.6213,0.8452344,0.3594876,0.3954081,-0.04458576,0.98647,0.2879548,1.028605,-0.0452725,1.011819,0.2883431,1.053076,-0.03525355,1.002242,0.2992062,1.046545,-0.01763498,-0.07737379,0.1113896,0.1367675,-0.01960272,-0.07651699,0.1375623,0.158627,-0.003672434,-0.0774151,0.1287352,0.1502642,-0.01939449,-0.07874178,0.1102017,0.1368241,-0.02138267,-0.07528381,0.1393727,0.1598425,-0.003713524,-0.07618399,0.1313761,0.1519127,-0.01627044,-0.07709372,0.1240089,0.1469231,-0.05654328,0.3112393,-0.01709466,0.948494,36.93845,-0.1784853,0.9824622,-0.05396122,2.51519,-0.01708368,-0.07130757,0.1242511,0.1442739,-0.721921,-0.2608754,-0.1911172,-0.6117584,255.4335,-0.9126173,-0.3297859,-0.241601,0.8234009,True,True,False,-0.1710496,0.6418848,0.1900481,0.6909359,0.1523562,-0.1945994,-0.1035257,-0.963432,328.915,0.5685928,-0.7262441,-0.3863575,-0.08260324,0.6586125,0.2837046,0.7218602,-0.07306774,0.6596485,0.3321745,0.7421691,-0.09026621,0.6664149,0.3501318,0.7581879,0.04568965,-0.03211677,0.1223669,0.1345091,0.03435174,-0.0463838,0.1701741,0.1796962,0.01169696,-0.03995395,0.1827202,0.1874028,0.04574373,-0.0320739,0.1223466,0.1344987,0.03452725,-0.04633901,0.1701729,0.1797172,0.01182309,-0.03988076,0.1827352,0.1874097,0.03451683,-0.03572192,0.144871,0.1531505,-0.2267971,-0.1239775,0.9299692,0.2614383,149.6892,-0.2349693,-0.1284448,0.9634788,5.674994,0,0,0,0,0,0,0,0,0,1,0,0,0.3644599,False,True,False,-0.04350594,1.003778,0.2880693,1.045202,0.126912,-0.06962587,-0.02077304,0.9892492,16.81807,0.8678393,-0.4761101,-0.1420485,0.09350593,-0.003778338,0.01193067,0.09433968,-0.9587193,-0.01429169,-0.09706848,0.2668912,149.0413,-0.994804,-0.01482961,-0.100722,-0.0981257,1.08532,0.07706917,1.092469,0.005432693,-0.1584792,-0.06211627,-0.9853916,340.389,0.03189995,-0.9305654,-0.3647373,False
1773122827006,0.1251301,0.02111905,0.8826269,0.2378056,0.9143455,0.6172928,0.2678165,0.298297,-0.6769363,265.2094,0.8386657,0.3638606,0.4052719,-0.04462993,0.9865143,0.2860551,1.02812,-0.04512291,1.012317,0.286399,1.053018,-0.03575537,1.001428,0.2976422,1.045336,-0.01756026,-0.07733,0.1114223,0.1367597,-0.01960254,-0.07634427,0.1380515,0.1589683,-0.003686058,-0.07776506,0.1279811,0.1498004,-0.01899488,-0.07844488,0.1104606,0.1368062,-0.0210007,-0.07551448,0.1390822,0.1596475,-0.003707786,-0.07652307,0.1306248,0.1514343,-0.0160254,-0.07708089,0.1241105,0.1469751,-0.04672162,0.3170512,-0.02012911,0.9470431,37.45972,-0.1455019,0.9873707,-0.06268668,2.402369,-0.01684706,-0.07129519,0.1243492,0.1443244,-0.7283466,-0.2586384,-0.1863998,-0.606525,254.6773,-0.9160851,-0.325305,-0.2344462,0.8237302,True,True,False,-0.1710203,0.6419111,0.1901181,0.6909723,0.1520713,-0.194568,-0.1036363,-0.9634715,328.9319,0.5678307,-0.7265122,-0.3869754,-0.08257642,0.6585842,0.2837875,0.7218639,-0.07304084,0.659595,0.3322548,0.7421548,-0.09030263,0.6663503,0.3502541,0.7581921,0.04568468,-0.03212366,0.1223676,0.1345097,0.03434798,-0.04638645,0.170173,0.1796951,0.0116188,-0.03994792,0.1827315,0.1874077,0.04573139,-0.0320843,0.122351,0.134501,0.03448975,-0.04634893,0.1701729,0.1797125,0.01178037,-0.03989482,0.1827344,0.1874093,0.03449203,-0.03573304,0.1448739,0.1531502,-0.2269858,-0.1240505,0.9299198,0.2614152,149.6919,-0.2351633,-0.1285196,0.9634215,5.674129,0,0,0,0,0,0,0,0,0,1,0,0,0.3638304,False,True,False,-0.0421375,1.003295,0.2870944,1.044414,0.1365417,-0.07495277,-0.01894962,0.987613,18.05513,0.8701928,-0.477681,-0.1207677,0.0921375,-0.003295183,0.01290563,0.09309529,-0.9606032,-0.01350844,-0.1032439,0.2576818,150.1349,-0.9941767,-0.01398057,-0.1068523,-0.09806235,1.085298,0.07706472,1.092441,0.005324907,-0.1585854,-0.06200796,-0.9853818,340.3825,0.03125674,-0.930882,-0.3639812,False
1773122827018,0.1388626,0.02196413,0.8817669,0.2371247,0.9133583,0.6133055,0.266621,0.3049437,-0.6780701,265.386,0.8344323,0.3627509,0.4148909,-0.04326875,0.9856429,0.2860501,1.027224,-0.04331598,1.012893,0.2863264,1.053476,-0.03451839,1.000284,0.2978263,1.044251,-0.01741848,-0.07728303,0.1114566,0.136743,-0.01968181,-0.07576884,0.1395437,0.1600023,-0.003672291,-0.0777961,0.1279309,0.1497733,-0.01865702,-0.07820397,0.1106687,0.13679,-0.02072204,-0.07556885,0.1391817,0.1597236,-0.003700479,-0.0767919,0.1300383,0.1510651,-0.01588212,-0.07702526,0.1243645,0.147145,-0.03911035,0.3215229,-0.02545975,0.9457511,37.91806,-0.1203795,0.98963,-0.07836372,2.342483,-0.01670867,-0.07124149,0.1245945,0.1444933,-0.7324888,-0.2558794,-0.1821153,-0.6040034,254.3143,-0.9190785,-0.3210605,-0.2285063,0.6772667,True,True,False,-0.1711529,0.6419826,0.1902068,0.6910959,0.1509212,-0.194699,-0.1034856,-0.963642,329.0049,0.5648317,-0.7286731,-0.387301,-0.08266369,0.6583743,0.2838851,0.7217207,-0.07314666,0.6593292,0.3323788,0.7419845,-0.09034368,0.6660389,0.3503601,0.7579722,0.04567795,-0.03212918,0.1223703,0.1345112,0.03430262,-0.04633348,0.1702075,0.1797055,0.01163604,-0.03991843,0.182742,0.1874127,0.04572039,-0.03209354,0.1223549,0.1345031,0.03445117,-0.04634575,0.1701801,0.179711,0.01175063,-0.03989969,0.182736,0.18741,0.03447644,-0.03573789,0.1448684,0.1531427,-0.2271246,-0.1240302,0.9299129,0.2613295,149.7021,-0.2353014,-0.1284955,0.9633911,5.669633,0,0,0,0,0,0,0,0,0,1,0,0,0.3627958,False,True,False,-0.04197257,1.003378,0.2854298,1.044031,0.1458708,-0.08955601,-0.01933623,0.985052,19.83814,0.8468214,-0.5198979,-0.1122522,0.09197257,-0.003378391,0.01457024,0.09318079,-0.9613578,-0.007089722,-0.117067,0.2490709,151.1549,-0.9926407,-0.007320424,-0.1208764,-0.09798194,1.08532,0.07706289,1.092455,0.005310677,-0.1585687,-0.06198507,-0.9853861,340.3853,0.03117769,-0.9309179,-0.3638992,False
