Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773123215151,0,1,1,135,0.7830551,0.1329669,0.6075726,0.9999999,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.7234486,0.1228454,0.5613239,0.3826834,135,0.7830552,0.1329669,0.6075726
Trial Start,1773123219540,0,1,1,135,0.7830551,0.1329669,0.6075726,0.9999999,-1,-0.05068346,0.9998299,0.3009611,1.045374,0.00126858,0.002297527,0.00247941,0.9999935,0.4130676,0.3519247,0.637371,0.6878283,0.1006835,0.0001701117,-0.0009610653,0.1006882,0.7239435,0.123047,0.5588651,0.3852726,134.6787,0.7845051,0.1333405,0.605617
On Target,1773123226483,6.955365,1,1,135,0.7830551,0.1329669,0.6075726,0.9999999,-1,0.03979694,0.9938393,0.2946219,1.037354,0.6657376,0.1370687,0.6096616,0.4078214,131.8639,0.7291266,0.1501198,0.6677112,0.01020306,0.006160736,0.005378127,0.01307598,0.04231698,0.06500947,-0.0217668,0.9967493,9.242107,0.5252507,0.8069166,-0.2701759
Off Target,1773123226497,6.969172,1,1,135,0.7830551,0.1329669,0.6075726,0.9999999,-1,0.04088911,0.9935309,0.2916175,1.036251,0.6626716,0.143023,0.6192867,0.3960997,133.3309,0.7217013,0.1557633,0.6744517,0.009110894,0.006469131,0.008382529,0.01396871,0.03717012,0.0699752,-0.03671415,0.9961797,10.0197,0.4256432,0.8013013,-0.4204218
On Target,1773123226511,6.982856,1,1,135,0.7830551,0.1329669,0.6075726,0.9999999,-1,0.04265475,0.9949205,0.293789,1.038267,0.6692415,0.1452354,0.6081191,0.4015142,132.6543,0.7307305,0.1585795,0.6639922,0.007345255,0.005079508,0.006210983,0.01087798,0.04118681,0.05802662,-0.03019471,0.997008,8.866644,0.532825,0.7506779,-0.3906225
Off Target,1773123226941,7.413803,1,1,135,0.7830551,0.1329669,0.6075726,0.9999999,-1,0.05364394,1.00521,0.3061695,1.052171,0.7165651,0.2088072,0.552164,0.3715496,136.3776,0.771817,0.2249077,0.5947396,-0.003643941,-0.005209684,-0.006169498,0.008858996,0.04395719,-0.03702669,-0.06577893,0.9961777,10.02228,0.5032336,-0.4238914,-0.7530547
On Target,1773123227150,7.622194,1,1,135,0.7830551,0.1329669,0.6075726,0.9999999,-1,0.05685924,1.004673,0.3090701,1.052675,0.7168735,0.2038428,0.5535612,0.3716324,136.3674,0.7721768,0.2195683,0.5962658,-0.006859243,-0.004672885,-0.009070098,0.01229438,0.04094082,-0.03427904,-0.06263776,0.9966069,9.442476,0.49741,-0.4164728,-0.7610168
Trial End,1773123228137,8.608218,1,2,135,0.7830551,0.1329669,0.6075726,0.9999999,-1,0.0558479,1.006764,0.3069502,1.053998,0.7205161,0.1852636,0.549045,0.3808982,135.2213,0.779259,0.200368,0.5938081,-0.005847897,-0.006764174,-0.00695014,0.01132503,0.03637599,-0.03134278,-0.04181981,0.9979707,7.301536,0.5712771,-0.4922317,-0.6567712
Trial Load,1773123228137,8.608218,1,2,135,0.5452914,0.6892698,-0.4770371,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.5037836,0.6368023,-0.4407248,0.3826834,135,0.5452915,0.6892698,-0.4770371
Trial Start,1773123229135,0,1,2,135,0.5452914,0.6892698,-0.4770371,1,-1,-0.0489026,1.00049,0.2977966,1.045014,0.009010667,-0.01023284,-0.01478349,0.9997978,2.30466,0.448066,-0.5088401,-0.7351263,0.0989026,-0.0004895926,0.002203435,0.09892835,0.5141575,0.637113,-0.4240851,0.3871446,134.4461,0.557643,0.6909976,-0.4599526
On Target,1773123237497,8.374559,1,2,135,0.5452914,0.6892698,-0.4770371,1,-1,0.05938226,0.9968199,0.2986585,1.042292,0.5395209,0.6356058,-0.3735944,0.4066324,132.0131,0.5905491,0.6957217,-0.4089292,-0.009382263,0.003180087,0.001341522,0.009996974,-0.04383239,0.06527811,-0.01288423,0.9968208,9.140065,-0.550123,0.8192799,-0.1617048
Trial End,1773123238497,9.374618,1,3,135,0.5452914,0.6892698,-0.4770371,1,-1,0.0615961,0.9991126,0.2951942,1.043628,0.5199322,0.6515414,-0.4014734,0.3794516,135.4006,0.5619602,0.7042079,-0.433926,-0.01159609,0.000887394,0.004805833,0.01258384,-0.03929912,0.01919282,-0.01073838,0.9989855,5.162225,-0.8726572,0.4261865,-0.2384512
Trial Load,1773123238497,9.374618,1,3,135,0.1656251,0.942472,-0.2903703,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.1530176,0.8707306,-0.2682672,0.3826834,135,0.1656251,0.942472,-0.2903703
Trial Start,1773123239608,0,1,3,135,0.1656251,0.942472,-0.2903703,1,-1,-0.04917675,1.002064,0.2980838,1.046616,0.01019662,0.002198567,0.005520106,-0.9999304,358.6478,0.8641316,0.1863216,0.4678116,0.09917675,-0.002064228,0.00191623,0.09921674,-0.1623054,-0.8679313,0.2746782,-0.380663,224.7495,-0.1755196,-0.9385944,0.2970412
