Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.7830551,0.1329669,0.6075726,0.9999999,8.608218,False,-0.005847897,-0.006764174,-0.00695014,0.01132503,0.03637599,-0.03134278,-0.04181981,0.9979707,7.301536,0.5712771,-0.4922317,-0.6567712,0.8118944,0.6978825,0.8651845,1.751875,757.0302,0,0,0.02685879,0.0197334,0.02585426,0.07914236,17.49943,0,0,0.7137533,403.9429,0.1078557,32.94934
1,3,135,0.5452914,0.6892698,-0.4770371,1,9.374618,False,-0.01159609,0.000887394,0.004805833,0.01258384,-0.03929912,0.01919282,-0.01073838,0.9989855,5.162225,-0.8726572,0.4261865,-0.2384512,0.5954057,0.5270836,0.5848374,1.488435,818.4905,0,0,0.0677598,0.09404995,0.07560252,0.1793569,72.36742,0,0,0.8413832,512.6267,0.3298885,80.49677
1,4,135,0.1656251,0.942472,-0.2903703,1,16.7082,False,0.001268376,0.0007091165,-0.002341211,0.00275552,-0.04145409,-0.05555322,-0.04958236,0.996362,9.777765,-0.4864155,-0.6518524,-0.5817912,1.071552,1.041282,1.123667,2.143633,1160.702,0,0,0.06658446,0.06454013,0.05553219,0.1787342,45.48261,0,0,0.9314168,603.5315,0.2061559,55.01475
1,5,135,-0.2568096,0.9578371,0.1288289,1,9.347019,False,0.00338253,-0.0002328157,0.004698277,0.005793921,-0.06911364,0.01205964,0.01071495,0.9974784,8.139446,-0.9738401,0.1699254,0.1509782,0.5685425,0.574225,0.6960022,0.6506991,554.6642,0,0,0.02958011,0.04647808,0.03096594,0.09962068,20.71443,0,0,0.6791865,352.8346,0.07098968,16.58451
1,6,135,-0.3230068,0.1883255,0.9274697,1,9.206991,False,-0.002994832,0.008084357,-0.005931914,0.01046487,-0.05391103,0.05916059,0.01931535,0.9966046,9.445878,-0.6547553,0.7185118,0.234587,0.5499132,0.4596399,0.5137601,0.9109447,892.7786,0,0,0.03368024,0.03251157,0.0307305,0.09316133,24.23265,0,0,0.748664,641.0479,0.08858008,22.14149
1,7,135,0.136351,-0.7368472,0.6621666,0.9999999,9.472672,False,0.001900736,-0.0008581877,0.008167028,0.008429095,0.03689486,0.05201776,0.00166289,-0.9979631,352.6848,0.5783429,0.8154008,0.02606652,0.6189606,0.5718412,0.5768893,1.101911,610.6794,0,0,0.06737073,0.05409609,0.04153415,0.1568165,57.61822,0,0,0.586266,348.9798,0.1052024,28.44881
1,8,135,0.4884177,0.4209357,-0.76437,1,11.73666,False,-0.01108109,0.002905488,-0.01232553,0.01682709,0.0714733,-0.0112001,-0.02319,0.99711,8.71406,0.9407936,-0.1474254,-0.3052469,0.7654818,0.7891918,0.9851128,1.161942,778.8605,0,0,0.05028933,0.152355,0.05990619,0.1723202,54.86398,0,0,0.9551463,436.3477,0.1414786,36.59155
1,9,135,0.9864008,0.05168318,-0.1560203,1,5.374844,False,-0.0008418746,-0.002392769,0.0009201169,0.002698279,0.002452502,-0.00850811,0.02004589,0.9997599,2.511395,0.1119135,-0.3882454,0.914742,0.3605589,0.2639796,0.3611163,0.8900955,513.4745,0,0,0.02300506,0.07123552,0.0275946,0.05899485,19.41067,0,0,0.6042599,354.239,0.06590486,21.54513
1,10,135,0.2309211,0.2136483,-0.9492259,1,8.124605,False,-0.003775187,0.005917192,0.003856391,0.008008555,-0.005482773,0.0310885,-0.002045695,0.9994995,3.625667,-0.1733145,0.9827302,-0.06466591,0.7775038,0.6982685,0.9292882,0.998652,674.5715,0,0,0.02887165,0.1681892,0.03008946,0.08918396,23.61152,0,0,0.6563523,347.7546,0.1084538,29.86191
1,11,135,0.6197674,0.6220444,0.4784863,1,10.73568,False,-0.01401723,0.006982803,0.0084337,0.01778678,-0.006161537,0.04047274,-0.01438783,-0.9990581,355.0261,-0.1419976,0.9327272,-0.3315791,0.7223536,0.5856465,0.7337933,1.457622,927.3082,0,0,0.07297751,0.179434,0.05663232,0.1277762,46.92702,0,0,1.100353,708.1792,0.2325975,72.41687
