Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773123495435,0.013979,0.004309203,0.880896,0.2627683,0.9192625,0.5714913,0.283448,0.4027857,-0.6563678,262.0469,0.7575029,0.375706,0.5338862,-0.06557445,0.9952245,0.2769251,1.035113,-0.03781785,1.037352,0.3040647,1.081658,-0.04193133,1.024889,0.3290791,1.077242,-0.04926143,-0.06666861,0.1121101,0.1394277,-0.02002212,-0.05585968,0.1625305,0.1730241,0.001975261,-0.0732858,0.1543525,0.1708783,0,0,0,0,0,0,0,0,0,1,0,0,-0.07773072,0.5644289,0.08682004,0.576333,0.02403975,-0.4324591,-0.07513786,-0.8981957,307.8438,0.05468603,-0.9837653,-0.1709249,0.03409829,0.527918,0.1399008,0.5472041,0.0413636,0.5104942,0.1528662,0.5344936,0.05021694,0.5121418,0.1793732,0.5449639,0.02394506,-0.05413838,0.1197115,0.1335484,0.01603622,-0.07282235,0.1319571,0.1515682,0.0004543034,-0.07196774,0.1563632,0.1721308,0,0,0,0,0,0,0,0,0,1,0,0,-0.05101407,0.9999357,0.3001745,1.045265,-0.001676123,0.005029213,-0.001927737,-0.9999841,359.3535,-0.297095,0.8914343,-0.3416938,0.1010141,6.425381E-05,-0.0001744926,0.1010142,-0.5582791,-0.3928043,0.6239306,-0.3804469,224.7227,-0.6036736,-0.4247439,0.6746634,-0.04676349,1.07612,-0.007276466,1.07716,0.02062618,-0.08263351,-0.08981555,-0.9923102,345.7798,0.1666409,-0.6676044,-0.7256288,False
1773123495450,0.0279121,0.003767068,0.8812072,0.26292,0.9196017,0.5720446,0.2831374,0.4026853,-0.6560813,262.0034,0.7579861,0.3751705,0.533577,-0.06597305,0.9956303,0.277036,1.035558,-0.04011208,1.035989,0.3051029,1.080727,-0.0440378,1.023458,0.3296188,1.07613,-0.04924263,-0.0666296,0.1121435,0.1394292,-0.01981947,-0.05811238,0.1607799,0.1721047,0.00185057,-0.07510711,0.152426,0.1699358,0,0,0,0,0,0,0,0,0,1,0,0,-0.07768126,0.5642716,0.08698928,0.5761978,0.02362246,-0.4325458,-0.07536238,-0.8981463,307.8309,0.05372444,-0.9837365,-0.1713962,0.03415285,0.5276701,0.1399726,0.5469868,0.04118756,0.5102263,0.1526979,0.5341759,0.05024725,0.5118375,0.1793829,0.544684,0.02395934,-0.0541848,0.1196761,0.1335381,0.01607936,-0.07284465,0.1315893,0.1512635,0.0004782267,-0.0720303,0.1562691,0.1720716,0,0,0,0,0,0,0,0,0,1,0,0,-0.05143465,1.000322,0.3002683,1.045682,-0.001244743,0.004625943,-0.001545368,-0.9999874,359.4239,-0.2476035,0.9201894,-0.3074035,0.1014346,-0.0003216267,-0.0002682805,0.1014355,-0.558342,-0.3921682,0.6241784,-0.3806045,224.7423,-0.603784,-0.4240857,0.6749787,-0.04664804,1.07614,-0.007471365,1.077176,0.02026271,-0.08276233,-0.0897695,-0.9923111,345.7806,0.163714,-0.6686842,-0.7252992,False
1773123495464,0.0419092,0.003648825,0.8812397,0.2628238,0.9196048,0.5722902,0.2833034,0.4028057,-0.6557216,261.9488,0.7579976,0.3752349,0.5335155,-0.06599987,0.9957179,0.2769172,1.035613,-0.04116987,1.035129,0.3052805,1.079992,-0.04423496,1.023509,0.3294747,1.076142,-0.04913777,-0.06663508,0.1121828,0.1394265,-0.01978935,-0.05922544,0.1598115,0.1715779,0.001874358,-0.07525142,0.1523766,0.1699557,0,0,0,0,0,0,0,0,0,1,0,0,-0.07780913,0.5643198,0.08684051,0.5762399,0.0240855,-0.4325435,-0.07590926,-0.898089,307.816,0.05476296,-0.9834696,-0.1725941,0.03402069,0.5278505,0.1398614,0.5471241,0.04069113,0.5103253,0.1521482,0.5340756,0.04999026,0.5118805,0.1790072,0.5445771,0.02389933,-0.0542189,0.119643,0.1335115,0.01612016,-0.07292376,0.130947,0.1507476,0.0005222801,-0.07222456,0.1559242,0.1718401,0,0,0,0,0,0,0,0,0,1,0,0,-0.05151909,1.000406,0.3000568,1.045706,-0.0008438796,0.004806358,-0.001348987,-0.9999872,359.4199,-0.1666887,0.949384,-0.2664608,0.1015191,-0.0004057884,-5.683303E-05,0.1015199,-0.5586846,-0.3918766,0.6241586,-0.3804343,224.7212,-0.6041089,-0.4237384,0.6749061,-0.04649782,1.076289,-0.007669454,1.07732,0.01991447,-0.08252362,-0.09009157,-0.9923089,345.7786,0.1608772,-0.6666595,-0.7277965,False
1773123495477,0.0556545,0.003475649,0.8813279,0.2627806,0.9196763,0.5736757,0.2834374,0.4020774,-0.6548994,261.824,0.7591153,0.3750581,0.5320483,-0.06606329,0.9958866,0.276711,1.035724,-0.04193794,1.034699,0.3051237,1.079565,-0.0441296,1.024115,0.3290452,1.076583,-0.04900746,-0.06665412,0.1122217,0.139421,-0.01973776,-0.06003749,0.1591274,0.171218,0.001907126,-0.07512932,0.1526813,0.1701753,0,0,0,0,0,0,0,0,0,1,0,0,-0.07778467,0.5645358,0.0868337,0.5764471,0.02405186,-0.4327047,-0.07546716,-0.8980495,307.8057,0.05467644,-0.9836557,-0.1715574,0.03393146,0.527926,0.139856,0.54719,0.04006178,0.5103254,0.1514828,0.5338389,0.04995342,0.511962,0.1789135,0.5446196,0.02380926,-0.05427031,0.1195705,0.1334513,0.01622145,-0.07298043,0.1300133,0.1499758,0.0005387788,-0.07228106,0.1558376,0.1717854,0,0,0,0,0,0,0,0,0,1,0,0,-0.05160336,1.000634,0.2996948,1.045824,-0.0007954417,-0.004150301,0.001186842,0.9999904,0.5020199,-0.1815684,-0.9473525,0.2709099,0.1016034,-0.0006341934,0.0003051758,0.1016058,0.5589657,0.3905093,-0.625101,0.3798799,135.3475,0.6042639,0.4221559,-0.6757587,-0.04641794,1.076162,-0.0078508,1.077191,0.01941074,-0.08254538,-0.09026242,-0.9923015,345.7718,0.1567329,-0.6665164,-0.7288281,False
1773123495492,0.0695059,0.003322892,0.8813318,0.2626027,0.9196287,0.5740693,0.2833693,0.403006,-0.6540127,261.6897,0.7588655,0.3745875,0.5327359,-0.06584793,0.9960175,0.2771654,1.035957,-0.04260538,1.034082,0.3050843,1.078989,-0.04444777,1.023841,0.3287246,1.076237,-0.0482215,-0.06698595,0.1123457,0.1394058,-0.01971815,-0.06094508,0.1583417,0.1708075,0.001825463,-0.0755222,0.1521988,0.1699159,0,0,0,0,0,0,0,0,0,1,0,0,-0.07782971,0.5643742,0.08677664,0.5762863,0.02406448,-0.4327037,-0.07591286,-0.898012,307.796,0.05469562,-0.9834826,-0.1725406,0.03385035,0.5275701,0.1397193,0.5468066,0.03959236,0.5101289,0.1509186,0.5334561,0.04990732,0.5118186,0.1787754,0.5444351,0.02378295,-0.05453285,0.1194463,0.1334424,0.01629786,-0.07302511,0.1293122,0.1493986,0.0005465272,-0.07232855,0.1557568,0.1717321,0,0,0,0,0,0,0,0,0,1,0,0,-0.05153263,1.000796,0.2993394,1.045874,-0.001276527,-0.004730015,7.310366E-05,0.999988,0.5609267,-0.2607816,-0.9662943,0.01493434,0.1015326,-0.0007958412,0.0006605983,0.1015379,0.5599447,0.3898089,-0.6245376,0.3800838,135.3223,0.605377,0.4214369,-0.6752108,-0.04633533,1.076013,-0.00801815,1.07704,0.01831565,-0.08239976,-0.0903215,-0.992329,345.7973,0.1481548,-0.6665293,-0.730608,False
1773123495506,0.0832447,0.003139574,0.8813463,0.2623847,0.9195798,0.5745064,0.2832448,0.4045282,-0.6527418,261.4973,0.7583438,0.3738808,0.5339739,-0.06551039,0.9962206,0.2777231,1.036281,-0.04320271,1.03348,0.3049604,1.078401,-0.04498726,1.02327,0.3283567,1.075604,-0.04723268,-0.06740398,0.1124904,0.1393855,-0.01969899,-0.06189498,0.1574938,0.1703624,0.001701394,-0.07621405,0.1513171,0.1694353,0,0,0,0,0,0,0,0,0,1,0,0,-0.07787843,0.5641969,0.0867174,0.5761104,0.02405555,-0.4326913,-0.07655909,-0.8979635,307.7833,0.05466301,-0.9832327,-0.1739702,0.0337446,0.5271439,0.1395684,0.5463504,0.03910017,0.5099134,0.1503037,0.5330401,0.04987466,0.5116832,0.1786237,0.5442551,0.0237281,-0.05487324,0.119283,0.1334261,0.01637629,-0.07309463,0.1285538,0.1487854,0.0005533425,-0.07237649,0.1556751,0.1716782,0,0,0,0,0,0,0,0,0,1,0,0,-0.05138021,1.001036,0.2988869,1.045966,0.001818848,0.005704126,0.001628452,-0.9999807,359.2889,0.2931164,0.9192483,0.2624332,0.1013802,-0.00103569,0.001113117,0.1013916,-0.5614202,-0.3888921,0.6235507,-0.3804667,224.7252,-0.6070755,-0.4205172,0.6742585,-0.04624224,1.075864,-0.008142315,1.076888,0.01774352,-0.08245067,-0.09012794,-0.9923528,345.8193,0.143749,-0.6679736,-0.7301709,False
1773123495518,0.0970834,0.003099205,0.8812661,0.2623188,0.919484,0.5764768,0.2842724,0.4047903,-0.6503911,261.1422,0.758922,0.3742399,0.5328997,-0.06498907,0.996297,0.2786157,1.036561,-0.0443621,1.032259,0.3044758,1.07714,-0.04536259,1.023033,0.3274246,1.07511,-0.04553619,-0.06804612,0.1127532,0.1393453,-0.01965002,-0.06343508,0.1559397,0.1694914,0.001583011,-0.07673445,0.1506089,0.1690377,0,0,0,0,0,0,0,0,0,1,0,0,-0.0780571,0.5641898,0.08670214,0.5761253,0.02446798,-0.4328704,-0.07621441,-0.8978953,307.7656,0.05558262,-0.9833291,-0.1731323,0.03354853,0.5271428,0.1395346,0.5463286,0.03856871,0.5098822,0.149932,0.5328668,0.04971033,0.5117489,0.1786209,0.5443009,0.0237304,-0.05489179,0.1192458,0.1334009,0.01644825,-0.07310775,0.1280154,0.1483349,0.0005587239,-0.07236872,0.1556728,0.1716729,0,0,0,0,0,0,0,0,0,1,0,0,-0.05120917,1.001289,0.298032,1.045957,0.004801875,0.006397259,0.002702548,-0.9999644,359.0325,0.5687287,0.7576843,0.3200868,0.1012092,-0.001289129,0.001967967,0.1012365,-0.5634046,-0.3866839,0.6239033,-0.3792039,224.5688,-0.6088799,-0.4178952,0.6742618,-0.04611304,1.075863,-0.008268647,1.076882,0.01780035,-0.08271434,-0.08970837,-0.9923679,345.8333,0.1443512,-0.6707686,-0.7274864,False
1773123495532,0.1111138,0.002782544,0.8810638,0.2621089,0.9192291,0.5820099,0.2820037,0.4035964,-0.6471849,260.6594,0.7634588,0.3699219,0.5294226,-0.06397285,0.9966276,0.2796217,1.037086,-0.0445272,1.031479,0.3034463,1.076109,-0.0446611,1.023161,0.3260986,1.074799,-0.04367453,-0.0686769,0.1130321,0.1392847,-0.01972897,-0.06463751,0.1545477,0.1686779,0.001438697,-0.07704997,0.1499221,0.1685687,0,0,0,0,0,0,0,0,0,1,0,0,-0.0780327,0.5642037,0.0865811,0.5761174,0.02449091,-0.4327577,-0.07640821,-0.8979325,307.7752,0.05564431,-0.9832427,-0.1736025,0.03342586,0.5271949,0.1395275,0.5463695,0.0375381,0.5098343,0.1487686,0.5324211,0.04973969,0.5117973,0.1784839,0.5443042,0.02356079,-0.05486044,0.119188,0.1333062,0.01662072,-0.07305583,0.1264703,0.1469971,0.0005934331,-0.07236975,0.1556541,0.1716564,0,0,0,0,0,0,0,0,0,1,0,0,-0.05046001,1.001797,0.2970257,1.04612,0.009700581,0.002901697,0.006056804,-0.9999304,358.6484,0.8224459,0.246015,0.5135149,0.10046,-0.001796603,0.002974272,0.1005201,-0.5643738,-0.3803964,0.6264482,-0.3799256,224.6581,-0.6101226,-0.4112318,0.6772288,-0.04597345,1.075958,-0.008395315,1.076973,0.01825885,-0.08297025,-0.08973742,-0.9923355,345.8033,0.1477579,-0.6714281,-0.7261907,False
1773123495548,0.1250916,0.002743322,0.8806133,0.2617766,0.9187025,0.5856296,0.2802522,0.4040793,-0.6443729,260.2374,0.7658178,0.366481,0.5284076,-0.0626076,0.9966719,0.280371,1.037248,-0.04416294,1.030881,0.3023524,1.075213,-0.04443433,1.021772,0.3248737,1.073097,-0.04198149,-0.06907623,0.113279,0.1391621,-0.01996022,-0.06532924,0.1537236,0.1682179,0.001155896,-0.07776041,0.1481025,0.1672793,0,0,0,0,0,0,0,0,0,1,0,0,-0.07814538,0.5642334,0.08639416,0.5761336,0.02763172,-0.4336506,-0.0740153,-0.897611,307.6916,0.06268702,-0.9838064,-0.1679157,0.03310335,0.5274436,0.1396116,0.5466114,0.03588412,0.5101094,0.1473224,0.5321684,0.04960958,0.5123057,0.1785047,0.5447772,0.02331823,-0.0548458,0.1190891,0.1331691,0.01688417,-0.07289387,0.1242421,0.1450334,0.0005853765,-0.07240637,0.1555814,0.1716059,0,0,0,0,0,0,0,0,0,1,0,0,-0.04954977,1.001931,0.2960947,1.045941,0.01285602,0.001366375,0.009520258,-0.9998711,358.1603,0.8007994,0.08511123,0.5930152,0.09954977,-0.00193131,0.003905296,0.09964506,-0.5659327,-0.375881,0.6271668,-0.3809141,224.7806,-0.6120769,-0.406529,0.6783038,-0.045839,1.076198,-0.008481054,1.077207,0.01904416,-0.08324963,-0.08995806,-0.9922774,345.7495,0.1535341,-0.6711591,-0.7252426,False
1773123495562,0.1390844,0.002574846,0.8801757,0.2614691,0.9181949,0.5881151,0.2799286,0.4074239,-0.64013,259.603,0.7655091,0.3643638,0.5303157,-0.06070934,0.9968694,0.2810257,1.037502,-0.04373599,1.031023,0.3003203,1.074762,-0.04413879,1.021131,0.3232417,1.07198,-0.03975814,-0.06920811,0.1136159,0.138849,-0.02085242,-0.06558175,0.1534349,0.1681608,0.0007702345,-0.07814179,0.1469361,0.166424,0,0,0,0,0,0,0,0,0,1,0,0,-0.07791139,0.5642987,0.08639314,0.5761658,0.0273886,-0.4333287,-0.07383998,-0.8977883,307.7377,0.06218643,-0.9838827,-0.1676553,0.03312631,0.5274444,0.1397501,0.5466489,0.03524923,0.5100932,0.146599,0.5319105,0.04973361,0.5122591,0.1785558,0.5447614,0.0231624,-0.05480652,0.1190149,0.1330594,0.01701292,-0.07277685,0.1230982,0.1440107,0.0005894472,-0.07241652,0.1555531,0.1715846,0,0,0,0,0,0,0,0,0,1,0,0,-0.0486921,1.002191,0.2948524,1.045799,0.01586173,0.003268566,0.01429552,-0.9997666,357.5244,0.7342727,0.1513088,0.6617694,0.0986921,-0.00219059,0.005147606,0.09885053,-0.5700732,-0.3720272,0.6253839,-0.3814543,224.8476,-0.6167036,-0.402458,0.6765385,-0.04574225,1.076331,-0.008563636,1.077336,0.01952769,-0.08343766,-0.09013072,-0.9922365,345.7118,0.1570187,-0.6709074,-0.7247251,False
