Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773123777423,0,1,1,135,0.6601336,-0.6302276,0.4087014,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,0.6098839,-0.5822544,0.3775909,0.3826834,135,0.6601336,-0.6302276,0.4087014
Grab,1773123779052,0,1,1,135,0.6601336,-0.6302276,0.4087014,1,-0.05010864,0.9997465,0.2999575,1.044978,0.006219254,-0.001375362,-0.005433803,0.999965,0.9593954,0.7428387,-0.1642756,-0.6490231,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1001086,0.0002534986,4.255772E-05,0.100109,0.6037993,-0.58737,0.3768747,0.3852121,134.6862,0.6542923,-0.636489,0.408391
Trial Start,1773123779053,0,1,1,135,0.6601336,-0.6302276,0.4087014,1,-0.05010864,0.9997465,0.2999575,1.044978,0.006219254,-0.001375362,-0.005433803,0.999965,0.9593954,0.7428387,-0.1642756,-0.6490231,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1001086,0.0002534986,4.255772E-05,0.100109,0.6037993,-0.58737,0.3768747,0.3852121,134.6862,0.6542923,-0.636489,0.408391
Release_left,1773123779083,0.0177953,1,1,135,0.6601336,-0.6302276,0.4087014,1,-0.01456708,0.9207886,0.3149129,0.9732595,-0.2902388,-0.2629984,0.4666636,0.7929807,75.07011,-0.4763895,-0.4316779,0.7659682,0.1447334,-0.07264271,0.09919376,0.1899056,0.1990886,0.8156399,0.09976728,0.5339867,115.4496,0.2354705,0.9646917,0.117999,-0.1321089,0.08473738,-0.04685535,0.1637944,-0.6259754,-0.05538359,0.7379398,0.2460337,151.5141,-0.6458272,-0.05713999,0.7613423,0.06456708,0.07921135,-0.0149129,0.1032751,0.767107,0.03313074,0.4502291,0.4557885,125.7686,0.8618327,0.03722186,0.5058253
Grab,1773123779395,0.3642274,1,1,135,0.6601336,-0.6302276,0.4087014,1,-0.01525123,0.925158,0.3131632,0.9768424,-0.1178473,-0.2988699,0.5567872,0.7660136,80.00549,-0.1833273,-0.4649324,0.8661576,0.1464453,-0.06459777,0.05349844,0.1687637,0.5466686,0.3644816,0.4484052,0.6060029,105.3979,0.6872336,0.4582008,0.5637037,-0.2225166,-0.1891325,-0.1847297,0.3455573,-0.3433033,0.1064468,0.8528689,-0.3787175,224.5085,-0.3709332,0.1150139,0.9215098,0.06525123,0.07484204,-0.01316318,0.1001615,0.7236189,0.05243134,0.3270595,0.6055236,105.4669,0.9092663,0.06588282,0.410968
Release,1773123779397,0.3642274,1,1,135,0.6601336,-0.6302276,0.4087014,1,-0.01583531,0.9251364,0.313313,0.9768794,-0.1273001,-0.2876726,0.5420528,0.7792419,77.61756,-0.20312,-0.4590105,0.8648998,0.1464453,-0.06459777,0.05349844,0.1687637,0.5466686,0.3644816,0.4484052,0.6060029,105.3979,0.6872336,0.4582008,0.5637037,-0.2225166,-0.1891325,-0.1847297,0.3455573,-0.3433033,0.1064468,0.8528689,-0.3787175,224.5085,-0.3709332,0.1150139,0.9215098,0.06583531,0.07486355,-0.01331303,0.1005787,0.7309528,0.0350271,0.3363679,0.5927376,107.297,0.9075698,0.04349055,0.4176431
Grab,1773123781311,2.281415,1,1,135,0.6601336,-0.6302276,0.4087014,1,-0.02185939,0.912843,0.3162404,0.9663168,-0.1389641,-0.05654379,0.3881046,0.9093221,49.17631,-0.3339739,-0.1358922,0.9327356,0.1250365,-0.06578219,0.0001407673,0.1412849,0.6573214,0.6127576,0.1003541,0.4270667,129.4369,0.7269483,0.677664,0.1109842,-0.2265768,-0.1608355,-0.1714002,0.3264707,-0.5850478,0.08172385,0.7832729,-0.1937115,202.3389,-0.5963434,0.0833017,0.7983955,0.07185939,0.08715695,-0.01624036,0.1141221,0.8123854,-0.2186481,0.3102282,0.4426982,127.4477,0.9060018,-0.2438444,0.3459778
Release,1773123782105,3.073024,1,1,135,0.6601336,-0.6302276,0.4087014,1,-0.002633871,0.9529413,0.2898496,0.9960507,0.1739659,-0.5630224,-0.3223514,0.7408315,84.39541,0.2589969,-0.8382164,-0.4799102,0.1181062,-0.07702929,-0.004929762,0.1410918,0.5650777,0.5758427,-0.1733142,0.5648494,111.2163,0.6847815,0.697827,-0.2100284,-0.2154841,-0.1921743,-0.2076017,0.3556161,0.02555549,-0.2424802,0.8358971,0.4917587,121.0875,0.02934944,-0.2784787,0.9599938,0.05263387,0.0470587,0.0101504,0.07132935,-0.01503526,-0.4781779,0.6451756,0.5957083,106.8737,-0.01871917,-0.5953403,0.8032556
Grab,1773123782979,3.947161,1,1,135,0.6601336,-0.6302276,0.4087014,1,-0.02342143,0.9698056,0.2664922,1.006027,0.1489424,-0.6992521,-0.2257798,0.6617297,97.13615,0.198658,-0.9326563,-0.3011431,0.1194294,-0.07177994,0.001852573,0.1393527,0.5478792,0.5443601,-0.3070902,0.5560542,112.4333,0.6591851,0.6549511,-0.369478,-0.1929443,-0.224136,-0.1989585,0.3564393,0.1463634,-0.2155358,0.8914957,0.3706181,136.4925,0.1575858,-0.232062,0.959851,0.07342143,0.0301944,0.03350776,0.08616948,-0.048912,-0.3116416,0.6760055,0.6659608,96.48785,-0.06556684,-0.4177575,0.9061897
Release,1773123784400,5.366778,1,1,135,0.6601336,-0.6302276,0.4087014,1,0.02972674,0.9658888,0.2739864,1.004437,-0.1712753,-0.07151119,0.2954154,0.9371663,40.83801,-0.4909248,-0.2049719,0.8467467,0.1279801,-0.08664669,0.001003864,0.154556,0.5314416,0.7249337,-0.04324562,0.436086,128.2912,0.5905529,0.8055668,-0.04805575,-0.2054783,-0.2001747,-0.2390547,0.3734145,-0.5824932,-0.001599177,0.8010106,-0.1381352,195.8799,-0.5881313,-0.001614656,0.8087638,0.02027326,0.0341112,0.02601364,0.04744774,0.7821118,-0.273462,0.3841542,0.4073639,131.9213,0.85639,-0.2994331,0.4206378
