Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,135,0.6601336,-0.6302276,0.4087014,1,17.56207,False,-0.0004660338,0.002899349,-0.001684368,0.003385337,0.0007071103,-0.005015241,0.02525282,0.9996683,2.951565,0.02745608,-0.1947346,0.980531,0.5285233,0.5413008,0.5299706,0,0,0,3.530302,398.0644,0,0,0.5543818,845.8184,2.230809,681.9944,0,0,0.13804,31.53674,9.582314,0
1,2,135,-0.4663113,0.2249084,0.8555524,1,11.90495,False,0.001331922,0.0006588697,0.003607541,0.003901599,0.06145155,0.03166236,-0.008090886,-0.9975749,352.0179,0.8829166,0.4549148,-0.1162473,0.3003852,0.2684672,0.303555,0,0,0,0.5651476,290.6815,0,0,0.3659061,594.344,0.3182738,500.5146,0,0,0.111682,28.14982,6.079922,0
1,3,135,0.09940485,0.7495562,0.6544342,0.9999999,9.083707,False,0.002690308,-0.0009382963,0.004455328,0.005288488,0.001211779,0.005007621,-0.05047745,-0.9987119,354.1832,0.02388261,0.09869377,-0.9948456,0.1662692,0.1219606,0.1429295,0,0,0,0.2823254,193.9874,0,0,0.2384635,401.5115,0.1538221,300.3913,0,0,0.04520211,10.20985,4.202989,0
1,4,135,0.612586,-0.4676058,-0.6372466,1,20.92957,False,0.005257085,-0.002289176,0.003678292,0.006812276,0.07233766,0.0311221,0.03248528,0.9963651,9.773356,0.8491817,0.3653466,0.3813492,0.3207864,0.2355925,0.2723037,0,0,0,0.4908025,283.7139,0,0,0.3654658,619.8351,0.2979687,534.3303,0,0,0.1601598,33.29234,10.59181,0
1,5,135,-0.1879164,0.8814561,-0.4332696,1,7.41231,False,0.003770113,-0.003592134,0.004300803,0.00675382,0.02051468,0.005012423,0.01908229,0.9995949,3.261978,0.7207739,0.1761092,0.6704472,0.1527288,0.1361505,0.1314698,0,0,0,0.2041198,124.8903,0,0,0.1948869,300.0571,0.1253726,244.1203,0,0,0.05285631,9.402122,3.542932,0
1,6,135,0.3122664,0.6453428,0.6971531,1,8.529393,False,-0.01119014,-0.008983135,0.002932727,0.0146464,0.03643254,0.01144454,-0.01996713,0.9990711,4.939475,0.8454589,0.2655836,-0.4633602,0.1848931,0.1922092,0.1928987,0,0,0,0.3295001,164.7881,0,0,0.2992996,354.7977,0.1724711,307.9398,0,0,0.03475812,9.610075,3.376377,0
1,7,135,0.02703791,-0.3743422,0.9268963,1,21.56746,False,0.003577903,0.00216043,-0.003036767,0.005166314,0.0518927,-0.05623577,0.03554772,0.9964341,9.679981,0.6150359,-0.6665102,0.4213141,0.1599718,0.1441811,0.2326536,0,0,0,0.389514,165.9072,0,0,0.4185685,438.7537,0.1839837,383.2102,0,0,0.06616762,24.96749,4.084543,0
1,8,135,0.487787,-0.8570851,0.1657375,1,6.683405,False,-0.001914386,-0.0003067255,0.003679305,0.004158875,0.04540018,0.03454754,0.004993225,0.9983589,6.565894,0.7927812,0.6032716,0.08719205,0.149574,0.1121337,0.1159308,0,0,0,0.245533,123.1577,0,0,0.2117349,268.7889,0.1030681,219.504,0,0,0.03586344,8.633111,3.804954,0
1,9,135,0.9940689,0.02513166,-0.1058091,1,8.611563,False,0.002469108,-0.0008990765,0.007249296,0.007710844,0.01306934,-0.03440053,0.04371297,0.9983661,6.551327,0.2287255,-0.6020408,0.7650171,0.2218706,0.1758154,0.1749856,0,0,0,0.3593711,217.5349,0,0,0.2741843,444.594,0.1623283,332.062,0,0,0.03422379,9.928343,3.497813,0
1,10,135,0.8811669,-0.387268,0.271235,1,13.62582,False,-0.002392869,-0.006235361,0.0003845394,0.0066898,0.01918309,0.008964806,0.02972396,0.9993339,4.182689,0.5256635,0.2456575,0.814509,0.3469582,0.2681419,0.2257622,0,0,0,0.6114852,302.2288,0,0,0.452281,641.7001,0.2665758,521.1638,0,0,0.1797139,37.89502,6.321097,0
2,1,135,0.1770871,-0.9784563,0.1061295,1,10.87759,False,0.004990179,-0.0001590252,-0.008417279,0.009786611,0.06339532,-0.04215791,-0.02751942,-0.9967179,350.7132,0.7831005,-0.5207621,-0.3399378,0.2606429,0.2675412,0.257526,0,0,0,0.4151308,289.1624,0,0,0.3745266,522.574,0.1980234,371.1214,0,0,0.08545551,16.43039,4.654253,0
2,2,135,0.7637296,-0.611438,-0.2070283,1,8.385257,False,0.009506248,0.002526462,0.005830705,0.01143455,0.02079215,-0.02087538,-0.03941749,0.9987885,5.641556,0.4225036,-0.4241949,-0.800977,0.1899782,0.2143905,0.2287531,0,0,0,0.3256305,166.552,0,0,0.3273359,423.226,0.1907348,371.7457,0,0,0.05221922,13.57471,5.342737,0
2,3,135,0.1944875,0.005244801,0.980891,1,15.40354,False,0.0003502704,-0.001278043,0.009291619,0.009385642,-0.02590532,0.02032356,-0.007037155,0.9994331,3.858703,-0.7694455,0.6036548,-0.2090191,0.3439113,0.3329877,0.3507293,0,0,0,0.6586199,358.5081,0,0,0.4339238,683.2911,0.2996538,589.4864,0,0,0.07633432,19.45791,6.495184,0
2,4,135,0.02122512,-0.1355187,0.9905474,1,12.49841,False,0.001690604,0.0005844831,0.006470323,0.006713035,-0.05482337,-0.01045885,0.03420677,0.9978552,7.506545,-0.8375069,-0.1597742,0.5225584,0.2284338,0.1931773,0.2279538,0,0,0,0.4866839,260.3853,0,0,0.308214,534.3755,0.2275615,438.8156,0,0,0.05128732,12.75923,5.145539,0
2,5,135,-0.3544599,-0.4393791,-0.8254116,1,11.12583,False,0.0008582026,-0.0002695322,0.003437161,0.00355292,0.005048472,-0.006526917,0.008940977,0.9999261,1.394348,0.4149005,-0.5364042,0.7347999,0.09900648,0.1058645,0.0924251,0,0,0,0.147649,137.3038,0,0,0.1199615,235.2976,0.08960056,162.0147,0,0,0.01502591,4.191467,1.888115,0
2,6,135,0.1039187,0.9624727,0.2506933,1,4.914354,False,-0.003343143,0.0007074475,0.005645871,0.006599465,-0.04842656,0.01182642,-0.01794038,-0.9985956,353.9261,-0.9140598,0.2232258,-0.3386278,0.06070104,0.05588656,0.04054115,0,0,0,0.06129911,28.60077,0,0,0.0446321,119.0922,0.07300922,105.2426,0,0,0.0107364,3.031502,0.6799761,0
2,7,135,0.9918005,-0.1079397,-0.06841576,1,12.80643,False,-0.0006258599,0.00142467,0.002476335,0.002924657,0.05596579,0.008406046,0.006739516,-0.9983747,353.4655,0.9819745,0.1474923,0.1182514,0.1167141,0.09332049,0.1073313,0,0,0,0.2533117,101.8193,0,0,0.258973,258.3727,0.1252386,216.1546,0,0,0.03032873,8.554996,2.83384,0
2,8,135,0.008204407,0.4428247,-0.8965707,1,7.307783,False,-0.001739327,-0.000305891,0.006623566,0.006854958,0.01846561,-0.06286141,0.00567198,0.9978354,7.541314,0.2807914,-0.9558822,0.08624917,0.1116998,0.1010155,0.1156359,0,0,0,0.1717067,117.451,0,0,0.2093155,238.6096,0.1216248,220.7141,0,0,0.02736412,4.527311,2.44473,0
2,9,135,-0.140851,0.8762508,0.4608097,1,13.91428,False,0.004687447,-0.001029491,-0.005463004,0.007271618,0.08173987,-8.545577E-05,-0.01936513,0.9964656,9.637388,0.9730609,-0.001017296,-0.2305295,0.1210384,0.09004342,0.09512056,0,0,0,0.2071554,73.12875,0,0,0.1783573,189.1503,0.1055673,196.0491,0,0,0.02320262,5.940038,1.861081,0
2,10,135,-0.6386769,-0.7500849,0.1716522,1,12.47219,False,-0.0001483187,-0.005191922,0.005548239,0.007600066,0.03627954,-0.0430213,0.02121168,0.99819,6.89586,0.6032373,-0.7153358,0.3526968,0.147078,0.1463082,0.1649198,0,0,0,0.2775354,163.8173,0,0,0.2596841,341.381,0.1121438,236.087,0,0,0.04132621,15.15484,2.821671,0
3,1,135,-0.8337006,-0.4132247,0.3663177,1,15.98494,False,0.008266192,-0.009530425,-0.005319715,0.01369154,0.01913037,-0.02715561,-0.05014091,0.9981896,6.896315,0.3180689,-0.4514996,-0.833662,0.3783146,0.2551647,0.3059584,0,0,0,0.6394231,339.2349,0,0,0.4233859,635.605,0.2546201,523.2338,0,0,0.09767019,22.32312,6.845879,0
