Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1773123797359,0.0137778,0.1702304,0.9311008,0.2337843,0.9749781,-0.4484463,-0.8044035,0.3180476,0.2251149,153.9807,-0.4602602,-0.8255947,0.3264262,-0.1442877,0.6555083,0.1672173,0.6917164,0.6082829,0.06111509,-0.7678214,0.1915914,157.9087,0.6197641,0.06226862,-0.7823138,0.04054642,0.9711714,0.2451079,1.002445,0.04492963,1.059568,0.2453209,1.088524,0.06449433,1.081842,0.2667247,1.116102,-0.07488606,0.6580179,0.2805047,0.7192207,-0.07754178,0.644837,0.3234608,0.7255718,-0.0930609,0.6483322,0.3440398,0.7398367,0.0998984,-0.06722529,0.06366234,0.1362051,0.1741713,-0.02988341,0.03329344,0.1798252,0.1853648,-0.02503383,-0.001177579,0.1870513,-0.1219754,0.03904577,-0.03541704,0.1328794,-0.1597134,0.05616269,-0.01784221,0.1702379,-0.1772913,0.05009561,0.0003446192,0.1842332,0.09737935,-0.06967985,0.06292088,0.1352666,0.1752419,-0.02373466,0.0355982,0.1803893,0.186267,-0.01843499,-0.00140409,0.1871824,-0.1220016,0.03878583,-0.03557222,0.1328688,-0.1586099,0.05749986,-0.01782798,0.1696501,-0.1773528,0.05000288,0.0003106107,0.1842672,0.1263964,-0.05286554,0.04427544,0.1439831,-0.2417021,0.8409343,0.11654,0.4699236,123.9413,-0.2738192,0.9526764,0.1320256,-0.1436918,0.04398425,-0.02193664,0.1518656,0.1999431,-0.4380486,-0.5150292,0.7091412,89.66983,0.2835805,-0.6212869,-0.7304689,-0.05011895,0.9997727,0.3002419,1.045085,0.001119701,-0.002247964,-0.0020416,0.9999948,0.3711498,0.3457052,-0.6940537,-0.6303392,0.1217452,-0.09160644,0.009811598,0.1526758,0.4160444,-0.1694096,-0.7904255,0.4164554,130.778,0.457616,-0.1863372,-0.8694057,-0.2401949,-0.223461,-0.2550833,0.415567,0.3085118,0.5419832,0.772148,0.1219118,165.9951,0.3108303,0.5460562,0.7779506,0.100119,0.0002272725,-0.0002419055,0.1001195,-0.4325943,0.208642,0.7904688,0.3801182,135.318,-0.4677009,0.2255741,0.8546182,-0.05635995,1.091889,0.0298778,1.093751,0.04022109,-0.0422788,-0.08427998,-0.994732,348.2325,0.3923626,-0.4124359,-0.8221636,False,False,False,False
1773123797373,0.0288258,0.05580255,0.9242499,0.2507564,0.9592865,-0.4184056,-0.8311723,0.3027494,0.2059907,156.225,-0.4275753,-0.8493884,0.3093844,-0.1444704,0.6571651,0.1660352,0.6930407,0.6087358,0.07630285,-0.7662416,0.19103,157.9742,0.6201565,0.07773439,-0.7806173,-0.06716275,0.9580952,0.2932576,1.00422,-0.08348507,1.024939,0.2801434,1.065809,-0.07240637,1.031308,0.3068793,1.078431,-0.07521108,0.6592619,0.2790993,0.7198468,-0.07674449,0.645087,0.3230392,0.7255214,-0.0927614,0.6473507,0.3428161,0.7383701,0.1010247,-0.08311448,0.03095667,0.1344333,0.1639078,-0.05238437,0.02815988,0.1743642,0.1652544,-0.06115303,-0.0001139939,0.1762065,-0.1220652,0.03786511,-0.03537057,0.1326075,-0.1612187,0.05533028,-0.018167,0.1714146,-0.1777196,0.04936832,0.00040631,0.1844496,0.09766978,-0.07075021,0.06037425,0.1348704,0.1743389,-0.02601722,0.03500558,0.1797118,0.1845929,-0.0218384,-0.001301306,0.1858848,-0.1220067,0.03871247,-0.03555616,0.1328477,-0.1588177,0.05732701,-0.01785499,0.1697888,-0.1773821,0.04995232,0.0003182352,0.1842816,0.1261441,-0.05459194,0.04264663,0.1439144,-0.2446329,0.8385238,0.1103667,0.4741854,123.3874,-0.2778578,0.952408,0.1253562,-0.1436226,0.0438872,-0.02198674,0.1517793,0.1968426,-0.4396102,-0.5100834,0.7126086,89.1049,0.2805775,-0.6266164,-0.7270681,-0.05019137,0.9994325,0.3006011,1.044866,0.004693186,-0.00365138,-0.004175974,0.9999736,0.832742,0.6458191,-0.5024584,-0.5746465,0.1262034,-0.05865969,0.00190011,0.1391829,0.4162565,0.8312201,-0.3050396,0.2067715,156.1336,0.4254508,0.8495802,-0.3117773,-0.2151219,-0.261707,-0.1718304,0.37986,-0.6066405,-0.07711671,0.7673014,0.1931034,157.7321,-0.6182774,-0.07859602,0.7820203,0.1001914,0.0005674958,-0.0006011128,0.1001948,-0.4346185,0.2072696,0.7914067,0.3765919,135.7545,-0.4691583,0.2237417,0.8543009,-0.05680485,1.09189,0.02992342,1.093776,0.04007741,-0.04238972,-0.08366539,-0.9947849,348.2919,0.3929363,-0.4156072,-0.8202917,False,False,False,False
1773123797387,0.042395,0.0558642,0.9239902,0.2509866,0.9591001,-0.4161931,-0.8304697,0.3063626,0.207955,155.9949,-0.4254951,-0.8490309,0.3132099,-0.1446132,0.6572683,0.1660147,0.6931633,0.608132,0.07569485,-0.7668138,0.1908987,157.9895,0.6195253,0.07711299,-0.78118,-0.06682337,0.9575797,0.2944441,1.004053,-0.08360988,1.024823,0.2806933,1.065853,-0.07227893,1.027784,0.3088105,1.075606,-0.07524803,0.6594179,0.279003,0.7199562,-0.07663474,0.6451693,0.3228737,0.7255092,-0.09267362,0.6476069,0.3427415,0.7385491,0.1010007,-0.08316571,0.03084435,0.1344212,0.1643288,-0.05192794,0.02832627,0.1746507,0.1628689,-0.06333412,0.0001215935,0.1747498,-0.1220787,0.0378431,-0.03531542,0.132599,-0.1611428,0.05544946,-0.01818079,0.1713832,-0.1777291,0.04935168,0.0004102737,0.1844543,0.09795751,-0.07182268,0.0578234,0.1345278,0.1734742,-0.02825544,0.0344286,0.1791005,0.1827164,-0.02542288,-0.001178393,0.1844803,-0.1220129,0.03863737,-0.03553536,0.132826,-0.1590186,0.05716482,-0.01788314,0.1699251,-0.177412,0.04990043,0.0003261857,0.1842965,0.1258348,-0.05635976,0.04106341,0.1438646,-0.2483168,0.8360066,0.1030284,0.4783482,122.8448,-0.2827661,0.9519869,0.1173217,-0.1435602,0.04379174,-0.02203028,0.1516989,0.1938299,-0.4411312,-0.5052598,0.715923,88.56222,0.277622,-0.6318309,-0.7236821,-0.05039047,0.9975255,0.3022493,1.043528,0.02561738,-0.0018948,-0.009528299,0.9996247,3.1397,0.9350768,-0.06916336,-0.3477987,0.1263901,-0.05848939,0.002337401,0.1392872,0.4125714,0.8299887,-0.3126402,0.2077492,156.019,0.4217736,0.8485012,-0.3196135,-0.2157855,-0.2613432,-0.1710019,0.379612,-0.604104,-0.07533064,0.7685722,0.1966735,157.315,-0.6161378,-0.07683123,0.7838821,0.1003905,0.002474487,-0.002249241,0.1004461,-0.4399749,0.1922917,0.7982837,0.3635783,137.3598,-0.4722972,0.2064182,0.8569288,-0.0572573,1.091797,0.02998758,1.093708,0.04021405,-0.04257218,-0.08341956,-0.9947922,348.3002,0.394553,-0.4176894,-0.8184561,False,False,False,False
1773123797399,0.056445,0.05574828,0.9220773,0.2532868,0.9578563,-0.4142838,-0.829094,0.3111755,0.2101001,155.7436,-0.4237418,-0.848022,0.3182796,-0.1447552,0.6571833,0.1662325,0.6931646,0.6076569,0.0753151,-0.7672469,0.1908218,157.9985,0.6190317,0.07672493,-0.7816091,-0.06620734,0.9564605,0.2981351,1.004034,-0.08376312,1.02375,0.2829461,1.065429,-0.07226703,1.024791,0.3120147,1.073672,-0.07507554,0.6594424,0.279076,0.7199889,-0.07650892,0.645111,0.3229837,0.7254931,-0.09269903,0.6478631,0.3430135,0.7389032,0.1015031,-0.0828586,0.02997204,0.1344126,0.165131,-0.05098151,0.0285146,0.1751583,0.1620794,-0.06416474,0.0003167093,0.1743185,-0.1220658,0.03784017,-0.03552559,0.1326424,-0.1611143,0.05552249,-0.01826637,0.1713891,-0.177866,0.04910969,0.0004190803,0.1845216,0.09823605,-0.07268966,0.0556354,0.1342736,0.1728188,-0.0300408,0.033964,0.1786682,0.1810951,-0.02846644,-0.001060938,0.1833219,-0.122017,0.03857474,-0.03553459,0.1328114,-0.1591832,0.0570358,-0.01791324,0.170039,-0.1774477,0.04983831,0.0003334834,0.184314,0.1256153,-0.05780359,0.03972444,0.1438697,-0.2519657,0.8336129,0.0960758,0.4820502,122.3612,-0.2875849,0.9514569,0.1096576,-0.1435203,0.04370903,-0.02207097,0.1516432,0.1916,-0.4421833,-0.5014955,0.7185164,88.13574,0.2754812,-0.6357684,-0.721047,-0.05037765,0.99683,0.3028963,1.04305,0.03963946,-0.0005450551,-0.01260353,0.9991344,4.768176,0.9529207,-0.01310296,-0.302985,0.1264641,-0.05788395,0.00338906,0.139123,0.4110211,0.8243606,-0.3350848,0.1980144,157.1583,0.419324,0.8410133,-0.3418538,-0.2170479,-0.2596027,-0.1695132,0.3784681,-0.600369,-0.06178348,0.7682215,0.2134846,155.3467,-0.6145363,-0.06324142,0.7863497,0.1003776,0.003170013,-0.002896279,0.1004694,-0.4434239,0.1819147,0.8025681,0.3551994,138.3887,-0.4743564,0.1946048,0.858554,-0.05766848,1.091721,0.03006812,1.093656,0.04004247,-0.04253315,-0.08315537,-0.994823,348.3347,0.3940299,-0.4185389,-0.8182737,False,False,False,False
1773123797413,0.0704987,0.05561562,0.9210471,0.2542631,0.9571158,-0.4138523,-0.8269414,0.316112,0.2120551,155.5144,-0.4234833,-0.8461856,0.3234684,-0.1447644,0.6571659,0.1662911,0.6931641,0.6072344,0.07497412,-0.7676461,0.1906959,158.0132,0.6185859,0.07637568,-0.7819964,-0.06529918,0.9570398,0.3004162,1.005206,-0.0836987,1.02302,0.2844579,1.065125,-0.07213314,1.024066,0.3135299,1.073413,-0.07495587,0.6594476,0.279052,0.7199719,-0.07634676,0.6451446,0.3229773,0.725503,-0.09252851,0.6478995,0.3430168,0.7389153,0.1021931,-0.08231104,0.02876513,0.1343353,0.1652202,-0.05110158,0.02845173,0.1752672,0.1621026,-0.06455893,0.0003586859,0.1744856,-0.1220595,0.03783955,-0.03554039,0.1326404,-0.161117,0.05552433,-0.01828661,0.1713944,-0.1778569,0.04912408,0.0004172623,0.1845168,0.09855704,-0.07347012,0.05345574,0.134048,0.1722024,-0.03174921,0.03351686,0.1782837,0.1795545,-0.03139418,-0.0009457812,0.1822808,-0.1220205,0.03851511,-0.03553506,0.1327974,-0.1593401,0.05691319,-0.01794353,0.170148,-0.1774809,0.04978038,0.0003402794,0.1843303,0.1254932,-0.05912445,0.03837374,0.1439332,-0.2552845,0.8311563,0.08897323,0.4858939,121.8579,-0.2920817,0.9509604,0.101798,-0.1434818,0.04363086,-0.02211053,0.15159,0.1894269,-0.4431873,-0.4978477,0.7210064,87.72474,0.2733716,-0.639586,-0.7184691,-0.05038378,0.9960257,0.3035055,1.042459,0.05128419,0.004272808,-0.01520651,0.9985592,6.152124,0.9556975,0.07962515,-0.2833783,0.1265152,-0.05762227,0.004047478,0.1390784,0.4113052,0.8187955,-0.351516,0.1919333,157.8687,0.4190971,0.834307,-0.3581753,-0.2176928,-0.2590009,-0.1687305,0.3780762,-0.5977863,-0.05223738,0.767881,0.2242354,154.0842,-0.6134067,-0.05360236,0.7879461,0.1003838,0.003974319,-0.003505498,0.1005236,-0.4432833,0.1718686,0.8076048,0.3489062,139.1591,-0.4730082,0.1833934,0.8617598,-0.05792844,1.091662,0.03023436,1.093616,0.03970506,-0.04245815,-0.08322363,-0.994834,348.3472,0.3911253,-0.4182453,-0.8198165,False,False,False,False
1773123797428,0.08435321,0.05526305,0.9200515,0.2549659,0.9563243,-0.4145231,-0.8242735,0.3210331,0.2137326,155.3176,-0.4243284,-0.8437712,0.328627,-0.1447994,0.6571894,0.166221,0.6931769,0.606907,0.07472487,-0.7679235,0.1907191,158.0105,0.6182553,0.07612212,-0.7822825,-0.0643208,0.9587145,0.3021094,1.007244,-0.08373094,1.021842,0.2860649,1.064427,-0.07200819,1.023206,0.3147426,1.07294,-0.07489651,0.6595469,0.278917,0.7200043,-0.07627412,0.6452613,0.3228799,0.7255558,-0.09243254,0.6480011,0.3429095,0.7389426,0.1033525,-0.08120532,0.02723251,0.1342298,0.1647373,-0.05205054,0.02828569,0.1750649,0.1617061,-0.06529282,0.0004082024,0.1743909,-0.1220567,0.03781154,-0.0355641,0.1326362,-0.161137,0.05550171,-0.01828704,0.1714059,-0.1778524,0.04913127,0.0004159361,0.1845143,0.09894613,-0.07409774,0.05132806,0.1338484,0.1715967,-0.0333964,0.03309241,0.1779209,0.1781063,-0.03414463,-0.0008359225,0.1813516,-0.1220234,0.03845802,-0.03553742,0.1327842,-0.1594859,0.05679867,-0.0179714,0.1702492,-0.177511,0.04972771,0.000346418,0.1843451,0.125498,-0.06026203,0.03702514,0.1440559,-0.2576212,0.8289496,0.08208009,0.4896292,121.3676,-0.2954606,0.9507058,0.09413602,-0.1434446,0.04355741,-0.02214904,0.1515394,0.1873758,-0.4441121,-0.4944481,0.723309,87.34328,0.2713528,-0.6431518,-0.7160472,-0.05031235,0.9926888,0.3044578,1.039546,0.06437606,0.01540831,-0.01621199,0.9976751,7.815514,0.9446199,0.2260932,-0.237886,0.1262159,-0.05778205,0.004496532,0.1388864,0.4137243,0.8138387,-0.3643217,0.1837624,158.822,0.4208918,0.8279378,-0.3706333,-0.218389,-0.258158,-0.1680242,0.3775863,-0.5983966,-0.0436489,0.7651559,0.2335657,152.9858,-0.6154185,-0.04489053,0.7869214,0.1003124,0.007311165,-0.004457772,0.1006772,-0.4389017,0.1575085,0.8148085,0.3444468,139.7039,-0.4675106,0.1677754,0.8679202,-0.05811202,1.091582,0.03035785,1.093549,0.03936512,-0.04225024,-0.08309653,-0.994867,348.3844,0.3890161,-0.4175276,-0.8211809,False,False,False,False
1773123797441,0.0981911,0.05443834,0.9183918,0.2556244,0.9548565,-0.4162725,-0.8209941,0.3263786,0.2148561,155.1858,-0.4262267,-0.8406262,0.3341832,-0.1449243,0.6570479,0.1659819,0.6930115,0.6065959,0.07441837,-0.7681916,0.1907489,158.007,0.617942,0.07581033,-0.7825602,-0.06223335,0.9637464,0.303354,1.012277,-0.08405749,1.018561,0.2885833,1.061985,-0.0719797,1.019269,0.3166233,1.069739,-0.0749438,0.6595213,0.2786219,0.7198716,-0.07632124,0.6452036,0.3226208,0.7253942,-0.09244276,0.6479672,0.3426452,0.7387915,0.1066961,-0.07752664,0.02351595,0.1339681,0.1628989,-0.05468523,0.02783494,0.1740727,0.1589786,-0.06785445,0.0005619228,0.1728546,-0.122064,0.03774865,-0.03558899,0.1326317,-0.1611517,0.05548926,-0.01826199,0.171413,-0.1778583,0.04912166,0.0004157722,0.1845174,0.09956675,-0.07437232,0.04910088,0.1336251,0.1709002,-0.0351012,0.0326714,0.1775004,0.1765746,-0.0368441,-0.0007239838,0.180379,-0.1220267,0.03840121,-0.03554155,0.1327718,-0.1596193,0.05669381,-0.01799467,0.1703417,-0.1775388,0.04967918,0.0003519718,0.1843589,0.1257486,-0.06109882,0.03555192,0.1442557,-0.2578878,0.827573,0.07519132,0.4929129,120.9356,-0.296396,0.9511474,0.08641899,-0.1434096,0.0434872,-0.02218619,0.1514915,0.1855141,-0.4449324,-0.4914213,0.7253446,87.00496,0.2694915,-0.6463415,-0.7138748,-0.0501271,0.9919504,0.3044586,1.038833,0.0666188,0.02019108,-0.02697507,0.9972095,8.562879,0.8923488,0.2704565,-0.3613269,0.1239384,-0.0590934,0.004970978,0.1373953,0.4208553,0.8081335,-0.3755413,0.1696172,160.4689,0.4270431,0.8200154,-0.3810628,-0.2191475,-0.2550167,-0.1665013,0.3752091,-0.603536,-0.0316872,0.7587573,0.2429562,151.8778,-0.6221781,-0.03266597,0.782194,0.1001271,0.008049607,-0.004458606,0.100549,-0.4335425,0.1584457,0.8210859,0.3357888,140.759,-0.4602668,0.1682125,0.871699,-0.05832105,1.091478,0.03045019,1.093459,0.03873976,-0.04202774,-0.08322898,-0.9948899,348.4104,0.3836901,-0.4162553,-0.8243248,True,True,False,False
1773123797455,0.1112141,0.05408859,0.9177765,0.2557794,0.9542863,-0.4188002,-0.8173419,0.331847,0.2154905,155.1114,-0.4288763,-0.8370066,0.3398311,-0.1449666,0.6569269,0.165919,0.6928906,0.6062516,0.0738857,-0.768505,0.1907881,158.0024,0.617596,0.07526828,-0.7828856,-0.06232285,0.9655664,0.3024154,1.013735,-0.08369691,1.018229,0.2889384,1.061735,-0.07147837,1.018652,0.316961,1.069217,-0.07491341,0.6594872,0.2785108,0.7197942,-0.07626863,0.6451996,0.3225247,0.7253424,-0.09236646,0.6479925,0.3425532,0.7387615,0.1077818,-0.07626241,0.02403216,0.1342029,0.1622564,-0.0555045,0.0276973,0.1737096,0.1578913,-0.06896473,0.0005955547,0.1722967,-0.1220689,0.03773214,-0.03558639,0.1326307,-0.1611525,0.05548827,-0.01825456,0.1714126,-0.177856,0.04912518,0.0004157871,0.1845162,0.1002239,-0.07452351,0.0470956,0.1334787,0.1702088,-0.03673328,0.03227352,0.177093,0.1750801,-0.03941346,-0.0006184324,0.1794626,-0.12203,0.03834769,-0.03554514,0.1327605,-0.1597419,0.05659738,-0.01801546,0.1704268,-0.1775642,0.04963486,0.0003570765,0.1843714,0.1260632,-0.06180599,0.03421315,0.1445076,-0.2577441,0.8267295,0.06797811,0.4954444,120.6019,-0.2967216,0.9517521,0.07825813,-0.1433773,0.04342197,-0.0222204,0.1514472,0.1837924,-0.445683,-0.4886414,0.7271978,86.69602,0.2677519,-0.6492787,-0.7118613,-0.04985633,0.9913895,0.3040989,1.038179,0.06713798,0.02389573,-0.04090194,0.9966186,9.42628,0.8170916,0.290819,-0.4977903,0.1229847,-0.05981664,0.005392571,0.1368662,0.4166398,0.808602,-0.3827282,0.1615346,161.408,0.4221843,0.8193626,-0.3878214,-0.2194492,-0.254353,-0.1660577,0.374738,-0.6053736,-0.0349841,0.7538952,0.2528657,150.7057,-0.6257082,-0.03615922,0.7792186,0.09985633,0.008610547,-0.004098922,0.1003107,-0.4276645,0.1624947,0.8276523,0.3251006,142.0567,-0.4522299,0.1718285,0.8751932,-0.05877189,1.091255,0.03046866,1.093261,0.03812473,-0.0422325,-0.08323064,-0.9949048,348.4274,0.3781519,-0.4188961,-0.8255488,True,True,False,False
1773123797470,0.1259093,0.0539596,0.9169928,0.2557252,0.9535108,-0.4218852,-0.8134265,0.3373148,0.2157983,155.0753,-0.4320655,-0.833055,0.3454544,-0.1449085,0.6568571,0.1658506,0.6927959,0.6061091,0.07314511,-0.7686858,0.190798,158.0013,0.6174521,0.07451397,-0.7830713,-0.06169536,0.9672955,0.3018905,1.015187,-0.08305919,1.017987,0.2888341,1.061425,-0.07071552,1.018424,0.316736,1.068883,-0.07490694,0.6594633,0.2784569,0.7197508,-0.07619511,0.6452364,0.3224472,0.725333,-0.09227028,0.6480276,0.3424572,0.7387357,0.1086291,-0.07533221,0.02371557,0.1343043,0.1617026,-0.05623142,0.02757794,0.1734077,0.1571204,-0.06976643,0.0006172061,0.1719144,-0.1220769,0.03773353,-0.03550504,0.1326167,-0.1611359,0.05550801,-0.018252,0.1714032,-0.1778175,0.04918722,0.0004127622,0.1844956,0.1008596,-0.07458468,0.04532721,0.1333795,0.1695654,-0.03820806,0.03191836,0.1767231,0.1737217,-0.04170927,-0.0005249725,0.1786593,-0.1220336,0.03830124,-0.0355421,0.1327495,-0.1598473,0.05651499,-0.01803335,0.1705002,-0.1775834,0.049601,0.0003612884,0.1843807,0.1264071,-0.06237743,0.03302392,0.1447766,-0.2571994,0.8262158,0.06102772,0.4974853,120.3325,-0.2964929,0.9524405,0.0703512,-0.1433485,0.04336705,-0.02224661,0.151408,0.1822265,-0.4463859,-0.4861525,0.7288271,86.42369,0.2661415,-0.6519458,-0.710025,-0.04901917,0.9891158,0.3029137,1.03562,0.06945561,0.02750775,-0.05346937,0.9957712,10.54212,0.7560402,0.2994281,-0.5820263,0.1222983,-0.06050994,0.005854744,0.1365746,0.4097365,0.8104419,-0.3895313,0.1535098,162.3392,0.4146514,0.8201632,-0.3942038,-0.2194392,-0.2538576,-0.1657171,0.3742451,-0.6066263,-0.04152155,0.7487099,0.2640344,149.3808,-0.6289455,-0.04304922,0.7762566,0.09901917,0.01088423,-0.002913713,0.09965818,-0.4227199,0.1645187,0.8338295,0.3145947,143.3273,-0.4453312,0.1733188,0.8784309,-0.05913083,1.091094,0.03049643,1.09312,0.03723683,-0.04227804,-0.08335505,-0.9949261,348.4516,0.3701163,-0.4202235,-0.8285094,True,True,False,False
1773123797483,0.1398204,0.05422594,0.9155782,0.2544171,0.9518151,-0.425287,-0.809973,0.3415895,0.2153868,155.1236,-0.435509,-0.829441,0.3497997,-0.1447803,0.6569986,0.1658225,0.6928965,0.6059899,0.07269251,-0.7688034,0.1908754,157.9922,0.6173401,0.07405404,-0.7832031,-0.060949,0.9669086,0.3006673,1.01441,-0.08188144,1.016008,0.2883662,1.059307,-0.06965052,1.016588,0.3154919,1.066695,-0.0747208,0.6596812,0.2784057,0.7199113,-0.07604161,0.645459,0.3224035,0.7254955,-0.09208731,0.6481813,0.3423772,0.7388107,0.1084419,-0.07568367,0.02348412,0.13431,0.1601938,-0.05808411,0.02698431,0.1725224,0.1555905,-0.07120211,0.0006696731,0.1711099,-0.1220767,0.03773642,-0.03554894,0.1326292,-0.1611181,0.05552856,-0.0182564,0.1713936,-0.1777507,0.04929859,0.0004082024,0.1844609,0.1015005,-0.07467757,0.04348086,0.133303,0.1687732,-0.03988815,0.03150129,0.1762606,0.1721891,-0.04420224,-0.0004239915,0.1777726,-0.1220372,0.03825349,-0.03554268,0.1327392,-0.1599548,0.05643161,-0.0180522,0.1705753,-0.1775975,0.04957544,0.0003652539,0.1843875,0.1267245,-0.06303294,0.03178024,0.1450594,-0.2560364,0.8259319,0.053362,0.4994342,120.0749,-0.2955339,0.9533446,0.06159391,-0.143314,0.04331301,-0.02227758,0.1513645,0.1804843,-0.4471215,-0.4835357,0.7305484,86.13521,0.2643062,-0.6547769,-0.7081029,-0.04864631,0.9885423,0.3024363,1.034915,0.06395563,0.02368185,-0.06384986,0.9956265,10.72112,0.6845816,0.2534907,-0.6834493,0.1206327,-0.06188323,0.006121611,0.1357176,0.404536,0.8114871,-0.39622,0.1443923,163.3958,0.4088202,0.8200811,-0.4004161,-0.2182075,-0.2514738,-0.1655668,0.3718413,-0.6074312,-0.04613874,0.7437257,0.2752646,148.0444,-0.6318401,-0.04799278,0.7736115,0.09864631,0.01145768,-0.00243628,0.09933937,-0.42142,0.1747721,0.8348965,0.3079088,144.1335,-0.4429398,0.1836969,0.8775306,-0.05944794,1.090908,0.03048155,1.092951,0.03645765,-0.04250394,-0.08294449,-0.9949796,348.5127,0.3642935,-0.4247094,-0.8288009,True,True,False,False
