Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773115579504,0,1,1,135,-0.01864642,-0.9830226,-0.1825351,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.01722705,-0.9081944,-0.1686404,0.3826834,135,-0.01864643,-0.9830226,-0.1825351
Grab,1773115584320,3.921677,1,1,135,-0.01864642,-0.9830226,-0.1825351,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.01722705,-0.9081944,-0.1686404,0.3826834,135,-0.01864643,-0.9830226,-0.1825351
Trial Start,1773115584343,0,1,1,135,-0.01864642,-0.9830226,-0.1825351,1,-1,-0.04999999,1,0.3,1.045227,0.03447696,0.02595134,-0.02070338,0.998854,5.486478,0.7203668,0.5422313,-0.4325797,0.09999999,0,0,0.09999999,-0.05358021,-0.9109139,-0.191389,0.3615735,137.6063,-0.0574683,-0.9770152,-0.2052773
Release,1773115584930,0.5973692,1,1,135,-0.01864642,-0.9830226,-0.1825351,1,0,0.002501823,0.9930257,0.2488176,1.023727,0.3053437,-0.6495899,-0.2233178,0.6594903,97.47798,0.4061972,-0.864146,-0.2970785,0.04749818,0.00697428,0.05118245,0.07017379,-0.22148,-0.2950177,-0.3142587,0.8747301,57.9739,-0.4570268,-0.608773,-0.6484769
Grab,1773115585610,1.277974,1,1,135,-0.01864642,-0.9830226,-0.1825351,1,0,0.002501823,0.9930257,0.2488176,1.023727,0.3053437,-0.6495899,-0.2233178,0.6594903,97.47798,0.4061972,-0.864146,-0.2970785,0.04749818,0.00697428,0.05118245,0.07017379,-0.22148,-0.2950177,-0.3142587,0.8747301,57.9739,-0.4570268,-0.608773,-0.6484769
On Target,1773115586695,2.3756,1,1,135,-0.01864642,-0.9830226,-0.1825351,1,-1,0.05736836,1.006593,0.2973249,1.051153,0.0591048,-0.8892218,-0.1765934,0.4178589,130.601,0.0650567,-0.9787673,-0.1943765,-0.007368356,-0.006593347,0.002675086,0.01024309,-0.04023927,-0.02619702,-0.07188585,0.9962565,9.91845,-0.4654801,-0.3030421,-0.8315616
Off Target,1773115586874,2.555922,1,1,135,-0.01864642,-0.9830226,-0.1825351,1,-1,0.05020545,1.003232,0.2938594,1.046589,0.03344516,-0.8767204,-0.1729992,0.4475646,126.8249,0.03740017,-0.9803957,-0.1934569,-0.000205446,-0.003231883,0.00614062,0.006942225,-0.02977554,-0.06234882,-0.05475157,0.9961066,10.11514,-0.3377568,-0.7072496,-0.6210707
Clutch Start,1773115587360,3.028522,1,1,135,-0.01864642,-0.9830226,-0.1825351,1,0,0.05303734,1.004966,0.2950141,1.048715,-0.01509006,-0.8545523,-0.1824332,0.4860359,121.8393,-0.01726673,-0.977817,-0.2087483,-0.003037337,-0.004966497,0.004985958,0.007664939,-0.02417105,-0.1137941,-0.01316782,0.993123,13.44672,-0.2064564,-0.9719695,-0.1124726
On Target,1773115587847,3.528592,1,1,135,-0.01864642,-0.9830226,-0.1825351,1,-1,0.04985927,1.001048,0.2925699,1.044117,-0.00978457,-0.8689877,-0.1915488,0.4561509,125.722,-0.0109951,-0.9764977,-0.215247,0.0001407303,-0.001048326,0.007430077,0.007504987,-0.03153086,-0.08007677,-0.009706724,0.9962425,9.936843,-0.3640699,-0.9246033,-0.1120783
Trial End,1773115588848,4.527939,1,2,135,-0.01864642,-0.9830226,-0.1825351,1,-1,0.05196202,0.9996667,0.2968614,1.044107,0.0055124,-0.8732375,-0.1985192,0.4449899,127.1546,0.006155423,-0.9751008,-0.2216765,-0.001962017,0.0003333092,0.003138602,0.003716373,-0.04280628,-0.06561439,-0.01912292,0.996743,9.251004,-0.5308149,-0.8136446,-0.2371318
