Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773116296378,0,1,1,135,0.2657215,0.938881,-0.2188483,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,0.2454947,0.8674129,-0.2021895,0.3826834,135,0.2657216,0.938881,-0.2188484
Grab,1773116297991,0,1,1,135,0.2657215,0.938881,-0.2188483,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,0.2454947,0.8674129,-0.2021895,0.3826834,135,0.2657216,0.938881,-0.2188484
Release,1773116298003,0,1,1,135,0.2657215,0.938881,-0.2188483,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,0.2454947,0.8674129,-0.2021895,0.3826834,135,0.2657216,0.938881,-0.2188484
Trial Start,1773116299901,0,1,1,135,0.2657215,0.938881,-0.2188483,1,-0.04949062,1.000862,0.2997825,1.045965,-0.01455869,0.004926369,-0.0143289,0.9997792,2.40797,-0.6928848,0.2344583,-0.6819485,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.09949063,-0.0008615255,0.0002175272,0.0994946,0.2624449,0.8588749,-0.2104992,0.3861952,134.5641,0.2845187,0.9311133,-0.228204
Grab,1773116300110,0.2081792,1,1,135,0.2657215,0.938881,-0.2188483,1,-0.0454702,1.008437,0.2845461,1.048799,-0.2208768,0.2204645,0.04154043,0.9491487,36.70089,-0.7015789,0.7002693,0.1319463,0.1295934,-0.06638178,-0.005747387,0.145719,0.5151756,0.5057573,0.6794378,0.131027,164.9421,0.5196556,0.5101555,0.6853463,-0.03293158,-0.4507552,-0.03060125,0.4529914,0.5287617,0.4319898,-0.7147588,0.1513798,162.5862,0.5349264,0.4370262,-0.723092,0.0954702,-0.008437037,0.01545388,0.0970802,0.2369285,0.7044746,-0.453519,0.4918341,121.0776,0.2721162,0.8091003,-0.5208738
Release,1773116300915,1.013035,1,1,135,0.2657215,0.938881,-0.2188483,1,-0.02793958,0.9752249,0.2302324,1.002423,-0.2967089,0.7300496,-0.4553347,0.4143209,131.0469,-0.3260068,0.802137,-0.5002958,0.132037,-0.09292109,-0.004684842,0.1615242,-0.005289618,0.741387,0.5387146,-0.40013,227.1726,-0.005771803,0.8089696,0.5878223,-0.00695086,-0.3946105,-0.05922732,0.399091,0.6595941,0.6043987,-0.1238758,-0.4292933,230.8455,0.730314,0.6692007,-0.1371574,0.07793958,0.02477515,0.06976756,0.1074984,0.4626139,-0.09176426,-0.3461147,0.8110316,71.6063,0.7907899,-0.1568614,-0.5916467
Grab,1773116301583,1.680503,1,1,135,0.2657215,0.938881,-0.2188483,1,-0.03131364,0.967674,0.2287834,0.9948444,-0.2447113,0.7740588,-0.3784274,0.444682,127.194,-0.2732102,0.8642054,-0.4224989,0.1008654,-0.08064865,0.0007259884,0.1291455,0.03322452,0.7294759,0.53833,-0.4206687,229.7536,0.03662257,0.8040833,0.5933878,-0.001973501,-0.3851945,-0.05890165,0.3896769,0.7184694,0.5708796,-0.09260458,-0.3864228,225.4642,0.7789792,0.6189594,-0.1004038,0.08131364,0.03232598,0.07121657,0.1128214,0.3745602,-0.05287652,-0.3473852,0.8580397,61.8056,0.7293077,-0.1029561,-0.6763952
Release,1773116301819,1.917879,1,1,135,0.2657215,0.938881,-0.2188483,1,-0.01629797,0.9812214,0.2341584,1.008906,0.1451286,0.8359636,-0.09464509,0.5207157,117.2395,0.1699936,0.9791896,-0.1108607,0.0810129,-0.09625966,0.01910864,0.1272562,0.289198,0.6515871,0.4672919,-0.5229121,243.0556,0.3392803,0.7644267,0.5482159,-0.01572226,-0.400909,-0.07037951,0.4073432,0.9192932,0.1213434,-0.2073354,-0.3117495,216.3294,0.9675098,0.1277078,-0.2182101,0.06629797,0.01877856,0.06584166,0.09530572,-0.01463209,0.1378747,-0.1484023,0.9791594,23.43576,-0.07204633,0.678875,-0.7307118
Grab,1773116302638,2.737231,1,1,135,0.2657215,0.938881,-0.2188483,1,-0.0129694,0.977669,0.2393625,1.006628,0.2258593,0.7333362,-0.1186279,0.6301849,101.8725,0.290889,0.9444792,-0.1527834,0.1082275,-0.06419674,0.005335633,0.1259479,0.4098329,0.6669025,0.1605365,-0.6012537,253.9195,0.5128949,0.8346108,0.2009071,-0.02533483,-0.3994778,-0.05870605,0.4045624,0.8794177,0.06410527,-0.3695227,-0.2932032,214.0997,0.9198447,0.06705221,-0.3865097,0.0629694,0.022331,0.06063752,0.09022598,0.02290096,0.2825388,-0.06613674,0.9566992,33.84506,0.07867628,0.9706621,-0.2272128
On Target,1773116303831,3.942086,1,1,135,0.2657215,0.938881,-0.2188483,1,0.05038803,1.001274,0.2970084,1.045611,0.2001919,0.8443563,-0.2427404,0.4336619,128.5996,0.2221699,0.9370538,-0.2693897,0.1037042,-0.06531738,0.02620353,0.1253297,0.2353296,0.7155975,0.09819302,-0.6503063,261.1294,0.3097779,0.9419822,0.1292571,-0.08018449,-0.4502784,-0.07782044,0.4639356,0.8661196,0.1226954,-0.1668635,-0.4549056,234.1177,0.9725785,0.1377764,-0.1873735,-0.0003880337,-0.001274228,0.002991587,0.003274724,0.06968775,0.03392795,-0.0284251,0.9965863,9.47098,0.8441271,0.4109689,-0.3443131
