Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,135,0.2657215,0.938881,-0.2188483,1,4.943783,False,0.0004233755,-0.002902269,0.002318352,0.003738606,-0.0383943,0.03473043,-0.033436,0.9980991,7.066712,-0.6229866,0.5635365,-0.542533,0.1543361,0.1471667,0.1377111,0,0,0,0.2352252,162.2169,0,0,0.2295308,347.2082,0.158711,298.796,0,0,0.03420139,10.27272,3.248784,0
1,2,135,-0.4923386,-0.778024,0.3902325,1,11.40336,False,0.00169019,-0.0003054142,0.006886959,0.007097903,-0.0003473189,-0.02076386,0.03001821,0.9993336,4.183625,-0.009515256,-0.568853,0.8223881,0.3302274,0.2847455,0.2613724,0,0,0,0.4151095,283.0237,0,0,0.3458793,609.5045,0.2570564,490.5063,0,0,0.04796442,14.6124,4.68163,0
1,3,135,-0.872308,-0.2522365,0.4188742,1,14.17948,False,0.005139049,0.000603199,-0.002112329,0.005588883,-0.0243046,-0.03452033,-0.05209938,0.9977491,7.689931,-0.3624471,-0.5147912,-0.7769424,0.3057712,0.2765533,0.2474871,0,0,0,0.4869322,245.3537,0,0,0.3698802,582.5281,0.2218541,478.2954,0,0,0.0584064,14.41053,7.264617,0
1,4,135,0.08292497,0.9566291,0.2792566,1,10.46033,False,0.003960367,0.0005115271,0.006657839,0.007763568,-0.03923672,0.0276571,0.03086116,0.9983703,6.543074,-0.6875452,0.4846354,0.5407803,0.1495702,0.1124849,0.1101899,0,0,0,0.1976397,113.2435,0,0,0.1904079,273.1976,0.1459146,224.4774,0,0,0.02945303,6.68546,3.794623,0
1,5,135,-0.1155436,-0.3291194,-0.9371927,1,11.1921,False,-0.0006036833,-0.001452208,0.00529772,0.005526227,0.03301486,-0.03873856,0.01792367,0.9985431,6.186649,0.6118138,-0.7178824,0.3321519,0.2211788,0.1782124,0.326603,0,0,0,0.3700828,226.1508,0,0,0.3108699,452.0754,0.1776295,397.0042,0,0,0.02963954,6.252666,4.030881,0
1,6,135,-0.5496991,0.6837937,0.479851,0.9999999,7.750383,False,0.0003504232,0.001269937,0.004064649,0.004272811,0.01350744,0.002652187,-0.004972171,0.999893,1.676736,0.9231343,0.1812575,-0.3398113,0.1812981,0.1155734,0.144141,0,0,0,0.3013948,134.0094,0,0,0.2204872,325.4412,0.1650347,293.5318,0,0,0.03687211,12.51929,2.539208,0
1,7,135,0.3385824,0.8454195,-0.413071,0.9999999,8.598098,False,-0.0001190975,-0.0002267361,0.006451994,0.006457075,-0.03450484,-0.0431284,-0.02331633,0.9982014,6.874135,-0.5755382,-0.7193785,-0.3889147,0.2161292,0.1717731,0.1961327,0,0,0,0.3927552,213.1379,0,0,0.3071406,413.1326,0.1687937,317.4263,0,0,0.04497554,12.58968,4.904077,0
1,8,135,-0.3252539,-0.871469,-0.3670853,0.9999999,14.38872,False,0.001638055,-0.001636147,0.006134659,0.006556999,-0.003120783,-0.01409235,0.0230527,0.9996301,3.116929,-0.114746,-0.5181525,0.8476096,0.6391454,0.5453259,0.4767198,0,0,0,0.9779125,605.8804,0,0,0.6974564,1207.491,0.4724658,907.2307,0,0,0.07328068,14.93302,9.235119,0
1,9,135,0.7579808,-0.6505206,0.04783547,1,7.153045,False,0.0008922927,0.0008058548,0.0004296601,0.001276791,0.001860762,-0.001985648,-0.00055481,0.9999962,0.3165176,0.6736679,-0.7188815,-0.2008627,0.1258295,0.1121044,0.1304734,0,0,0,0.2424489,164.4165,0,0,0.234195,301.1515,0.1400831,223.2705,0,0,0.02440962,5.633572,3.34543,0
1,10,135,-0.04706687,-0.1309895,-0.9902658,1,11.10951,False,6.403401E-05,-0.001873493,0.009078354,0.009269875,-0.04199897,0.01473655,0.02007426,0.9988073,5.597386,-0.8601604,0.301812,0.4111312,0.3118425,0.2784597,0.3100946,0,0,0,0.6253321,342.507,0,0,0.45961,617.2223,0.2599149,471.6519,0,0,0.0644998,16.32476,5.31908,0
2,1,135,-0.6707016,-0.7337058,-0.1087898,1,15.87066,False,0.003480446,0.001782119,0.003682345,0.005371138,0.04206856,-0.004683773,-0.05634009,-0.9975141,351.9181,0.5969783,-0.06646557,-0.7995,0.5132515,0.4226036,0.4576463,0,0,0,0.7478887,567.7831,0,0,0.5232572,1074.519,0.3880812,795.3666,0,0,0.06238088,19.37096,6.150824,0
2,2,135,0.07191114,-0.3933519,-0.9165714,1,10.11125,False,-0.0001719929,-0.0008924007,0.001486182,0.001742039,-0.02073191,0.02148588,0.003092037,0.9995494,3.439982,-0.6907091,0.7158286,0.103015,0.353144,0.2498513,0.3274097,0,0,0,0.405649,309.4393,0,0,0.3427891,657.9654,0.2784805,530.1006,0,0,0.05296265,9.185058,7.56848,0
2,3,135,0.130486,-0.9275565,0.3501606,1,9.667167,False,-0.002728958,-0.002645254,0.003865242,0.005420764,-0.03626256,0.03682486,0.03136618,-0.9981709,353.0681,-0.5998249,0.609126,0.518833,0.3969073,0.2990089,0.3171711,0,0,0,0.4679418,398.9934,0,0,0.3790631,728.5393,0.3155251,539.4069,0,0,0.04248758,8.803706,5.809041,0
2,4,135,0.3578804,0.9317126,-0.06191313,1,7.511906,False,0.000698112,0.002323806,0.001142204,0.002681803,-0.0219511,0.03274343,0.04920216,0.9980107,7.229202,-0.3481812,0.5193657,0.7804288,0.2315364,0.1523213,0.1673862,0,0,0,0.2718225,182.9921,0,0,0.265851,367.228,0.1954069,342.4734,0,0,0.04189488,8.010159,5.079844,0
2,5,135,-0.1017103,0.06581574,0.9926345,1,10.34871,False,0.003904186,-0.0008051395,0.0002079606,0.003991762,-0.02059727,0.00930069,0.002168007,0.9997423,2.601716,-0.9072707,0.4096778,0.09549662,0.2165506,0.2282408,0.2443938,0,0,0,0.3284,183.9903,0,0,0.3051662,456.2744,0.2197137,377.2536,0,0,0.03526024,8.644202,4.140085,0
2,6,135,-0.2571398,0.5568599,0.7898014,1,9.371824,False,0.006428398,-0.00201869,0.007467002,0.01005761,0.01733726,-0.02234876,-0.0338718,0.9990259,5.058504,0.3928733,-0.5064371,-0.7675564,0.2587685,0.2224694,0.2868427,0,0,0,0.4594128,315.6786,0,0,0.2916601,504.8987,0.2452452,395.9631,0,0,0.04850075,12.76404,4.609971,0
2,7,135,0.02207297,-0.9271711,0.3739874,1,6.072383,False,0.004238397,0.001984119,0.0039168,0.006102627,0.02845243,-0.05297165,-0.004088019,-0.9981822,353.0896,0.4720974,-0.8789331,-0.06783053,0.116906,0.1188427,0.1258273,0,0,0,0.1843793,135.8308,0,0,0.1611079,281.3495,0.1141681,220.2225,0,0,0.0141798,4.396297,1.779301,0
2,8,135,-0.1159284,-0.955777,-0.2702793,1,7.931035,False,-3.293529E-05,-0.003705382,0.008092016,0.008900094,0.04194517,0.0269612,-0.01541881,-0.998637,354.0165,0.8036724,0.5165784,-0.2954255,0.2902478,0.2560183,0.3053758,0,0,0,0.448935,308.6153,0,0,0.4382074,610.8841,0.2480879,491.9479,0,0,0.04444508,12.02581,4.859601,0
2,9,135,-0.6059594,-0.5368748,0.5870082,1,6.331304,False,-0.001662895,-0.002086163,0.00325489,0.004208516,-0.05474366,0.03055223,-0.03477273,0.997427,8.222082,-0.7636197,0.4261733,-0.4850451,0.2018293,0.1198884,0.1402496,0,0,0,0.2694013,158.6943,0,0,0.1538744,339.5336,0.1336221,305.8893,0,0,0.03236112,8.952524,1.708301,0
2,10,135,-0.9593536,0.2528114,0.1254081,1,11.52633,False,0.002298821,0.001025379,0.003979087,0.004708408,-0.02836869,-0.008311546,0.01017054,0.9995112,3.58288,-0.907466,-0.2658722,0.325338,0.30957,0.2313695,0.2429724,0,0,0,0.4287569,338.0227,0,0,0.3468552,549.8928,0.2414927,427.6756,0,0,0.03206514,8.304451,4.615122,0
3,1,135,-0.1348041,-0.3098467,-0.9411817,1,10.22189,False,-0.0002570003,0.0007903576,0.00082618,0.001171874,0.03396197,0.04587365,0.01519338,0.9982542,6.772097,0.575009,0.7766854,0.2572386,0.1640468,0.1517437,0.162422,0,0,0,0.2862153,222.6245,0,0,0.2391132,371.903,0.1459976,272.3532,0,0,0.02762756,4.201973,4.738192,0
3,2,135,0.9525403,-0.2823011,-0.1138998,1,6.943033,False,0.0008609146,-0.003438592,0.0003896952,0.003566083,-0.004813476,0.03158545,-0.01455718,0.9993834,4.024151,-0.1370953,0.8996027,-0.4146112,0.1638376,0.1365156,0.1022409,0,0,0,0.2348049,192.1752,0,0,0.190258,308.5318,0.1318077,233.1343,0,0,0.03157699,7.117074,3.303311,0
3,3,135,0.4119452,0.6941688,0.5902803,1,13.34581,False,0.001074567,0.003113031,-0.003128082,0.004542087,0.001894498,-0.03109037,0.04949149,0.9982889,6.704806,0.03239722,-0.5316669,0.8463388,0.3290342,0.2648265,0.3722054,0,0,0,0.5186331,344.4702,0,0,0.3908823,624.1918,0.3132039,549.7687,0,0,0.04631839,10.62352,4.638359,0
3,4,135,0.9210229,0.1488153,-0.3599595,1,4.890193,False,-0.001834329,-0.001239538,-0.0009187758,0.00239695,-0.01845679,-0.01391529,-0.01385034,0.999637,3.088167,-0.6849467,-0.5164078,-0.5139975,0.1743235,0.1707006,0.20841,0,0,0,0.1810398,148.6961,0,0,0.2390959,327.419,0.1526828,282.8938,0,0,0.02239753,4.566236,3.488227,0
3,5,135,-0.5005852,-0.7769827,-0.3817228,1,9.803407,False,0.0005525053,0.0002127886,0.002911538,0.002971127,0.02618938,0.03701293,-0.02039874,-0.9987633,354.3005,0.5267665,0.7444687,-0.410295,0.3117747,0.2893903,0.3177804,0,0,0,0.6228171,390.9575,0,0,0.4000907,657.6214,0.279722,473.6946,0,0,0.04216953,12.05191,3.027064,0
3,6,135,-0.5841178,0.5900564,0.5573506,1,6.222231,False,0.0004732125,-0.003713012,0.00841254,0.009207672,-0.003973117,-0.06645013,-0.0385661,0.9970363,8.824661,-0.05164336,-0.8637318,-0.5012897,0.3159346,0.2605739,0.2483676,0,0,0,0.2505828,260.1633,0,0,0.250994,552.2805,0.2317735,415.692,0,0,0.02336873,4.848142,2.706661,0
3,7,135,0.5821564,-0.8102784,0.06740105,1,8.362311,False,-0.0016937,-0.001125574,0.006677091,0.006979906,0.04350801,-0.03620611,-0.01127071,0.9983332,6.617218,0.7538575,-0.6273385,-0.195286,0.1548894,0.1317094,0.1405217,0,0,0,0.2371101,162.5288,0,0,0.2362587,323.5753,0.1262894,219.9052,0,0,0.02424755,6.305262,2.25136,0
3,8,135,0.00124269,0.7127017,-0.7014661,0.9999999,9.083995,False,-0.0004790425,-0.003867865,-0.002110511,0.004432168,0.03082357,0.01238905,-0.03064672,0.9989782,5.180998,0.6819822,0.274112,-0.6780694,0.11855,0.06846311,0.09667669,0,0,0,0.225239,106.2858,0,0,0.1936633,234.641,0.1298671,209.6254,0,0,0.03062093,4.438391,4.655671,0
3,9,135,0.8556367,0.5160792,0.03934634,1,6.371006,False,-5.491078E-06,0.003267825,-0.002024829,0.0038443,-0.0322828,0.01893579,-0.01431554,0.9991969,4.59305,-0.8056387,0.4725553,-0.3572539,0.149725,0.173986,0.1735238,0,0,0,0.252764,181.2486,0,0,0.271187,412.3355,0.1578602,337.2932,0,0,0.02779984,5.436711,4.054177,0
3,10,135,-0.8333452,0.2598651,-0.4878584,1,9.679182,False,0.0007240996,0.001641452,-0.001379192,0.002262931,-0.005197706,0.01194684,-0.000342875,0.999915,1.493545,-0.3987946,0.9166228,-0.02630712,0.3179875,0.2638755,0.2698107,0,0,0,0.5163707,284.3342,0,0,0.3497619,459.5286,0.2874089,417.6211,0,0,0.03220377,9.497857,3.637849,0
