Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1773116412153,0.0130652,0.07710421,0.8724767,0.2399001,0.908137,-0.7845123,-0.5497986,-0.264553,0.1107859,167.2787,-0.7893715,-0.553204,-0.2661917,-0.0755512,0.6407689,0.05690043,0.6477118,-0.3461619,-0.2350768,0.9007514,0.1164375,166.6269,-0.3485326,-0.2366867,0.9069203,0.05268772,1.001225,0.2713235,1.038674,0.07491414,1.022101,0.3047735,1.0692,0.05192334,1.017291,0.3235231,1.068758,0.03215124,0.5725335,0.08541383,0.5797619,0.03605917,0.5384201,0.09043871,0.5471523,0.02470055,0.5185473,0.1020313,0.5290669,0.1141512,-0.06656724,0.02641867,0.1347577,0.1545738,-0.0499174,0.0146919,0.1630971,0.1549001,-0.067119,-0.00995066,0.1691095,-0.1206093,0.03940649,-0.03113538,0.130648,-0.1390409,0.06610788,-0.01882427,0.1551031,-0.14471,0.07793553,0.003228001,0.1643939,0.1138474,-0.06695928,0.02719962,0.1348502,0.1548196,-0.04994176,0.01456917,0.1633265,0.1550607,-0.06701353,-0.01002471,0.1692192,-0.120536,0.03923804,-0.03131252,0.1305719,-0.1388417,0.06614619,-0.01884272,0.1549431,-0.1446489,0.07798847,0.003195149,0.1643646,0.1337542,-0.06383748,0.01371452,0.1488405,-0.3370782,0.8494222,-0.1502611,0.3772026,135.679,-0.3639639,0.9171731,-0.1622461,-0.1312039,0.05622528,-0.01690184,0.1437408,-0.2423631,-0.3737785,-0.380457,0.8104334,71.7234,-0.4137084,-0.6380315,-0.6494315,-0.05053994,1.000546,0.2989369,1.045471,-0.01414651,0.009563653,0.01523035,0.9997382,2.622094,-0.6182839,0.4179866,0.6656538,0.1244436,-0.06708742,0.009580453,0.1416994,-0.2035946,0.9132057,-0.06612188,0.3467457,139.4232,-0.2170613,0.9736092,-0.07049547,-0.09056079,-0.4352341,-0.05688369,0.4481805,-0.1729971,0.4112335,-0.4615815,-0.7667473,280.1254,-0.2694874,0.6406016,-0.7190316,0.1005399,-0.0005458593,0.001063138,0.100547,-0.6047089,-0.6921974,-0.09079537,0.3833355,134.9191,-0.6547238,-0.7494485,-0.09830497,0.004369475,1.099316,-0.03006838,1.099736,-0.02445402,0.03905538,-0.0534613,-0.9975062,351.9055,-0.3464772,0.5533568,-0.7574673,False,False,False,False
1773116412167,0.0274898,0.01970092,0.9144847,0.2199964,0.940781,-0.5643634,-0.592236,-0.543774,0.1872444,158.416,-0.5745248,-0.6028992,-0.5535647,-0.09807615,0.6218464,0.0439067,0.6310624,-0.4375352,-0.2783006,0.849302,0.09898403,168.6387,-0.4396945,-0.2796741,0.8534935,-0.06579161,1.00947,0.2628053,1.045191,-0.05268275,1.018914,0.341662,1.075962,-0.08485027,0.9945477,0.3343243,1.052662,0.002383802,0.550153,0.08874571,0.55727,0.003516424,0.5189503,0.09361842,0.5273388,-0.007381323,0.4989085,0.1026569,0.509414,0.1049597,-0.07772779,0.03325074,0.134773,0.1714,-0.03432819,0.01977532,0.1759189,0.1633633,-0.05999194,-0.01119412,0.1743901,-0.1203956,0.04167727,-0.03178973,0.1313114,-0.1372705,0.06479505,-0.01839412,0.152905,-0.1452287,0.07546238,0.002221491,0.1636792,0.1131731,-0.06777622,0.02765867,0.1347842,0.1560775,-0.04875727,0.01496412,0.1641992,0.1556906,-0.06648085,-0.01011342,0.1695923,-0.1205254,0.03942309,-0.03134872,0.1306265,-0.1387225,0.06604368,-0.01880869,0.1547884,-0.1446929,0.07779683,0.003121284,0.1643111,0.1336777,-0.06376114,0.01430873,0.148795,-0.3429916,0.8451914,-0.1424932,0.3843228,134.7966,-0.3715251,0.9155031,-0.1543472,-0.1312233,0.05626962,-0.01691542,0.1437774,-0.2389144,-0.3746406,-0.3824457,0.8101233,71.78404,-0.4075232,-0.6390353,-0.6523487,-0.05052065,1.00075,0.2984806,1.045535,-0.02131414,0.02809594,0.02356158,0.9991002,4.86151,-0.5025538,0.6624579,0.5555448,0.1265348,-0.04675298,0.01936476,0.1362788,0.5653863,0.5775837,0.5602589,0.1812333,159.1168,0.5749066,0.5873094,0.5696929,-0.04799353,-0.4516817,-0.06628451,0.4590352,0.4483814,0.2845253,-0.8394507,0.1154213,166.7442,0.4513983,0.2864397,-0.8450988,0.1005207,-0.000749588,0.001519412,0.1005349,-0.5977859,-0.7047398,-0.07757736,0.3741332,136.0585,-0.6446,-0.7599298,-0.08365264,0.003706343,1.099216,-0.0302107,1.099638,-0.02436043,0.0410661,-0.05485794,-0.9973519,351.6588,-0.3349578,0.564662,-0.7543008,False,False,False,False
1773116412181,0.0408017,0.01939243,0.9145497,0.2200958,0.940861,-0.5698976,-0.5949475,-0.5365318,0.1827234,158.9431,-0.5796565,-0.6051354,-0.5457193,-0.09779365,0.6218206,0.04390563,0.6309929,-0.437808,-0.2782306,0.8493565,0.09749435,168.8102,-0.4399038,-0.2795625,0.8534223,-0.06522962,1.010747,0.2617373,1.046122,-0.05233139,1.02157,0.3394152,1.077751,-0.08487327,0.9972721,0.3315055,1.054349,0.00278287,0.5504699,0.08899495,0.5576243,0.003902201,0.5191597,0.09369291,0.5275608,-0.006946276,0.4991397,0.1027019,0.5096434,0.1048943,-0.07773715,0.03321179,0.1347179,0.1708444,-0.03548691,0.01968946,0.1755985,0.1618056,-0.06186272,-0.01088104,0.1735697,-0.120395,0.04163335,-0.03180121,0.1312997,-0.1371163,0.06496658,-0.01839937,0.15284,-0.1450371,0.07563311,0.002170954,0.1635875,0.1124851,-0.06860398,0.02812014,0.1347225,0.1573046,-0.04765449,0.0153568,0.1650803,0.1561987,-0.06609708,-0.01017721,0.169913,-0.1205145,0.03960676,-0.03138632,0.1306811,-0.138589,0.06595417,-0.01877467,0.1546265,-0.1447215,0.07761703,0.003042311,0.1642497,0.1335886,-0.06374524,0.01489259,0.1487655,-0.3478613,0.8415299,-0.1357611,0.3903704,134.0449,-0.3778399,0.9140528,-0.147461,-0.1312342,0.05631577,-0.01693402,0.1438077,-0.2354078,-0.3755481,-0.3848932,0.8095703,71.89206,-0.4010198,-0.6397503,-0.6556698,-0.05130409,1.001521,0.2967659,1.045823,-0.0365645,0.05816977,0.03635464,0.9969743,8.916428,-0.4703927,0.7483388,0.4676929,0.1263613,-0.04682107,0.01740835,0.1358766,0.5644338,0.5746826,0.5690469,0.1653487,160.965,0.5723115,0.5827034,0.5769891,-0.04869876,-0.4514234,-0.06689979,0.4589447,0.4657551,0.2885073,-0.8280643,0.1189332,166.3389,0.4690846,0.2905698,-0.8339838,0.1013041,-0.001520991,0.003234118,0.1013671,-0.5849833,-0.7242675,-0.05328667,0.361098,137.6647,-0.6273092,-0.7766711,-0.05714217,0.002956533,1.099088,-0.03037448,1.099512,-0.02429972,0.04285965,-0.05635884,-0.9971942,351.4139,-0.3246123,0.5725486,-0.7528799,False,False,False,False
1773116412195,0.0550409,0.0193288,0.9145138,0.2199392,0.9407881,-0.5752953,-0.5968183,-0.5303205,0.177774,159.5197,-0.5846072,-0.6064786,-0.5389045,-0.09704878,0.6218165,0.04400628,0.630881,-0.4380206,-0.2781069,0.8494235,0.09630234,168.9474,-0.440066,-0.2794056,0.85339,-0.06463974,1.01112,0.2612183,1.046316,-0.05410459,1.023691,0.3347094,1.078379,-0.0855089,0.9995867,0.3261309,1.054916,0.003814656,0.5509687,0.08933334,0.5581769,0.004790757,0.5193301,0.09403309,0.5277963,-0.006002645,0.4993371,0.1030944,0.509904,0.1051503,-0.07748591,0.03204344,0.1344895,0.1689544,-0.03959782,0.01925677,0.1745978,0.1585241,-0.06535068,-0.01021948,0.1717703,-0.1204419,0.04140732,-0.03203997,0.1313293,-0.1371553,0.0650262,-0.01837041,0.1528969,-0.145103,0.07564633,0.002181195,0.1636521,0.111919,-0.06928954,0.02842296,0.1346654,0.1582038,-0.04703263,0.01565782,0.1657881,0.1563782,-0.06603947,-0.01018047,0.1700559,-0.1205089,0.03974574,-0.03143677,0.1307302,-0.1384784,0.06588255,-0.01874347,0.154493,-0.144751,0.07746492,0.002975845,0.1642027,0.1334719,-0.06385409,0.01531729,0.1487505,-0.3496167,0.8396932,-0.1313337,0.3942523,133.5613,-0.3804308,0.913701,-0.142909,-0.1312434,0.05633884,-0.0169655,0.1438288,-0.2322648,-0.3763383,-0.3873889,0.8089205,72.01881,-0.3950633,-0.6401204,-0.6589164,-0.05129009,1.002186,0.2959613,1.046231,-0.05740246,0.07484182,0.03615275,0.9948852,11.59483,-0.5682771,0.7409246,0.3579077,0.1259368,-0.04842895,0.01600531,0.1358735,0.5579029,0.565048,0.590466,0.1442751,163.4094,0.5638015,0.5710222,0.5967089,-0.04726052,-0.4510084,-0.06718114,0.4584271,0.4926952,0.298002,-0.807704,0.12673,165.4387,0.4967,0.3004242,-0.8142692,0.1012901,-0.002185583,0.004038692,0.1013941,-0.577527,-0.7312008,-0.02854352,0.3619297,137.5625,-0.6195278,-0.7843773,-0.03061934,0.00229292,1.098959,-0.03059619,1.099387,-0.02469651,0.04450462,-0.05772652,-0.9970341,351.1722,-0.3208987,0.5782789,-0.7500801,False,False,False,False
1773116412208,0.0684577,0.01902908,0.9140338,0.220241,0.9403861,-0.5811442,-0.597972,-0.5241284,0.1731778,160.0547,-0.5900596,-0.6071455,-0.5321691,-0.09699591,0.6220049,0.04394588,0.6310543,-0.4381998,-0.2779343,0.8495126,0.09519292,169.0751,-0.4401989,-0.2792023,0.853388,-0.06371034,1.012194,0.2604681,1.04711,-0.05380844,1.025374,0.332734,1.079351,-0.08453949,1.001721,0.3256435,1.05671,0.003899503,0.5514624,0.08953796,0.5586976,0.004968088,0.5197516,0.09420887,0.528244,-0.005764368,0.4997376,0.1033639,0.510348,0.1051304,-0.07748087,0.03230705,0.1345341,0.1682691,-0.04101283,0.01897608,0.1742315,0.158466,-0.06564841,-0.01019797,0.171829,-0.1204426,0.04129052,-0.03199127,0.1312813,-0.1371647,0.06501956,-0.01835905,0.1529012,-0.1451921,0.07561341,0.00220529,0.1637162,0.1113615,-0.06996221,0.02874193,0.1346187,0.1590304,-0.04653828,0.01593032,0.1664639,0.1565497,-0.06600736,-0.01018191,0.1702012,-0.1205035,0.03987259,-0.03148231,0.1307748,-0.1383705,0.06581168,-0.0187119,0.1543622,-0.1447872,0.07731287,0.002912567,0.1641618,0.1333295,-0.06400905,0.01573342,0.1487328,-0.3506906,0.8382241,-0.1269762,0.3978363,133.114,-0.3822422,0.9136391,-0.1384003,-0.1312551,0.05635433,-0.01699425,0.1438489,-0.2290204,-0.3772527,-0.3901547,0.8080899,72.18054,-0.3887901,-0.6404327,-0.6623354,-0.05117068,1.002732,0.2950906,1.046503,-0.07191673,0.09768271,0.04686008,0.9915091,14.94351,-0.5530466,0.7511895,0.3603586,0.1256785,-0.04923926,0.01514944,0.1358274,0.5506225,0.5567782,0.6055273,0.1419491,163.6787,0.5562552,0.5624738,0.6117216,-0.04752443,-0.4508445,-0.06796086,0.4584081,0.5041214,0.3165591,-0.7929762,0.1297709,165.0873,0.5084206,0.3192588,-0.7997389,0.1011707,-0.002732277,0.004909456,0.1013266,-0.5649183,-0.7457467,-0.008309822,0.3530725,138.6493,-0.6038058,-0.7970819,-0.008881848,0.001660143,1.098867,-0.03086141,1.099302,-0.02524946,0.04596986,-0.05892646,-0.9968836,350.9509,-0.3200748,0.5827368,-0.7469811,False,False,False,False
1773116412223,0.0823148,0.01899612,0.9139982,0.2204531,0.9404005,-0.5873112,-0.598213,-0.5179201,0.170193,160.4019,-0.5960064,-0.6070696,-0.525588,-0.09698088,0.6222529,0.04387471,0.6312914,-0.4383241,-0.2778684,0.8495662,0.09433185,169.1743,-0.4402874,-0.279113,0.8533715,-0.06297675,1.012717,0.2606491,1.047616,-0.05462848,1.026627,0.3295003,1.079591,-0.08323104,1.003855,0.3246344,1.058319,0.003836486,0.5519033,0.08975472,0.5591671,0.004818629,0.5203357,0.09389344,0.5287613,-0.005671937,0.5001603,0.1033204,0.510752,0.1052756,-0.07752459,0.0314257,0.1344641,0.1663982,-0.04443571,0.01827977,0.1731966,0.1576741,-0.06646433,-0.009986334,0.1714011,-0.1204608,0.04117759,-0.03180865,0.1312181,-0.1366629,0.06509416,-0.01838867,0.1524865,-0.1450651,0.07569066,0.002180308,0.163639,0.1108884,-0.07055016,0.02895058,0.1345797,0.1596032,-0.04637482,0.01611298,0.1669833,0.1566371,-0.06604289,-0.0101667,0.1702944,-0.1205002,0.03997405,-0.03150768,0.1308088,-0.1382377,0.0657559,-0.01868677,0.1542164,-0.1448088,0.07718675,0.002855637,0.1641205,0.1331338,-0.06424695,0.01604435,0.1486933,-0.3502082,0.8374863,-0.1231105,0.4010172,132.7164,-0.3822939,0.9142159,-0.1343898,-0.1312647,0.0563728,-0.01700561,0.1438662,-0.2256869,-0.3784834,-0.3940587,0.8065566,72.4783,-0.3817715,-0.6402419,-0.6665891,-0.05138896,1.003934,0.2923786,1.046905,-0.08840118,0.1319435,0.04884065,0.9860988,19.12928,-0.5320236,0.7940737,0.293937,0.1250084,-0.05043103,0.01405231,0.1355281,0.5475252,0.5449899,0.6218895,0.1282806,165.2595,0.5520865,0.5495301,0.6270703,-0.04765444,-0.4505196,-0.06880178,0.4582276,0.5238271,0.3252817,-0.7751321,0.1377215,164.168,0.5288667,0.3284112,-0.7825894,0.101389,-0.003933787,0.007621437,0.1017511,-0.5573585,-0.7580743,0.02387972,0.3377937,140.515,-0.5921659,-0.8054166,0.02537103,0.001052446,1.09882,-0.03105861,1.09926,-0.02541039,0.04718852,-0.05994075,-0.9967621,350.7761,-0.3160214,0.5868694,-0.745465,False,False,False,False
1773116412235,0.09686991,0.01928466,0.9144624,0.2188441,0.9404818,-0.5948215,-0.5977321,-0.5105629,0.168016,160.655,-0.6033993,-0.6063518,-0.5179256,-0.09697502,0.6222621,0.04385992,0.6312986,-0.4383201,-0.2775959,0.8497444,0.09354266,169.2651,-0.4402505,-0.2788185,0.8534867,-0.06265572,1.01254,0.2601346,1.047298,-0.05619111,1.02675,0.3230228,1.077829,-0.08147901,1.006679,0.3219852,1.060054,0.003596369,0.5521251,0.09020941,0.5594576,0.004231069,0.520946,0.09297125,0.5291939,-0.005579058,0.5004011,0.1032289,0.5109683,0.1056191,-0.07783332,0.02872277,0.1343072,0.1625893,-0.04956646,0.01631281,0.1707578,0.1568878,-0.06771709,-0.009791758,0.1711586,-0.1205044,0.04091886,-0.03140719,0.1310804,-0.1353422,0.06527117,-0.01848538,0.1513921,-0.1448474,0.07578201,0.002074827,0.163487,0.1104663,-0.07113349,0.02893233,0.1345357,0.1598423,-0.04663045,0.01612899,0.1672845,0.1566571,-0.06617698,-0.01013667,0.1703632,-0.1205005,0.04004972,-0.03149963,0.1308303,-0.1380058,0.06571707,-0.01867064,0.15399,-0.1448119,0.07707424,0.002793099,0.1640693,0.1328113,-0.06465202,0.01619067,0.1485963,-0.3486815,0.836803,-0.1198589,0.4047416,132.2501,-0.3813097,0.9151078,-0.1310748,-0.131275,0.05640141,-0.01698451,0.1438844,-0.22091,-0.3809252,-0.4019989,0.8028024,73.20289,-0.3705021,-0.6388735,-0.6742175,-0.05119891,1.004529,0.291593,1.047247,-0.1003594,0.1484613,0.04408213,0.9828246,21.2689,-0.5438287,0.8044838,0.2388727,0.1243787,-0.05268246,0.0127165,0.1356732,0.5335281,0.5374056,0.6429945,0.1144602,166.855,0.5370577,0.5409608,0.6472483,-0.0459352,-0.4499462,-0.07036468,0.4577257,0.5496339,0.3397899,-0.75099,0.1358654,164.3827,0.5547782,0.3429702,-0.7580189,0.1011989,-0.004529357,0.008406967,0.1016485,-0.5556392,-0.7604293,0.04437102,0.3332321,141.0699,-0.589322,-0.8065265,0.04706079,0.0003928188,1.098902,-0.03121079,1.099345,-0.02541275,0.04835771,-0.06096936,-0.9966436,350.6087,-0.3104307,0.590716,-0.7447743,False,False,False,False
1773116412250,0.1102586,0.01861259,0.9143664,0.2184023,0.9402722,-0.6014774,-0.596305,-0.5048518,0.1666434,160.8146,-0.6100069,-0.6047612,-0.5120111,-0.09699483,0.6221853,0.04389643,0.6312285,-0.4380144,-0.27682,0.8502278,0.09287957,169.3414,-0.439916,-0.2780218,0.853919,-0.06252454,1.012753,0.2604244,1.047568,-0.05695165,1.027114,0.3191093,1.07705,-0.08035959,1.007891,0.3194062,1.060341,0.003432672,0.55221,0.0905299,0.5595921,0.0039947,0.5212944,0.09268412,0.5294847,-0.005456555,0.5005227,0.10344,0.5111288,0.105817,-0.07793058,0.02754291,0.1342722,0.1597744,-0.05277634,0.0158346,0.1690087,0.15463,-0.06890214,-0.009285919,0.169541,-0.1205161,0.04079061,-0.03112715,0.1309843,-0.1347263,0.065293,-0.01854002,0.1508579,-0.1448407,0.07578541,0.002053306,0.1634823,0.1100768,-0.07170302,0.02881592,0.1344938,0.1598366,-0.04714541,0.01610432,0.167421,0.1564873,-0.06640532,-0.01006539,0.1702917,-0.1205018,0.0401118,-0.03146842,0.1308431,-0.137731,0.06568154,-0.01865969,0.1537273,-0.1448143,0.07696625,0.002731112,0.1640197,0.1324067,-0.06514387,0.01626402,0.1484579,-0.3460712,0.836724,-0.1166858,0.4080589,131.8341,-0.3790669,0.9165003,-0.1278111,-0.1312919,0.05643697,-0.0169397,0.1439085,-0.2153123,-0.3839979,-0.4119188,0.7978152,74.15605,-0.3571266,-0.6369159,-0.6832266,-0.05108724,1.005303,0.2895585,1.04742,-0.1127542,0.1648618,0.03422544,0.9792526,23.38314,-0.5564172,0.8135569,0.1688951,0.1239234,-0.05346398,0.01202101,0.1354987,0.5257579,0.5336222,0.6526677,0.113362,166.9817,0.5291691,0.5370844,0.6569023,-0.04608085,-0.4500267,-0.07064182,0.4578621,0.5595987,0.3518743,-0.7387207,0.131626,164.8729,0.5645103,0.3549626,-0.7452044,0.1010872,-0.005303025,0.01044151,0.1017633,-0.5570124,-0.7594224,0.06706636,0.3294191,141.533,-0.5899407,-0.8043163,0.07103104,-0.0002129916,1.098935,-0.03129833,1.09938,-0.02487006,0.04978851,-0.06222408,-0.9965094,350.4226,-0.2979124,0.5964046,-0.7453672,True,True,False,False
1773116412264,0.1246827,0.01850465,0.914557,0.2183807,0.9404504,-0.6075176,-0.5947176,-0.4998542,0.1654664,160.9513,-0.6160091,-0.6030301,-0.5068408,-0.09687106,0.6217867,0.04395444,0.6308207,-0.437849,-0.275913,0.8507332,0.09172297,169.4745,-0.4397026,-0.277081,0.8543347,-0.06197697,1.013303,0.2613975,1.04831,-0.05737718,1.027818,0.3151263,1.076572,-0.08018033,1.009432,0.3172651,1.06115,0.003554087,0.5521615,0.09095168,0.5596134,0.002474885,0.5225189,0.09056035,0.5303144,-0.005601841,0.5005984,0.1029472,0.511105,0.1062785,-0.07803053,0.02635622,0.1344565,0.1566197,-0.05625631,0.01585463,0.1671702,0.1528173,-0.07129095,-0.009087574,0.1688731,-0.120552,0.04060642,-0.03098289,0.130926,-0.1314213,0.06535979,-0.01877102,0.1479724,-0.1438957,0.07607291,0.001936335,0.1627784,0.109782,-0.072194,0.02862505,0.1344748,0.159587,-0.04785238,0.01608494,0.1673816,0.1562025,-0.06678443,-0.009989515,0.170174,-0.1205057,0.04015018,-0.03143075,0.1308494,-0.1372414,0.06565657,-0.01866833,0.1532792,-0.144743,0.07689693,0.002669441,0.1639232,0.1320339,-0.06567556,0.01623235,0.1483568,-0.3430316,0.8371426,-0.1148258,0.4102883,131.5541,-0.3761494,0.9179642,-0.1259116,-0.131301,0.05652467,-0.01684414,0.14394,-0.2070265,-0.3885108,-0.428987,0.7887772,75.85722,-0.3368043,-0.6320547,-0.6979041,-0.05037593,1.005693,0.2891356,1.047643,-0.116177,0.1794818,0.03527156,0.9762403,25.02946,-0.5361425,0.8282863,0.1627738,0.1222116,-0.05537601,0.01191523,0.1347002,0.5142038,0.5325047,0.66236,0.1153796,166.749,0.517661,0.5360849,0.6668133,-0.04548224,-0.4497813,-0.07162625,0.4577141,0.5681192,0.3662483,-0.7266486,0.1228185,165.8904,0.5724532,0.3690422,-0.7321919,0.1003759,-0.005693078,0.01086441,0.1011226,-0.5545963,-0.7639676,0.07834828,0.3203719,142.6292,-0.5854546,-0.8064755,0.08270765,-0.0007934356,1.098933,-0.03149911,1.099384,-0.02443362,0.05109707,-0.06351819,-0.9963722,350.2362,-0.2871093,0.6004201,-0.7463756,True,True,False,False
1773116412278,0.1389274,0.01757569,0.9142996,0.217913,0.9400738,-0.6128294,-0.5930502,-0.4956526,0.1644994,161.0637,-0.6212932,-0.6012409,-0.5024981,-0.09666713,0.6218304,0.04386249,0.6308261,-0.4378908,-0.2745664,0.8513041,0.09025597,169.6433,-0.4396853,-0.2756916,0.854793,-0.06177725,1.013723,0.2614669,1.048721,-0.05635834,1.028787,0.3142915,1.077199,-0.07886657,1.009784,0.3155516,1.060875,0.003712159,0.5524976,0.09123693,0.5599925,0.002354328,0.5232815,0.0903082,0.5310223,-0.005457181,0.5010549,0.1029074,0.5115426,0.1064675,-0.07790262,0.02597508,0.1344576,0.1563031,-0.05632778,0.01609226,0.1669205,0.150984,-0.0712646,-0.00876585,0.1671875,-0.1205473,0.0405703,-0.03081852,0.1308716,-0.1306009,0.06529512,-0.01882287,0.1472221,-0.1434414,0.0762447,0.001889575,0.162457,0.1095066,-0.07266838,0.02840485,0.134459,0.1593141,-0.04855667,0.01608555,0.1673245,0.1557689,-0.06715672,-0.00988783,0.1699168,-0.1205092,0.04018509,-0.03137987,0.130851,-0.1366896,0.06562654,-0.01868117,0.1527739,-0.1446349,0.07684273,0.002604635,0.1638012,0.1316621,-0.06617594,0.01619327,0.1482443,-0.3393544,0.838046,-0.1123767,0.4121759,131.3168,-0.372465,0.9198135,-0.1233412,-0.1313044,0.0566348,-0.0167265,0.1439726,-0.1980028,-0.3932613,-0.4479071,0.7781515,77.81673,-0.3152525,-0.6261359,-0.7131408,-0.0496815,1.005965,0.2888331,1.047787,-0.1185141,0.1804148,0.02840485,0.9760113,25.15027,-0.5443426,0.8286564,0.1304653,0.1219269,-0.0551214,0.01176064,0.1343237,0.511115,0.5292853,0.6685688,0.1078634,167.6157,0.5141144,0.5323914,0.6724923,-0.04720099,-0.4497622,-0.07168146,0.4578779,0.579479,0.367699,-0.7174022,0.1197315,166.2468,0.5836778,0.3703632,-0.7226003,0.0996815,-0.005964994,0.01116693,0.1004822,-0.5583084,-0.7601492,0.08316135,0.3217902,142.4576,-0.5896726,-0.8028522,0.08783311,-0.001371056,1.098912,-0.0316177,1.099367,-0.02433259,0.05244427,-0.06484778,-0.996219,350.0321,-0.2800808,0.603661,-0.7464319,True,True,False,False
