Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773116895745,0,1,1,135,-0.2615919,0.9479985,0.1812965,0.9999999,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.2416794,0.8758365,0.1674961,0.3826834,135,-0.2615919,0.9479986,0.1812965
Trial Start,1773116899476,0,1,1,135,-0.2615919,0.9479985,0.1812965,0.9999999,-1,-0.04346058,1.01535,0.2848439,1.055443,0,0,0,1,0,1,0,0,0.09346057,-0.01534963,0.01515615,0.09591766,-0.2416794,0.8758365,0.1674961,0.3826834,135,-0.2615919,0.9479986,0.1812965
On Target,1773116903216,3.763296,1,1,135,-0.2615919,0.9479985,0.1812965,0.9999999,-1,0.06917373,1.004733,0.3030006,1.051705,-0.2841208,0.8460163,0.192771,0.4078863,131.8558,-0.3111836,0.9266002,0.2111327,-0.01917373,-0.004733324,-0.003000587,0.01997598,-0.01698085,0.03448563,-0.04982958,0.9980178,7.216298,-0.2698268,0.5479788,-0.791795
Off Target,1773116903440,3.985738,1,1,135,-0.2615919,0.9479985,0.1812965,0.9999999,-1,0.04140721,0.9973499,0.2695974,1.033975,-0.2779772,0.8425248,0.1816971,0.424107,129.8117,-0.3069495,0.9303375,0.2006346,0.008592788,0.002650082,0.0304026,0.03170453,-0.01413802,0.05167578,-0.03833783,0.9978276,7.554596,-0.214607,0.784409,-0.5819465
On Target,1773116903953,4.499473,1,1,135,-0.2615919,0.9479985,0.1812965,0.9999999,-1,0.04340015,1.000871,0.2815374,1.04062,-0.2600136,0.8527188,0.2023918,0.4053406,132.175,-0.2844272,0.9327836,0.2213951,0.006599847,-0.0008714199,0.01846263,0.01962616,-0.03289463,0.0233281,-0.03120386,0.9986992,5.845504,-0.6451223,0.4575057,-0.6119633
Trial End,1773116904939,5.485618,1,2,135,-0.2615919,0.9479985,0.1812965,0.9999999,-1,0.04933981,0.999759,0.2944738,1.043392,-0.2565986,0.8573033,0.2191873,0.3887739,134.2435,-0.2785079,0.930503,0.2379023,0.0006601922,0.0002410412,0.005526245,0.005570757,-0.04413988,0.002432824,-0.03630707,0.9983625,6.558734,-0.7716154,0.04252854,-0.634689
Trial Load,1773116904941,5.485618,1,2,135,0.7307099,0.2346523,0.641094,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.6750879,0.2167905,0.5922936,0.3826834,135,0.7307099,0.2346524,0.641094
Trial Start,1773116905912,0,1,2,135,0.7307099,0.2346523,0.641094,1,-1,-0.04815266,1.001171,0.3002294,1.046327,0.006943252,-0.001455497,-0.01056606,0.9999191,1.45801,0.5457051,-0.1143948,-0.8304397,0.09815265,-0.001171112,-0.0002293587,0.09815991,0.6738047,0.2060845,0.5987769,0.380766,135.2377,0.7286962,0.2228732,0.6475563
On Target,1773116911496,5.598107,1,2,135,0.7307099,0.2346523,0.641094,1,-1,0.04797614,1.00185,0.2998445,1.046858,0.6385264,0.2907111,0.5857223,0.4058331,132.1133,0.698647,0.318083,0.640871,0.002023865,-0.001850367,0.0001555085,0.002746647,0.07482681,-0.006050696,-0.04160292,0.99631,9.847244,0.8718245,-0.07049806,-0.4847252
Trial End,1773116912496,6.597884,1,3,135,0.7307099,0.2346523,0.641094,1,-1,0.05151803,1.000272,0.3022335,1.046204,0.6512826,0.2653813,0.5800086,0.4110886,131.4535,0.7144427,0.2911174,0.6362567,-0.00151803,-0.000272274,-0.002233475,0.002714214,0.05972918,-0.006630656,-0.01643832,0.9980574,7.144089,0.9586778,-0.1064247,-0.2638417
Trial Load,1773116912496,6.597884,1,3,135,0.08287915,-0.9745061,-0.2084919,0.9999999,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.07657035,-0.9003263,-0.1926214,0.3826834,135,0.08287916,-0.9745062,-0.208492
Trial Start,1773116913620,0,1,3,135,0.08287915,-0.9745061,-0.2084919,0.9999999,-1,-0.04999701,1.000579,0.2994819,1.045633,0.004785997,-0.0009209993,-0.001205145,-0.9999874,359.4253,0.9542806,-0.1836382,-0.240294,0.09999701,-0.0005791187,0.0005181432,0.1,-0.07930853,0.9014971,0.1888418,-0.3812508,224.8224,-0.08578796,0.9751485,0.20427
On Target,1773116921454,7.847342,1,3,135,0.08287915,-0.9745061,-0.2084919,0.9999999,-1,0.05228753,0.9974098,0.2980179,1.042293,-0.07616015,0.8638168,0.1978907,-0.4570115,234.3889,-0.08562507,0.9711691,0.2224839,-0.002287533,0.002590179,0.001982093,0.003983784,0.005928276,0.08137358,0.01472694,-0.9965573,350.4886,0.07150525,0.9815059,0.1776324
