Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,-0.2615919,0.9479985,0.1812965,0.9999999,5.485618,False,0.0006601922,0.0002410412,0.005526245,0.005570757,-0.04413988,0.002432824,-0.03630707,0.9983625,6.558734,-0.7716154,0.04252854,-0.634689,0.5254229,0.4827594,0.5164173,0.5791514,567.3339,0,0,0.5068809,0.614038,0.5830622,22.64877,1828.943,0,0,0.5565733,275.9359,0.05435799,12.25308
1,3,135,0.7307099,0.2346523,0.641094,1,6.597884,False,-0.00151803,-0.000272274,-0.002233475,0.002714214,0.05972918,-0.006630656,-0.01643832,0.9980574,7.144089,0.9586778,-0.1064247,-0.2638417,0.6447981,0.6858242,0.7614244,1.120658,858.3737,0,0,0.6391129,0.7890433,0.8383915,24.27247,2240.257,0,0,0.5397968,360.3781,0.0917507,24.29497
1,4,135,0.08287915,-0.9745061,-0.2084919,0.9999999,8.847201,False,-0.001478683,0.002018511,-0.0003046095,0.00252065,0.007024414,0.06657299,0.006550129,-0.9977354,352.2866,0.1044344,0.9897634,0.097383,0.8160316,0.8494256,0.9159441,1.06874,1036.486,0,0,0.1965831,0.2468383,0.2814415,10.56852,950.6274,0,0,0.7811466,504.5591,0.09306077,24.34789
1,5,135,0.6337312,0.7716921,-0.05362833,1,7.75058,False,-0.0002951249,-0.002158403,-0.00115484,0.002465656,0.03378734,0.02764309,0.01086802,0.9989876,5.156762,0.7510605,0.6144797,0.2415857,0.9657798,1.050336,1.125796,1.281873,1200.895,0,0,0.2332402,0.2492476,0.2357306,17.70496,1721.222,0,0,0.6253123,478.7532,0.118449,32.54729
1,6,135,-0.06319688,-0.7997888,0.5969455,0.9999999,8.678788,False,0.001068633,-0.0001004934,0.001003444,0.001469345,-0.01446293,-0.03368374,0.01401694,-0.9992296,355.5017,-0.3685277,-0.8582898,0.3571633,1.084748,1.267892,1.453785,2.010154,1461.393,0,0,0.3666056,0.3483653,0.305079,14.45199,1494.656,0,0,0.9004809,621.0059,0.1389794,43.22935
1,7,135,0.1984689,-0.2006631,-0.9593458,1,6.999293,False,0.0003135987,-0.0002800226,-0.0003709197,0.0005606588,-0.02712772,-0.000660254,0.0546824,-0.998135,353.0004,-0.4443896,-0.01081587,0.8957732,0.6470762,0.7736712,0.9304816,0.9466062,901.1462,0,0,0.1579634,0.1396015,0.08960468,7.883936,876.7889,0,0,0.4960829,433.913,0.08762123,23.83036
1,8,135,0.1960625,0.8269801,-0.5269377,1,7.583822,False,-0.001495793,-0.001294255,0.0007896423,0.002129796,-0.04394707,0.04095162,0.02756376,-0.9978136,352.421,-0.6649443,0.6196215,0.4170554,0.7329962,0.9609281,1.081676,1.216139,1042.434,0,0,0.1480907,0.1777288,0.1279674,3.579591,530.9744,0,0,0.7502074,564.4628,0.1024841,28.34426
1,9,135,-0.304525,-0.9473174,-0.09926832,1,8.373451,False,-0.001934368,-0.002412081,0.004073441,0.005113984,-0.006685584,-0.04813011,-0.002532546,0.9988155,5.577908,-0.1374025,-0.9891729,-0.05204904,0.7044573,0.8635361,0.8790284,1.096989,858.1578,0,0,0.1427567,0.151804,0.2301695,4.539155,567.1666,0,0,0.8353768,530.2835,0.08186054,20.28622
1,10,135,-0.7036656,0.5059859,0.4988317,1,6.61116,False,0.001848068,0.0008977652,0.003685951,0.004219902,0.04825939,-1.697367E-05,0.03041697,0.9983717,6.54044,0.8459823,-0.0002975467,0.5332065,0.5592694,0.7039129,0.7345724,0.9060205,809.2839,0,0,0.2602759,0.2709162,0.263334,3.976241,627.7933,0,0,0.831185,628.155,0.0635221,15.9854
1,11,135,-0.2419545,0.9654958,-0.09631145,0.9999999,5.902477,False,0.004163478,-0.0002826452,0.00399217,0.005775107,0.001446037,0.05921536,-0.0009388283,0.9982438,6.792304,0.02441013,0.9995976,-0.01584809,0.433041,0.6134994,0.7196118,0.950359,603.7053,0,0,0.2594549,0.3749102,0.3459661,8.662056,1056.019,0,0,0.6269576,361.5744,0.07956948,23.36657
2,2,135,-0.2773438,-0.430271,-0.8590386,1,9.819671,False,-0.001572721,-0.0004351139,0.003770173,0.00410816,-0.02702718,-0.0434343,0.01855467,0.9985183,6.238955,-0.4966571,-0.798158,0.3409646,1.002311,1.059435,1.216481,1.464983,1281.187,0,0,1.018312,1.425576,1.153097,37.23586,3347.075,0,0,0.9130552,671.9579,0.1290472,34.96444
2,3,135,0.5882919,0.6198211,-0.5193596,1,6.3337,False,-0.001491714,0.001847625,0.002010465,0.003111414,-0.01108886,-0.0167141,0.01680679,0.9996576,2.998921,-0.4237646,-0.6387349,0.6422773,0.5848505,0.7795019,0.9555497,0.9465666,820.1872,0,0,0.2476603,0.442299,0.3745196,15.67889,1500.153,0,0,0.6157287,431.7451,0.07714368,18.84515
2,4,135,-0.553296,0.3868844,0.7376883,1,5.402523,False,-0.001055282,0.0007082224,0.001268804,0.001795846,0.0567708,-0.0462462,-0.01703754,0.9971701,8.622959,0.7551451,-0.6151506,-0.2266273,0.2888546,0.3805395,0.4493581,0.5026868,410.6503,0,0,0.1670448,0.1895311,0.2556354,4.823435,484.2801,0,0,0.3483964,234.1005,0.06081588,16.76506
