Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773116949855,0.0138991,0.03231879,0.9128969,0.2129009,0.937951,-0.2983315,-0.2743175,-0.6030602,0.6870711,93.20258,-0.4105912,-0.3775409,-0.8299868,-0.05867857,1.005297,0.2739597,1.043609,-0.04901159,1.023551,0.3004255,1.067855,-0.05111408,1.01081,0.3209127,1.06176,-0.0263019,-0.08239913,0.105885,0.1367225,-0.01815541,-0.07359772,0.1355767,0.1553296,0.004078876,-0.07828339,0.1397302,0.1602169,0,0,0,0,0,0,0,0,0,1,0,0,-0.1219086,0.631121,0.050685,0.6447825,-0.3115841,-0.3108547,0.005238621,-0.8979183,307.7715,-0.707885,-0.7062278,0.01190157,-0.01509733,0.5466673,0.08845238,0.5539828,-0.06342579,0.5449947,0.06305204,0.5522839,-0.08290508,0.5555442,0.0590784,0.5647945,0.04711044,-0.0241749,0.1239452,0.1347821,0.02323458,-0.0483016,0.08441905,0.09999733,0.01222925,-0.04607597,0.06612255,0.08151527,0,0,0,0,0,0,0,0,0,1,0,0,-0.0368626,1.022471,0.2715935,1.058569,0,0,0,1,0,1,0,0,0.08686259,-0.02247119,0.02840653,0.09411161,0.1811382,0.76403,-0.486827,0.3826834,135,0.1960625,0.8269802,-0.5269377,-0.02238682,1.072177,-0.03984968,1.073151,-0.01707817,-0.07335986,-0.05607236,-0.9955815,349.2238,-0.1818738,-0.7812452,-0.5971421,False
1773116949869,0.0280656,0.03088012,0.9122204,0.212384,0.9371268,-0.3200195,-0.2820034,-0.5863987,0.6886206,92.95798,-0.4413321,-0.3889048,-0.8086898,-0.06050002,1.004451,0.2721948,1.042435,-0.05039101,1.024362,0.29585,1.06742,-0.05180468,1.012515,0.316437,1.062075,-0.02495516,-0.082948,0.1052979,0.136348,-0.01815668,-0.07386192,0.134177,0.1542359,0.00371973,-0.0785687,0.137968,0.1588145,0,0,0,0,0,0,0,0,0,1,0,0,-0.1218713,0.6311629,0.05063717,0.6448126,-0.2580382,-0.321678,0.007910027,-0.9109759,311.2811,-0.6256083,-0.7799016,0.0191777,-0.01272015,0.5537864,0.09610955,0.5622084,-0.05951999,0.5474104,0.07209779,0.5553367,-0.08012627,0.5578419,0.06621642,0.5674437,0.0457666,-0.02501213,0.1242871,0.1347868,0.02296595,-0.04898794,0.08608396,0.1016745,0.01220027,-0.04651933,0.06621462,0.08183686,0,0,0,0,0,0,0,0,0,1,0,0,-0.03872247,1.02328,0.2676896,1.058423,0.02364454,-0.01319414,-0.008725577,-0.9995953,356.7397,0.8311684,-0.463809,-0.3067271,0.08872247,-0.02327967,0.0323104,0.0972501,-0.1770234,-0.7487414,0.5104242,-0.3840785,225.1731,-0.1917289,-0.8109401,0.5528257,-0.02236981,1.072108,-0.03990807,1.073084,-0.01726829,-0.07351302,-0.05590244,-0.9955765,349.2177,-0.1837941,-0.7824321,-0.5949948,False
1773116949882,0.0419063,0.02950649,0.912115,0.2114774,0.9367748,-0.3406611,-0.2894438,-0.5681993,0.6908849,92.5996,-0.4712001,-0.4003567,-0.7859294,-0.06166679,1.00403,0.2708725,1.041754,-0.05269291,1.023897,0.2902989,1.065558,-0.05410182,1.011079,0.3087077,1.05854,-0.02319342,-0.0827463,0.1052311,0.1358619,-0.0181518,-0.07464971,0.1313985,0.1522091,0.002605303,-0.07995356,0.1321804,0.1545025,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.01964102,0.04598076,0.05,0.5,0,0,0.8660254,60,1,0,0,0.04798192,-0.1455983,0.08842272,0.1769737,0.02407762,-0.1234801,0.04662784,0.1341687,0.01279083,-0.1041458,0.03845364,0.1117526,0.0457666,-0.02501213,0.1242871,0.1347867,0.02296595,-0.04898792,0.08608396,0.1016745,0.01220028,-0.04651931,0.06621463,0.08183685,0,0,0,0,0,0,0,0,0,1,0,0,-0.0409782,1.024183,0.2635364,1.058339,0.04663051,-0.02658078,-0.01915271,-0.9983748,353.466,0.818238,-0.4664201,-0.3360778,0.0909782,-0.02418268,0.03646362,0.1009526,-0.171115,-0.7333846,0.5338072,-0.3845994,225.2377,-0.1853733,-0.7944943,0.5782869,-0.02232487,1.072105,-0.03994253,1.073081,-0.0173175,-0.07339606,-0.05576309,-0.9955921,349.2368,-0.1846437,-0.7825677,-0.5945604,False
1773116949896,0.0555778,0.02777644,0.9112638,0.2117418,0.9359528,-0.3619434,-0.2939543,-0.5513107,0.6918413,92.44791,-0.5012722,-0.407111,-0.7635359,-0.06272014,1.002257,0.2716633,1.040314,-0.05460864,1.022018,0.2861275,1.062719,-0.05651034,1.005988,0.3004458,1.051415,-0.02061203,-0.08302141,0.1045608,0.1350939,-0.0181655,-0.07545839,0.1278479,0.1495628,0.0008521723,-0.08163054,0.1229674,0.1475983,0,0,0,0,0,0,0,0,0,1,0,0,-0.1240484,0.6305899,0.05666441,0.6451685,-0.2763125,-0.3470881,0.01185453,-0.8961254,307.3067,-0.6226047,-0.7820807,0.02671137,-0.01316464,0.5449925,0.08685879,0.5520277,-0.06772052,0.5350788,0.06353591,0.5430766,-0.0829512,0.5539434,0.06808525,0.5642427,0.04822151,-0.03259619,0.1236676,0.1366803,0.0211084,-0.06252605,0.08290932,0.1059671,0.01042653,-0.04826705,0.0675397,0.08366619,0,0,0,0,0,0,0,0,0,1,0,0,-0.0428973,1.024472,0.2610004,1.058067,0.06832076,-0.04161701,-0.02684063,-0.9964336,350.3192,0.8096745,-0.4932064,-0.3180903,0.0928973,-0.02447248,0.03899965,0.1036812,-0.1658701,-0.7169806,0.5550998,-0.3876731,225.6196,-0.1799421,-0.7778075,0.6021931,-0.02230688,1.072127,-0.03995338,1.073103,-0.01726282,-0.0733308,-0.05586167,-0.9955923,349.2371,-0.1840657,-0.7818932,-0.5956277,False
1773116949909,0.0693544,0.02597348,0.9103605,0.2119907,0.935078,-0.3809769,-0.2972292,-0.5360235,0.6922357,92.38531,-0.5279091,-0.4118622,-0.7427528,-0.06381933,1.000637,0.2723499,1.039001,-0.05643635,1.019724,0.2825098,1.059639,-0.05776726,1.002442,0.2948674,1.046506,-0.01849287,-0.08334722,0.1038074,0.134405,-0.01818349,-0.07609079,0.124355,0.146917,-0.0003347949,-0.08200813,0.1166945,0.1426291,0,0,0,0,0,0,0,0,0,1,0,0,-0.1240484,0.6305899,0.05666441,0.6451685,-0.2763125,-0.3470881,0.01185453,-0.8961254,307.3067,-0.6226047,-0.7820807,0.02671136,-0.01316459,0.5449926,0.08685879,0.5520278,-0.06772053,0.5350788,0.0635359,0.5430766,-0.08295119,0.5539433,0.06808527,0.5642426,0.04822155,-0.03259612,0.1236676,0.1366803,0.0211084,-0.06252606,0.08290931,0.1059671,0.01042652,-0.04826708,0.06753974,0.08366624,0,0,0,0,0,0,0,0,0,1,0,0,-0.0448185,1.024523,0.2588177,1.057659,0.08744911,-0.05551412,-0.03333769,-0.9940621,347.5061,0.8036577,-0.5101749,-0.3063735,0.0948185,-0.02452326,0.04118228,0.1062446,-0.1610312,-0.7017151,0.5735635,-0.3907555,226.003,-0.1749398,-0.7623241,0.6231037,-0.02226495,1.07218,-0.03997683,1.073156,-0.01700193,-0.07331467,-0.05585703,-0.9955983,349.2443,-0.181405,-0.7822433,-0.5959761,False
1773116949924,0.0833091,0.02537389,0.9097686,0.2127396,0.9346555,-0.3963085,-0.2982465,-0.5121218,0.7012275,90.94887,-0.555881,-0.4183346,-0.7183262,-0.0652089,0.9964265,0.2753083,1.035815,-0.05855167,1.017018,0.2826995,1.0572,-0.05768539,0.9995273,0.2940295,1.043473,-0.01634839,-0.08408353,0.1025749,0.1336373,-0.01811179,-0.07661778,0.1229936,0.1460334,-0.0009206514,-0.08122588,0.1141044,0.1400654,0,0,0,0,0,0,0,0,0,1,0,0,-0.1359308,0.6225533,0.0428841,0.6386617,-0.2220305,-0.3570542,-0.02665567,-0.9069202,310.1663,-0.5270098,-0.847501,-0.06326967,-0.02217388,0.544104,0.0793627,0.5503083,-0.07295021,0.544432,0.05457313,0.552002,-0.08934671,0.5572146,0.05749934,0.5672539,0.04308016,-0.04071064,0.1227591,0.1363197,0.02216427,-0.05573911,0.07541449,0.09636103,0.01128276,-0.04531251,0.06222675,0.07779904,0,0,0,0,0,0,0,0,0,1,0,0,-0.04753131,1.02284,0.2589672,1.056185,0.1024706,-0.07365828,-0.05128021,-0.9906789,344.3419,0.752256,-0.5407391,-0.3764575,0.0975313,-0.0228405,0.04103282,0.1082485,-0.1436251,-0.6881239,0.5935463,-0.3918676,226.1415,-0.1561106,-0.7479432,0.6451437,-0.02221905,1.072247,-0.04005381,1.073225,-0.01690749,-0.0734311,-0.05578589,-0.9955953,349.2406,-0.1803367,-0.7832226,-0.5950173,False
1773116949937,0.0974818,0.02472456,0.9091696,0.2134217,0.9342107,-0.4108666,-0.2990576,-0.4912783,0.7073887,89.95429,-0.5812851,-0.4231001,-0.6950497,-0.06588901,0.9931999,0.2777726,1.033414,-0.06024712,1.014597,0.2826161,1.054945,-0.05734101,0.9970961,0.292911,1.04081,-0.01451286,-0.08455555,0.1014961,0.1328974,-0.01804182,-0.07715385,0.1214859,0.1450416,-0.001484815,-0.08036775,0.1115718,0.1375116,0,0,0,0,0,0,0,0,0,1,0,0,-0.1404665,0.6206114,0.04174631,0.6376771,-0.2059186,-0.3586135,-0.04857489,-0.9091944,310.7885,-0.4945545,-0.8612818,-0.1166623,-0.02347092,0.5485938,0.08068967,0.5549926,-0.07388735,0.5502866,0.05566631,0.5580084,-0.09188513,0.5605607,0.05678604,0.5708728,0.04267247,-0.04071568,0.122772,0.1362045,0.02264741,-0.05186892,0.07419815,0.09332018,0.01161485,-0.0435284,0.060035,0.07505883,0,0,0,0,0,0,0,0,0,1,0,0,-0.04972342,1.021536,0.2589058,1.055007,0.1168418,-0.08978882,-0.06556519,-0.9869079,341.437,0.7244444,-0.5567098,-0.4065182,0.09972341,-0.02153552,0.04109418,0.1099876,-0.1296747,-0.6746612,0.611079,-0.3931912,226.3064,-0.1410341,-0.7337607,0.6646088,-0.02218398,1.072301,-0.04016672,1.073282,-0.01690272,-0.07365584,-0.05558086,-0.9955903,349.2345,-0.1801833,-0.7851726,-0.592493,False
1773116949953,0.1114711,0.02417311,0.908637,0.2134555,0.9336856,-0.4236086,-0.298519,-0.4667273,0.7166644,88.44047,-0.6073955,-0.4280345,-0.6692216,-0.06663284,0.9908614,0.279368,1.031646,-0.06202687,1.012015,0.2831874,1.052719,-0.05757505,0.994705,0.2930677,1.038577,-0.01431285,-0.08438867,0.1013859,0.1326854,-0.01801222,-0.0773901,0.1208032,0.1445928,-0.001744269,-0.07996355,0.1104017,0.1363295,0,0,0,0,0,0,0,0,0,1,0,0,-0.135903,0.6359912,0.03990337,0.6515725,-0.2086839,-0.3574547,-0.04571985,-0.9091682,310.7813,-0.5011274,-0.858381,-0.1097903,-0.01921026,0.5654676,0.08075117,0.5715272,-0.0686259,0.5647805,0.0546857,0.5715567,-0.08775628,0.5754635,0.05475308,0.5846857,0.04218742,-0.03771718,0.1234074,0.1357636,0.02282833,-0.05167295,0.07575623,0.09449991,0.0116473,-0.04359209,0.06005659,0.07511806,0,0,0,0,0,0,0,0,0,1,0,0,-0.0524903,1.019418,0.2591464,1.05315,0.1292392,-0.1077118,-0.08437122,-0.9821288,338.3033,0.6866754,-0.5722957,-0.4482821,0.1024903,-0.01941812,0.04085362,0.1120283,-0.1104596,-0.6615221,0.6286677,-0.3936552,226.3643,-0.1201616,-0.719626,0.6838858,-0.02214251,1.072334,-0.04028122,1.073319,-0.01675736,-0.07365061,-0.0554654,-0.9955995,349.2458,-0.1788209,-0.7859396,-0.5918818,False
1773116949966,0.124928,0.02387348,0.9085469,0.2129349,0.9334713,-0.4423176,-0.2963769,-0.4363171,0.7253574,87.00284,-0.6425556,-0.4305472,-0.6338386,-0.06684744,0.9899357,0.2799392,1.030925,-0.06272328,1.011036,0.2834325,1.051885,-0.05705235,0.9942427,0.2935767,1.038249,-0.01502094,-0.08424372,0.1013725,0.1326613,-0.01801983,-0.07741064,0.1207621,0.1445704,-0.001786298,-0.07992653,0.110293,0.1362204,0,0,0,0,0,0,0,0,0,1,0,0,-0.1315037,0.636821,0.04421943,0.6517588,-0.2485204,-0.350059,-0.02383147,-0.9028445,309.0691,-0.5779989,-0.8141533,-0.05542628,-0.01899014,0.560276,0.0834047,0.5667682,-0.06601784,0.555891,0.05745279,0.5627379,-0.0864226,0.5684392,0.05621074,0.5777125,0.04186711,-0.0324585,0.1242517,0.1350737,0.02250098,-0.0535154,0.08154457,0.1000985,0.01116276,-0.0461388,0.06309234,0.07895594,0,0,0,0,0,0,0,0,0,1,0,0,-0.0546992,1.01795,0.2587022,1.051733,0.1465504,-0.1319232,-0.1047363,-0.9747562,334.1974,0.6563758,-0.5908633,-0.4690974,0.1046992,-0.01795018,0.04129785,0.1139721,-0.08840244,-0.6418852,0.6504837,-0.396282,226.6919,-0.09628545,-0.6991233,0.7084885,-0.02212462,1.072399,-0.04033614,1.073385,-0.01653718,-0.07355773,-0.05567899,-0.9955981,349.2441,-0.1764439,-0.7848261,-0.5940684,False
1773116949979,0.1387174,0.02371374,0.9082564,0.2122082,0.9330189,-0.4609005,-0.2945109,-0.4056081,0.7323361,85.8348,-0.6768559,-0.4325043,-0.5956562,-0.06694837,0.9891307,0.2798308,1.03013,-0.06322064,1.01006,0.2832357,1.050923,-0.0563459,0.9938564,0.2935772,1.03784,-0.01596768,-0.08399829,0.1013824,0.1326238,-0.01802361,-0.07742421,0.1207283,0.1445499,-0.001832423,-0.07985434,0.1101876,0.1360933,0,0,0,0,0,0,0,0,0,1,0,0,-0.1244091,0.635137,0.05167598,0.6492665,-0.2914007,-0.3348194,-0.005276311,-0.8960769,307.2942,-0.6564574,-0.7542697,-0.01188629,-0.01663534,0.5515406,0.08797825,0.5587611,-0.06390161,0.5476112,0.06092533,0.5546831,-0.0833999,0.5598705,0.06016533,0.5692366,0.04275985,-0.02889821,0.1243416,0.1346267,0.022424,-0.05394738,0.08345826,0.1018746,0.01082189,-0.04807496,0.06573675,0.08215616,0,0,0,0,0,0,0,0,0,1,0,0,-0.05669283,1.016349,0.2579051,1.050092,0.1645349,-0.1554878,-0.1243899,-0.9660637,330.0611,0.6369815,-0.6019565,-0.481564,0.1066928,-0.01634884,0.04209492,0.1158561,-0.0672225,-0.6210308,0.6717822,-0.398134,226.9231,-0.07328082,-0.6770002,0.7323255,-0.02210748,1.072453,-0.04038013,1.073441,-0.01607915,-0.07331492,-0.05610494,-0.9955996,349.246,-0.171586,-0.7823681,-0.5987146,False
